L-AccX,L-AccY,L-AccZ,L-GyrX,L-GyrY,L-GyrZ,R-AccX,R-AccY,R-AccZ,R-GyrX,R-GyrY,R-GyrZ,timestamp
-0.03575,-0.0155,0.119,0.0046845004,6.1000002e-05,0.0021057501,-0.0025,-0.119375,0.031,0.00070200005,-4.575e-05,-0.000534,1741898225.604793
-0.036875,-0.021625,0.116125,0.00419625,-0.000122000005,0.0018005001,-0.003375,-0.12,0.02925,0.000534,-6.1000002e-05,-0.00054925,1741898225.619075
-0.036875,-0.02225,0.116,0.00137325,-0.00074775,0.00083925005,-0.004,-0.12075,0.028125,0.0002135,1.5250001e-05,-0.00039675,1741898225.6366541
-0.039625,-0.01825,0.118875,0.0001525,-0.00074775,0.0005645,-0.004375,-0.12075,0.03025,0.00016775,0.00016775,-0.00024425,1741898225.647917
-0.04025,-0.017375,0.11925,-0.00048825,-0.00057975,0.0004425,-0.00425,-0.11725,0.034875,0.00048825,0.0013580001,-0.0003815,1741898225.664829
-0.0385,-0.01675,0.11825,-0.00064075,-0.00039675,0.00042725,-0.002,-0.109375,0.04225,0.00119025,0.0022125002,-0.00054925,1741898225.677332
-0.03775,-0.016875,0.117625,-0.0005035,-0.00036625,0.00039675,-0.000375,-0.107875,0.04325,0.0036315,0.00352475,-0.0005645,1741898225.6918871
-0.0375,-0.0165,0.117,-9.15e-05,-0.000183,0.00029,0.00075,-0.11225,0.041625,0.0050812503,0.0041504996,-0.00045775,1741898225.7066
-0.03825,-0.015375,0.11575,0.000183,-9.15e-05,0.00024425,0.00225,-0.118125,0.0395,0.0075072497,0.00543225,-0.00013725001,1741898225.7215848
-0.03825,-0.01525,0.116,0.000763,-0.00016775,0.00010675,0.008125,-0.127875,0.034125,0.0080872495,0.00614925,4.575e-05,1741898225.735606
-0.037375,-0.01725,0.116375,0.00096125,-0.00027475,4.575e-05,0.007875,-0.12975,0.03325,0.008377,0.00688175,0.00027475,1741898225.750109
-0.0375,-0.0175,0.1165,0.00080875,-0.00051875,0.0001525,0.0015,-0.136,0.034,0.008499251,0.008499251,0.00131225,1741898225.765694
-0.038125,-0.016,0.117,0.00061025,-0.0005645,0.0002135,-0.00125,-0.137125,0.032625,0.00839225,0.009216251,0.0021515,1741898225.779427
-0.037875,-0.015375,0.117625,0.00013725001,-0.00048825,3.0500001e-05,-0.001625,-0.1345,0.029625,0.008850001,0.009597749,0.0032195,1741898225.793919
-0.03675,-0.0165,0.117625,-0.000122000005,-0.0003205,-0.0001525,0.0005,-0.12375,0.024125,0.009674,0.009017999,0.0031889998,1741898225.808534
-0.036125,-0.017125,0.115875,-0.0003815,-0.0001525,-0.00027475,0.0005,-0.119625,0.020375,0.012557999,0.0060882503,0.00267025,1741898225.826387
-0.03725,-0.0165,0.118125,-0.00057975,-0.0001525,-0.00036625,-0.002875,-0.116375,0.003625,0.01440425,0.0038299998,0.002121,1741898225.837696
-0.03825,-0.016375,0.119875,-0.00061025,-1.5250001e-05,-0.000412,-0.0045,-0.116,-0.006,0.01593025,-0.001068,9.15e-05,1741898225.8524318
-0.038375,-0.016625,0.1205,-0.00074775,0.0003815,-0.000473,-0.00525,-0.112875,-0.020375,0.014419501,-0.00328075,-0.001114,1741898225.8682299
-0.037,-0.0185,0.119,-0.00090025004,0.00051875,-0.0005035,-0.005375,-0.111,-0.02575,0.0077210004,-0.0079345,-0.00317375,1741898225.882012
-0.035875,-0.019375,0.1175,-0.0017242499,0.000763,-0.0002595,-0.006375,-0.110375,-0.02725,0.0034484998,-0.01048275,-0.0039215,1741898225.897016
-0.035625,-0.018625,0.12,-0.00216675,0.0008545,-6.1000002e-05,-0.00575,-0.107875,-0.0225,-0.00372325,-0.01564025,-0.00535575,1741898225.9118311
-0.03675,-0.018,0.121625,-0.00231925,0.0011445,0.00016775,-0.0035,-0.101875,-0.010375,-0.0050355,-0.01820375,-0.0062865,1741898225.926744
-0.039,-0.016,0.1235,-0.0021057501,0.001175,0.00016775,-0.00325,-0.102375,-0.005625,-0.003418,-0.02288825,-0.00833125,1741898225.944104
-0.039875,-0.01525,0.122625,-0.0019685,0.0009155,1.5250001e-05,-0.005375,-0.1095,0.01125,-0.00184625,-0.024841249,-0.009017999,1741898225.95651
-0.04125,-0.011625,0.124375,-0.00204475,0.00048825,-9.15e-05,-0.008875,-0.11475,0.030875,0.001114,-0.02680975,-0.009506251,1741898225.971371
-0.041875,-0.009375,0.128375,-0.00187675,-0.0001525,-0.00024425,-0.01825,-0.125875,0.084125,0.0032195,-0.02534475,-0.0088805,1741898225.986088
