L-AccX,L-AccY,L-AccZ,L-GyrX,L-GyrY,L-GyrZ,R-AccX,R-AccY,R-AccZ,R-GyrX,R-GyrY,R-GyrZ,timestamp
0.02375,-0.075,0.1475,-0.012680001,-0.0065774997,0.00091500004,0.0675,0.0575,0.0425,-0.0052024997,-0.0094,-0.0038,1742001518.3682828
-0.03,-0.21125,0.1225,0.01616,0.01329,0.070525,0.02375,0.065,0.1075,-0.00377,-0.044205002,0.046584997,1742001518.4733472
-0.01375,0.04,0.01,0.020095,-0.01419,0.055970002,-0.0925,0.14,0.1975,0.04457,0.012665,0.047165003,1742001518.587682
0.01125,0.02625,0.08,0.0287625,-0.0347125,-0.00975,-0.11875,0.14,0.065,-0.000885,0.0402225,-0.0146175,1742001518.71045
-0.03,-0.095,0.20625,0.011229999,-0.0216975,-0.05046,-0.01875,0.04,-0.00625,-0.0048225,0.01442,-0.0550525,1742001518.815545
-0.0525,-0.125,0.17375,-0.0065450002,0.0246725,-0.03479,0.015,-0.00125,0.03875,0.0013725,-0.0184475,-0.043029997,1742001518.929376
-0.0575,-0.14125,0.10375,-0.003205,0.044265,0.024445,0.03875,-0.095,0.17875,-0.031615,-0.038345,0.0223225,1742001519.047113
0.02,-0.02875,0.01875,0.005235,0.0242775,0.0472725,-0.0325,0.06625,0.195,-0.002105,-0.0099325,0.070755,1742001519.1686652
0.03125,0.02875,0.0125,0.012252499,-0.022459999,0.0275125,-0.07875,0.14,0.18125,0.009705,0.0245825,0.0272225,1742001519.273206
0.01,0.03625,0.09125,0.03424,-0.05548,-0.020705,-0.095,0.12625,0.09625,0.0004275,0.0370325,-0.0166625,1742001519.3882189
-0.1,-0.125,0.2325,0.0113225,-0.03328,-0.0614775,-0.01625,0.04625,0.01125,0.000107500004,0.01088,-0.057602502,1742001519.508016
-0.06875,-0.10875,0.19,-0.008255,0.0276325,-0.0137950005,0.01,-0.045,0.03125,-0.004135,-0.0381925,-0.048552502,1742001519.6147048
-0.065,-0.11875,0.08375,-0.0148175005,0.0472725,0.0074775,-0.0425,-0.0525,0.17375,-0.0243075,-0.057602502,0.009292499,1742001519.728033
-0.02,-0.025,0.015,-0.005355,0.03279,0.0422525,-0.11,0.05625,0.1875,-0.024245001,-0.01068,0.04628,1742001519.847984
0.0325,0.03375,-0.0,0.0043800003,-0.007385,0.032715,-0.0975,0.085,0.125,-0.007935,0.0219575,0.034560002,1742001519.9552798
0.0475,0.0125,0.07,0.0408775,-0.043029997,-0.000365,-0.0875,0.08875,0.1275,-0.0101925,0.04248,0.0173025,1742001520.069275
-0.035,-0.0325,0.2375,0.00673,-0.028137501,-0.037474997,-0.05625,0.09375,0.04,-0.0037850002,0.0363,-0.0411225,1742001520.189762
-0.06375,-0.0825,0.2,-0.0018775001,0.023162501,-0.038925,-0.0,-0.02375,0.04,0.0019075,0.0052024997,-0.0562125,1742001520.307186
-0.06625,-0.1225,0.09875,-0.0010375,0.043959998,-0.0120075,0.0175,-0.06,0.07875,-0.008285,-0.0348975,-0.02089,1742001520.411437
-0.01375,-0.07,0.03125,-0.00154,0.03421,0.0372925,-0.0475,-0.00625,0.18875,-0.023605,-0.033555,0.04361,1742001520.5284889
0.04,0.01375,0.00375,0.0045475,-0.00496,0.045959998,-0.08375,0.06375,0.2075,-0.0122825,0.0090625,0.0532075,1742001520.647972
0.02625,0.05625,0.07375,0.0358575,-0.0499425,0.0163425,-0.11375,0.13875,0.10625,-0.01419,0.03502,0.010545,1742001520.753258
-0.07,-0.00625,0.18625,0.029725,-0.0367275,-0.053404998,-0.06375,0.0925,0.0325,-0.0037525,0.031555,-0.050552502,1742001520.8677409
-0.12625,-0.15,0.235,0.0099949995,0.0240325,-0.046752498,-0.0025,-0.01125,0.0075,0.0009775,-0.012665,-0.054885,1742001520.9876008
-0.09625,-0.15125,0.09375,-0.0128175,0.05748,0.011735,0.00375,-0.09125,0.1375,-0.025360001,-0.056365002,0.0038599998,1742001521.095258
-0.0025,-0.035,0.0025,0.0019075,0.036575,0.05214,-0.10375,0.0175,0.22375,-0.00673,-0.014405,0.066695,1742001521.2106822
0.03375,0.0525,0.0025,0.0039525,-0.0143425,0.036895,-0.12625,0.14,0.1525,-0.03218,0.025727501,0.0413975,1742001521.326747
0.00625,0.04375,0.095,0.045592498,-0.0624075,-0.0075525,-0.07375,0.10375,0.06625,-0.0078724995,0.04477,-0.025727501,1742001521.4373271
-0.09375,-0.05125,0.24125,0.015702501,-0.0204625,-0.05362,-0.0275,0.0425,0.0275,0.004135,0.0192875,-0.0577075,1742001521.551143
-0.1125,-0.13125,0.21,0.009582501,0.03444,-0.0314025,0.02125,-0.05875,0.05125,-0.0062399996,-0.0254675,-0.0440375,1742001521.668129
-0.0475,-0.11,0.06,-0.016525,0.05487,0.0204625,-0.0275,-0.05625,0.13,-0.024125,-0.0576625,0.0310675,1742001521.786548
-0.00625,-0.02625,0.0075,0.0042875,0.030442499,0.03836,-0.145,0.05625,0.2325,-0.011779999,-0.0108175,0.058335,1742001521.893267
0.04625,0.015,0.02375,0.0090325,-0.01851,0.0348975,-0.10125,0.0825,0.13125,-0.015975,0.03508,0.020370001,1742001522.007804
0.005,0.03875,0.13125,0.033767503,-0.05948,-0.0011900001,-0.07625,0.1075,0.07625,-0.00856,0.037779998,-0.0202625,1742001522.1269581
-0.08875,-0.03875,0.27,0.01213,-0.0264125,-0.049255002,-0.01375,0.03125,0.015,-0.0043025,0.023772499,-0.0591125,1742001522.2352278
-0.105,-0.10875,0.1875,0.021790002,0.044555,-0.038605,0.035,-0.05875,0.04625,-0.0056775,-0.031495,-0.033752497,1742001522.349303
-0.07,-0.12,0.03875,-0.0093525,0.056915,0.0234375,-0.035,-0.03375,0.16,-0.026290001,-0.0476675,0.02559,1742001522.467627
0.01,-0.01125,-0.01125,0.013412501,0.0230875,0.0475475,-0.09625,0.0525,0.21,-0.0073249997,-0.0007325,0.056732498,1742001522.586802
0.05625,0.0525,0.02875,0.0107725,-0.03273,0.033355,-0.09125,0.06,0.12875,-0.0175775,0.0251475,0.0398875,1742001522.691106
-0.01875,0.03875,0.14875,0.031799998,-0.055770002,-0.0103,-0.09,0.11625,0.0575,0.0014500001,0.036485,-0.02411,1742001522.8072152
-0.10875,-0.03875,0.25625,0.003205,-0.00798,-0.05629,-0.02,0.0225,0.0275,-0.0025025,0.0101025,-0.056534998,1742001522.926396
-0.105,-0.13,0.16625,0.016785,0.038009997,-0.034057498,0.02125,-0.03625,0.075,-0.005295,-0.02684,-0.0352475,1742001523.033271
-0.03375,-0.0875,0.04875,-0.004945,0.0399625,0.0260475,-0.01125,-0.05,0.15625,-0.0222025,-0.03885,0.025742501,1742001523.147817
0.02125,-0.01125,0.0125,0.0095675,0.0075675,0.04564,-0.07,0.03,0.21125,-0.006515,-0.00059500005,0.056900002,1742001523.272243
0.0325,0.045,0.06125,0.0208275,-0.03662,0.0373375,-0.115,0.18375,0.1025,-0.021485,0.0237425,0.0313875,1742001523.374975
-0.035,0.025,0.1625,0.02411,-0.037979998,-0.024475,-0.075,0.08875,0.09375,-0.0024875,0.031555,-0.039155,1742001523.488111
-0.10625,-0.0475,0.25375,0.0015725,0.012955,-0.066635005,-0.0125,0.00375,0.0325,-0.0031275,0.015,-0.050385,1742001523.607507
-0.1075,-0.185,0.10625,-0.007735,0.05159,-0.0025175,0.04125,-0.06125,0.065,-0.0121925,-0.03427,-0.020049999,1742001523.716196
-0.01625,-0.0575,0.01875,0.0028375,0.0341175,0.043335,-0.03625,-0.0375,0.1925,-0.0018775001,-0.030547502,0.045654997,1742001523.830243
0.02625,0.025,0.0025,-0.0027325,-0.016479999,0.041275002,-0.08625,0.08875,0.14875,-0.0113825,0.014375,0.051955003,1742001523.9477801
0.00125,0.04125,0.0975,0.037965,-0.06363,0.0015875,-0.0775,0.1325,0.095,-0.00026,0.0345775,-0.0243375,1742001524.067383
-0.11625,-0.04,0.28125,0.000565,-0.0018150001,-0.048935,-0.03,0.00375,0.06375,-0.007095,0.0224,-0.042770002,1742001524.172183
-0.09375,-0.11375,0.1675,0.0292975,0.0382075,-0.043305002,0.03,0.0025,0.04625,-0.0122375,-0.0169825,-0.0308675,1742001524.2868302
-0.04125,-0.1225,0.04,-0.010575,0.049087502,0.0296325,0.01,-0.05875,0.1375,-0.0056,-0.0493,0.02449,1742001524.407572
0.02375,0.00375,-0.015,0.000565,0.01059,0.0478975,-0.0725,0.04875,0.21875,0.0039975,0.000305,0.05359,1742001524.513911
0.04125,0.05375,0.02625,0.0272525,-0.0466,0.02359,-0.085,0.145,0.10625,-0.01474,0.0305325,0.01529,1742001524.627033
-0.03625,-0.00375,0.1925,0.02507,-0.0419625,-0.0346525,-0.0575,0.07875,0.065,-0.0131075,0.025940001,-0.0441125,1742001524.741514
-0.13375,-0.12,0.25875,0.003875,0.01703,-0.0543375,0.0025,-0.0175,0.0325,-0.0055225003,-0.0024100002,-0.044875,1742001524.855179
-0.0825,-0.16875,0.10875,-0.0096424995,0.049392503,0.0065,0.025,-0.04625,0.08875,-0.017165001,-0.050155,0.0107275,1742001524.969106
-0.00625,-0.03875,-0.01,0.007995,0.0305175,0.04889,-0.0675,0.01875,0.2525,0.000825,-0.0193625,0.0511475,1742001525.087671
0.01,0.0625,-0.0125,0.00525,-0.0388025,0.0381775,-0.10625,0.12375,0.165,-0.0045625,0.0311575,0.019165002,1742001525.196993
-0.02625,0.03875,0.15125,0.0125575,-0.049544998,-0.0243825,-0.06125,0.09125,0.05875,0.0057075,0.034912497,-0.024092501,1742001525.311025
-0.09875,-0.14625,0.225,0.005645,0.0135200005,-0.03032,0.02,-0.0075,0.005,-0.0057075,0.01616,-0.0208125,1742001525.427506
-0.0525,-0.0875,0.135,0.0372,0.042099997,-0.0059499997,-0.015,0.02875,0.09125,-0.0230725,-0.0150150005,-0.0215,1742001525.546845
-0.05,-0.12625,0.01625,-0.0163125,0.0478975,0.0337225,0.0425,-0.025,0.165,-0.01271,-0.0372925,0.0184025,1742001525.653064
0.0225,0.0075,-0.01375,-0.001755,-0.0163875,0.0485675,-0.08875,0.06125,0.235,-0.0004425,0.004485,0.0555725,1742001525.7730381
0.00125,0.05625,0.1075,0.013335,-0.056197498,0.0169525,-0.05625,0.165,0.0575,0.0031575,0.0334775,-0.010055,1742001525.88765
-0.06375,-0.04,0.1925,0.029845,-0.012695,-0.03926,-0.02125,0.015,0.05625,-0.0016925,0.0118875,-0.040085,1742001525.9951181
-0.12375,-0.15,0.1675,0.029785,0.0239725,-0.048157502,0.0125,-0.015,0.06125,-0.0116875,-0.015717499,-0.028182501,1742001526.109189
-0.07125,-0.17375,0.075,-0.009795,0.044815,0.020569999,0.015,-0.03875,0.13375,-0.0079499995,-0.0416875,0.015625,1742001526.230914
0.005,-0.04375,0.00875,-0.009734999,0.0261225,0.0481875,-0.0775,0.02875,0.21375,-0.0086525,-0.0116425,0.04654,1742001526.346935
0.0225,0.05,0.01,-0.0013275,-0.02153,0.036849998,-0.1075,0.10375,0.11125,-0.0152275,0.02069,0.0258625,1742001526.450887
-0.01625,0.055,0.105,0.0322725,-0.058915,-0.0093525,-0.07375,0.10375,0.07,0.007125,0.032959998,-0.028625,1742001526.567839
-0.11,-0.02125,0.27625,0.0160675,-0.012725,-0.057755,-0.00375,0.02125,0.03,-0.0021675,0.0077525,-0.0493625,1742001526.689017
-0.09625,-0.15,0.1525,0.024155,0.0417625,-0.0146475,0.02125,-0.02625,0.09125,-0.0046375,-0.0285025,-0.02208,1742001526.793055
-0.0375,-0.08875,0.03625,-0.0058125,0.045685,0.0363,-0.045,-0.0125,0.15375,-0.0116875,-0.039869998,0.0355675,1742001526.908133
0.01375,0.0125,-0.015,-0.00142,0.001115,0.0458675,-0.12375,0.0825,0.215,-0.0039525,0.0115825,0.048035,1742001527.0277388
0.03,0.065,0.04375,0.023225,-0.05037,0.013122501,-0.09375,0.11125,0.11375,-0.0089724995,0.0388025,0.0078575,1742001527.134872
-0.065,-0.005,0.21375,0.019072501,-0.0372625,-0.0449525,-0.04875,0.0725,0.0425,-0.0104674995,0.031235,-0.04898,1742001527.252152
-0.125,-0.095,0.23625,0.01471,0.024705,-0.04454,-0.00625,-0.01625,0.03125,-0.006805,-0.0101325,-0.054855,1742001527.367872
-0.09125,-0.13625,0.105,-0.0033425,0.055175,0.0042125,0.00375,-0.065,0.1275,-0.0234675,-0.0487975,0.0075075002,1742001527.487078
-0.01375,-0.05375,0.0025,0.00354,0.0387425,0.0460975,-0.10625,0.05375,0.21125,-0.0072175004,-0.025375,0.0629725,1742001527.5909069
0.03125,0.03125,-0.00375,-0.0043800003,-0.0057975003,0.0393375,-0.12875,0.105,0.18125,-0.015625,0.025665,0.0364675,1742001527.710399
0.02625,0.0525,0.07875,0.037705,-0.059005,0.0042575,-0.08625,0.1025,0.10625,-0.004135,0.05008,-0.00673,1742001527.826952
-0.08875,-0.04125,0.22,0.0195475,-0.031905,-0.057755,-0.04,0.055,0.00625,-0.0178675,0.03215,-0.051377498,1742001527.9331121
-0.12625,-0.1325,0.20625,0.0169225,0.0329125,-0.03807,0.0225,-0.03,0.0025,-0.0069575,-0.030182501,-0.044142503,1742001528.047179
-0.095,-0.13875,0.075,-0.005645,0.06021,0.0048074997,-0.02625,-0.08,0.14625,-0.020295,-0.0783225,0.017715,1742001528.168391
-0.01625,-0.055,-0.01,0.0030525,0.03279,0.0497275,-0.135,0.01875,0.24,-0.0005025,-0.003875,0.058762502,1742001528.2749078
0.04125,0.04125,0.0175,0.00059500005,-0.0166625,0.048217498,-0.105,0.06,0.1275,-0.02394,0.0331875,0.043580003,1742001528.3887842
0.00125,0.05625,0.0825,0.0281675,-0.057982497,0.0001225,-0.10625,0.0725,0.06125,-0.026535,0.0411825,-0.0025025,1742001528.507512
-0.07625,-0.03875,0.19,-0.00592,-0.041702498,-0.045625,-0.0425,0.0475,0.02,-0.0125275,0.0139775,-0.067565,1742001528.627445
-0.115,-0.07375,0.24125,0.01181,0.028397499,-0.044982497,0.0275,-0.04625,0.05125,0.0019375,-0.03836,-0.048462503,1742001528.731738
-0.085,-0.09125,0.11,0.020920001,0.055465,-0.0163725,-0.02625,-0.07875,0.17125,-0.02153,-0.0600125,0.0181875,1742001528.848646
-0.0175,-0.06875,0.01,0.021790002,0.03421,0.044982497,-0.10125,0.0075,0.17125,-0.0016025,-0.0021199998,0.05957,1742001528.967658
0.03,0.0175,0.01375,0.00534,-0.0192875,0.055665,-0.11625,0.05375,0.12875,-0.022979999,0.029785,0.04364,1742001529.07283
0.01625,0.0675,0.08,0.0405575,-0.06628501,0.015899999,-0.11625,0.11125,0.08,-0.03151,0.040725,-0.0139,1742001529.1902668
-0.08625,-0.02875,0.17375,0.011505,-0.025315,-0.05806,-0.0275,0.04625,0.0275,-0.0124200005,0.013335,-0.070282504,1742001529.308585
-0.1275,-0.0625,0.2475,0.0143575,0.020584999,-0.059462503,0.03625,-0.05375,0.04625,-0.002135,-0.042435,-0.0454875,1742001529.414985
-0.09125,-0.11375,0.09125,0.0319225,0.0509025,0.0081325,-0.06125,-0.04875,0.17375,-0.0146625005,-0.0579075,0.0275275,1742001529.529151
-0.04125,-0.09125,-0.01375,0.0129700005,0.0260325,0.05725,-0.1225,0.0425,0.22,0.0075375,0.00908,0.049255002,1742001529.648607
0.01625,0.0475,-0.0075,0.0025775002,-0.038255002,0.038255002,-0.10625,0.0575,0.12375,-0.0223225,0.041840002,0.033905,1742001529.756823
-0.0525,0.045,0.125,0.03473,-0.0705875,-0.0292975,-0.06375,0.08625,0.0475,-0.0180675,0.0449375,-0.0385275,1742001529.870837
-0.12375,-0.055,0.25375,0.019012501,0.01065,-0.060775,0.00875,0.00125,0.01375,-0.00566,0.0027625,-0.059235,1742001529.9889228
-0.1,-0.11375,0.14125,0.024139998,0.0523975,-0.02626,0.0075,-0.04,0.08125,-0.0105275,-0.0509175,-0.025757499,1742001530.1090932
-0.08375,-0.115,0.01625,0.0014500001,0.0516675,0.0346675,-0.065,-0.0225,0.18375,-0.0158075,-0.043105,0.0411825,1742001530.2129002
0.0225,-0.01,-0.02875,-0.0038599998,0.0010075001,0.061279997,-0.1125,0.02125,0.21875,-0.000245,0.0077199996,0.0664825,1742001530.328744
0.01375,0.06125,0.0425,0.0128175,-0.056,0.041045,-0.15,0.10625,0.145,-0.022965001,0.0391225,0.0346075,1742001530.4490921
-0.07375,0.0375,0.16375,0.027817499,-0.05655,-0.026014999,-0.07,0.095,0.06125,-0.04013,0.02806,-0.0457775,1742001530.554859
-0.1,-0.08625,0.235,0.018905,0.0184175,-0.063292496,0.01125,0.00625,0.01625,-0.0036,-0.006225,-0.061979998,1742001530.6702359
