L-AccX,L-AccY,L-AccZ,L-GyrX,L-GyrY,L-GyrZ,R-AccX,R-AccY,R-AccZ,R-GyrX,R-GyrY,R-GyrZ,timestamp
-0.01,-0.06625,0.125,0.0384525,0.011765,-0.006225,0.03375,0.105,0.065,0.00142,0.000625,-0.00113,1742001639.604602
0.04125,-0.11125,0.02375,0.0449225,0.0007775,0.022995,0.03875,0.11,0.06375,-0.0022274998,0.0058449996,-0.0034949998,1742001639.723707
0.05625,-0.09125,0.005,0.0233775,-0.028870001,0.019272499,0.04875,0.12,0.02125,-0.0065450002,-0.0013875001,-0.01004,1742001639.831554
0.11875,-0.0575,0.05125,-0.010284999,0.0044400003,-0.0010675,0.03375,0.1275,-0.01625,-0.0202175,-0.0366375,-0.0189825,1742001639.945606
0.01375,-0.10625,0.09125,-0.0169975,0.0394125,-0.0016625,0.1,0.09,0.11,0.014785,0.00125,-0.0119775,1742001640.060288
0.07375,-0.10875,-0.02625,-0.008712499,0.040435,-0.0043325,0.0275,0.09375,0.0825,0.0028225,0.0337075,0.0039675,1742001640.1736782
0.1,-0.09375,-0.06375,-0.0031275,0.0033725,0.007415,0.06,0.115,-0.02,0.0045025,0.0246425,-0.00348,1742001640.28761
0.05875,-0.09125,-0.02,0.0323475,-0.0655375,0.0157925,0.085,0.09625,-0.0525,-0.0065300004,-0.0061950004,-0.01097,1742001640.401658
0.13875,0.01125,0.115,-0.0245525,0.022827499,-0.021270001,0.0475,0.11125,-0.03125,-0.02765,-0.0632475,-0.013122501,1742001640.5213811
0.05125,-0.11,0.0575,-0.0184475,0.03978,-0.0117025,0.15,0.125,0.08,0.02243,0.0136875,0.0045475,1742001640.62959
0.0825,-0.095,-0.04,-0.0063475,0.0293725,-0.0013725,0.0375,0.10875,0.04625,0.0060275,0.042662498,0.0089724995,1742001640.746635
0.09625,-0.0975,-0.0725,0.020569999,-0.0295875,0.009140001,0.07375,0.10875,-0.055,0.004195,0.0278325,-1.5e-05,1742001640.86599
0.02125,-0.11,0.03375,0.041840002,-0.0788275,0.0110325,0.09,0.08875,-0.09125,-0.019745002,-0.0284875,-0.0041199997,1742001640.9717498
0.05625,-0.06125,0.1325,-0.010255001,0.0148625,-0.014205,0.0075,0.13375,-0.0025,-0.0393375,-0.0879825,-0.0045775,1742001641.0856
0.07625,-0.1125,0.01,-0.028350001,0.04988,-0.014205,0.02,0.04625,0.14125,0.04007,0.0252075,0.01291,1742001641.205176
0.09125,-0.09875,-0.055,-0.0062399996,0.017059999,-0.000945,0.055,0.11875,-0.00875,0.017059999,0.050552502,0.010545,1742001641.31372
0.0775,-0.09875,-0.04625,0.0213775,-0.0386975,0.0081625,0.08,0.10625,-0.06875,0.001235,0.012069999,-0.0030675002,1742001641.42863
0.02375,-0.1125,0.02625,0.03688,-0.07431,0.0119624995,0.07,0.1,-0.07,-0.020629998,-0.0384375,-0.0004125,1742001641.5418172
0.03625,-0.0575,0.12875,-0.01509,0.01822,-0.019485,-0.015,0.11,0.06625,-0.05632,-0.065095,-0.0013275,1742001641.655755
0.06875,-0.11,0.02375,-0.030639999,0.050552502,-0.012405,0.01375,0.09875,0.105,0.03514,0.0214075,0.00473,1742001641.769598
0.0875,-0.1,-0.0475,-0.0113075,0.020965,-0.00148,0.05125,0.1075,0.00375,0.0118725,0.0463875,0.004165,1742001641.884873
0.085,-0.095,-0.05375,0.0206,-0.03427,0.008485,0.0775,0.1025,-0.0625,0.006225,0.01918,-0.005965,1742001642.002638
0.035,-0.12,0.01375,0.040939998,-0.07141,0.011155,0.08,0.08125,-0.06875,-0.0125575,-0.028930001,-0.0013275,1742001642.1116118
0.0725,-0.095,0.11,-0.01326,0.0098425,-0.011565,0.02625,0.10375,-0.0175,-0.0372925,-0.084275,0.0045475,1742001642.227455
0.0625,-0.10625,0.03375,-0.0301975,0.0516825,-0.0143125,0.0525,0.08125,0.075,0.039185002,0.015365,0.004105,1742001642.343028
0.085,-0.10625,-0.0625,-0.013182499,0.027817499,-0.00473,0.02875,0.125,0.0225,0.0210275,0.0566875,0.0054925,1742001642.4536068
0.07875,-0.105,-0.055,0.016617501,-0.032837503,0.0066374997,0.065,0.105,-0.085,0.000885,0.02649,-0.0042875,1742001642.567622
0.035,-0.11625,-0.00625,0.035720002,-0.0733025,0.0130475,0.07625,0.08625,-0.06625,-0.0062100003,-0.028655,-0.00177,1742001642.6861
0.0875,-0.09625,0.0525,-0.01892,0.0095375,-0.006225,0.0175,0.12625,-0.03,-0.02742,-0.0782325,0.000305,1742001642.804768
0.055,-0.12375,0.04625,-0.03041,0.050842497,-0.009475,0.095,0.15875,0.05875,0.02951,0.0121925,-0.002135,1742001642.9097338
0.0725,-0.1125,-0.04125,-0.01561,0.031600002,-0.0001825,0.0375,0.1175,0.025,0.01155,0.04564,0.002915,1742001643.024239
0.08625,-0.09375,-0.0325,0.008285,-0.0160675,0.0101325,0.06375,0.10875,-0.05,0.0062725,0.026977502,-0.00502,1742001643.144842
0.0625,-0.11375,-0.01625,0.031799998,-0.055724997,0.01236,0.08375,0.0875,-0.0475,-0.0044549997,-0.0128325,-0.005065,1742001643.251501
0.07625,0.01375,0.055,-0.018662501,0.00023,-0.0047750003,0.04625,0.12,-0.04625,-0.02272,-0.0587775,0.0020899998,1742001643.365521
0.0375,-0.09375,0.095,-0.00377,0.033965,-0.0060425,0.07375,0.15625,0.035,0.0358725,-0.0243525,-0.0012675,1742001643.48415
0.06625,-0.1025,0.0075,-0.025742501,0.0408025,-0.0049125,0.02125,0.1275,0.0925,0.0003975,0.0346525,-0.00235,1742001643.593683
0.09125,-0.095,-0.035,-0.00264,0.0030375,0.0078425,0.05875,0.11125,-0.02,0.0081625,0.038575,-0.0081325,1742001643.707917
0.08375,-0.08875,-0.03,0.0305025,-0.04251,0.0110925,0.08875,0.08375,-0.0525,0.00531,0.0036475,-0.00789,1742001643.823925
-0.14625,-0.2325,0.33375,0.027817499,-0.0004725,0.03041,0.07625,0.085,-0.0725,-0.026,-0.0390025,0.0025775002,1742001643.944073
0.0675,-0.08125,0.065,0.0048375,0.01294,-0.00879,-0.14,0.26625,0.31875,-0.08525,0.02385,-0.00708,1742001644.049464
0.06125,-0.1,0.06,-0.037490003,0.040085,-0.008042499,0.0575,0.10375,0.03875,0.0063775,0.0030525,0.0036,1742001644.1638489
0.08625,-0.09625,-0.01875,-0.018845,0.02832,-0.0058449996,0.06,0.10375,0.0425,0.0223225,0.0408925,0.0009925,1742001644.2821481
0.10125,-0.08625,-0.03875,0.0087275,-0.01419,0.0054475004,0.07375,0.10375,-0.0325,0.009430001,0.029145,-0.00328,1742001644.391497
0.0625,-0.09375,-0.02375,0.050720003,-0.0744775,0.012345,0.09,0.0825,-0.05875,-0.0063925,-0.0110174995,-0.0036475,1742001644.505485
0.06625,-0.1,0.08,-0.0076,-0.0019075,-0.0024725,0.05125,0.0925,-0.065,-0.028625,-0.07315,0.0039224997,1742001644.621943
0.0675,-0.085,0.065,-0.0101775,0.01625,-0.00537,0.09875,0.11875,0.02625,0.0160375,0.0020599999,-0.0041199997,1742001644.7333472
0.05875,-0.085,0.055,-0.0363,0.037675,-0.009430001,0.05625,0.105,0.05375,0.02533,0.011795,0.0028675,1742001644.847552
0.09375,-0.09,-0.01625,-0.0131675,0.019057501,-0.0074475002,0.05625,0.11,0.03,0.0143125,0.0413675,0.0018625,1742001644.963097
0.09375,-0.10625,-0.03125,0.016082501,-0.02272,0.00647,0.08375,0.095,-0.04,0.0098425,0.0206,-0.0037525,1742001645.082738
0.03875,-0.075,0.00875,0.039869998,-0.0800175,0.0124675,0.08875,0.07625,-0.0525,-0.0104225,-0.01538,0.000245,1742001645.1892989
0.07,-0.09,0.08125,-0.0058449996,0.0042275,-0.00801,0.03375,0.10625,-0.05625,-0.0378125,-0.0850375,0.0061950004,1742001645.303374
0.045,-0.09625,0.1,-0.0214225,0.030547502,-0.000245,0.07375,0.1225,0.03125,0.0111225005,-0.005905,0.0056775,1742001645.42301
0.0775,-0.085,0.00625,-0.019455,0.0338125,-0.0077675,0.045,0.12625,0.09625,0.018737499,0.0290075,-0.005035,1742001645.531339
0.10125,-0.08125,-0.02,-0.002335,0.0016025,0.00151,0.06125,0.09375,-0.00875,0.0080725,0.034455,-0.0025325,1742001645.645484
0.0875,-0.095,-0.03875,0.0364675,-0.04753,0.0128175,0.09375,0.07875,-0.05,0.0029000002,0.0066225,-0.002075,1742001645.762593
0.13625,-0.04875,-0.00375,0.0052175,-0.0045625,-0.015319999,0.075,0.1,-0.095,-0.0314475,-0.0476525,0.0066075,1742001645.873586
0.06375,-0.105,0.0875,-0.009002499,0.02095,-0.001755,0.09875,-0.0775,0.0075,0.0367275,-0.02002,0.0122225,1742001645.987365
0.06625,-0.0825,0.0425,-0.031967502,0.03627,-0.006515,0.0475,0.12125,0.0625,0.019105,0.0142375,0.004165,1742001646.103006
0.09375,-0.0825,-0.02,-0.01065,0.0176075,-0.005065,0.065,0.0975,0.0275,0.0281075,0.041732498,-0.0007625,1742001646.215565
0.0925,-0.1025,-0.04,0.028365,-0.036422502,0.008515,0.0825,0.0875,-0.04375,0.0038299998,0.02182,0.000275,1742001646.329464
-0.025,-0.15625,0.13625,0.0481425,-0.048995,0.008255,0.08625,0.08625,-0.09125,-0.0208125,-0.02832,0.0058899997,1742001646.4433658
0.05125,-0.105,0.07375,-0.0012675,0.01323,-0.0131075,-0.07125,0.17,0.08875,-0.050095,-0.087035,0.005065,1742001646.563565
0.065,-0.09,0.055,-0.0335075,0.038117502,-0.005935,0.05125,0.1175,0.0725,0.0187825,0.0012825,0.00351,1742001646.671345
0.09125,-0.085,-0.02625,-0.0137475,0.021575,-0.0030825,0.0525,0.0975,0.0475,0.0193475,0.0490275,0.0013575,1742001646.7854369
0.0975,-0.09375,-0.03375,0.017745001,-0.026014999,0.0063475,0.0675,0.10375,-0.05125,0.0030825,0.032287497,-0.0047,1742001646.903695
0.0475,-0.1,0.02875,0.039307497,-0.066269994,0.0124675,0.0875,0.075,-0.06375,-0.009795,-0.023515,0.000825,1742001647.01334
0.07,-0.10625,0.09625,-0.0093375,0.003555,-0.0075525,0.04,0.1025,-0.025,-0.03128,-0.072525,0.00769,1742001647.127358
0.05125,-0.0975,0.09375,-0.030945,0.0355375,-0.00377,0.04875,0.0825,0.035,0.027985001,0.0060425,0.0027325,1742001647.247375
0.07125,-0.0925,0.005,-0.019790001,0.0356,-0.01233,0.02875,0.12,0.10375,0.0258025,0.0375975,-0.0007775,1742001647.3553898
0.09875,-0.09125,-0.03,4.5e-05,0.0012675,-0.002395,0.05125,0.115,-0.01625,0.00769,0.040025003,-0.0006875,1742001647.4694521
0.08,-0.1125,-0.04,0.03955,-0.05368,0.0154125,0.09375,0.0875,-0.06375,0.0022274998,0.008895,-0.0074299998,1742001647.58374
0.01375,-0.0475,0.08625,0.001495,-0.00566,0.00023,0.07125,0.08625,-0.08625,-0.0293425,-0.050842497,0.004165,1742001647.6972952
0.05125,-0.1,0.09875,-0.0083,0.027465,-0.00299,-0.06125,0.07625,0.07875,-0.081695,0.0155475,-0.032165002,1742001647.811573
0.065,-0.1,0.03,-0.02507,0.0384975,-0.00969,0.03875,0.10625,0.08,0.0128475,0.0155475,0.00525,1742001647.925279
0.095,-0.0925,-0.0275,-0.0113525,0.016465,-0.0023800002,0.05375,0.105,0.03375,0.0174875,0.0478675,0.0059975,1742001648.0432808
0.09125,-0.10875,-0.045,0.02272,-0.0336,0.009902501,0.07875,0.10125,-0.0575,0.009475,0.0285025,-0.0013575,1742001648.153457
0.03375,-0.0875,0.0075,0.04155,-0.0762325,0.0144650005,0.0825,0.08125,-0.0875,-0.019087499,-0.031905,0.0012975,1742001648.2692301
0.0725,-0.09875,0.07875,-0.0056775,0.0107425,-0.01181,0.01125,0.13375,-0.0275,-0.039825,-0.09195,0.00151,1742001648.3842418
0.065,-0.0875,0.05875,-0.0434725,0.048552502,-0.0121,0.05125,0.10375,0.0625,0.0550075,0.0098425,0.008895,1742001648.49524
0.08625,-0.095,-0.0325,-0.0175175,0.0293425,-0.008195,0.04125,0.10125,0.06125,0.025024999,0.056580003,0.0062725,1742001648.609396
0.1025,-0.09375,-0.045,0.0124675,-0.016097499,0.0032650002,0.0575,0.1075,-0.04375,0.012207501,0.036225,-0.002595,1742001648.7274098
0.05875,-0.1075,-0.02,0.0440375,-0.0735025,0.013015,0.085,0.08125,-0.075,-0.0083325,-0.00908,-0.0019525,1742001648.84376
0.08625,-0.095,0.08625,-0.016602501,0.007035,-0.0169975,0.04375,0.10875,-0.07375,-0.0384075,-0.077377506,0.00702,1742001648.951273
0.04875,-0.105,0.0825,-0.03395,0.0476225,-0.007645,0.1775,0.10375,0.06125,0.063615,-0.023055,0.0079499995,1742001649.065235
0.07,-0.10375,-0.01125,-0.02411,0.0392925,-0.0084224995,0.015,0.12375,0.1125,0.022002501,0.041885,-0.00091500004,1742001649.186177
0.1,-0.08875,-0.05375,0.002335,-0.0007025,0.005295,0.045,0.12,-0.01875,0.007965,0.0488125,0.001755,1742001649.293319
0.0625,-0.1125,-0.0375,0.0473475,-0.069915004,0.0125575,0.0875,0.08625,-0.08875,0.004485,0.0113375,-0.008255,1742001649.4072452
0.18125,-0.0475,0.045,0.001755,0.000655,-0.00917,0.06125,0.0925,-0.085,-0.03273,-0.0626375,0.00679,1742001649.524021
0.0425,-0.10625,0.095,-0.01474,0.0369725,-0.003905,-0.065,0.12375,0.18125,-0.041595,0.0160525,-0.0325475,1742001649.6444821
0.06125,-0.10375,0.02875,-0.0254975,0.0434725,-0.0093225,0.01875,0.1275,0.1025,0.005325,0.02089,0.00232,1742001649.749388
