L-AccX,L-AccY,L-AccZ,L-GyrX,L-GyrY,L-GyrZ,R-AccX,R-AccY,R-AccZ,R-GyrX,R-GyrY,R-GyrZ,timestamp
0.00275,0.03925,0.118125,0.00013725001,0.00062550005,-0.00062550005,0.00225,-0.047375,0.116625,-0.001648,0.000229,-0.000183,1741898286.027782
0.002875,0.041,0.11975,0.00027475,0.00057975,-0.00062550005,0.004125,-0.05175,0.11575,-0.0018005001,0.000122000005,0.000122000005,1741898286.042094
0.002375,0.041375,0.1205,0.00061025,0.00064075,-0.0007325,0.005125,-0.0525,0.11525,-0.00239575,-0.00016775,0.00093075,1741898286.055677
0.000125,0.0405,0.11975,0.00065625,0.00068675,-0.00080875,0.006875,-0.051,0.1135,-0.00267025,-0.00030525,0.00119025,1741898286.070262
-0.000375,0.04075,0.1185,0.00064075,0.00070200005,-0.0009155,0.006375,-0.052125,0.112875,-0.0028074998,-0.00051875,0.001419,1741898286.0864131
-0.000125,0.040875,0.11775,0.00067150005,0.0005645,-0.0012207499,0.005,-0.052125,0.114,-0.00328075,-0.0009765,0.0020599999,1741898286.0995998
0.002125,0.039125,0.118375,0.00068675,0.000473,-0.0012970001,0.005875,-0.050875,0.11225,-0.00358575,-0.001007,0.0021819999,1741898286.114155
0.002625,0.038625,0.119375,0.00064075,0.00039675,-0.001114,0.00675,-0.0515,0.11025,-0.0037537501,-0.0014495,0.0025025,1741898286.128733
0.001375,0.038875,0.12125,0.00064075,0.00045775,-0.00096125,0.0095,-0.05225,0.10875,-0.0034790002,-0.0019225,0.0029449998,1741898286.145493
0.00075,0.03925,0.121375,0.000534,0.00071725,-0.000885,0.01225,-0.052625,0.110875,-0.0022735,-0.0028535,0.00381475,1741898286.158062
0.001125,0.039625,0.11975,0.000412,0.00083925005,-0.00090025004,0.016125,-0.06075,0.118,-0.0016175,-0.0031889998,0.00440975,1741898286.17278
0.002125,0.03925,0.118375,0.00033575002,0.00086975005,-0.000946,0.017875,-0.06825,0.12025,-0.00054925,-0.0037537501,0.0066374997,1741898286.187443
0.003375,0.038375,0.117,0.00027475,0.00064075,-0.00099175,0.026125,-0.086625,0.126125,0.00010675,-0.004074,0.008148249,1741898286.205747
0.004625,0.038375,0.11625,0.00035100002,0.00045775,-0.0009765,0.03125,-0.0915,0.13,0.00228875,-0.004486,0.01171875,1741898286.216655
0.004125,0.039875,0.11725,0.00070200005,0.00019825,-0.00102225,0.030875,-0.084,0.135375,0.00402825,-0.0045012496,0.01368725,1741898286.2313259
0.001375,0.041,0.1195,0.00099175,0.00019825,-0.001114,0.0245,-0.07925,0.140375,0.008636501,-0.00343325,0.01826475,1741898286.246328
0.000125,0.040375,0.120375,0.0012817499,0.0003815,-0.0012665,0.01375,-0.0845,0.151875,0.0104065,-0.0020599999,0.020523,1741898286.26036
-0.0005,0.040125,0.121,0.0012207499,0.000534,-0.00137325,0.01025,-0.09075,0.155625,0.009597749,0.003006,0.02398675,1741898286.274776
0.0005,0.039625,0.11975,0.001068,0.00062550005,-0.001526,0.006125,-0.085875,0.154125,0.0072937496,0.0070037497,0.0247955,1741898286.289245
0.00175,0.03875,0.118,0.00067150005,0.0005035,-0.00177,0.00125,-0.076625,0.146875,0.00460825,0.011383001,0.0250245,1741898286.303678
0.003625,0.038875,0.11675,0.000534,0.0003205,-0.0017852499,-0.005125,-0.068875,0.137375,0.000946,0.017501751,0.02563475,1741898286.318295
0.003625,0.03925,0.1175,0.00070200005,7.625e-05,-0.00184625,-0.015625,-0.061125,0.128125,-0.0001525,0.01899725,0.0262145,1741898286.333117
0.003,0.037875,0.118125,0.00086975005,6.1000002e-05,-0.00190725,-0.020625,-0.054375,0.129125,-0.0020599999,0.02200325,0.0267945,1741898286.350084
0.002875,0.037,0.118375,0.00112925,0.0,-0.001831,-0.020125,-0.0395,0.1215,-0.002655,0.023468,0.026245002,1741898286.36506
0.003375,0.03575,0.118375,0.00102225,0.0,-0.00169375,-0.017,-0.03125,0.1135,-0.002472,0.02371225,0.02386475,1741898286.377151
0.003875,0.03525,0.117875,0.00083925005,-1.5250001e-05,-0.0015565,-0.017125,-0.01325,0.098375,-0.0018005001,0.022766002,0.022354,1741898286.39182
0.004125,0.034875,0.117625,0.0005645,-0.00027475,-0.00125125,-0.015,-0.00825,0.090875,-0.00096125,0.020477248,0.019195499,1741898286.406537
0.00425,0.0355,0.1185,0.0005645,-0.00039675,-0.00109875,-0.009125,0.00225,0.0795,-0.0013427499,0.019134501,0.017685,1741898286.421043
