L-AccX,L-AccY,L-AccZ,L-GyrX,L-GyrY,L-GyrZ,R-AccX,R-AccY,R-AccZ,R-GyrX,R-GyrY,R-GyrZ,timestamp
-0.0075,-0.04875,0.15375,-0.0086525,-0.003175,-0.0043025,0.01,0.01125,0.175,0.0446925,0.0187675,-0.04129,1742001496.1664069
-0.0475,-0.1075,0.12,-0.012085,-0.0027325,0.0340875,0.02625,-0.0475,0.0625,0.0032950002,0.017424999,0.0219275,1742001496.279572
0.0175,-0.0,0.13,0.026,-0.016280001,0.05429,-0.06375,0.10875,0.02625,-0.00116,-0.02124,0.046815,1742001496.392498
0.0125,0.025,0.2025,-0.0111225005,0.0178075,0.029495,-0.045,0.08,0.12125,-0.0086375,-0.0392925,0.0023800002,1742001496.5087419
0.0425,0.01125,0.07625,-0.020920001,0.03659,-0.010575,-0.0625,0.05875,0.18625,0.0045025,-0.010575,-0.01883,1742001496.634192
0.035,0.02125,0.02375,-0.0063024997,0.0045625,-0.036314998,-0.02625,-0.03125,0.17875,0.021285,0.013534999,-0.0310825,1742001496.734553
0.0125,-0.09125,0.06625,-0.00685,-0.032332502,-0.016525,0.00125,-0.0125,0.14625,0.0101175,0.0357975,-0.020385,1742001496.8485289
-0.0075,-0.095,0.1475,0.0068975003,-0.0514975,0.02333,0.05125,-0.04,0.025,-0.0269625,0.0204925,0.033905,1742001496.962293
-0.03875,0.02,0.26125,-0.0016625,0.017625,0.04251,-0.0375,0.05625,0.05125,0.00045750002,-0.0393825,0.04219,1742001497.075291
0.01375,-0.0025,0.10625,-0.008835,0.04387,0.006255,-0.0425,0.0975,0.14125,0.0208425,-0.0366675,0.0010675,1742001497.1919181
0.05625,0.01625,0.03375,-0.0080575,0.02118,-0.024245001,-0.08375,0.05875,0.21375,0.019195,-0.011765,-0.035645,1742001497.302475
0.01625,-0.025,0.02,-0.0083475,-0.02243,-0.04486,-0.0475,-0.0425,0.15625,0.0175025,0.0402525,-0.03415,1742001497.416429
-0.05125,-0.13375,0.08125,-0.00441,-0.0579675,-0.011155,0.02625,-0.10625,0.06625,0.0086975,0.0446175,0.0113225,1742001497.5301828
-0.0675,-0.09,0.21625,-0.01416,-0.02742,0.044740003,0.045,-0.025,0.0175,-0.0098875,0.001435,0.0442975,1742001497.645887
-0.04875,0.01125,0.1875,-0.009765,0.0379325,0.044372503,-0.04125,0.04,0.06,-0.0055225003,-0.045685,0.043029997,1742001497.765225
0.03125,0.0425,0.06875,-0.029435,0.05066,-0.000535,-0.085,0.09875,0.1625,0.020477502,-0.046997502,-0.00534,1742001497.871388
