L-AccX,L-AccY,L-AccZ,L-GyrX,L-GyrY,L-GyrZ,R-AccX,R-AccY,R-AccZ,R-GyrX,R-GyrY,R-GyrZ,timestamp
-0.01125,-0.04875,0.115,-0.0037375,-0.002045,-0.0033725,0.02875,0.07125,0.075,-0.003905,-0.003585,0.00091500004,1742001701.148164
-0.12875,-0.04875,0.1025,0.0252675,0.0078724995,0.0272975,-0.04625,0.01875,0.04125,-0.026870001,-0.03125,0.0239575,1742001701.261722
0.0125,0.0875,0.19625,-0.003205,0.038315,-0.0258325,-0.12375,0.07625,0.2425,-0.01204,0.0139,0.063325,1742001701.3756511
0.04625,-0.28875,0.1775,-0.0352325,0.08133,-0.021225,-0.04875,0.37,0.10375,-0.011229999,0.074112505,0.018035,1742001701.489801
0.01875,-0.08375,-0.0375,0.026215,0.0553125,0.049072497,-0.06375,0.13875,-0.05125,-0.0122825,0.062759995,-0.0903925,1742001701.60371
-0.0025,-0.00375,-0.02625,0.057555,-0.04364,0.04271,-0.02,-0.0075,-0.04875,-0.0364525,0.0013425,-0.064942494,1742001701.7179992
-0.14875,-0.00125,0.12625,0.068207495,-0.0945575,-0.02481,-0.0725,-0.06125,0.02875,-0.0538475,-0.079375,0.019805001,1742001701.833162
-0.08375,-0.14375,0.33125,0.0094,0.0402225,-0.1064,-0.205,0.1175,0.3175,-0.0304575,-0.0066225,0.1097875,1742001701.9457998
0.0425,-0.34375,0.12125,-0.0225975,0.10054,-0.0077975,-0.045,0.435,0.26375,0.0076149995,0.0623175,0.030015,1742001702.059793
-0.04,-0.09,-0.0525,0.0346975,0.04837,0.070695,-0.1225,0.15875,-0.055,-0.0050500003,0.08754,-0.08162,1742001702.17428
-0.02125,0.015,-0.03625,0.049682498,-0.043885,0.037735,-0.0275,-0.04625,-0.08,-0.0534975,0.0054025003,-0.048217498,1742001702.28782
-0.14875,0.02,0.1375,0.0508125,-0.085205,-0.027787501,-0.10625,-0.03625,0.04875,-0.03514,-0.0671225,0.02388,1742001702.401793
-0.05375,-0.12625,0.3275,0.0220325,0.041977502,-0.10791001,-0.1625,0.04,0.3375,-0.02658,-0.0189975,0.10321,1742001702.517212
0.02125,-0.35125,0.1175,-0.0224925,0.102555,-0.0113525,-0.05375,0.49125,0.27875,0.01451,0.0693975,0.0396275,1742001702.634874
-0.03875,-0.0825,-0.0425,0.024977501,0.05307,0.060135,-0.12875,0.12375,-0.04375,-0.019790001,0.098464996,-0.069230005,1742001702.743932
-0.0025,-0.0075,-0.04375,0.0455025,-0.0260775,0.04422,-0.0175,0.0025,-0.0675,-0.0529475,0.010865,-0.0535425,1742001702.857842
-0.0525,0.03375,0.0725,0.0679025,-0.0924675,0.0054475004,-0.02125,-0.03,-0.015,-0.0504,-0.062165,0.0025775002,1742001702.976678
-0.10375,-0.06125,0.31625,0.0316775,0.023895001,-0.096007496,-0.20875,0.01625,0.31375,-0.048005,-0.042099997,0.0938275,1742001703.085699
0.0875,-0.365,0.15,-0.03836,0.075165,-0.055069998,-0.065,0.365,0.34875,0.028930001,0.0311725,0.099120006,1742001703.199888
-0.035,-0.15625,-0.0225,0.02066,0.074447505,0.065932505,-0.095,0.25625,0.0075,-0.00917,0.098985,-0.0517575,1742001703.3168058
-0.005,-0.0175,-0.04,0.0493625,0.00293,0.0520325,-0.03625,0.0075,-0.06375,-0.0413675,0.047837503,-0.063080005,1742001703.435391
-0.0125,0.01125,0.00375,0.04622,-0.072569996,0.01204,-0.0025,-0.025,-0.0425,-0.0587475,-0.0346075,-0.0019824998,1742001703.54481
-0.12875,0.02875,0.2825,0.02011,-0.04042,-0.054732498,-0.12,0.015,0.17625,-0.03157,-0.0674275,0.061615,1742001703.6588979
-0.03,-0.23375,0.29,-0.0025025,0.0463875,-0.08935501,-0.1175,0.2225,0.355,0.0119325,0.0111075,0.104415,1742001703.77586
-0.00625,-0.30125,0.01875,-0.00882,0.082825,0.018584998,-0.0575,0.3775,0.16875,0.0054775,0.0826875,0.0005025,1742001703.886765
-0.01875,-0.07,-0.0275,0.0363625,0.0202625,0.0626675,-0.07875,0.095,-0.04,-0.025222499,0.0620425,-0.07521,1742001704.000832
-0.01125,0.01,0.015,0.04193,-0.036330003,0.042494997,-0.01,-0.0025,-0.03375,-0.047485,0.0001825,-0.0450125,1742001704.116257
-0.06125,0.01875,0.0875,0.048935,-0.0683125,-0.0043800003,-0.035,-0.03125,0.05125,-0.0426025,-0.053085,0.001465,1742001704.228823
-0.09875,-0.1025,0.31125,0.0307,0.024292499,-0.104415,-0.13625,0.01875,0.27875,-0.0336,-0.044982497,0.0980975,1742001704.342745
0.055,-0.34875,0.1825,-0.0372775,0.096527494,-0.0290375,-0.07875,0.4525,0.3875,0.020934999,0.06369,0.0620125,1742001704.4816341
-0.05625,-0.105,-0.0225,0.01883,0.076995,0.0558925,-0.13625,0.1575,-0.02,-0.024430001,0.1080625,-0.0621025,1742001704.579409
-0.0075,-0.00625,-0.045,0.044907503,0.002075,0.044525,-0.01625,0.00875,-0.065,-0.041840002,0.038865,-0.048279997,1742001704.684774
0.005,0.0225,-0.01625,0.062835,-0.076585,0.0123149995,0.01875,-0.03375,-0.0625,-0.0508125,-0.05127,-0.0101025,1742001704.7987661
-0.14375,-0.03125,0.32125,0.040467497,-0.0143125,-0.098985,-0.17375,-0.065,0.205,-0.0564875,-0.082015,0.097137496,1742001704.9169312
0.04,-0.355,0.21125,-0.029435,0.080415,-0.0753025,-0.16375,0.32125,0.45875,-0.00534,0.014375,0.1262975,1742001705.0268009
-0.03125,-0.17375,-0.045,0.021514999,0.08963,0.064255,-0.10625,0.26625,0.0175,-0.0234825,0.1142575,-0.0450125,1742001705.140888
-0.0,-0.0225,-0.03875,0.0462025,0.011565,0.0576925,-0.02125,0.01375,-0.075,-0.0302875,0.0458825,-0.067475,1742001705.257674
-0.00625,0.00375,-0.0075,0.067870006,-0.071669996,0.0165875,0.01125,-0.00375,-0.0475,-0.063292496,-0.0398875,-0.01329,1742001705.37691
-0.15875,0.01625,0.27125,0.0195775,-0.0502775,-0.073212504,-0.1075,-0.0425,0.12125,-0.050125,-0.0963125,0.060652502,1742001705.482827
0.0275,-0.28375,0.2825,-0.0061025,0.0570075,-0.0947575,-0.14125,0.2275,0.41875,0.0174725,0.005005,0.1204075,1742001705.597484
-0.02375,-0.25125,-0.00625,-0.018432502,0.10028,0.029129999,-0.03,0.3075,0.0975,-0.0056925,0.1047525,-0.019012501,1742001705.718176
0.00125,-0.0425,-0.03625,0.042632498,0.03061,0.0549,-0.06625,0.03625,-0.0625,-0.0240325,0.059722498,-0.082,1742001705.824676
0.00375,-0.0,-0.015,0.063935004,-0.06514,0.0225225,0.0075,0.01375,-0.0575,-0.063567504,-0.0248425,-0.02588,1742001705.938748
-0.11,0.02,0.2,0.0413825,-0.0626675,-0.05545,-0.1025,-0.0525,0.07375,-0.039474998,-0.0939475,0.04367,1742001706.0528
