L-AccX,L-AccY,L-AccZ,L-GyrX,L-GyrY,L-GyrZ,R-AccX,R-AccY,R-AccZ,R-GyrX,R-GyrY,R-GyrZ,timestamp
-0.0125,-0.06125,0.15875,-0.0037525,0.0002125,0.0007625,-0.06,0.0675,0.1025,-0.0057525,-0.000625,0.00267,1742001657.387638
0.0,-0.07375,0.13875,0.0030675002,0.049195,0.0379475,-0.06,0.06125,0.125,0.000365,0.00612,-0.000305,1742001657.49767
0.0475,0.0125,-0.00125,-0.0001825,0.0251475,0.0240025,-0.08875,0.12125,0.2175,0.00998,0.0469675,-0.02176,1742001657.6155572
0.02375,0.02125,-0.01,0.028549999,-0.04486,-0.0269325,-0.0025,0.03,0.02,0.018492501,0.0528875,-0.027602501,1742001657.7363431
-0.00875,-0.08875,0.1125,0.0114750005,-0.08342,-0.062529996,0.00875,0.0075,-0.00375,0.00122,-0.00647,0.000855,1742001657.852566
-0.06,-0.0975,0.2275,0.0093075,0.0284125,-0.010575,-0.02,0.01625,-0.02,-0.028045,-0.06192,0.037474997,1742001657.953013
-0.0575,-0.1,0.10625,-0.01599,0.063095,0.025557501,-0.36,0.26625,0.5,0.0562275,-0.00032,-0.03325,1742001658.066921
0.01375,-0.02875,0.0175,-0.01709,0.0422975,0.019425,-0.08875,0.09,0.18875,0.0150150005,0.04799,-0.0275125,1742001658.18074
0.04875,-0.01125,0.01125,0.00557,-0.0104225,-0.0068975003,-0.0075,0.04,0.0425,0.015975,0.057997502,-0.0180975,1742001658.294878
0.01375,-0.0325,0.0175,0.01535,-0.062255003,-0.0375825,0.0275,0.01375,0.01125,0.00685,0.0075675,-0.000107500004,1742001658.415383
-0.30625,-0.28375,0.5,-0.0059975,-0.0275425,0.0080575,0.00875,0.00875,0.01375,-0.0181125,-0.041275002,0.026885001,1742001658.53306
-0.07375,-0.1025,0.14625,-0.0112924995,0.050217498,0.022705,-0.1075,0.11125,0.0775,-0.0401925,-0.105255,0.04042,1742001658.65099
-0.005,-0.0525,0.04375,-0.0160675,0.05313,0.02359,-0.09125,0.14375,0.1825,0.008805,0.0310375,-0.0143425,1742001658.75432
0.045,-0.0075,0.0075,0.0012050001,0.0074925,0.00171,-0.03125,0.05625,0.06625,0.019685,0.0594025,-0.027725,1742001658.873249
0.0175,-0.015,-0.005,0.0210275,-0.0535725,-0.03308,0.03125,0.02125,0.01625,0.0063325,0.023605,-0.0116875,1742001658.9917812
-0.17375,-0.19875,0.2975,0.0125875,-0.0873425,-0.023835,0.025,0.015,0.01,-0.01068,-0.026397498,0.016602501,1742001659.094223
-0.09875,-0.10625,0.16375,-0.0164025,0.04306,0.029450001,-0.06125,0.03875,-0.0175,-0.024139998,-0.09423751,0.044907503,1742001659.213184
-0.01125,-0.06,0.0475,-0.01834,0.05873,0.030547502,0.01625,0.07,0.115,0.012635,0.0189975,0.00711,1742001659.331962
0.04875,-0.00625,0.00375,0.00079250004,0.01468,0.007645,-0.0425,0.08625,0.0975,0.0222025,0.05684,-0.028045,1742001659.433784
0.02125,-0.00625,0.00875,0.017700002,-0.044740003,-0.02861,0.02125,0.02375,0.0125,0.0062399996,0.03415,-0.0151525,1742001659.547881
-0.08625,-0.0825,0.08,0.023255,-0.0907125,-0.05516,0.02375,0.0125,0.0125,-0.0047750003,-0.0174875,0.0107725,1742001659.6758962
-0.05125,-0.1,0.145,-0.0127725,0.0299825,0.0228125,-0.05,0.02875,-0.015,-0.023635,-0.073714994,0.039535,1742001659.790625
-0.02625,-0.07125,0.075,-0.01805,0.066360004,0.03595,-0.02375,0.15,0.38125,-0.0090175,0.0095225,0.006745,1742001659.8948858
0.03875,-0.015,-0.0025,-0.0086975,0.0347125,0.0168925,-0.0525,0.1025,0.1375,0.016875,0.051772498,-0.022827499,1742001660.014347
0.04375,-0.00875,-0.00375,0.0113375,-0.0319375,-0.01982,-0.0075,0.0525,0.03375,0.0058449996,0.052415002,-0.025925,1742001660.1336079
-0.05625,-0.0425,0.0125,0.0098275,-0.0968625,-0.04715,0.03875,0.01875,0.0025,-0.0008075,0.0027925,-0.00409,1742001660.231914
-0.01625,-0.09875,0.12125,-0.0027325,0.0326375,-0.0083475,0.00125,0.01,-0.01625,-0.022705,-0.06018,0.033875,1742001660.355121
-0.0275,-0.085,0.1075,-0.0173175,0.055494998,0.023772499,-0.25625,0.18875,0.325,0.0267325,-0.054,0.046067502,1742001660.4716291
0.025,-0.035,0.02875,-0.0107425,0.047119997,0.0225075,-0.0925,0.105,0.165,0.004395,0.039107498,-0.032592498,1742001660.573707
0.05375,-0.01,0.005,0.0051125004,-0.0030525,-0.0016925,-0.01625,0.05625,0.04875,0.0175025,0.059830002,-0.028959999,1742001660.687807
-0.00625,-0.0175,-0.0125,0.021775,-0.0689075,-0.0365,0.0375,0.0325,0.00875,0.0022274998,0.017959999,-0.01126,1742001660.812532
-0.4325,-0.46125,0.5,0.0172425,-0.0226125,0.0134725,0.01875,0.01375,-0.0075,-0.0128625,-0.04045,0.0175625,1742001660.916733
-0.0575,-0.10375,0.14625,-0.012802499,0.049775,0.023285,-0.0875,0.00375,-0.00625,-0.021317499,-0.097519994,0.05655,1742001661.0362701
