L-AccX,L-AccY,L-AccZ,L-GyrX,L-GyrY,L-GyrZ,R-AccX,R-AccY,R-AccZ,R-GyrX,R-GyrY,R-GyrZ,timestamp
-0.012,0.063375,0.108625,0.00035100002,0.00115975,0.00086975005,-0.019875,-0.026375,0.113,-0.0022277501,-0.0017242499,-0.000229,1741898064.001174
-0.0125,0.06275,0.10825,0.00064075,0.00096125,0.0008545,-0.032625,-0.040125,0.137875,-0.00068675,-0.00059500005,0.0002595,1741898064.0159419
-0.0135,0.06175,0.106625,0.000534,0.00080875,0.0009765,-0.0295,-0.03825,0.134125,-0.001007,0.003006,0.001007,1741898064.033482
-0.013875,0.0625,0.1065,0.00042725,0.00061025,0.001007,-0.01575,-0.031375,0.099875,-0.00228875,0.0033722501,0.00062550005,1741898064.045238
-0.014375,0.0635,0.106875,0.000534,0.00019825,0.00064075,-0.010375,-0.027375,0.08925,-0.002472,0.00045775,-0.0003815,1741898064.0602071
-0.0145,0.06475,0.10775,0.000473,6.1000002e-05,0.000229,-0.014875,-0.031125,0.107,-0.00102225,-0.0014495,-0.000412,1741898064.075278
-0.01425,0.063375,0.10775,0.0003815,-0.000183,-0.00027475,-0.01925,-0.03575,0.119875,0.00177,-0.0021057501,0.0003815,1741898064.092509
-0.013875,0.0635,0.10825,0.00010675,-0.00024425,-0.000473,-0.01925,-0.04125,0.121375,0.0020905002,-0.0013885,0.00065625,1741898064.104643
-0.013625,0.063625,0.108125,-0.00131225,-0.000122000005,-0.00225825,-0.0185,-0.041625,0.118125,0.00045775,-0.0003815,0.000534,1741898064.1192389
-0.01275,0.060625,0.107125,-0.001709,-0.00019825,-0.00289925,-0.017375,-0.034,0.116125,-0.00024425,1.5250001e-05,0.0002595,1741898064.134104
-0.013,0.064,0.107375,-0.0021819999,-0.0002135,-0.0027465,-0.016625,-0.031,0.115125,0.00036625,0.0003205,-0.00045775,1741898064.149594
-0.013375,0.069125,0.106625,-0.00460825,7.625e-05,-0.00399775,-0.016125,-0.028875,0.1155,0.00102225,4.575e-05,-0.00067150005,1741898064.163584
-0.01075,0.069125,0.10325,-0.00520325,-0.000183,-0.0053405,-0.017125,-0.02775,0.117625,0.00154125,-0.00029,-0.0008545,1741898064.178349
-0.010125,0.06875,0.103375,-0.00416575,-0.00090025004,-0.0066985004,-0.019125,-0.02825,0.119625,0.00216675,-0.00057975,-0.00143425,1741898064.1937048
-0.0085,0.063375,0.10525,-0.00372325,-0.00083925005,-0.0068207504,-0.019875,-0.03,0.118625,0.00251775,-0.00062550005,-0.00169375,1741898064.207767
-0.007875,0.061125,0.106375,-0.00305175,-0.00054925,-0.0060425,-0.02025,-0.031625,0.1165,0.00378425,-9.15e-05,-0.001953,1741898064.2224371
-0.008375,0.063125,0.107125,-0.0030365,-0.00045775,-0.00561525,-0.01925,-0.034375,0.112625,0.004547,0.000534,-0.0020905002,1741898064.237021
-0.00925,0.06575,0.107,-0.0048979996,-0.00051875,-0.00567625,-0.019375,-0.036,0.113125,0.00617975,0.0020599999,-0.0023345,1741898064.2549188
-0.009125,0.070375,0.10775,-0.0063477503,-0.0005645,-0.0065612504,-0.02025,-0.038875,0.116375,0.0069580004,0.002777,-0.0023039998,1741898064.266315
-0.008,0.0685,0.107375,-0.00773625,-0.00030525,-0.0077972496,-0.02025,-0.040625,0.116875,0.007782,0.0033875,-0.002243,1741898064.281056
-0.005875,0.062625,0.104625,-0.00862125,0.00016775,-0.008407501,-0.02025,-0.045,0.115625,0.0076905,0.00325,-0.00213625,1741898064.295601
-0.004875,0.067,0.103125,-0.00798025,-7.625e-05,-0.007553,-0.020125,-0.047,0.114625,0.0070495,0.002411,-0.00154125,1741898064.312572
-0.004125,0.070625,0.101625,-0.00688175,-0.00109875,-0.0075682504,-0.019,-0.049,0.113875,0.00672925,0.0021819999,-0.00112925,1741898064.324955
-0.0035,0.0645,0.101375,-0.006256,-0.00143425,-0.00798025,-0.018875,-0.0495,0.11425,0.00535575,0.00201425,-0.00042725,1741898064.3395998
-0.003875,0.063,0.10175,-0.004242,-0.0016632499,-0.0066985004,-0.01825,-0.04875,0.114375,0.0042115003,0.0016175,-0.000183,1741898064.3542268
-0.00525,0.058625,0.102875,-0.00314325,-0.0016632499,-0.0051269997,-0.017625,-0.04775,0.11375,0.00292975,0.001175,0.000229,1741898064.372791
-0.005625,0.05575,0.103875,-0.000824,-0.0012970001,0.000183,-0.015625,-0.0465,0.1105,0.003006,0.001175,0.00045775,1741898064.383484
-0.004,0.06425,0.105625,-0.00036625,-0.00070200005,0.0026245,-0.0155,-0.047125,0.111125,0.0032195,0.0010375,0.0008545,1741898064.398047
-0.003125,0.068875,0.1055,-0.001587,0.001068,0.0037385002,-0.017,-0.04825,0.114,0.00302125,0.0009155,0.00102225,1741898064.413078
-0.005875,0.058375,0.102625,-0.0022277501,0.001526,0.00381475,-0.01675,-0.047875,0.11375,0.0026092501,0.00067150005,0.00115975,1741898064.427119
-0.00825,0.05225,0.105875,-0.001892,0.001007,0.00585925,-0.016625,-0.048,0.113125,0.0012970001,-3.0500001e-05,0.0012817499,1741898064.441633
-0.010125,0.049875,0.10925,0.0,0.0015105,0.013137749,-0.018,-0.04925,0.11,0.0005035,-0.00030525,0.0013580001,1741898064.456243
-0.016,0.012375,0.105625,0.00328075,0.00225825,0.018432502,-0.01875,-0.049625,0.109125,-0.0003205,-0.00048825,0.00175475,1741898064.471513
-0.0175,0.057125,0.105875,0.013733,0.0024414998,0.032333247,-0.0195,-0.0495,0.112,-0.00030525,-0.00036625,0.0020752498,1741898064.4857228
-0.017875,0.129125,0.101,0.00593575,0.0019225,0.021087749,-0.019375,-0.04925,0.113375,-0.00035100002,-3.0500001e-05,0.002655,1741898064.500402
-0.017875,0.08075,0.104875,-0.0052185003,0.0017242499,0.0022277501,-0.018,-0.048125,0.113375,-0.00051875,3.0500001e-05,0.002777,1741898064.5173671
-0.016875,0.057,0.10675,-0.0047607496,0.002533,0.003418,-0.017,-0.0475,0.1125,-0.00065625,-6.1000002e-05,0.0027465,1741898064.5331469
-0.016625,0.060625,0.107375,-0.0039825,0.0031585,0.00567625,-0.01725,-0.048875,0.111875,-0.00067150005,-0.000122000005,0.0027160002,1741898064.544532
-0.016625,0.0605,0.1085,-0.0055237496,0.0038605002,0.0077210004,-0.01825,-0.050125,0.11175,-0.0009765,1.5250001e-05,0.0028229998,1741898064.5591412
-0.017875,0.05675,0.11175,-0.0072785,0.0042572496,0.00852975,-0.018625,-0.049875,0.112,-0.0009765,0.00027475,0.00302125,1741898064.573997
-0.019,0.05775,0.11325,-0.00897225,0.0055847503,0.010849,-0.018625,-0.049375,0.1135,-0.000946,0.00086975005,0.003418,1741898064.588427
-0.022125,0.063125,0.12675,-0.008636501,0.0066985004,0.011764499,-0.017125,-0.048125,0.114875,-0.00125125,0.00115975,0.0034942501,1741898064.603063
-0.023,0.063875,0.132375,-0.010391249,0.010528499,0.012802,-0.0165,-0.047875,0.11375,-0.00177,0.001648,0.0033875,1741898064.617684
-0.022625,0.071375,0.133375,-0.0106965,0.0128785,0.013412501,-0.017625,-0.04875,0.114875,-0.00177,0.001892,0.0033722501,1741898064.633727
-0.021625,0.075625,0.131875,-0.010147001,0.01513675,0.013916001,-0.018375,-0.0485,0.116,-0.00175475,0.0022277501,0.0034942501,1741898064.647285
-0.021,0.08325,0.129625,-0.0071409997,0.0187835,0.01496875,-0.018125,-0.04725,0.115625,-0.00154125,0.00308225,0.00378425,1741898064.66198
-0.0215,0.094625,0.129125,-0.0050965,0.020111,0.015518251,-0.01825,-0.04775,0.115,-0.0012817499,0.003418,0.0038757501,1741898064.676776
-0.021625,0.103,0.128125,-0.00596625,0.022461,0.01324475,-0.018375,-0.048125,0.114,-0.0009155,0.0038605002,0.00408925,1741898064.693792
-0.019,0.105125,0.11375,-0.0062255003,0.023254499,0.011550999,-0.017625,-0.0495,0.112125,-0.000763,0.00408925,0.0041504996,1741898064.7062988
-0.014375,0.106625,0.107875,-0.00169375,0.0228425,0.0095672505,-0.01825,-0.05075,0.11225,-0.00054925,0.004837,0.0043335,1741898064.72127
-0.008,0.10875,0.102625,-0.0020905002,0.022613501,0.00811775,-0.0225,-0.053875,0.1145,-0.00068675,0.0052185003,0.0044707498,1741898064.736105
-0.005125,0.116875,0.097875,-0.0031127501,0.02238475,0.0028535,-0.024,-0.054375,0.1145,-0.0011445,0.0056915004,0.0050202496,1741898064.753234
-0.00075,0.114125,0.091625,-0.002411,0.0219575,-0.0005645,-0.021875,-0.053875,0.111375,-0.0011445,0.0057372497,0.0053252503,1741898064.76531
0.00175,0.102125,0.087,-0.002243,0.021225,-0.003418,-0.021375,-0.0545,0.10975,-0.00099175,0.0052795,0.0058287503,1741898064.7799392
0.005875,0.09025,0.079875,-0.00270075,0.018585252,-0.00579825,-0.0175,-0.0545,0.104875,-0.00105275,0.0049285004,0.006256,1741898064.794882
0.01325,0.089375,0.070125,-0.0023345,0.016632,-0.0062255003,-0.015625,-0.054125,0.10375,-0.00051875,0.0042572496,0.007309,1741898064.8133628
0.013625,0.09675,0.067375,-0.0054015,0.012680001,-0.0087585,-0.016125,-0.0575,0.104875,-0.0002595,0.00416575,0.0080415,1741898064.8243752
0.015875,0.10275,0.061375,-0.0070647504,0.010513251,-0.010849,-0.0165,-0.05875,0.1045,-0.0018005001,0.0045165,0.010238751,1741898064.8390982
0.018875,0.0985,0.063,-0.007965,0.006073,-0.014267,-0.014625,-0.055625,0.103,-0.00343325,0.0049285004,0.01127625,1741898064.8536441
0.0225,0.091375,0.06775,-0.0077210004,0.00440975,-0.01525875,-0.01275,-0.0515,0.102125,-0.004486,0.0046845004,0.0118407495,1741898064.868486
0.023875,0.08975,0.066125,-0.007431,0.0030365,-0.016113251,-0.008125,-0.047875,0.10075,-0.0043639997,0.0044250004,0.01248175,1741898064.883264
0.025,0.089125,0.063,-0.0060882503,1.5250001e-05,-0.017974751,-0.005625,-0.044,0.10025,-0.00463875,0.0037079998,0.01402275,1741898064.89797
0.025875,0.089,0.05725,-0.005249,-0.0018005001,-0.01882925,-0.00025,-0.034625,0.102625,-0.0046234997,0.00289925,0.01412975,1741898064.913833
0.025875,0.085625,0.056875,-0.0028229998,-0.0052795,-0.02026375,-0.0005,-0.0335,0.1055,-0.0026854998,0.0003815,0.014099,1741898064.927256
0.025375,0.077,0.060125,-0.0017852499,-0.0068512503,-0.020691,0.005625,-0.02575,0.1085,-0.000473,-0.000946,0.014145001,1741898064.941962
0.024875,0.0765,0.06225,-0.0013427499,-0.0099945,-0.02079775,0.0075,-0.024625,0.110625,0.0020905002,-0.0018615,0.01358025,1741898064.956573
0.02275,0.08,0.067875,-0.0013885,-0.011550999,-0.02067575,0.004625,-0.03825,0.116,0.0057220003,-0.00276175,0.009903,1741898064.97136
0.022,0.078625,0.071375,-0.0012055,-0.0139770005,-0.02073675,0.003375,-0.042,0.11975,0.0052795,-0.00292975,0.00830075,1741898064.985852
0.020125,0.068,0.081625,-0.0013275,-0.01498425,-0.020874001,0.00275,-0.03775,0.12175,0.0031127501,-0.0030669998,0.0063325,1741898065.00043
0.01825,0.06575,0.0875,-0.0013275,-0.015625,-0.0206605,0.005,-0.02575,0.119375,0.004303,-0.0035095,0.0052947504,1741898065.0169852
0.017375,0.064375,0.09175,-0.00039675,-0.015228249,-0.01930225,0.0065,-0.028375,0.12075,0.008407501,-0.0048217503,0.003891,1741898065.0334542
0.017375,0.05825,0.0965,-4.575e-05,-0.014724749,-0.01829525,0.001375,-0.029125,0.1245,0.009216251,-0.00514225,0.00384525,1741898065.044588
0.017625,0.057625,0.09825,-4.575e-05,-0.0138855,-0.015747,-0.00025,-0.0275,0.124125,0.010727,-0.0054780003,0.003128,1741898065.0593002
0.01925,0.057125,0.099125,-0.00019825,-0.01361075,-0.014572251,0.007625,-0.039875,0.12525,0.0106355,-0.0054475004,0.0016632499,1741898065.0741918
0.02,0.0555,0.100125,-0.00061025,-0.013046251,-0.012024,0.00575,-0.04,0.125125,0.009796251,-0.0050202496,4.575e-05,1741898065.094333
0.016875,0.057625,0.10475,-0.0007935,-0.0125275,-0.0106355,0.00075,-0.038125,0.12625,0.008514499,-0.004486,-0.00067150005,1741898065.103209
0.014625,0.061125,0.107125,-0.000885,-0.011245751,-0.00845325,0.003,-0.0395,0.12775,0.0047455,-0.00279225,-0.00201425,1741898065.1178482
0.011625,0.06625,0.112625,-0.00054925,-0.010559,-0.0077515002,0.006625,-0.043,0.130125,0.00331125,-0.00181575,-0.0023039998,1741898065.135222
0.0105,0.06575,0.115625,1.5250001e-05,-0.009734999,-0.0070495,0.0075,-0.044125,0.131625,0.0012665,9.15e-05,-0.00190725,1741898065.147094
0.009125,0.065,0.12075,-0.00080875,-0.0070495,-0.004593,0.0105,-0.044,0.133,0.00030525,0.001007,-0.0016632499,1741898065.1615438
0.007875,0.074375,0.126125,-0.00198375,-0.0054475004,-0.0035095,0.01175,-0.044,0.133875,-0.00068675,0.00187675,-0.001648,1741898065.176163
0.009375,0.077375,0.125375,-0.001007,-0.00251775,-0.0032195,0.01175,-0.046625,0.135625,-0.0025787498,0.003418,-0.0020599999,1741898065.193886
0.010625,0.078,0.119875,0.00070200005,-0.001007,-0.0031127501,0.011875,-0.048,0.1355,-0.0032195,0.0040587503,-0.00213625,1741898065.205483
0.01175,0.077375,0.11475,0.0032655,0.001007,-0.0025940002,0.0125,-0.04925,0.135375,-0.0035095,0.0050355,-0.00157175,1741898065.220265
0.0165,0.07375,0.105125,0.0036315,0.00149525,-0.002365,0.01275,-0.0525,0.137375,-0.0032195,0.0055237496,-0.00093075,1741898065.234944
0.019,0.072,0.102375,0.003769,0.00175475,-0.00216675,0.01225,-0.05425,0.138625,-0.002472,0.00715625,0.00070200005,1741898065.253333
0.0205,0.0715,0.100625,0.0041044997,0.0017242499,-0.001831,0.01025,-0.056,0.13825,-0.0024414998,0.008133001,0.001526,1741898065.264064
0.0215,0.072,0.094875,0.0041504996,0.00143425,-0.001709,0.009875,-0.056375,0.13675,-0.00325,0.0099945,0.0026854998,1741898065.278566
0.02275,0.072375,0.092125,0.0031585,0.00027475,-0.0013580001,0.01125,-0.05525,0.1335,-0.00358575,0.011031999,0.0032655,1741898065.294219
0.025,0.075125,0.089,0.0025634998,-0.00045775,-0.0012665,0.012625,-0.053375,0.132375,-0.0033570002,0.0129395,0.0045625,1741898065.307657
0.02475,0.077875,0.0885,0.00201425,-0.001831,-0.00181575,0.015375,-0.049875,0.12875,-0.00279225,0.013503999,0.0050202496,1741898065.3223538
0.02375,0.078125,0.08925,0.00181575,-0.00231925,-0.0022277501,0.015875,-0.050125,0.126,-0.00184625,0.014572251,0.00538625,1741898065.336959
0.023875,0.07575,0.090125,0.00090025004,-0.0028229998,-0.0024872501,0.016625,-0.051375,0.12125,-0.00177,0.0153502505,0.00564575,1741898065.353099
0.0245,0.076125,0.09425,0.00019825,-0.0030669998,-0.0024872501,0.0175,-0.05025,0.1205,-0.00204475,0.01737975,0.0067597497,1741898065.366078
0.024125,0.07825,0.098,-3.0500001e-05,-0.0032195,-0.00267025,0.0205,-0.050875,0.123125,-0.0026092501,0.01864625,0.0075377496,1741898065.3805828
0.023625,0.07975,0.102125,0.001892,-0.00238025,-0.003952,0.021875,-0.05275,0.1255,-0.00352475,0.020034749,0.008484,1741898065.395305
0.022875,0.077,0.105625,0.003296,-0.001648,-0.00460825,0.02275,-0.054,0.1265,-0.00665275,0.02241525,0.0101165,1741898065.4140291
0.0225,0.073625,0.105875,0.00494375,-0.00048825,-0.0048979996,0.02275,-0.05425,0.123125,-0.00874325,0.023178,0.0102235,1741898065.4244149
0.021,0.071,0.104875,0.0044555003,-9.15e-05,-0.0046234997,0.023125,-0.0535,0.1215,-0.011398249,0.02436825,0.00982675,1741898065.438949
0.021,0.070875,0.10425,0.0029449998,0.00059500005,-0.004013,0.026375,-0.05075,0.119,-0.0109709995,0.02490225,0.009903,1741898065.4562151
0.02325,0.071625,0.102625,0.0030365,0.00096125,-0.0038299998,0.029875,-0.0475,0.115625,-0.0074004997,0.0256805,0.01048275,1741898065.468058
0.023875,0.071875,0.101875,0.00437925,0.0013427499,-0.00384525,0.03575,-0.046625,0.106875,-0.00555425,0.0256195,0.010604749,1741898065.4825711
0.023375,0.070875,0.1015,0.00511175,0.0013580001,-0.00390625,0.035625,-0.047875,0.105375,-0.0030975002,0.0251465,0.011398249,1741898065.49799
0.023125,0.06925,0.100875,0.0058899997,0.0012207499,-0.00396725,0.033875,-0.046375,0.1055,-0.0025634998,0.025238002,0.011734,1741898065.51299
0.02275,0.06825,0.1005,0.00823975,0.0005035,-0.0036315,0.035,-0.042,0.106375,-0.0010375,0.02589425,0.01210025,1741898065.526551
0.022125,0.06625,0.102125,0.00794975,6.1000002e-05,-0.00354,0.0405,-0.032625,0.102375,0.00045775,0.02626025,0.012252751,1741898065.540962
0.02225,0.06425,0.10275,0.00561525,-0.0007935,-0.0036315,0.043875,-0.03,0.097375,0.00242625,0.026474,0.01239025,1741898065.555995
0.022375,0.061625,0.1035,0.00485225,-0.00102225,-0.00343325,0.049125,-0.025625,0.0855,0.0058135,0.02575675,0.0125885,1741898065.570017
0.022,0.062375,0.105,0.0039825,-0.00068675,-0.0031127501,0.05075,-0.02325,0.082,0.0064850003,0.024780251,0.01248175,1741898065.584536
0.021125,0.0645,0.107625,0.0043335,-0.00027475,-0.003128,0.051375,-0.022875,0.0815,0.0068207504,0.02268975,0.01165775,1741898065.598909
0.021375,0.0635,0.107625,0.0048979996,0.00010675,-0.003128,0.052625,-0.025,0.080875,0.0070342496,0.0218505,0.011383001,1741898065.61435
0.022125,0.061375,0.107375,0.00488275,0.00033575002,-0.0028229998,0.052875,-0.027125,0.080375,0.00764475,0.020202748,0.0113525,1741898065.6278489
0.024,0.06025,0.105875,0.0042267498,0.0002595,-0.0025634998,0.055625,-0.027125,0.083625,0.00788875,0.019714251,0.011245751,1741898065.6424031
0.024625,0.061,0.10575,0.00289925,1.5250001e-05,-0.0020295,0.060875,-0.0215,0.082625,0.009582501,0.018585252,0.00982675,1741898065.656822
0.0255,0.059875,0.10675,0.002411,-7.625e-05,-0.00177,0.07575,-0.011875,0.07425,0.011810251,0.016739,0.008499251,1741898065.673818
0.026125,0.0595,0.106,0.00251775,-0.000122000005,-0.0013275,0.082,-0.013,0.069375,0.019287001,0.01062,0.00720225,1741898065.6858282
0.02625,0.060125,0.104375,0.00254825,-6.1000002e-05,-0.00125125,0.087375,-0.019875,0.064625,0.022705,0.0077210004,0.0070037497,1741898065.700296
0.02625,0.06,0.104625,0.00231925,3.0500001e-05,-0.0012055,0.086875,-0.023375,0.0655,0.024688749,0.0054015,0.006363,1741898065.714816
0.02625,0.0605,0.105125,0.0015565,1.5250001e-05,-0.0010375,0.08525,-0.02525,0.0685,0.025177,0.002655,0.004013,1741898065.733797
0.026125,0.06175,0.105125,0.001236,-4.575e-05,-0.0009765,0.08175,-0.029875,0.076,0.024887,0.0019685,0.0029907501,1741898065.7438898
0.026375,0.06175,0.1045,0.00077825,-7.625e-05,-0.00105275,0.080125,-0.035375,0.079875,0.023758,0.00105275,0.0019685,1741898065.758464
0.02725,0.060875,0.1035,0.0007325,1.5250001e-05,-0.00115975,0.078625,-0.0455,0.08275,0.022995,0.00096125,0.00216675,1741898065.773878
0.026875,0.05975,0.10425,-1.5250001e-05,9.15e-05,-0.0011445,0.079,-0.04875,0.0825,0.020996,0.001419,0.0028074998,1741898065.7875211
0.026,0.06025,0.107875,-4.575e-05,9.15e-05,-0.00093075,0.078625,-0.055625,0.084625,0.0200805,0.0019225,0.00364675,1741898065.802121
0.025375,0.0615,0.10925,0.00016775,6.1000002e-05,-0.00067150005,0.078625,-0.05375,0.083,0.019195499,0.00305175,0.00617975,1741898065.816857
0.02425,0.062375,0.1095,-1.5250001e-05,1.5250001e-05,-0.00029,0.07825,-0.052125,0.073625,0.01979075,0.0029145,0.0069274995,1741898065.833565
0.023875,0.062,0.10875,-0.0004425,0.00010675,-0.0002595,0.077875,-0.05525,0.07075,0.02171325,0.0021515,0.00874325,1741898065.845788
0.02475,0.06175,0.107875,-0.001175,0.0005645,-0.0002595,0.07975,-0.054625,0.06775,0.02183525,0.0020752498,0.009552,1741898065.860286
0.025375,0.059625,0.105625,-0.00083925005,0.0007935,-0.0002135,0.079875,-0.052625,0.068375,0.0213775,0.0020599999,0.00991825,1741898065.874779
0.026125,0.059125,0.10525,-0.00030525,0.0007325,0.00016775,0.07875,-0.0545,0.0705,0.019455,0.00251775,0.010024999,1741898065.894198
0.027125,0.061375,0.104875,-0.0005035,0.0004425,0.0003815,0.08075,-0.05325,0.068875,0.01864625,0.0029145,0.010437001,1741898065.904055
0.027125,0.063125,0.10525,-0.00093075,-0.0001525,0.00048825,0.0835,-0.050625,0.067625,0.0177765,0.00283825,0.0111085,1741898065.918464
