L-AccX,L-AccY,L-AccZ,L-GyrX,L-GyrY,L-GyrZ,R-AccX,R-AccY,R-AccZ,R-GyrX,R-GyrY,R-GyrZ,timestamp
0.005,-0.06875,0.11125,-0.0025625,-0.00554,0.00052,0.0025,0.075,0.05,0.0027625,-0.0101025,-0.0014500001,1742001717.9105868
-0.0225,-0.11625,0.20375,-0.0010375,0.007385,0.0428775,-0.0475,0.38125,0.14,-0.0199425,-0.0688775,-0.0361325,1742001718.0238621
-0.07125,0.07125,0.17625,-0.0269925,0.06685,0.02121,-0.125,0.03375,0.1825,0.064347506,0.0585175,-0.08336,1742001718.14077
-0.01875,0.02,-0.005,-0.0128475,0.049575,-0.0290975,-0.05875,-0.04,0.06625,0.009582501,0.04985,0.0019824998,1742001718.2611752
0.005,-0.06375,-0.0375,-0.039474998,0.009475,-0.054810002,-0.0375,0.00625,-0.0175,0.0193325,0.0307475,0.049560003,1742001718.363717
0.01375,-0.2375,-0.0275,-0.01538,-0.0859225,-0.042740002,-0.085,0.16625,-0.095,0.040345002,-0.030105,0.09607,1742001718.482454
0.00625,-0.32375,0.3225,0.03743,-0.090224996,0.09439,-0.00875,0.44,0.12125,-0.0172875,-0.1322775,-0.021514999,1742001718.6011178
-0.08,-0.00625,0.21625,-0.06392,0.064652495,0.053955004,-0.22375,0.13375,0.36125,0.070557505,0.038560003,-0.12291,1742001718.7055519
-0.04875,0.05375,0.045,-0.03514,0.04428,-0.026290001,-0.09875,-0.03,0.07,0.025757499,0.0496975,-0.022979999,1742001718.821617
-0.0025,-0.02125,-0.0225,-0.0381775,0.0130775,-0.057357498,-0.03,-0.03125,-0.00875,0.0293725,0.030777501,0.032395,1742001718.941
-0.00875,-0.19875,-0.02625,-0.039307497,-0.03862,-0.053634997,-0.065,0.08375,-0.09875,0.0293125,-0.0030375,0.0868225,1742001719.04782
0.10625,-0.325,0.16125,0.038560003,-0.109345004,0.035675,-0.02,0.3225,-0.08625,-0.0381325,-0.107085,0.040772498,1742001719.161441
-0.08375,-0.05625,0.34125,-0.058045,0.0207225,0.1026,-0.1825,0.3025,0.41375,0.110625,-0.023255,-0.102355,1742001719.2814138
-0.0675,0.05125,0.0875,-0.0175625,0.052415002,0.00554,-0.0775,-0.01875,0.12375,0.017745001,0.053634997,-0.044235002,1742001719.400964
-0.01625,0.01,-0.02375,-0.04033,0.03125,-0.05107,-0.03875,-0.02625,0.00125,0.030792499,0.03885,0.0169975,1742001719.503647
-0.03875,-0.09625,-0.03375,-0.03061,-0.016617501,-0.062529996,-0.03125,0.01125,-0.0275,0.015457501,0.010024999,0.0505975,1742001719.622118
0.03875,-0.35375,0.005,0.0231325,-0.1036075,-0.0102225,-0.0775,0.24,-0.1275,0.0390625,-0.058029998,0.083695,1742001719.742121
-0.08125,-0.2,0.3875,-0.019317498,-0.051225,0.1113275,-0.10625,0.36375,0.305,-0.027802499,-0.1128225,-0.079345,1742001719.845674
-0.0925,0.04,0.15125,-0.0340425,0.054564998,0.0178975,-0.10375,0.02625,0.21375,0.0477,0.0652625,-0.07808,1742001719.9612658
-0.02875,0.015,0.0175,-0.0178675,0.040435,-0.0408925,-0.04125,-0.0275,0.05625,0.0198375,0.0475775,0.0004125,1742001720.080558
-0.0225,-0.07375,-0.0075,-0.0361175,0.0113525,-0.0585775,-0.03875,0.00375,-0.0125,0.0301675,0.028959999,0.042145,1742001720.187787
-0.0275,-0.23,-0.0175,-0.0022574998,-0.046982497,-0.054672502,-0.0725,0.135,-0.08375,0.02011,-0.0134275,0.07846,1742001720.3026829
0.12875,-0.29,0.155,0.03711,-0.0968775,0.0502475,-0.02,0.37125,0.02375,0.0301675,-0.0965425,0.03511,1742001720.4208698
-0.055,-0.05875,0.265,-0.064682506,0.017745001,0.088395,-0.16625,0.24125,0.32875,0.0237275,-0.0366975,-0.097059995,1742001720.5295758
-0.065,0.02375,0.1,-0.029114999,0.0458675,-0.0065,-0.08875,-0.00875,0.1525,0.0214225,0.0538475,-0.037017502,1742001720.643693
-0.03125,-0.02375,-0.00125,-0.025375,0.03566,-0.0411525,-0.045,0.0125,0.025,0.0279225,0.050185002,0.028212499,1742001720.7616158
-0.0175,-0.12625,-0.06875,-0.0293425,-0.015,-0.064972505,-0.02875,0.07375,-0.0475,0.010665,0.0208425,0.057982497,1742001720.882158
0.03375,-0.30125,-0.00625,0.031875,-0.088012494,-0.014175001,-0.0325,0.17,-0.13625,0.0048975,-0.0299525,0.0702675,1742001720.985782
-0.02625,-0.25,0.2525,-0.013412501,-0.0714725,0.0905,-0.11375,0.4025,0.06875,-0.01062,-0.1272425,-0.0187675,1742001721.10183
-0.085,0.0125,0.185,-0.039169997,0.0487975,0.037995,-0.13875,0.0725,0.29875,0.0502925,0.019165002,-0.09198,1742001721.222097
-0.025,0.0125,0.0075,-0.03598,0.0482025,-0.0195775,-0.065,-0.01,0.085,0.026092501,0.0582725,-0.01944,1742001721.327497
-0.015,-0.0375,-0.02375,-0.03897,-0.0021525,-0.065735,-0.02625,0.005,-0.02625,0.016755,0.0375375,0.04033,1742001721.4417841
-0.03375,-0.245,-0.0225,-0.00296,-0.058305,-0.0579525,-0.07375,0.10125,-0.09375,0.021745,0.0001525,0.0797125,1742001721.5655081
0.0275,-0.32125,0.235,0.028212499,-0.1201475,0.067185,-0.065,0.3225,-0.1,0.0485225,-0.104325,0.0614775,1742001721.681777
