L-AccX,L-AccY,L-AccZ,L-GyrX,L-GyrY,L-GyrZ,R-AccX,R-AccY,R-AccZ,R-GyrX,R-GyrY,R-GyrZ,timestamp
-0.008125,0.2715,-0.050125,-0.01145925,-0.00083925005,-0.0114135,-0.017625,-0.02325,0.090125,-0.00137325,-0.004593,-0.000534,1741898032.023803
0.0385,0.160125,-0.05375,0.02101125,0.0065307496,-0.022583,-0.041875,-0.0355,0.121375,-0.00292975,-0.0065612504,-0.00016775,1741898032.038548
0.024,0.0725,-0.022875,0.028289748,0.0063477503,-0.022583,-0.059625,-0.040375,0.150375,-0.0035095,-0.0026245,0.00245675,1741898032.0532632
0.01825,0.052625,-0.003875,0.027542,0.0034790002,-0.02088925,-0.057875,-0.044125,0.141625,-0.00334175,0.0026092501,0.00378425,1741898032.067886
0.016875,0.04825,0.018125,0.0133667495,-0.00283825,-0.010498,-0.046,-0.043375,0.124,-0.00305175,0.0076295,0.0069885002,1741898032.082538
0.008,0.082625,0.034875,0.0054932497,-0.00343325,-0.0052795,-0.05,-0.056375,0.124625,-0.0033722501,0.0074920002,0.008941749,1741898032.0971048
0.010125,0.0985,0.02225,-0.00213625,-0.00035100002,0.0012055,-0.05675,-0.061875,0.130625,-0.0057677496,0.009643501,0.0138245,1741898032.113583
0.023625,0.09875,-0.01225,-0.0022277501,0.00105275,0.00302125,-0.055375,-0.062625,0.124625,-0.00697325,0.011535751,0.01634225,1741898032.126495
0.026,0.09625,-0.020625,-0.00086975005,0.00077825,0.00466925,-0.053375,-0.061,0.118375,-0.0078125,0.012909001,0.021179251,1741898032.1411572
0.01975,0.097125,-0.01475,-0.00036625,9.15e-05,0.00485225,-0.050375,-0.060375,0.11275,-0.00782775,0.012909001,0.023956249,1741898032.155921
0.015625,0.097,-0.007,-0.00036625,-0.00035100002,0.0049285004,-0.048625,-0.059875,0.112125,-0.009155249,0.0128785,0.03005975,1741898032.174041
0.01125,0.09875,0.0,-0.0029145,-0.00051875,0.0061645,-0.044625,-0.0535,0.11375,-0.010894749,0.012847999,0.0326385,1741898032.1852958
0.01125,0.1,-0.0,-0.00511175,-0.000473,0.0075072497,-0.042625,-0.048,0.1165,-0.014785751,0.013427749,0.037033,1741898032.20015
0.0125,0.101375,-0.002375,-0.00935375,-0.00042725,0.0105742505,-0.028,-0.029875,0.105,-0.015686,0.013778751,0.03886425,1741898032.2149398
0.017,0.111875,-0.011625,-0.010376001,-0.000534,0.011764499,-0.02,-0.024875,0.09475,-0.014923001,0.0112305,0.04245,1741898032.2308311
0.016875,0.122,-0.016875,-0.010162249,-0.00096125,0.012313751,-0.012125,-0.025,0.08,-0.014648501,0.008545,0.0438385,1741898032.2443268
0.007875,0.14275,-0.02625,-0.00991825,-0.0013427499,0.011749251,-0.01,-0.023375,0.073625,-0.01490775,0.0056,0.04464725,1741898032.258913
