L-AccX,L-AccY,L-AccZ,L-GyrX,L-GyrY,L-GyrZ,R-AccX,R-AccY,R-AccZ,R-GyrX,R-GyrY,R-GyrZ,timestamp
-0.021625,-0.019,0.122625,-6.1000002e-05,-0.00036625,0.0005645,-0.006,-0.050875,0.12775,-0.00157175,0.0030975002,0.003006,1741898502.550474
-0.021875,-0.0185,0.122625,1.5250001e-05,-0.0002135,0.00071725,-0.007375,-0.048125,0.1335,-0.003418,0.0040435,0.0031585,1741898502.566495
-0.021875,-0.017875,0.122375,-0.000122000005,-6.1000002e-05,0.00077825,-0.01325,-0.04375,0.14725,-0.00444025,0.0049742498,0.0029755002,1741898502.581096
-0.02175,-0.016875,0.1215,-0.0002595,-9.15e-05,0.00067150005,-0.0145,-0.043,0.150875,-0.00691225,0.007965,0.00193775,1741898502.596213
-0.021625,-0.016875,0.121125,-0.0005035,-0.0002595,0.00036625,-0.010375,-0.038125,0.15125,-0.0084379995,0.00976575,0.00119025,1741898502.609164
-0.0215,-0.016625,0.120875,-0.00057975,-0.00035100002,0.0002595,-0.007875,-0.0335,0.153875,-0.011764499,0.01380925,-0.00064075,1741898502.6240342
-0.021375,-0.016375,0.12075,-0.00051875,-0.00042725,0.000122000005,-0.010875,-0.01875,0.162125,-0.0128785,0.01617425,-0.00184625,1741898502.638813
-0.021,-0.017,0.120875,-0.00036625,-0.00042725,4.575e-05,-0.014,-0.015875,0.163875,-0.012436,0.02105725,-0.005066,1741898502.658705
-0.02075,-0.017625,0.120375,-0.00010675,-0.00051875,0.0,-0.014625,-0.02525,0.155,-0.011734,0.023193251,-0.0062865,1741898502.668548
-0.020375,-0.018375,0.118625,-0.000183,-0.00062550005,3.0500001e-05,-0.01075,-0.028875,0.145875,-0.01245125,0.0265045,-0.008148249,1741898502.683311
-0.020375,-0.018375,0.118125,-0.0003205,-0.0007935,9.15e-05,0.004,-0.03275,0.12875,-0.014923001,0.02760325,-0.01019275,1741898502.697941
-0.020625,-0.01825,0.118625,-0.00048825,-0.00119025,0.000122000005,0.002,-0.025,0.121125,-0.01893625,0.028289748,-0.0129395,1741898502.7128599
-0.020625,-0.01775,0.11875,-0.00057975,-0.00146475,0.00010675,-0.0015,0.009125,0.105375,-0.022995,0.02981575,-0.01800525,1741898502.727433
-0.020875,-0.016625,0.119125,-0.00093075,-0.00228875,9.15e-05,0.0025,0.014,0.095625,-0.019744748,0.0312195,-0.020401,1741898502.742107
-0.02375,-0.01325,0.126375,-0.0011445,-0.00270075,3.0500001e-05,0.006875,0.0115,0.085,-0.010299751,0.032135,-0.02285775,1741898502.757086
-0.025,-0.014875,0.12975,-0.00181575,-0.002243,-4.575e-05,0.015375,0.00325,0.066375,-0.00697325,0.030883752,-0.023178,1741898502.77135
-0.024875,-0.019,0.134875,-0.0025940002,-0.0015565,0.00027475,0.018,-0.000375,0.058,-0.0032655,0.02586375,-0.02445975,1741898502.785943
-0.024875,-0.0185,0.13625,-0.00434875,3.0500001e-05,0.001068,0.02575,-0.012,0.041625,-0.002655,0.022094749,-0.0257415,1741898502.80085
-0.029375,-0.010125,0.14,-0.0047912505,0.0008545,0.0011445,0.0295,-0.02325,0.037375,-0.0047150003,0.011398249,-0.02851875,1741898502.821496
-0.03575,0.002375,0.141875,-0.0028074998,0.0028074998,-0.0003205,0.025375,-0.04975,0.033375,-0.0064850003,0.0046845004,-0.029449498,1741898502.832554
-0.061375,0.04525,0.144125,-1.5250001e-05,0.0039825,-0.00279225,0.01825,-0.07,0.03175,-0.00883475,-0.00953675,-0.02920525,1741898502.8472981
-0.07325,0.0575,0.13575,0.002884,0.005066,-0.007019,0.014375,-0.0715,0.033375,-0.00862125,-0.01586925,-0.027709998,1741898502.863553
-0.08025,0.055375,0.124375,0.00372325,0.0060272496,-0.0184785,0.01025,-0.065625,0.035875,-0.0045165,-0.0257415,-0.02442925,1741898502.878321
-0.092125,0.03775,0.128875,0.00137325,0.0065917503,-0.023468,0.0055,-0.04975,0.042875,-0.00062550005,-0.029251,-0.02301025,1741898502.891551
-0.095375,0.037375,0.135875,-0.00231925,0.00935375,-0.030548,0.004375,-0.045875,0.0475,0.0104065,-0.033996496,-0.01896675,1741898502.90626
-0.081375,0.0445,0.137625,-0.001648,0.01077275,-0.03376775,-0.001125,-0.058375,0.0615,0.015976,-0.035492,-0.01628125,1741898502.921046
-0.07125,0.0465,0.132375,0.00263975,0.011901749,-0.04173275,-0.007875,-0.077625,0.070375,0.02174375,-0.037704498,-0.009734999,1741898502.93731
-0.056625,0.028125,0.12675,0.0056,0.011810251,-0.04600525,-0.020125,-0.10125,0.087625,0.0213165,-0.03848275,-0.0063325,1741898502.950859
-0.052125,0.0165,0.1295,0.01020825,0.0115815,-0.052673247,-0.02325,-0.101875,0.0955,0.01667775,-0.038803,-0.00143425,1741898502.965724
-0.0455,-0.0115,0.140625,0.009521499,0.011535751,-0.054901,-0.029375,-0.1065,0.111,0.01419075,-0.03828425,0.00029,1741898502.980243
-0.038625,-0.022125,0.139375,0.0074920002,0.011795,-0.055862498,-0.0345,-0.113,0.11875,0.010147001,-0.035949748,0.0044250004,1741898502.998424
-0.020375,-0.045,0.135625,0.0064239996,0.012557999,-0.05596925,-0.045875,-0.10775,0.13425,0.008651749,-0.0343475,0.00691225,1741898503.009662
-0.014625,-0.055375,0.137625,0.00717175,0.01324475,-0.055236753,-0.048625,-0.100125,0.143625,0.0075835,-0.030426001,0.0114135,1741898503.024341
-0.012,-0.06175,0.138,0.006302,0.015304499,-0.05184925,-0.045875,-0.102625,0.15775,0.008194,-0.028289748,0.013549751,1741898503.038841
-0.008125,-0.06525,0.12775,0.0041044997,0.01579275,-0.04898075,-0.047875,-0.110375,0.16025,0.0069274995,-0.0237275,0.016037,1741898503.054162
-0.008875,-0.066375,0.1305,0.00201425,0.01655575,-0.0423125,-0.047625,-0.107,0.15625,0.0049285004,-0.020874001,0.017807,1741898503.068257
-0.012875,-0.07675,0.15975,0.0029755002,0.0186615,-0.039306752,-0.0445,-0.09375,0.15425,0.00169375,-0.014358499,0.0243225,1741898503.082962
-0.0085,-0.086875,0.166125,0.00555425,0.0261535,-0.03211975,-0.0345,-0.068125,0.153125,0.00109875,-0.0115205,0.02586375,1741898503.097714
0.006875,-0.104,0.156625,0.00631725,0.03012075,-0.02619925,-0.03325,-0.066,0.154125,0.00057975,-0.009002751,0.024505502,1741898503.112428
0.0105,-0.101625,0.147375,0.00744625,0.034195,-0.0186615,-0.040625,-0.064875,0.1535,0.00074775,-0.008224499,0.0263215,1741898503.127069
0.01325,-0.09675,0.135625,0.01019275,0.04116825,-0.00408925,-0.044125,-0.059875,0.15125,0.000824,-0.00708,0.02886975,1741898503.1417449
0.023875,-0.0855,0.109875,0.01013175,0.0426025,0.0012055,-0.047875,-0.049,0.15175,-0.000229,-0.0036315,0.03094475,1741898503.158334
0.029875,-0.08325,0.10075,0.0068969997,0.04068,0.0075682504,-0.04825,-0.043125,0.152875,-0.0013885,-0.0015105,0.03041075,1741898503.1779158
0.031375,-0.08225,0.097,0.0048674997,0.03886425,0.010757499,-0.047875,-0.0375,0.15225,-0.004074,0.00317375,0.027542,1741898503.1858811
0.02975,-0.073375,0.096625,0.0045625,0.03721625,0.018875,-0.0505,-0.0415,0.1465,-0.0049285004,0.00541675,0.026291,1741898503.200446
0.0365,-0.0605,0.086375,0.0059967497,0.03663625,0.022064252,-0.05275,-0.04775,0.14375,-0.0070342496,0.009491,0.02545175,1741898503.2176042
0.041875,-0.062625,0.07775,0.0067902496,0.03297425,0.027587999,-0.046875,-0.03675,0.141375,-0.00883475,0.012329,0.024261499,1741898503.229852
0.047125,-0.057125,0.066375,0.0062407497,0.03019725,0.0306245,-0.043,-0.025625,0.14,-0.0106355,0.017868,0.018982,1741898503.2445672
0.0485,-0.04925,0.063375,0.005844,0.02722175,0.03300475,-0.034125,-0.014375,0.134125,-0.0102845,0.020111,0.016388,1741898503.259229
0.050125,-0.043625,0.060875,0.00621025,0.0206145,0.0346375,-0.03125,-0.011625,0.131875,-0.00935375,0.023650998,0.011688249,1741898503.273878
0.05375,-0.038125,0.0585,0.00668325,0.01705925,0.03500375,-0.02975,-0.008125,0.128,-0.009017999,0.025268499,0.009201,1741898503.288439
0.055625,-0.035,0.0575,0.00839225,0.01013175,0.0365905,-0.02775,-0.01125,0.12425,-0.009506251,0.028716998,0.0041044997,1741898503.303154
0.056125,-0.028625,0.056125,0.0091705,0.006607,0.03733825,-0.02125,-0.016375,0.115125,-0.01071175,0.03050225,0.0016785001,1741898503.320939
0.0525,-0.023,0.055875,0.00889575,-0.0009765,0.037917998,-0.017625,-0.014375,0.111375,-0.01326,0.03424075,-0.0036315,1741898503.3326368
0.044875,-0.00575,0.0495,0.0072175004,-0.0052642496,0.03718575,-0.01125,-0.00025,0.108,-0.01402275,0.03598025,-0.00697325,1741898503.347618
0.044,-0.00125,0.046625,0.0047302498,-0.01026925,0.035431,-0.0105,0.003625,0.108,-0.01367175,0.038681,-0.013931249,1741898503.362345
0.043125,0.0,0.048125,-0.000824,-0.021636998,0.030456498,-0.00925,-0.0005,0.10725,-0.0128175,0.03955075,-0.0168,1741898503.37835
0.034625,0.0045,0.059625,-0.00331125,-0.0266265,0.02832025,-0.006,-0.0005,0.103,-0.010681249,0.039855998,-0.02149975,1741898503.3918662
