L-AccX,L-AccY,L-AccZ,L-GyrX,L-GyrY,L-GyrZ,R-AccX,R-AccY,R-AccZ,R-GyrX,R-GyrY,R-GyrZ,timestamp
0.0,-0.18,0.0975,0.0038,0.0009925,0.01831,-0.00125,0.0875,0.09,0.0004725,-0.000245,7.75e-05,1742001614.8735669
0.02,0.00875,0.01875,0.1195225,-0.073075,0.03598,-0.0,0.0875,0.09625,0.0007025,-0.0022274998,0.00087,1742001614.987335
-0.04625,-0.1225,0.13375,0.0289775,-0.028535,-0.052642502,-0.005,0.085,0.0875,0.0024875,-0.0061950004,-1.5e-05,1742001615.1029649
-0.1575,-0.2775,-0.0175,0.0461725,0.028549999,-0.045135,-0.01125,0.08,0.08125,0.0015725,-0.0016925,0.00296,1742001615.214634
-0.13625,-0.19625,-0.04875,-0.0124825,0.014495,0.0620575,-0.01375,0.08375,0.09375,-0.001405,0.0025475,0.0018475,1742001615.328631
-0.20625,-0.235,0.1175,-0.040665,0.0193025,0.0511475,-0.0025,0.065,0.08625,-0.0001975,0.002135,-0.0011900001,1742001615.4436638
-0.05125,-0.125,-0.03125,-0.0008075,-0.008850001,-0.0258625,-0.01,0.0875,0.08875,0.0012050001,-0.0003975,-0.00058,1742001615.563971
-0.075,-0.15875,0.01,0.0233,-0.008515,-0.0208125,-0.01125,0.0875,0.08625,0.00026,0.000365,-0.00032,1742001615.670609
-0.085,-0.17875,0.00375,-0.0016325001,-0.0006875,0.01236,-0.00875,0.0875,0.09,0.00059500005,0.0002125,0.0001375,1742001615.784744
-0.08375,-0.15,0.00625,-0.0093525,0.00467,0.0574025,-0.01,0.085,0.09,-0.00055,0.0001225,0.000305,1742001615.9036129
-0.085,-0.14,-0.0075,-0.0064250003,0.013152501,0.0517575,-0.00125,0.075,0.085,-0.0004425,3e-05,0.00113,1742001616.012662
-0.04,-0.0975,-0.0175,0.0027474998,-0.0051125004,-0.030075,-0.00625,0.08625,0.0925,0.0004125,0.0005025,-0.0013575,1742001616.126859
-0.05625,-0.13875,-0.02,0.0098425,-0.0078575,-0.024705,-0.01125,0.08625,0.0875,-0.000245,0.0012050001,-0.001175,1742001616.247921
-0.0875,-0.17,0.00875,0.0042575,-0.0027774998,-0.001465,-0.005,0.09,0.095,0.0001825,-9.25e-05,0.00058,1742001616.354785
-0.0975,-0.17875,-0.00875,-0.0090625,0.002685,0.0585175,-0.0175,0.08125,0.1125,0.0009775,0.0066975,0.0004725,1742001616.468655
-0.1275,-0.26125,0.06,-0.019165002,0.01625,0.0192875,0.00625,0.0825,0.09875,0.0036475,0.0149525,0.0013725,1742001616.583147
-0.0575,-0.10375,0.0025,-0.003585,-0.0030975002,-0.018905,0.01625,0.08625,0.065,0.0071575,0.0032650002,0.001785,1742001616.6968992
-0.0525,-0.13125,0.005,0.005235,-0.007065,-0.0202325,-0.00125,0.09,0.09375,0.00354,-0.0062725,-0.0016025,1742001616.8105888
-0.0725,-0.16625,0.01625,-0.00059500005,-6e-05,-0.000825,-0.0025,0.07625,0.1025,-0.0009625,-0.00174,-0.0010825,1742001616.924818
-0.09625,-0.17125,0.0075,0.0015575,0.0076149995,0.05185,0.0025,0.08125,0.09625,-0.0004125,-0.0007175,-0.00058,1742001617.042974
-0.1025,-0.12625,0.03,-0.0013125,0.004485,0.032212503,0.0,0.0825,0.1075,0.000107500004,0.00059500005,-0.000565,1742001617.15261
-0.03,-0.07625,0.0025,0.0148775,-0.002625,-0.03061,0.0075,0.08,0.09625,-0.00023,0.0,-0.00142,1742001617.2666152
-0.0675,-0.13375,-0.01375,0.00946,-0.005035,-0.0319375,0.00125,0.08125,0.095,-0.0016475001,0.0009625,-0.0018,1742001617.3834932
-0.0825,-0.13625,-0.00375,-0.00142,-0.0024575,-0.012542499,0.00625,0.07625,0.0925,0.0,-0.001175,0.00032,1742001617.494816
-0.10625,-0.18875,-0.0175,-0.0004275,-4.5e-05,0.03566,0.00125,0.07625,0.1,-0.000107500004,-0.0005025,0.0012975,1742001617.608583
-0.05125,-0.08875,-0.00125,-0.0136575,0.00583,0.0658275,0.00625,0.08125,0.09625,-0.0003825,-0.0001825,0.0010975,1742001617.7266119
-0.005,-0.07125,-0.0475,-0.026595,0.00647,-0.03862,-0.00125,0.07625,0.09375,-0.001725,0.0002125,0.00029,1742001617.843563
-0.04875,-0.11875,-0.01875,0.0009925,-0.00435,-0.032959998,0.00375,0.0775,0.09625,0.0001375,0.000655,-1.5e-05,1742001617.9507358
-0.06625,-0.1375,0.01375,-0.0054925,-0.0042575,-0.018142499,0.00125,0.0825,0.0975,-0.0010525,-0.000275,-3e-05,1742001618.064596
-0.09625,-0.20375,0.01125,-0.0018925001,0.007065,0.023772499,0.00125,0.08125,0.09375,-0.0003975,-6e-05,0.0003975,1742001618.1847308
-0.055,-0.09875,0.0025,-0.014985,0.0121,0.059785,0.0025,0.085,0.09625,-0.00087,0.0001975,-3e-05,1742001618.2925189
-0.02625,-0.06375,-0.04875,-0.0360575,0.0051574996,-0.0292675,-0.005,0.08125,0.09375,-0.00148,0.00029,0.0002125,1742001618.406718
-0.07125,-0.125,-0.01625,0.008880001,-0.0127575,-0.0372925,0.005,0.09125,0.0975,0.00064,0.0003825,0.000565,1742001618.5232818
-0.07375,-0.14875,0.02125,0.00377,-0.0093525,-0.0233,0.0025,0.0825,0.09375,-0.0009775,-0.00032,0.000625,1742001618.634488
-0.09875,-0.19375,0.0275,-0.00531,0.00734,0.0236675,0.00125,0.08625,0.09125,-0.00125,0.000107500004,0.0010075001,1742001618.748445
-0.0675,-0.10625,0.00375,-0.014527501,0.0173175,0.054977503,0.0025,0.085,0.0925,-0.00142,0.00055,0.0004725,1742001618.8633869
-0.02625,-0.08375,-0.0175,-0.0411225,-0.001145,-0.0051275003,-0.0025,0.08375,0.09,-0.0013875001,0.0007325,-1.5e-05,1742001618.983128
-0.05,-0.10875,0.00625,0.0399625,-0.0086525,-0.032759998,0.00625,0.095,0.095,-0.001405,0.000945,0.0,1742001619.090485
-0.08625,-0.145,-0.0125,0.0240175,-0.0092325,-0.021102501,0.0025,0.08625,0.09,0.000305,-0.000625,-0.00026,1742001619.2056189
-0.08625,-0.2025,0.00625,-0.0096424995,0.00033500002,0.024139998,0.00125,0.0875,0.08875,0.00058,0.00016750001,0.00033500002,1742001619.322701
-0.0675,-0.14,0.0075,-0.0155175,0.0124675,0.0573425,0.00375,0.085,0.09125,-6e-05,0.00045750002,0.0006875,1742001619.4324648
-0.01625,-0.085,-0.03,-0.02742,0.00016750001,0.0128475,0.0,0.09,0.0925,-0.0001225,0.00016750001,0.0011900001,1742001619.546669
-0.0525,-0.0925,-0.0,0.00174,-0.0064250003,-0.028747499,0.00625,0.09,0.0925,0.00029,3e-05,0.0007325,1742001619.664395
-0.06375,-0.135,0.015,0.002715,-0.0057225,-0.026977502,-0.00125,0.0875,0.09,0.00032,-0.00032,6e-05,1742001619.774527
-0.08,-0.1975,0.02625,-0.000825,0.0037225,0.0169975,0.0025,0.0875,0.09125,0.000855,-0.000305,0.000275,1742001619.888371
-0.06125,-0.135,0.01125,-0.02301,0.016145,0.0565025,0.00125,0.08625,0.09125,0.0001825,-0.000107500004,-0.00032,1742001620.003166
-0.025,-0.10375,0.00375,-0.0476225,0.003525,-0.0065774997,0.0025,0.08625,0.09125,-0.000107500004,0.0004425,0.00055,1742001620.122252
-0.0475,-0.11875,0.01,0.02217,-0.0074,-0.02208,0.0075,0.08625,0.0925,0.0004275,0.0004275,-0.00093,1742001620.230458
-0.0825,-0.16,0.00625,0.0052024997,-0.0075825,-0.021195,-0.00125,0.08625,0.09,0.000535,-0.0004425,-0.00035,1742001620.344474
-0.08125,-0.175,0.0225,0.0024575,0.001465,0.00937,0.00375,0.08625,0.0925,0.00048750002,-0.0003825,0.00035,1742001620.462935
-0.09,-0.17,0.00625,-0.0066075,0.01091,0.052995,0.00125,0.08375,0.0925,0.00061,9.25e-05,0.00032,1742001620.572439
-0.1425,-0.29875,0.06125,-0.00084,0.00801,0.043945,0.0,0.0925,0.0975,-0.00032,0.00023,-0.0001825,1742001620.68635
-0.02,-0.07125,0.0075,0.0387275,-0.0109250005,-0.0154125,0.00375,0.08375,0.09125,0.0002125,9.25e-05,-0.00091500004,1742001620.8027709
-0.05875,-0.1425,0.00625,0.0052024997,-0.0069425,-0.02362,-0.00125,0.085,0.09,-0.0004425,0.00035,0.00032,1742001620.9144871
-0.0825,-0.15625,0.01625,-0.0024100002,-0.002075,-0.01303,0.005,0.08625,0.0925,0.0,-0.0005025,0.0001975,1742001621.0285509
-0.0925,-0.21875,0.01,0.0022125002,0.00531,0.0336,-0.0025,0.085,0.0925,0.0001375,4.5e-05,0.00016750001,1742001621.143237
0.06625,0.2625,-0.155,0.03946,-0.0204325,-0.032654997,0.00125,0.085,0.0925,-0.000535,0.000625,-0.0001525,1742001621.262418
-0.00125,-0.08125,0.0125,0.008529999,-0.0027474998,-0.0104674995,-0.0025,0.09125,0.09,0.0001825,-0.00026,-0.00091500004,1742001621.370402
-0.0425,-0.12375,0.0025,0.0021199998,-0.0024100002,-0.02362,0.0,0.08625,0.09125,-0.0009775,0.0004125,-3e-05,1742001621.48442
-0.07125,-0.14,0.0075,-0.000855,-0.0019375,-0.018934999,0.00375,0.085,0.0925,-7.75e-05,-0.00016750001,-4.5e-05,1742001621.6021912
-0.0825,-0.19875,0.01625,-0.0013575,0.004745,0.019395001,-0.00125,0.0875,0.08875,0.0002125,-4.5e-05,0.0004125,1742001621.712308
-0.04875,-0.12125,0.0025,-0.0007775,0.0049274997,0.054595,0.005,0.085,0.09125,-0.00045750002,0.00045750002,-9.25e-05,1742001621.826305
-0.00375,-0.085,0.00625,-0.0013125,-0.00023,-0.011445,-0.0075,0.08875,0.095,0.0,-4.5e-05,0.000365,1742001621.9425201
-0.0375,-0.11,-0.00375,0.0040425,-0.0019225,-0.028549999,0.0025,0.085,0.09125,-0.0004125,0.0004125,0.00029,1742001622.0544488
-0.0525,-0.14625,0.005,-0.002365,-0.005355,-0.0196075,0.00125,0.0875,0.09125,-0.0001825,-1.5e-05,-0.000365,1742001622.168472
-0.07125,-0.19625,0.01875,-0.000107500004,0.0033875,0.020615,-0.0,0.08625,0.09,0.00029,6e-05,0.00055,1742001622.282325
-0.0425,-0.12,0.00125,-0.008957501,0.0074299998,0.0526125,0.00375,0.085,0.09125,-0.00048750002,0.0,-0.0001225,1742001622.402474
0.01375,-0.095,0.0075,-0.0006725,0.00148,-0.0042725,-0.0075,0.09,0.09375,-0.000275,-0.000305,0.0004125,1742001622.510294
-0.03375,-0.08,0.0025,0.0092,0.0009925,-0.033265,0.0075,0.0875,0.09375,-0.0007175,0.00033500002,-9.25e-05,1742001622.624197
-0.06,-0.12125,0.00875,0.00058,-0.0049274997,-0.027207501,0.00125,0.0875,0.09,-0.000565,-0.00016750001,-0.000565,1742001622.7383559
-0.07,-0.18125,0.0225,-0.00351,0.00116,0.009582501,0.0,0.0875,0.08875,0.0003975,-7.75e-05,0.000565,1742001622.852309
-0.07,-0.155,0.0125,-0.0046375,0.0063475,0.04451,0.0025,0.08625,0.09125,-0.00026,-0.0001225,-0.000107500004,1742001622.9663072
-0.12875,-0.25,0.06375,-0.04016,0.015502499,0.022765,-0.0025,0.0925,0.095,7.75e-05,-4.5e-05,0.0001525,1742001623.082131
-0.01875,-0.085,0.00375,0.0163125,-0.0013875001,-0.023102501,0.00375,0.08375,0.08875,-0.0001825,-0.0001225,-0.00029,1742001623.194488
-0.05875,-0.13125,-0.0125,0.0010675,-0.004975,-0.0264125,-0.00125,0.08625,0.09,-0.0003975,0.0001225,-0.00016750001,1742001623.308373
-0.07,-0.17,0.0175,0.0042425,-0.0056149997,-0.007095,0.0025,0.0875,0.09125,0.00016750001,3e-05,0.00035,1742001623.422495
-0.0775,-0.17875,0.0125,-0.0018775001,0.0043175,0.031785,-0.0,0.08625,0.09,0.0004125,-0.0001525,0.000245,1742001623.5417569
