L-AccX,L-AccY,L-AccZ,L-GyrX,L-GyrY,L-GyrZ,R-AccX,R-AccY,R-AccZ,R-GyrX,R-GyrY,R-GyrZ,timestamp
0.01875,0.02375,0.11875,-0.0006725,-0.00016750001,0.000365,-0.01375,-0.0625,0.13875,-0.001175,-0.000245,-0.00058,1742102924.26348
0.0175,0.02375,0.12125,-0.002625,-0.00016750001,0.00061,-0.01,-0.1,0.125,0.0738525,0.0193775,0.0387125,1742102924.376155
0.0175,0.0275,0.11875,-0.0012825,-0.00058,-0.00026,0.0,-0.08125,0.00125,0.077485,-0.034927502,0.032135,1742102924.489963
0.02,0.0275,0.12,-0.002395,-0.0010375,0.0009,-0.07875,-0.06375,0.03875,-0.000945,-0.11081,0.025162501,1742102924.60449
0.0175,0.0175,0.115,-0.0002125,0.0012975,-0.000885,0.02,-0.1225,0.14,0.0039975,0.04222,-0.011505,1742102924.717821
0.0175,0.0275,0.11875,0.00059500005,-0.00016750001,1.5e-05,0.01625,-0.1325,-0.04125,0.0340425,0.0442975,-0.0095975,1742102924.831072
0.01625,0.0275,0.11875,-0.001465,-0.001785,0.0002125,0.00875,-0.11125,-0.14,0.0037075,-0.019105,0.00949,1742102924.94505
0.015,0.0375,0.11875,0.0038,-0.0019075,-0.0002125,-0.035,-0.1075,0.02875,-0.047105,-0.10141,0.00441,1742102925.0638368
0.0125,0.025,0.11375,0.003555,0.0062100003,-0.0016475001,0.03625,-0.0775,0.11625,-0.00171,0.024475,0.0060575,1742102925.172828
0.01625,0.0175,0.11375,-0.0016325001,0.0046550003,-9.25e-05,0.01875,-0.105,-0.025,0.0099174995,0.0393375,-0.0201425,1742102925.2869482
0.01875,0.01125,0.12,0.0013725,0.0014500001,-0.0010525,0.00875,-0.10625,-0.13625,0.0037075,-0.02565,0.0063925,1742102925.405022
0.01875,0.03125,0.13625,0.0018300001,0.00087,-0.0020299999,0.11375,-0.22875,0.1075,0.0062725,0.0290075,-0.0060875,1742102925.5148952
0.02375,0.00875,0.13125,0.00116,0.0010375,0.0015875,0.045,-0.085,0.085,0.0124825,0.0302125,0.0034949998,1742102925.628758
0.01875,0.03,0.1125,-0.000305,0.0007625,-1.5e-05,0.0575,-0.08625,-0.03375,0.0213325,0.032287497,-0.0131075,1742102925.741955
0.02375,0.02625,0.12125,-0.0024875,0.0016475001,-4.5e-05,0.0325,-0.09875,-0.16375,-0.0036475,-0.038650002,-0.0008075,1742102925.856283
0.005,0.05625,0.13375,0.0061350004,0.0015875,-0.0037850002,0.12,-0.14625,0.115,-0.02826,0.0169975,0.016082501,1742102925.969824
0.0275,0.02875,0.12625,-0.004195,-0.0007175,0.002625,0.055,-0.0575,0.0575,0.0087749995,0.03769,-0.001755,1742102926.083972
0.0225,0.02625,0.11875,0.0019375,0.001495,-0.0007625,0.015,-0.11875,-0.09,0.01619,0.0248425,-0.0202325,1742102926.197937
0.02625,0.02875,0.11875,-0.0023800002,-0.00084,0.0004725,0.0025,-0.1225,-0.12625,-0.0299825,-0.0525975,0.007905,1742102926.312049
0.01125,0.0275,0.1075,0.0069125,0.0038,-0.0045025,0.0225,-0.0625,0.04875,-0.019105,-0.0074299998,0.02069,1742102926.425941
0.025,0.03875,0.1175,-0.0051424997,-0.0016325001,0.0028375,0.0425,-0.07875,0.04375,0.0206,0.038025003,-0.0152125,1742102926.5447838
0.025,0.025,0.11875,0.00125,0.0005025,-0.00122,0.02,-0.13875,-0.08125,0.0305025,0.0225525,-0.0129700005,1742102926.65397
0.0275,0.02875,0.1175,-0.0009625,-0.0006875,0.000825,0.0075,-0.1125,-0.10625,-0.0319225,-0.072127506,0.0048074997,1742102926.768049
0.01125,0.0225,0.10875,0.0064850003,0.0028375,-0.0041799997,0.04875,-0.0675,0.05625,-0.0199575,-0.0007325,0.027617501,1742102926.8847308
0.03,0.03375,0.1175,-0.0028525,-1.5e-05,0.00354,0.0425,-0.095,0.0175,0.01686,0.039169997,-0.010575,1742102926.9959009
0.02625,0.025,0.11875,0.0012825,-6e-05,-0.0013875001,0.00625,-0.1075,-0.03125,0.0207525,0.0266575,-0.01982,1742102927.1098938
0.03,0.025,0.11875,-0.001435,-0.000855,0.0007025,-0.01,-0.11625,-0.14125,-0.0352475,-0.0609425,0.01538,1742102927.229193
0.00125,0.05625,0.1225,0.0064250003,-0.0012825,-0.0054625003,0.225,-0.0,0.10625,-0.033355,-0.0095375,0.02095,1742102927.337875
0.0325,0.025,0.12125,-0.0031125,-0.0007175,0.002135,0.0475,-0.1,0.00125,0.0151525,0.0477,-0.01805,1742102927.4519129
0.02125,0.025,0.11875,-0.000655,0.00026,0.00048750002,0.035,-0.1125,-0.07625,0.009155,0.0059499997,-0.0005025,1742102927.565965
0.0225,0.02625,0.11875,0.001525,-0.0001525,-0.00142,0.02125,-0.015,0.1075,-0.014527501,-0.1085975,0.027055,1742102927.679887
0.0175,0.0225,0.1175,-0.00174,-0.00023,0.0015725,0.0475,-0.07375,0.13125,-0.0075675,0.033752497,-0.0013125,1742102927.7939641
