L-AccX,L-AccY,L-AccZ,L-GyrX,L-GyrY,L-GyrZ,R-AccX,R-AccY,R-AccZ,R-GyrX,R-GyrY,R-GyrZ,timestamp
-0.09,-0.06,1.01,-7.08,3.11,5.49,0.3,-0.69,0.74,16.3,12.57,52.67,1742237454.246302
-0.09,-0.05,0.99,-15.26,-10.38,20.87,0.29,-0.67,0.53,82.34,-22.58,81.05,1742237454.36047
-0.1,-0.04,0.92,-1.46,3.23,2.69,0.31,-0.49,0.26,62.99,-167.11,67.81,1742237454.47439
-0.09,-0.06,1.14,-46.69,28.63,4.58,-0.06,-0.29,0.95,16.91,-188.17,-35.52,1742237454.59169
-0.22,0.45,1.25,-154.48,56.46,-8.91,-0.28,-0.78,1.16,102.11,-5.74,-116.94,1742237454.711621
0.03,0.69,0.67,-54.08,93.87,-125.43,-0.34,-1.1,0.72,14.83,149.29,-54.2,1742237454.830105
0.36,0.13,0.44,-48.58,-3.48,-131.23,-0.19,-1.05,0.32,71.59,64.03,68.24,1742237454.930399
0.4,0.12,0.53,-151.25,-94.67,-38.82,0.06,-0.84,0.06,48.16,-49.19,108.09,1742237455.044318
0.14,0.54,0.99,4.21,-72.63,95.76,0.26,-0.39,0.3,31.92,-172.3,54.63,1742237455.1583302
-0.08,0.82,1.28,2.93,32.84,101.14,-0.01,-0.47,0.87,1.53,-130.86,-66.96,1742237455.272471
-0.17,1.06,0.76,-60.61,89.66,54.99,-0.36,-0.94,1.11,-0.92,44.92,-109.68,1742237455.39738
-0.08,0.99,0.24,23.62,87.71,-101.2,-0.45,-1.26,0.49,41.44,148.25,-18.68,1742237455.518018
0.38,0.47,0.22,-4.27,-7.93,-120.97,-0.32,-1.12,-0.09,35.89,71.59,98.82,1742237455.614395
0.46,-0.02,0.58,-73.67,-131.71,-72.2,0.01,-0.75,-0.08,-62.26,-58.23,89.84,1742237455.7373812
-0.04,0.49,1.14,-10.56,-67.63,106.32,0.12,-0.5,0.43,-58.72,-142.88,13.37,1742237455.856858
-0.19,0.89,1.21,22.52,42.85,80.38,-0.07,-0.5,0.76,8.42,-98.57,-76.9,1742237455.956519
-0.16,1.32,0.51,-20.45,126.04,34.0,-0.52,-1.06,1.08,31.37,26.37,-103.27,1742237456.070399
0.13,0.86,0.14,-32.84,19.17,-139.4,-0.42,-1.15,0.49,65.06,141.54,0.06,1742237456.188137
0.34,0.36,0.39,-0.79,-87.52,-97.23,-0.22,-1.03,-0.03,46.2,89.48,95.83,1742237456.3079958
0.16,0.29,0.82,-82.4,-144.29,-2.62,0.09,-0.62,0.04,-29.36,-30.15,122.44,1742237456.428116
-0.14,0.62,1.01,-80.38,16.36,143.13,0.23,-0.46,0.38,-23.68,-128.05,10.74,1742237456.5263
-0.3,1.16,0.84,-49.62,101.68,114.32,0.0,-0.57,0.67,9.34,-106.2,-78.0,1742237456.640383
-0.18,1.31,0.26,-55.91,118.41,-57.07,-0.37,-0.87,0.98,14.28,-21.73,-114.5,1742237456.7543948
0.15,0.82,0.09,24.29,19.53,-132.51,-0.49,-1.09,0.63,84.11,112.18,-41.44,1742237456.8716118
0.38,0.41,0.37,33.39,-80.81,-107.67,-0.46,-1.11,0.01,20.45,140.26,55.6,1742237456.991585
0.38,0.13,0.62,-78.25,-114.69,-19.04,-0.07,-0.87,-0.16,5.74,-12.51,117.37,1742237457.1111119
0.03,0.37,0.96,-45.53,-35.03,127.26,0.15,-0.56,0.16,-55.66,-101.93,45.17,1742237457.210316
-0.28,1.27,0.79,-23.68,55.73,165.71,0.08,-0.52,0.64,-6.29,-147.22,-50.78,1742237457.3328068
-0.25,1.3,0.23,-140.87,98.94,-47.24,-0.45,-0.89,0.78,49.8,-21.55,-109.74,1742237457.4441779
0.02,1.07,-0.11,27.16,46.26,-119.14,-0.55,-1.07,0.76,110.9,93.57,-31.62,1742237457.565221
0.25,0.61,0.15,108.89,-52.37,-119.08,-0.54,-1.27,-0.11,73.91,125.0,60.06,1742237457.667991
0.4,0.21,0.51,-29.36,-148.01,-66.96,-0.22,-0.97,-0.28,-3.6,-10.62,126.59,1742237457.780514
-0.07,0.52,0.83,-63.17,-55.54,93.75,0.16,-0.59,0.06,-53.22,-126.22,61.89,1742237457.9073331
-0.25,1.32,0.79,-14.4,98.63,174.13,0.17,-0.44,0.57,-39.0,-131.71,-22.09,1742237458.008373
-0.2,1.44,0.15,-167.6,106.02,-27.1,-0.36,-0.81,0.78,9.22,3.17,-107.54,1742237458.124141
0.1,1.01,-0.32,49.44,21.73,-140.5,-0.5,-1.17,0.61,19.78,85.21,-53.65,1742237458.245468
0.33,0.56,0.14,88.62,-57.5,-104.86,-0.35,-1.12,0.3,19.47,142.33,23.32,1742237458.3503191
0.45,0.31,0.46,-79.16,-127.32,5.31,-0.01,-0.85,0.01,68.85,37.17,122.44,1742237458.464187
0.04,0.85,0.77,-72.08,-43.33,87.1,0.11,-0.75,0.16,-54.2,-110.6,57.13,1742237458.583285
-0.08,1.04,0.4,-17.76,66.71,119.93,0.15,-0.48,0.53,36.74,-125.79,-25.33,1742237458.702425
-0.23,1.37,0.13,77.39,134.46,41.81,-0.39,-1.0,0.7,9.95,18.68,-116.52,1742237458.8090281
-0.0,1.12,0.15,34.61,45.04,-105.1,-0.51,-1.21,0.66,48.89,115.11,-57.86,1742237458.922539
0.25,0.68,0.11,79.53,10.13,-112.24,-0.3,-1.17,0.26,43.27,134.89,2.14,1742237459.034177
0.43,0.42,0.45,-24.41,-108.95,-70.62,-0.13,-1.0,0.04,20.75,70.62,109.01,1742237459.149452
0.24,0.37,0.61,-70.68,-86.24,38.45,0.22,-0.72,-0.04,10.38,-31.25,109.62,1742237459.265373
-0.18,1.05,0.88,21.42,11.84,158.57,0.36,-0.47,0.36,-21.06,-171.81,1.16,1742237459.376221
-0.13,1.17,0.68,-21.91,138.37,53.47,-0.1,-0.72,0.77,-8.54,-69.34,-104.0,1742237459.4904041
0.01,1.18,0.26,-25.51,113.34,-79.35,-0.24,-0.92,0.95,-4.46,62.19,-87.34,1742237459.607339
0.29,0.77,0.09,5.07,2.81,-134.09,-0.19,-1.13,0.55,28.75,146.73,-30.7,1742237459.7183669
0.45,0.37,0.44,-1.95,-114.5,-79.35,-0.07,-1.1,0.23,16.24,92.9,75.99,1742237459.8320498
0.27,0.28,0.73,21.24,-114.69,34.18,0.2,-0.75,0.11,26.18,-31.62,98.02,1742237459.9461079
-0.05,0.77,0.94,16.11,-30.33,159.55,0.37,-0.55,0.27,12.21,-141.85,9.16,1742237460.0616782
-0.15,1.12,0.88,-16.91,122.86,73.24,0.21,-0.6,0.56,53.89,-60.97,-70.19,1742237460.1742349
0.1,1.03,0.6,-34.18,125.67,-35.22,-0.04,-0.77,1.07,-57.5,51.03,-58.29,1742237460.289369
0.31,0.98,0.32,-47.49,75.32,-125.49,-0.11,-0.95,0.57,6.04,156.07,-55.11,1742237460.402227
0.49,0.48,0.24,19.59,-68.91,-98.69,-0.06,-1.18,0.22,17.94,97.29,17.52,1742237460.526696
0.49,0.08,0.65,24.84,-127.87,-6.96,0.16,-0.83,0.14,-34.36,20.32,106.69,1742237460.630166
0.2,0.28,0.73,-16.48,-159.24,120.73,0.26,-0.68,0.29,65.31,-155.4,75.62,1742237460.747353
-0.36,0.93,1.3,31.8,86.79,191.41,0.15,-0.45,0.71,0.12,-165.71,-24.29,1742237460.862568
0.03,1.06,0.79,-36.8,145.63,-19.65,-0.09,-0.83,0.98,-22.52,30.15,-121.34,1742237460.9840891
0.26,0.8,0.35,-84.11,78.31,-96.25,-0.14,-1.08,0.79,23.13,109.56,-81.12,1742237461.086242
0.4,0.54,0.37,-23.99,-73.97,-95.28,-0.03,-1.04,0.45,36.38,95.95,13.92,1742237461.200154
0.41,0.26,0.59,-32.71,-148.8,-39.67,0.1,-0.84,0.16,75.38,-29.79,104.92,1742237461.314152
-0.15,0.5,1.07,-14.04,-150.39,104.43,0.27,-0.59,0.36,30.58,-137.15,59.08,1742237461.428146
-0.13,0.68,0.92,-74.16,120.67,77.82,0.17,-0.44,0.71,-16.6,-137.02,-49.32,1742237461.544033
0.07,1.05,0.62,-72.57,136.23,5.0,-0.21,-0.9,0.76,9.03,32.84,-122.38,1742237461.662057
0.24,1.13,0.16,-35.16,58.78,-112.43,-0.25,-1.15,0.53,37.54,92.16,-71.04,1742237461.771842
0.42,0.55,0.23,8.48,-49.44,-109.92,-0.23,-1.14,0.34,26.92,85.82,15.81,1742237461.88406
0.48,0.28,0.54,-1.22,-123.6,-15.2,-0.1,-1.0,0.15,30.64,58.72,89.36,1742237462.004769
0.1,0.58,0.71,30.58,-191.16,117.92,0.21,-0.7,0.04,0.06,-108.09,92.16,1742237462.124606
-0.14,0.78,0.97,-54.93,71.96,109.56,0.15,-0.57,0.5,-13.61,-176.51,5.92,1742237462.226151
-0.03,1.16,0.62,-145.26,150.94,-21.55,-0.2,-0.72,0.76,-10.01,-33.51,-123.96,1742237462.344843
0.24,1.14,0.16,-49.74,106.02,-108.83,-0.46,-1.02,0.84,29.05,86.43,-88.5,1742237462.4654138
