L-AccX,L-AccY,L-AccZ,L-GyrX,L-GyrY,L-GyrZ,R-AccX,R-AccY,R-AccZ,R-GyrX,R-GyrY,R-GyrZ,timestamp
-0.0225,0.0,0.13875,-0.0063175,0.0020899998,0.000245,0.03625,-0.06375,0.10125,0.0001375,-0.00026,0.0002125,1742089551.994507
-0.0175,-0.01875,0.11375,0.01085,-0.0025775002,-0.001465,0.0375,-0.06375,0.10125,0.0004425,3e-05,0.0001825,1742089552.108137
-0.00875,-0.00875,0.12125,-0.00023,0.0001375,0.0028225,0.0375,-0.06375,0.1,-1.5e-05,-3e-05,-0.00023,1742089552.221416
0.00375,-0.00125,0.125,-0.0027,-0.00052,0.001405,0.03625,-0.065,0.1,0.00023,0.0001525,-0.0003975,1742089552.3351932
-0.00625,-0.005,0.1225,-0.000275,0.00061,-0.0007325,0.03625,-0.06375,0.10125,0.0004275,0.000305,-0.0001375,1742089552.449256
-0.00625,-0.00125,0.125,9.25e-05,0.0021525,-0.001755,0.03625,-0.0625,0.1025,-0.0001825,-0.0001225,4.5e-05,1742089552.563382
-0.00625,-0.00375,0.12125,-0.00045750002,-0.0016025,0.00052,0.03625,-0.06375,0.10125,-0.0001525,-0.0002125,0.000107500004,1742089552.677336
-0.0025,-0.00375,0.1225,-0.0004275,0.0009775,-0.000365,0.0375,-0.06375,0.10125,0.000365,0.0001375,-0.0001225,1742089552.7912571
-0.005,-0.0,0.125,-0.00029,0.0006875,-0.000107500004,0.03625,-0.06375,0.10125,0.0001825,6e-05,-0.0001225,1742089552.9052858
-0.00375,-0.00125,0.1225,-0.0004125,0.0012825,-0.00045750002,0.03625,-0.06375,0.1,0.0001225,9.25e-05,-0.0001525,1742089553.019228
-0.00375,0.0,0.1225,-0.00026,0.0007175,-0.000305,0.0375,-0.06375,0.10125,-9.25e-05,6e-05,-0.0001525,1742089553.13352
-0.0025,0.0,0.1225,0.000107500004,0.000107500004,-0.0001525,0.0375,-0.06625,0.09875,-0.00023,-0.0001525,4.5e-05,1742089553.2473521
-0.00375,-0.0025,0.1225,0.0001525,-7.75e-05,-0.0001375,0.03625,-0.06125,0.10375,0.000245,0.0005025,-0.00048750002,1742089553.361293
-0.00375,-0.0025,0.12125,0.0010675,-0.000275,-0.000365,0.0375,-0.0625,0.10125,-0.0002125,4.5e-05,-4.5e-05,1742089553.475341
-0.00375,-0.0025,0.1225,0.000275,0.0,-0.0002125,0.0375,-0.06375,0.1,-0.00032,-0.00045750002,-0.0003825,1742089553.5893528
-0.00375,-0.0025,0.1225,1.5e-05,4.5e-05,7.75e-05,0.03625,-0.0625,0.1025,0.0001225,-3e-05,-0.0001375,1742089553.703367
-0.00375,-0.0025,0.1225,0.000275,-4.5e-05,-4.5e-05,0.03625,-0.06375,0.10125,-0.0001825,-0.0001975,-3e-05,1742089553.8173702
-0.0025,-0.0025,0.1225,-9.25e-05,9.25e-05,-7.75e-05,0.03625,-0.0625,0.10125,-1.5e-05,-0.0002125,-0.0001975,1742089553.933471
-0.00375,-0.00125,0.12375,3e-05,-4.5e-05,-6e-05,0.03625,-0.0625,0.1025,-3e-05,-6e-05,-0.00016750001,1742089554.04537
-0.00375,-0.00125,0.1225,0.00023,-6e-05,-4.5e-05,0.035,-0.0625,0.1025,-0.00016750001,-9.25e-05,-9.25e-05,1742089554.159382
-0.00375,-0.0025,0.1225,9.25e-05,-6e-05,0.0,0.035,-0.0625,0.1025,-0.00016750001,-0.00016750001,-0.0001225,1742089554.2748759
-0.00375,-0.0025,0.1225,-4.5e-05,-1.5e-05,-4.5e-05,0.03625,-0.0625,0.1025,-0.0001225,-0.000107500004,0.0,1742089554.3873038
-0.00375,-0.0025,0.1225,4.5e-05,0.0,-1.5e-05,0.035,-0.0625,0.1025,0.0001225,0.0001525,-3e-05,1742089554.501214
-0.00375,-0.00125,0.1225,1.5e-05,3e-05,-6e-05,0.035,-0.0625,0.1025,0.0001525,-3e-05,-9.25e-05,1742089554.615289
-0.00375,-0.0025,0.1225,-3e-05,6e-05,-3e-05,0.035,-0.0625,0.1025,0.0001975,0.0001225,-7.75e-05,1742089554.729185
-0.00375,-0.00125,0.12375,0.0001225,-6e-05,-4.5e-05,0.035,-0.0625,0.1025,3e-05,9.25e-05,-6e-05,1742089554.843049
-0.00375,-0.0025,0.1225,0.0001975,-0.000107500004,-9.25e-05,0.035,-0.0625,0.10125,0.0001375,9.25e-05,-0.0001525,1742089554.95606
-0.00375,-0.0025,0.1225,7.75e-05,-3e-05,-6e-05,0.035,-0.0625,0.10125,7.75e-05,-4.5e-05,-6e-05,1742089555.069304
-0.00375,-0.0025,0.1225,-7.75e-05,7.75e-05,-6e-05,0.035,-0.0625,0.1025,4.5e-05,-4.5e-05,-9.25e-05,1742089555.1832929
-0.00375,-0.0025,0.1225,0.0001375,-3e-05,-6e-05,0.035,-0.0625,0.1025,-0.000107500004,-0.0002125,-0.000107500004,1742089555.29739
-0.005,-0.00375,0.1225,0.000107500004,-4.5e-05,0.0,0.035,-0.06375,0.1025,-0.0001375,0.0,4.5e-05,1742089555.413929
-0.00375,-0.00125,0.12375,9.25e-05,0.0,1.5e-05,0.035,-0.0625,0.1025,-0.0001225,-1.5e-05,6e-05,1742089555.5251951
-0.00375,-0.0025,0.1225,0.00016750001,3e-05,-0.000107500004,0.035,-0.0625,0.1025,-9.25e-05,3e-05,-4.5e-05,1742089555.63939
-0.00375,-0.00375,0.1225,-1.5e-05,9.25e-05,-6e-05,0.035,-0.0625,0.1025,-4.5e-05,-4.5e-05,-7.75e-05,1742089555.754715
-0.00375,-0.00375,0.1225,-7.75e-05,7.75e-05,-1.5e-05,0.035,-0.0625,0.1025,0.0,-1.5e-05,0.0,1742089555.867069
-0.00375,-0.0025,0.1225,-0.00016750001,0.0001825,0.00026,0.035,-0.06375,0.10125,-6e-05,-7.75e-05,7.75e-05,1742089555.980192
-0.00375,-0.0025,0.1225,0.0001375,1.5e-05,3e-05,0.035,-0.0625,0.1025,3e-05,9.25e-05,-6e-05,1742089556.094131
-0.00375,-0.0025,0.1225,-1.5e-05,3e-05,3e-05,0.035,-0.0625,0.1025,-0.0001525,-3e-05,-0.000107500004,1742089556.2083251
-0.00375,-0.0025,0.1225,0.0,6e-05,-7.75e-05,0.035,-0.0625,0.10375,0.0001525,0.0001375,-4.5e-05,1742089556.3221178
-0.00375,-0.0025,0.1225,-0.0001525,6e-05,7.75e-05,0.035,-0.0625,0.1025,0.000625,0.0004275,-7.75e-05,1742089556.436129
-0.00375,-0.0025,0.1225,-0.0001225,4.5e-05,-4.5e-05,0.035,-0.0625,0.1025,3e-05,-9.25e-05,0.0002125,1742089556.550095
-0.00375,-0.0025,0.1225,-4.5e-05,6e-05,0.0,0.03625,-0.0625,0.10125,0.00023,0.0001975,-0.0001375,1742089556.663177
-0.00375,-0.0025,0.1225,7.75e-05,0.0,-3e-05,0.035,-0.0625,0.1025,9.25e-05,0.000107500004,-6e-05,1742089556.7770581
-0.00375,-0.00125,0.1225,0.0001375,-3e-05,-6e-05,0.035,-0.0625,0.1025,0.00026,6e-05,-0.0001375,1742089556.8932521
-0.00375,-0.0025,0.1225,3e-05,-0.000107500004,4.5e-05,0.03625,-0.06375,0.10125,0.0002125,0.000245,-0.00016750001,1742089557.0041091
-0.005,-0.00125,0.1225,0.0001825,-0.0001975,-1.5e-05,0.03625,-0.0625,0.10125,0.0,4.5e-05,-0.0001975,1742089557.117999
-0.00375,-0.0025,0.1225,0.000365,-0.0001225,-6e-05,0.03625,-0.0625,0.1025,0.0001375,0.000275,-0.00026,1742089557.233597
-0.005,-0.0025,0.1225,0.0001225,0.0,-6e-05,0.03625,-0.0625,0.10125,0.000245,0.0001825,-0.0002125,1742089557.346109
-0.00375,-0.0025,0.1225,4.5e-05,0.0,6e-05,0.03625,-0.06375,0.10125,0.0002125,4.5e-05,-7.75e-05,1742089557.459071
-0.005,-0.0025,0.1225,0.0,-3e-05,1.5e-05,0.03625,-0.0625,0.10125,1.5e-05,-0.00016750001,-3e-05,1742089557.574186
-0.00375,-0.0025,0.1225,3e-05,1.5e-05,-9.25e-05,0.03625,-0.0625,0.1025,0.00029,0.00023,-0.0001375,1742089557.68711
-0.005,-0.0025,0.1225,3e-05,1.5e-05,-3e-05,0.03625,-0.06375,0.10125,-0.0001225,-0.0001225,4.5e-05,1742089557.801168
-0.00375,-0.0025,0.1225,0.000107500004,-1.5e-05,-0.000107500004,0.03625,-0.06375,0.1025,-9.25e-05,0.0,3e-05,1742089557.915094
-0.005,-0.0025,0.1225,0.0001375,-3e-05,-4.5e-05,0.03625,-0.06375,0.10125,0.0,-1.5e-05,-6e-05,1742089558.029127
-0.005,-0.0025,0.1225,1.5e-05,3e-05,-4.5e-05,0.03625,-0.06375,0.10125,3e-05,-0.0001225,0.0,1742089558.1430771
-0.00375,-0.0025,0.1225,6e-05,-1.5e-05,-6e-05,0.035,-0.06375,0.10375,0.00087,0.0005025,-0.0001825,1742089558.257117
-0.00375,-0.0025,0.1225,0.000365,-0.00016750001,-0.0001225,0.03625,-0.0625,0.1025,0.00026,0.00026,0.0001525,1742089558.373748
-0.005,-0.00375,0.1225,0.0001225,-3e-05,-9.25e-05,0.03625,-0.06375,0.10125,-3e-05,6e-05,3e-05,1742089558.483995
-0.00375,-0.00375,0.1225,-0.0001375,9.25e-05,6e-05,0.03625,-0.06375,0.10125,-7.75e-05,9.25e-05,0.0001225,1742089558.598007
-0.005,-0.00375,0.1225,0.0001525,-3e-05,-4.5e-05,0.03625,-0.06375,0.10125,3e-05,0.000107500004,-3e-05,1742089558.7138581
-0.005,-0.0025,0.1225,0.0004275,-7.75e-05,-9.25e-05,0.03625,-0.06375,0.10125,0.00026,0.0001825,-0.0001975,1742089558.82498
-0.005,-0.00375,0.1225,4.5e-05,4.5e-05,-4.5e-05,0.03625,-0.06375,0.10125,0.0001225,4.5e-05,-6e-05,1742089558.938945
-0.005,-0.00375,0.1225,-4.5e-05,9.25e-05,-4.5e-05,0.03625,-0.06375,0.10125,0.000107500004,7.75e-05,-6e-05,1742089559.054135
-0.005,-0.0025,0.1225,7.75e-05,3e-05,-1.5e-05,0.03625,-0.06375,0.10125,-0.000107500004,-6e-05,-6e-05,1742089559.1651578
