L-AccX,L-AccY,L-AccZ,L-GyrX,L-GyrY,L-GyrZ,R-AccX,R-AccY,R-AccZ,R-GyrX,R-GyrY,R-GyrZ,timestamp
0.48,0.49,0.71,5.68,11.05,11.54,-0.09,-0.39,1.06,-21.18,-61.95,-19.53,1742249201.97271
0.51,0.5,0.71,-2.26,10.56,-2.44,-0.39,-0.56,0.97,430.66,58.78,-13.92,1742249202.08579
0.63,0.58,0.74,-14.22,4.39,-26.55,-0.31,-1.34,-0.34,413.39,21.18,99.91,1742249202.1963918
0.65,0.43,0.61,-4.46,6.65,-54.87,0.12,-0.54,-0.48,73.43,-10.56,194.52,1742249202.310364
0.55,0.48,0.5,-27.28,-55.42,-29.6,0.45,-0.18,-0.72,32.84,36.38,57.01,1742249202.426456
0.42,0.61,0.9,-49.07,-93.57,-52.0,0.48,-0.73,-0.3,-59.2,-92.1,26.61,1742249202.5374432
0.39,0.35,0.84,-89.72,-35.22,-67.87,1.02,-0.7,-0.39,21.12,23.25,26.61,1742249202.651378
0.36,0.31,0.28,-26.43,-55.6,-21.97,0.32,-0.56,-0.48,23.74,67.93,31.13,1742249202.76959
0.22,0.47,0.94,-120.73,-29.11,-10.99,0.3,-0.36,-0.81,-19.41,3.72,-0.92,1742249202.878446
0.81,0.34,1.13,3.48,7.02,10.25,0.75,-0.65,-0.71,2.32,-139.16,-42.97,1742249202.992455
0.56,0.32,0.84,22.46,41.56,-16.78,0.95,-0.76,-0.21,-26.86,50.9,39.79,1742249203.10636
0.4,0.36,0.25,0.31,42.36,-28.56,0.5,-0.45,-0.26,54.87,92.77,29.54,1742249203.220244
0.48,0.25,0.63,-143.8,-46.75,10.68,0.03,-0.28,-0.96,24.6,76.84,48.58,1742249203.334313
0.89,0.47,0.91,-45.9,0.43,-6.96,0.42,-0.7,-0.57,31.25,-143.01,-127.62,1742249203.448493
0.74,0.31,0.88,33.57,-23.5,9.58,1.29,-0.73,0.2,8.0,31.68,10.25,1742249203.5659351
0.3,0.26,0.26,23.44,22.89,-19.29,0.97,-0.56,-0.41,3.72,67.57,16.54,1742249203.675244
0.52,-0.16,0.72,-49.99,-65.55,70.5,-0.14,-0.27,-1.29,0.79,79.47,38.82,1742249203.792165
0.76,0.34,1.08,25.76,-49.01,34.06,0.48,-0.43,-0.22,-2.99,-131.77,-97.47,1742249203.9070048
0.61,0.41,0.85,-4.15,-8.54,33.63,1.18,-0.76,-0.01,5.07,19.17,-2.93,1742249204.0173812
0.49,0.36,0.35,27.77,20.45,11.6,0.81,-0.66,-0.29,41.2,60.79,2.08,1742249204.131309
0.54,0.09,0.89,41.75,-20.75,9.09,-0.14,-0.14,-1.26,-32.23,50.72,100.16,1742249204.24975
0.77,0.35,0.92,113.83,-10.44,51.7,0.24,-0.56,-0.14,-2.08,-185.49,-57.13,1742249204.359494
0.61,0.4,0.96,-50.29,37.35,-13.79,1.68,-0.85,0.45,-7.45,-3.54,33.51,1742249204.4734662
0.54,0.37,0.39,25.7,36.5,-28.08,0.7,-0.65,-0.43,24.48,70.25,39.18,1742249204.587382
0.69,0.42,0.55,126.1,-42.72,3.05,0.06,-0.24,-1.05,-32.04,90.03,71.17,1742249204.702077
0.53,0.5,0.87,28.69,-41.02,17.33,0.17,-0.39,-0.81,-17.52,-151.55,-58.96,1742249204.815488
0.57,0.49,1.02,-48.1,-0.98,12.7,1.46,-0.9,0.26,-12.51,-62.07,-6.41,1742249204.929373
0.44,0.47,0.57,-50.66,35.16,-33.81,0.61,-0.77,-0.2,16.42,75.13,44.86,1742249205.0477388
0.63,0.35,0.46,79.47,54.26,-34.73,-0.01,-0.37,-1.14,56.76,101.81,23.07,1742249205.157272
0.49,0.56,0.75,1.1,-61.28,15.87,0.08,-0.36,-1.09,3.78,-109.44,-71.59,1742249205.271351
0.55,0.25,1.21,-24.84,6.84,-6.9,1.11,-0.66,-0.03,-41.14,-78.25,-18.68,1742249205.387688
0.66,0.24,0.51,-95.52,32.65,-30.03,0.85,-0.63,-0.44,35.34,7.87,4.21,1742249205.4991722
0.61,0.35,0.52,25.15,45.65,-29.54,0.39,-0.53,-0.73,2.75,88.38,46.02,1742249205.612214
0.57,0.68,0.48,-55.24,-24.72,-16.17,0.25,-0.25,-0.88,12.76,-48.1,-33.69,1742249205.7299619
0.63,0.32,1.25,-18.49,0.67,-22.89,1.07,-0.47,-0.2,-35.28,-88.44,-8.79,1742249205.8404858
0.38,0.39,0.82,-49.8,36.8,-31.8,1.0,-0.5,-0.16,-42.3,56.88,35.83,1742249205.954329
0.51,0.49,0.45,17.46,6.35,-26.55,0.29,-0.45,-0.76,67.26,81.79,-23.86,1742249206.068303
0.29,0.74,0.73,-86.91,-50.23,19.35,0.29,-0.19,-1.09,-55.05,-12.82,-6.16,1742249206.188283
0.74,0.23,1.29,-0.49,-11.47,1.59,0.78,-0.59,-0.52,-8.54,-137.21,-39.25,1742249206.296442
0.49,0.39,0.84,-48.34,48.03,-4.94,1.12,-0.51,-0.13,20.87,44.07,40.59,1742249206.41023
0.41,0.42,0.21,-1.83,18.98,-21.73,0.56,-0.39,-0.47,83.19,64.58,-32.59,1742249206.527335
0.55,0.04,0.79,-116.7,-50.11,31.01,0.2,-0.22,-1.05,-35.58,29.48,39.86,1742249206.638338
0.77,0.22,1.08,29.79,-32.41,2.5,0.33,-0.82,-0.34,-13.67,-115.66,-67.57,1742249206.752515
0.57,0.38,0.83,7.57,37.05,16.85,1.47,-0.44,0.34,-59.27,30.7,47.24,1742249206.8689861
0.43,0.43,0.34,-52.06,-1.59,-20.08,0.78,-0.38,-0.31,38.09,94.3,11.72,1742249206.9801831
0.6,-0.01,0.67,56.21,-18.25,19.78,0.1,-0.19,-1.09,14.22,42.85,26.92,1742249207.094209
0.64,0.3,0.89,13.06,-45.47,11.11,0.3,-0.39,-0.48,1.83,-162.29,-81.48,1742249207.209419
0.56,0.46,0.92,-22.83,-11.11,28.81,1.35,-0.76,0.17,-17.33,-56.03,-33.51,1742249207.3292239
0.55,0.3,0.47,-69.95,26.25,-16.24,0.85,-0.71,-0.17,10.68,65.55,35.77,1742249207.436112
0.68,0.4,0.65,67.93,109.07,-11.23,-0.0,-0.45,-1.03,48.16,72.14,16.91,1742249207.550208
0.66,0.58,0.34,-40.22,-83.31,11.41,0.11,-0.45,-0.91,3.11,-142.4,-59.63,1742249207.66873
0.46,0.4,1.18,-13.31,1.71,0.73,1.01,-0.67,-0.03,1.71,-81.91,-31.07,1742249207.778421
0.7,0.35,0.48,-46.51,59.51,-19.96,0.96,-0.62,-0.08,13.12,69.34,39.98,1742249207.892192
0.88,0.51,0.43,32.47,23.38,-25.33,0.18,-0.45,-0.83,57.56,108.64,33.69,1742249208.009325
0.56,0.53,0.33,-35.89,-84.05,17.58,0.34,-0.3,-1.07,-36.93,-29.66,-8.73,1742249208.1291788
0.62,0.27,1.34,-12.45,-20.51,-5.92,0.78,-0.7,-0.14,-59.33,-106.08,-54.93,1742249208.23442
0.41,0.36,0.77,-73.0,55.73,0.0,0.96,-0.78,-0.3,-15.69,82.58,60.3,1742249208.3495412
0.5,0.66,0.09,41.08,-15.44,-19.04,0.43,-0.38,-0.63,45.65,71.47,10.01,1742249208.4700701
0.38,0.59,0.69,-96.8,-69.46,0.67,0.41,-0.26,-1.04,-43.09,-54.93,-35.71,1742249208.576396
0.63,0.15,1.24,-27.89,-35.03,-13.0,0.68,-0.96,-0.07,-6.29,-148.13,-63.96,1742249208.6904252
0.49,0.38,0.74,2.81,60.36,0.37,0.98,-0.62,-0.28,-15.32,48.65,39.61,1742249208.808664
0.47,0.38,0.2,-25.88,-12.45,-13.24,0.34,-0.68,-0.48,54.81,82.28,25.82,1742249208.918172
0.44,0.5,0.82,-68.48,-26.79,10.07,0.25,-0.26,-0.99,27.16,-1.71,-49.99,1742249209.032314
0.73,0.23,1.2,-26.43,-51.76,6.16,0.71,-0.6,-0.67,13.67,-143.55,-49.56,1742249209.1493812
0.52,0.35,0.81,12.51,34.48,-15.99,1.07,-0.64,-0.11,-23.07,49.01,43.46,1742249209.260205
0.59,0.41,0.36,2.01,19.29,-7.02,0.51,-0.52,-0.36,54.87,85.57,15.69,1742249209.374131
0.67,0.15,0.65,-13.98,-72.51,22.28,0.16,-0.19,-1.1,-44.19,76.9,79.53,1742249209.490203
0.68,0.23,0.89,3.23,-41.56,2.93,0.3,-0.45,-0.49,-20.94,-147.03,-57.07,1742249209.610523
0.56,0.5,0.92,-15.93,5.62,5.31,1.41,-0.86,0.22,-39.31,-21.73,10.31,1742249209.7160802
0.64,0.37,0.49,-57.56,30.64,-13.55,0.85,-0.61,-0.52,39.25,133.73,45.17,1742249209.830401
0.66,0.42,0.34,62.62,-38.39,-18.25,-0.12,-0.36,-1.29,6.71,97.11,72.27,1742249209.950906
0.44,0.33,0.71,24.96,-111.94,12.7,0.13,-0.32,-0.91,-10.19,-171.33,-100.89,1742249210.0583308
0.31,0.46,1.07,-49.44,0.37,-16.11,1.25,-0.75,-0.05,-33.08,-106.2,-39.37,1742249210.172318
0.45,0.35,0.76,-25.45,77.94,-28.56,0.96,-0.58,-0.2,-35.34,38.76,17.58,1742249210.294862
0.64,0.32,0.5,11.47,37.9,-18.43,-0.07,-0.54,-0.9,49.87,115.23,9.46,1742249210.400154
0.42,0.58,0.6,-88.93,-48.65,28.2,0.31,-0.24,-1.22,63.96,-11.41,-42.54,1742249210.5142348
