L-AccX,L-AccY,L-AccZ,L-GyrX,L-GyrY,L-GyrZ,R-AccX,R-AccY,R-AccZ,R-GyrX,R-GyrY,R-GyrZ,timestamp
-0.7,0.51,-0.61,11.23,7.26,18.31,-0.85,0.06,1.39,94.12,24.72,-38.39,1742248545.324757
-0.64,0.5,-0.5,27.4,-7.51,-1.1,-0.3,-0.34,0.26,445.01,-242.31,47.67,1742248545.439907
-0.62,0.5,-0.44,-5.37,9.7,7.32,-0.2,-0.22,0.15,232.73,-343.26,-242.55,1742248545.553063
-0.73,0.51,-0.58,19.65,21.0,2.5,-0.95,-0.9,-0.34,210.33,-33.87,-199.52,1742248545.667099
-0.72,0.51,-0.46,13.18,-3.97,9.7,-1.17,-0.03,-0.8,163.51,-9.16,-69.34,1742248545.7810419
-0.72,0.38,-0.28,32.47,19.71,12.51,-1.05,0.22,-0.32,-14.1,31.8,-16.24,1742248545.901377
-0.72,0.43,-0.5,-12.57,-10.44,31.49,-0.95,0.12,-0.4,27.28,0.31,-40.65,1742248546.0088892
-0.83,0.52,-0.5,1.46,-0.37,18.07,-0.96,0.17,-0.36,19.41,6.23,4.09,1742248546.1227672
-0.82,0.48,-0.51,5.62,-7.2,-2.56,-0.94,0.16,-0.36,-4.94,2.81,11.23,1742248546.240875
-0.79,0.43,-0.5,-1.46,4.52,-7.87,-0.9,0.17,-0.34,-12.82,-1.46,0.73,1742248546.350969
-0.74,0.46,-0.42,-2.14,11.05,-4.39,-1.02,0.12,-0.36,-10.31,-1.28,1.28,1742248546.46495
-0.74,0.49,-0.41,2.5,-1.59,-14.34,-0.91,0.15,-0.34,-7.57,3.23,6.1,1742248546.583712
-0.75,0.49,-0.46,8.3,-1.46,-9.58,-0.94,0.14,-0.31,-1.71,4.7,2.5,1742248546.69292
-0.69,0.52,-0.46,12.27,-4.27,-14.04,-0.92,0.1,-0.29,0.61,5.49,12.39,1742248546.8067951
-0.73,0.52,-0.46,7.14,-3.91,-11.35,-0.94,0.13,-0.32,-0.06,1.46,13.24,1742248546.920873
-0.7,0.52,-0.45,5.13,-0.55,-6.9,-0.95,0.1,-0.31,5.92,1.28,1.83,1742248547.0348248
-0.74,0.57,-0.44,0.31,-3.66,5.13,-0.96,0.08,-0.31,7.02,-0.61,-5.86,1742248547.1490319
-0.67,0.57,-0.41,6.59,-2.38,-3.48,-0.94,0.08,-0.28,8.0,4.58,7.93,1742248547.2628
-0.77,0.54,-0.47,-0.85,-4.46,5.19,-0.98,0.12,-0.3,8.48,2.38,1.65,1742248547.37972
-0.68,0.57,-0.45,7.14,-5.98,-11.66,-0.93,0.04,-0.27,4.09,1.59,9.03,1742248547.490768
-0.69,0.58,-0.45,-6.53,-3.48,6.77,-0.98,0.09,-0.3,3.91,1.28,-10.8,1742248547.604784
-0.7,0.61,-0.45,-15.32,0.37,13.18,-0.93,0.03,-0.28,-5.55,-9.09,4.21,1742248547.720225
-0.68,0.56,-0.44,3.17,5.13,-10.93,-0.92,0.06,-0.29,-3.36,-4.58,14.59,1742248547.832897
-0.68,0.54,-0.45,5.07,4.76,-9.58,-0.92,0.05,-0.29,-0.49,-4.15,7.87,1742248547.946902
-0.7,0.56,-0.45,0.61,3.23,-2.32,-0.95,0.04,-0.3,5.07,-1.83,-2.75,1742248548.063929
-0.69,0.58,-0.45,-1.22,0.85,4.33,-0.96,0.03,-0.3,3.42,0.92,-7.32,1742248548.1793869
-0.69,0.58,-0.43,-3.97,0.0,3.66,-0.94,0.03,-0.32,-2.87,1.4,-3.78,1742248548.28894
-0.69,0.57,-0.43,-0.37,0.61,-1.46,-0.94,0.06,-0.31,-0.37,-0.06,-1.89,1742248548.4031029
-0.7,0.56,-0.43,0.73,0.98,0.37,-0.93,0.07,-0.31,2.69,-2.14,-2.69,1742248548.521143
-0.69,0.58,-0.44,3.54,-0.31,0.43,-0.96,0.05,-0.31,3.85,-0.18,0.12,1742248548.630864
-0.7,0.57,-0.44,2.69,-2.32,-4.09,-0.94,0.07,-0.31,0.06,0.55,3.3,1742248548.745049
-0.69,0.56,-0.43,0.24,-1.95,-0.37,-0.93,0.06,-0.31,1.65,1.1,-0.92,1742248548.860231
-0.69,0.59,-0.43,0.98,0.0,0.31,-0.95,0.05,-0.31,2.56,-0.31,0.0,1742248548.972762
-0.69,0.59,-0.44,0.12,-1.53,0.31,-0.95,0.04,-0.32,0.73,-0.24,-2.44,1742248549.086847
-0.68,0.57,-0.44,0.67,-1.16,-5.13,-0.94,0.07,-0.3,-1.46,-0.06,1.83,1742248549.2008471
-0.69,0.56,-0.45,-0.79,0.61,1.34,-0.93,0.06,-0.3,2.14,0.24,-2.32,1742248549.320904
-0.68,0.59,-0.43,0.12,0.79,4.09,-0.96,0.06,-0.32,3.36,-1.95,-4.7,1742248549.429834
-0.69,0.58,-0.44,1.95,-0.73,-3.17,-0.94,0.07,-0.31,-0.31,-2.2,3.42,1742248549.5438561
-0.69,0.56,-0.44,-0.98,0.18,-2.2,-0.94,0.08,-0.31,2.32,-0.85,1.04,1742248549.660295
-0.68,0.57,-0.44,-2.2,-0.18,0.73,-0.94,0.06,-0.31,-1.34,2.99,-3.17,1742248549.771832
-0.66,0.6,-0.44,-2.38,-2.5,-1.46,-0.94,0.06,-0.3,3.66,1.4,2.01,1742248549.885568
-0.68,0.57,-0.46,-3.85,-2.99,1.46,-0.94,0.08,-0.3,1.77,2.75,0.0,1742248550.000594
-0.67,0.56,-0.45,-0.49,-3.11,1.71,-0.93,0.09,-0.29,4.46,1.77,-0.79,1742248550.1136708
-0.67,0.56,-0.46,2.44,-3.05,3.11,-0.94,0.09,-0.3,8.12,0.79,-1.1,1742248550.2276852
-0.68,0.56,-0.47,1.65,-3.48,4.09,-0.94,0.08,-0.3,5.86,1.22,-0.92,1742248550.341669
-0.68,0.55,-0.47,0.31,-2.32,5.49,-0.94,0.1,-0.3,4.94,1.04,-5.13,1742248550.4596748
-0.69,0.56,-0.48,-0.37,-1.4,3.17,-0.94,0.11,-0.29,2.75,1.04,-0.92,1742248550.5697029
-0.69,0.55,-0.47,2.14,0.12,0.73,-0.95,0.12,-0.29,2.38,-0.37,-0.06,1742248550.683794
-0.69,0.53,-0.47,2.5,0.37,0.43,-0.94,0.12,-0.29,4.52,-0.24,0.06,1742248550.798923
-0.69,0.54,-0.47,1.95,-1.53,1.83,-0.95,0.12,-0.3,3.48,0.31,-1.4,1742248550.911666
