L-AccX,L-AccY,L-AccZ,L-GyrX,L-GyrY,L-GyrZ,R-AccX,R-AccY,R-AccZ,R-GyrX,R-GyrY,R-GyrZ,timestamp
0.71,-0.12,-0.77,6.9,-4.58,-0.06,-0.61,-0.45,1.13,-95.03,-23.56,-31.19,1742248819.1884632
0.7,-0.09,-0.69,4.94,-7.14,-2.38,-0.45,-0.39,1.08,26.37,109.56,136.29,1742248819.3021991
0.64,-0.17,-0.73,5.13,9.4,1.22,-0.05,0.05,0.86,62.07,69.7,179.93,1742248819.421344
0.72,-0.07,-0.68,-6.04,0.61,13.67,0.17,0.01,0.8,90.21,4.27,122.99,1742248819.528957
0.69,-0.11,-0.73,-13.12,18.25,6.9,0.22,-0.15,0.94,44.68,-11.47,74.83,1742248819.642175
0.74,-0.08,-0.77,-19.41,-2.99,9.4,0.29,-0.22,0.97,-8.12,-14.71,36.93,1742248819.761624
0.81,-0.08,-0.74,-26.37,-40.16,-0.98,0.31,-0.22,0.94,-32.04,30.4,34.3,1742248819.8702772
0.83,-0.12,-0.6,-23.99,-52.73,-14.22,0.42,-0.23,0.86,10.56,51.21,19.53,1742248819.984291
0.71,-0.19,-0.55,-4.88,-51.27,-10.8,0.5,-0.19,0.76,-2.14,26.73,15.2,1742248820.101527
0.77,-0.21,-0.41,-8.48,-9.83,-14.47,0.55,-0.08,0.8,-16.42,2.44,16.54,1742248820.212141
0.82,-0.25,-0.45,-2.56,3.91,-14.77,0.54,-0.08,0.86,-8.91,-1.34,10.38,1742248820.326284
0.83,-0.3,-0.47,4.27,2.08,-16.6,0.54,-0.08,0.83,-4.7,3.17,3.3,1742248820.4411461
0.82,-0.33,-0.47,-9.83,8.3,-5.74,0.54,-0.07,0.83,1.83,-3.54,-7.14,1742248820.554313
0.81,-0.32,-0.48,-5.86,8.85,4.64,0.52,-0.09,0.84,4.46,-8.42,-9.28,1742248820.668302
0.83,-0.31,-0.51,1.4,-0.43,9.52,0.53,-0.09,0.85,5.0,-8.61,-11.05,1742248820.78228
0.82,-0.29,-0.49,1.65,1.65,10.74,0.49,-0.14,0.83,-3.3,-3.17,-9.77,1742248820.90097
0.8,-0.25,-0.5,-4.39,4.27,6.96,0.47,-0.16,0.85,-2.38,-5.19,-2.5,1742248821.0103319
0.81,-0.22,-0.52,0.37,2.5,-1.83,0.49,-0.12,0.85,0.43,-1.16,6.16,1742248821.124067
0.8,-0.27,-0.52,3.23,0.43,-7.57,0.49,-0.08,0.87,-3.48,0.0,2.38,1742248821.240553
0.79,-0.29,-0.53,-1.34,1.53,-1.16,0.5,-0.1,0.87,-2.38,2.56,-1.65,1742248821.351315
0.81,-0.28,-0.52,-1.34,0.73,0.67,0.49,-0.08,0.86,-1.16,-0.43,-1.77,1742248821.465259
0.8,-0.27,-0.52,3.3,-2.26,2.2,0.48,-0.1,0.86,4.58,-11.78,2.14,1742248821.5840771
0.8,-0.27,-0.52,10.56,-1.22,-0.37,0.44,-0.11,0.91,7.57,-6.1,0.98,1742248821.693078
0.82,-0.26,-0.52,9.34,-6.04,4.03,0.47,-0.14,0.89,11.29,-0.06,-0.18,1742248821.806175
0.82,-0.23,-0.51,7.39,-2.5,3.66,0.46,-0.15,0.88,6.84,-5.49,-5.31,1742248821.920684
0.82,-0.23,-0.52,4.39,1.46,6.9,0.43,-0.15,0.9,6.9,-10.44,4.52,1742248822.0340638
0.82,-0.19,-0.52,14.71,1.1,-5.43,0.4,-0.18,0.89,1.65,-6.71,4.76,1742248822.148143
0.81,-0.17,-0.53,8.73,-0.43,-7.26,0.42,-0.16,0.9,0.43,-3.3,6.53,1742248822.262115
0.83,-0.21,-0.53,6.77,-1.65,-7.75,0.41,-0.14,0.91,-0.49,0.92,5.19,1742248822.379982
0.81,-0.21,-0.53,5.37,-2.69,-6.77,0.41,-0.13,0.91,0.61,1.16,7.14,1742248822.489166
0.81,-0.25,-0.54,2.44,-3.85,-4.82,0.42,-0.13,0.88,-0.18,0.49,4.88,1742248822.604864
0.81,-0.25,-0.53,8.36,-1.04,-4.27,0.42,-0.13,0.9,0.61,-0.43,-1.4,1742248822.720835
0.81,-0.22,-0.53,1.16,-0.12,1.77,0.41,-0.14,0.91,1.53,-0.43,-1.46,1742248822.830178
0.82,-0.22,-0.55,-2.14,-1.04,1.46,0.42,-0.16,0.9,-0.85,-2.44,3.66,1742248822.944191
0.82,-0.21,-0.52,2.87,0.67,-5.68,0.41,-0.13,0.9,-1.71,1.53,3.48,1742248823.06266
0.81,-0.23,-0.54,1.22,0.0,-4.88,0.42,-0.12,0.9,-0.49,-0.92,2.01,1742248823.1722
0.81,-0.25,-0.53,2.32,-0.67,-1.28,0.42,-0.11,0.9,-0.61,1.95,-4.03,1742248823.286179
0.81,-0.24,-0.52,-1.53,0.24,5.37,0.43,-0.13,0.89,0.12,0.61,-8.36,1742248823.400405
0.81,-0.22,-0.52,-1.95,2.38,7.63,0.41,-0.16,0.9,-1.04,-0.12,-8.79,1742248823.51423
0.83,-0.2,-0.54,-5.98,3.91,5.98,0.41,-0.16,0.91,-1.16,0.98,-6.41,1742248823.628177
0.82,-0.2,-0.54,-2.75,-1.04,4.76,0.43,-0.13,0.89,3.66,0.85,-7.87,1742248823.742065
0.81,-0.2,-0.52,-1.53,2.56,9.16,0.4,-0.19,0.89,4.64,-4.21,-10.93,1742248823.860608
0.82,-0.15,-0.54,-0.79,4.64,9.16,0.38,-0.2,0.91,-2.56,-0.43,-2.26,1742248823.970304
0.83,-0.15,-0.56,-1.22,0.85,-1.53,0.41,-0.18,0.91,-1.89,2.01,1.1,1742248824.0840771
0.82,-0.18,-0.54,-0.92,-1.34,-1.65,0.41,-0.17,0.88,0.43,1.22,0.61,1742248824.199826
0.81,-0.18,-0.53,0.18,-0.61,-0.79,0.42,-0.17,0.89,-1.1,-1.71,-0.98,1742248824.3113039
0.82,-0.18,-0.55,-0.24,1.71,-0.37,0.41,-0.17,0.89,-1.65,-2.62,-1.65,1742248824.425195
0.81,-0.18,-0.53,-1.28,3.42,0.73,0.4,-0.17,0.9,-0.43,-2.81,-1.4,1742248824.541932
0.81,-0.19,-0.55,1.1,2.01,0.67,0.39,-0.17,0.91,0.37,-1.89,0.31,1742248824.6529868
