L-AccX,L-AccY,L-AccZ,L-GyrX,L-GyrY,L-GyrZ,R-AccX,R-AccY,R-AccZ,R-GyrX,R-GyrY,R-GyrZ,timestamp
0.105,-0.16625,0.0875,-0.013534999,-0.0349425,0.00534,0.00375,-0.04875,0.11625,-0.0027625,-0.0001375,9.25e-05,1742093481.235015
-0.345,0.1525,0.2425,0.13958749,-0.0714875,0.0184475,0.00625,-0.04125,0.1125,-0.00232,0.0001375,0.00113,1742093481.348604
0.01625,-0.31625,-0.00875,-0.0570825,-0.023682501,-0.0499575,-0.00625,-0.04,0.1275,-0.00061,0.00171,0.00045750002,1742093481.462889
0.005,-0.0425,0.13375,-0.003815,-0.014205,0.0007325,0.01,-0.06125,0.11125,-0.0010225,0.0024725,-0.003175,1742093481.5814028
0.105,-0.10125,0.13125,-0.013152501,0.0039825,-0.0090325,0.0025,-0.055,0.1125,0.00302,-0.000855,4.5e-05,1742093481.6907258
0.11,-0.11375,0.1075,0.00125,-0.0059825,0.01822,0.0075,-0.05375,0.11375,-0.0018925001,-0.0004425,0.001235,1742093481.80547
-0.3075,0.05125,0.09,0.0255275,0.0574025,0.10179251,0.00625,-0.05,0.11375,-0.000655,-0.0003825,-0.0007325,1742093481.9221451
-0.19375,-0.02625,0.105,-0.030257499,0.042494997,-0.0633075,0.0025,-0.0425,0.115,-0.013182499,-0.00229,0.0007625,1742093482.0329669
-0.03375,-0.07125,0.12,0.026899999,-0.028245,-0.026137501,0.01375,-0.04,0.125,0.00177,-0.0010675,9.25e-05,1742093482.146806
0.04125,-0.1025,0.1225,0.0031275,0.0204475,-0.01233,-0.0025,-0.04,0.12,0.0075375,0.0022425,0.0006725,1742093482.262062
0.125,-0.1275,0.07125,0.00508,0.008225,0.0183875,0.01125,-0.05375,0.1125,0.0019824998,-0.0004275,0.0008075,1742093482.374502
-0.14625,-0.08375,0.10375,-0.02925,0.022675,0.05873,0.00375,-0.0475,0.11625,-0.0009775,0.000855,-0.0011900001,1742093482.48771
-0.14625,0.085,0.16125,-0.0485375,0.035462502,-0.05899,0.005,-0.04125,0.12,-0.0010225,0.0009,-0.001235,1742093482.6019258
-0.00625,-0.1475,0.08625,0.0021975,-0.0271,-0.042494997,0.01375,-0.055,0.11375,0.004975,0.0010675,0.0004275,1742093482.721332
0.02125,-0.10375,0.16375,-0.02208,-0.013245,-0.0136575,0.0125,-0.04875,0.10625,0.0052175,0.0062100003,-0.0048825,1742093482.829826
0.1175,-0.13625,0.1075,0.00357,0.009415,0.016785,0.01375,-0.06125,0.1075,0.0054025003,-0.0004125,0.0001975,1742093482.9435
-0.1075,-0.06875,0.14,-0.0059975,0.045105,0.044982497,0.0125,-0.06125,0.10875,-0.0086675,-0.0022574998,-0.00151,1742093483.0619001
-0.1,0.13375,0.165,-0.0343175,0.0099325,-0.045715,0.0125,-0.05375,0.11125,-0.0024575,0.000655,-0.000305,1742093483.170711
-0.005,-0.12875,0.095,0.00731,-0.025969999,-0.026215,0.01875,-0.0575,0.1075,0.0038299998,-0.0004275,0.0004125,1742093483.284828
0.01125,-0.03375,0.13375,-0.00949,-0.0099475,-0.0095975,0.00875,-0.0525,0.11125,0.0042725,0.000655,-0.002395,1742093483.401731
0.09,-0.115,0.11125,0.0004725,0.008195,-0.0019375,0.01,-0.0625,0.11,-6e-05,-0.0021199998,0.0015725,1742093483.512657
0.11625,-0.18125,0.11375,-0.00882,-0.0122825,0.016815001,0.01,-0.06,0.1075,-0.0030675002,-0.000305,-0.0007025,1742093483.626713
-0.23875,0.09625,0.12125,-0.00859,0.0066525,0.0517425,0.01,-0.0575,0.11,-0.0022274998,0.0006875,0.00026,1742093483.7421079
-0.07125,-0.0925,0.0825,-0.0072325002,-0.008515,-0.038025003,0.005,-0.0575,0.11375,0.0036475,0.000625,0.00048750002,1742093483.854883
0.02875,-0.14375,0.1725,-0.03502,-0.0243225,-0.023345,0.015,-0.0575,0.10875,-1.5e-05,-0.0001375,-0.000655,1742093483.968813
0.065,-0.15,0.15125,-0.0058899997,-0.0024425,-0.0019075,0.00875,-0.05625,0.11125,0.0019675,-0.0022274998,0.0029000002,1742093484.082925
0.11,-0.11625,0.12125,-0.002335,0.0063925,0.032927502,0.01125,-0.06,0.1075,-0.0005025,-3e-05,-0.00033500002,1742093484.20149
-0.35375,0.06875,0.11,0.0693675,0.0546575,0.10167,0.00875,-0.05625,0.11125,-0.0057075,-0.000565,-0.000275,1742093484.310613
-0.12875,-0.01875,0.1275,-0.0025775002,0.0089275,-0.0478525,-0.0,-0.045,0.1175,-0.000275,0.000107500004,-0.000855,1742093484.4249752
-0.055,-0.04,0.12125,0.00093,-0.0249625,-0.0361025,0.0175,-0.055,0.11125,-0.0009775,0.00016750001,-0.0010825,1742093484.5416121
0.00625,-0.0775,0.11875,-0.0002125,-0.0021525,-0.028182501,0.0025,-0.05375,0.11125,0.0027774998,-0.0009,0.0004725,1742093484.652929
0.07875,-0.15875,0.1025,-0.0040599997,0.0110925,0.0020599999,0.0125,-0.05625,0.11,0.00064,1.5e-05,-0.00058,1742093484.766519
0.05,-0.14,0.1125,-0.018265,-0.0089724995,0.05243,0.00875,-0.0525,0.1125,-0.0018925001,-0.000365,6e-05,1742093484.8806741
-0.31125,0.06375,0.1875,0.10344,0.0042725,0.09047,0.0075,-0.0525,0.1125,-0.0044699996,0.000305,-0.0003975,1742093484.9946449
-0.09125,-0.05,0.08125,-0.022782499,-0.0058449996,-0.055755,0.00125,-0.04625,0.11875,0.002105,0.00154,-0.00113,1742093485.1088371
-0.0375,-0.065,0.12375,0.02417,-0.02861,-0.03981,0.01375,-0.05125,0.11375,-0.0007025,4.5e-05,-0.00171,1742093485.2228649
0.04125,-0.09375,0.12,0.020569999,0.0205525,0.000107500004,0.005,-0.05125,0.115,0.0016625,-0.0011900001,0.001725,1742093485.336417
0.09125,-0.1375,0.10125,-0.01036,0.00348,0.03131,0.00875,-0.05375,0.1125,-0.00055,0.0005025,-0.00048750002,1742093485.449594
-0.3625,0.06375,0.09625,0.0505675,0.049895,0.10942,0.00875,-0.05125,0.115,-0.0034475,0.00032,-0.0007775,1742093485.563648
-0.12,0.00625,0.13625,-0.0157775,0.0184025,-0.059830002,-0.00125,-0.04125,0.12375,-0.001115,0.0016625,-0.0012675,1742093485.68191
-0.03625,-0.0475,0.0975,0.0165875,-0.038634997,-0.04387,0.01875,-0.04875,0.1125,0.0021675,-0.0006725,-0.00055,1742093485.7917151
-0.00625,-0.08,0.1375,-0.00972,-0.0069575,-0.025940001,0.005,-0.04875,0.115,0.00235,-0.0013725,0.00084,1742093485.905806
0.065,-0.13,0.1075,0.000655,0.0166325,0.0050975,0.00875,-0.04875,0.11625,0.0013425,0.0,0.0001975,1742093486.021989
0.06625,-0.17625,0.0975,-0.006745,-0.0101775,0.0475925,0.01125,-0.05,0.1125,-0.001725,0.000245,-0.0010225,1742093486.132864
-0.29875,-0.0125,0.165,0.101485,-0.03073,0.06652749,0.00625,-0.05,0.11375,-0.002685,0.0002125,-0.0007325,1742093486.2466838
-0.1025,-0.04125,0.095,-0.0039375,0.021790002,-0.0561225,0.00125,-0.04625,0.1175,0.0025325,0.001495,-0.00151,1742093486.3672352
-0.05375,-0.075,0.12625,0.0163125,-0.0204925,-0.043975,0.015,-0.05,0.11375,0.001435,-0.00032,-0.001435,1742093486.4746869
0.01875,-0.125,0.11875,-0.0137775,0.002135,-0.01912,0.00375,-0.05125,0.11375,0.0007175,-0.0007475,0.001235,1742093486.588853
