L-AccX,L-AccY,L-AccZ,L-GyrX,L-GyrY,L-GyrZ,R-AccX,R-AccY,R-AccZ,R-GyrX,R-GyrY,R-GyrZ,timestamp
0.005,-0.01125,0.11625,0.000535,-0.0003825,-0.00052,-0.00875,-0.02125,0.12375,0.0015875,-0.0003825,-0.00032,1742093511.201447
0.00625,-0.02375,0.1275,0.0010375,0.0001525,0.0013575,-0.0075,-0.0275,0.12625,0.0037525,0.0007025,-0.0022274998,1742093511.3147619
0.01375,-0.0375,0.155,0.005875,0.009095,0.0021825,-0.03125,-0.02375,0.15,0.0001825,0.00122,0.0009,1742093511.4277241
0.01,-0.01125,0.12625,0.0116875,0.0307475,0.006745,-0.02,-0.01625,0.1625,-0.0054925,0.0062725,0.00299,1742093511.540767
0.03125,-0.00625,0.06625,0.00122,0.019225,0.00148,0.00125,-0.01875,0.11,-0.0068975003,0.032075,0.0027774998,1742093511.659755
0.045,-0.03625,0.0675,-0.0104975,-0.012405,-0.0062399996,0.03375,-0.01375,0.05625,-0.0016925,0.019790001,0.0019824998,1742093511.768078
0.0325,-0.03,0.09,-0.0168,-0.0298775,0.00048750002,0.04375,-0.01375,0.065,0.0151375,-0.016617501,0.0010675,1742093511.881984
-0.13125,-0.09375,0.3975,0.0399175,-0.0317225,-0.016815001,0.0275,-0.0175,0.11125,0.0027325,-0.0543375,-0.01059,1742093512.0006442
0.0,-0.06,0.15875,0.0261075,0.04428,0.0122675,0.04125,0.04875,0.1975,0.014755,0.0231475,-0.013215,1742093512.109766
0.02375,-0.01,0.0675,0.0134425005,0.0308525,0.01175,-0.00375,-0.01875,0.145,-0.00969,0.0379175,-0.00702,1742093512.223674
0.04375,-0.01875,0.0575,-0.00328,-0.0021675,0.001115,0.0275,-0.02,0.07375,-0.00554,0.0355525,-0.002595,1742093512.3372202
0.03625,-0.0175,0.08125,-0.012390001,-0.029815001,-0.00685,0.0525,-0.0175,0.0475,0.0033575,-0.0001375,-0.0013875001,1742093512.45118
-0.01625,-0.02625,0.14,-0.001755,-0.0820625,-0.0075825,0.02625,-0.0225,0.0725,0.0073249997,-0.041732498,0.00052,1742093512.5652401
-0.015,-0.02375,0.18625,0.0245675,0.027069999,0.0112924995,-0.04625,-0.01375,0.22125,0.0058899997,-0.0719,0.0062725,1742093512.679797
0.01375,-0.0025,0.09,0.02028,0.041595,0.013534999,-0.00875,-0.01875,0.17875,-0.020325001,0.0358425,-0.005035,1742093512.792876
0.05375,-0.01,0.03625,0.0013125,0.0064250003,0.001525,0.02,-0.0225,0.095,-0.00566,0.03981,0.00264,1742093512.906825
0.04625,-0.00875,0.05375,-0.0115825,-0.041702498,-0.0080575,0.0475,-0.0075,0.05,-0.002045,0.009872501,0.004685,1742093513.0209332
-0.01875,-0.02125,0.115,-0.0074775,-0.07283,-0.0112924995,0.0375,-0.005,0.0475,0.003525,-0.03653,-0.00125,1742093513.140096
-0.0075,0.01125,0.18375,-0.04068,0.00319,-0.0044400003,-0.02125,-0.015,0.16125,-0.0065925,-0.0814975,0.0033575,1742093513.248905
0.01,-0.0075,0.1,0.005935,0.040375,0.00998,-0.0125,-0.01875,0.175,-0.0041799997,0.0163575,-0.0078425,1742093513.3659441
0.045,-0.01625,0.05125,-7.75e-05,0.019165002,0.005935,0.01,-0.02,0.11125,-0.0066075,0.039564997,-0.001725,1742093513.4803252
0.0625,-0.02125,0.04,-0.009385,-0.011779999,-0.0063925,0.04625,-0.02125,0.0675,0.0034949998,0.028959999,0.00061,1742093513.589994
0.015,0.005,0.06,-0.0168925,-0.02719,-0.0119475005,0.05875,-0.0025,0.02125,0.01204,-0.01059,0.0027474998,1742093513.703967
-0.07375,-0.21,0.32,0.0299375,0.0439,0.017165001,0.00625,-0.0225,0.08125,-0.00467,-0.074525,0.0018150001,1742093513.817825
0.0075,-0.05625,0.145,0.0136425,0.041840002,0.0166775,0.02,-0.035,0.18125,0.046295,0.0006725,-0.0181125,1742093513.9318452
0.035,-0.005,0.05875,0.00566,0.026535,0.00969,0.01125,-0.03125,0.1225,-0.0028675,0.040404998,-0.001175,1742093514.045716
0.05625,-0.02,0.04375,-0.0087275,-0.0049125,-0.00586,0.04,-0.015,0.0725,-0.000825,0.027055,0.0027774998,1742093514.160406
0.03375,-0.01875,0.0675,-0.0168,-0.0248575,-0.0081025,0.05875,-0.00375,0.04625,0.0072475,0.0019075,0.001785,1742093514.273004
-0.02875,-0.02125,0.155,-9.25e-05,-0.07158,-0.0128925,0.03625,-0.0175,0.0575,0.006225,-0.031432502,0.00059500005,1742093514.387084
-0.02,-0.0125,0.18,0.0157775,0.0239575,0.0060725003,-0.0975,-0.1025,0.36,-0.007065,-0.03691,0.007995,1742093514.5008729
0.01375,-0.02125,0.09625,0.021485,0.037842497,0.010865,0.0025,-0.01625,0.18375,-0.0128925,0.029755,-0.00045750002,1742093514.614675
0.05125,-0.0125,0.03375,0.0024575,0.014405,0.0036324998,0.02125,-0.01875,0.0975,-0.00441,0.042205002,0.0028375,1742093514.728677
0.0425,-0.02,0.07,-0.00911,-0.0313575,-0.0053875,0.05875,-0.0075,0.035,0.0036,0.0157325,0.001785,1742093514.845845
-0.0075,0.0,0.1,-0.0077525,-0.0634775,-0.0072025,0.045,-0.0125,0.0625,0.0036324998,-0.03682,-0.0066225,1742093514.9609442
0.0225,-0.04875,0.18,-0.04831,0.0123149995,0.01088,0.0075,-0.01125,0.11875,0.0112924995,-0.061905,-0.00618,1742093515.070821
0.005,-0.01125,0.13125,0.008117501,0.047485,0.0145725,0.015,-0.0625,0.14875,0.0375225,0.01474,-0.0134575,1742093515.184722
0.0475,-0.00125,0.04875,0.0084224995,0.029450001,0.0077199996,0.0225,-0.0225,0.12125,-0.0089875,0.0452575,0.0024425,1742093515.3038342
