L-AccX,L-AccY,L-AccZ,L-GyrX,L-GyrY,L-GyrZ,R-AccX,R-AccY,R-AccZ,R-GyrX,R-GyrY,R-GyrZ,timestamp
-0.01,-0.01375,0.11,0.0042425,-0.0007625,0.00328,-0.13,0.0175,0.15125,0.0181725,-0.0151675,-0.0337375,1742093459.355047
0.00875,-0.00375,0.12125,-0.003205,-0.0004125,0.0010975,-0.105,0.01875,0.14875,0.038665,0.0266125,0.022385,1742093459.478229
-0.0025,-0.00875,0.125,0.000655,0.00048750002,-0.00064,0.04375,0.02375,0.09375,-0.000245,0.01587,0.0189975,1742093459.588463
0.0,-0.0075,0.125,0.0013125,-0.0013725,-0.0013425,0.15625,0.03625,0.08125,-0.0040425,-0.0012050001,0.0007775,1742093459.696384
-0.00375,-0.0125,0.11625,-0.000855,0.0005025,0.000365,0.1275,0.03125,0.0875,-0.0092175,0.0048375,0.00679,1742093459.810364
0.0025,-0.00125,0.125,-0.0001975,-0.0028525,-0.0018300001,0.05625,0.045,0.0725,-0.00502,-0.020537501,-0.0139325,1742093459.92877
-0.00875,-0.005,0.1275,-0.001435,0.0002125,0.00033500002,-0.1675,-0.02375,0.18125,-0.0219125,-0.021317499,-0.0172875,1742093460.041215
-0.005,-0.0025,0.1225,-0.0013125,-0.0006725,-0.0001375,-0.01,0.0275,0.11125,0.0207675,0.007935,0.0257875,1742093460.1544142
-0.0075,-0.01125,0.1225,6e-05,-0.0002125,-0.000565,0.14125,0.0425,0.1175,0.00079250004,-0.000365,-0.000855,1742093460.266392
-0.005,-0.00125,0.12125,-0.002305,0.0003975,4.5e-05,0.12,0.01875,0.09125,-0.004105,0.0108025,-0.0025475,1742093460.381482
-0.0025,-0.00375,0.12375,0.0039975,-0.00055,-0.00058,0.05375,0.0375,0.08,0.0010225,-0.0196225,-0.0204625,1742093460.501767
-0.0125,0.00875,0.1275,-0.0036925,0.001465,0.00328,-0.15625,-0.0125,0.2,-0.0314175,-0.0137775,-0.0177775,1742093460.608087
