L-AccX,L-AccY,L-AccZ,L-GyrX,L-GyrY,L-GyrZ,R-AccX,R-AccY,R-AccZ,R-GyrX,R-GyrY,R-GyrZ,timestamp
0.02,0.29,-0.89,-8.24,10.01,-5.98,-0.08,0.11,1.11,-2.2,-18.49,-1.04,1742226656.774969
-0.03,0.2,-1.02,-32.9,23.01,25.63,-0.08,0.14,1.2,-21.73,-18.43,-2.5,1742226656.882483
-0.07,0.2,-0.94,-22.52,12.57,30.33,-0.08,0.08,1.13,13.24,77.45,7.14,1742226656.996546
-0.15,0.64,-1.27,7.02,-3.05,9.28,0.14,0.12,0.93,-3.42,65.25,11.47,1742226657.114366
-0.3,0.08,-1.87,180.85,-110.41,-112.0,0.17,0.06,0.86,4.88,40.22,28.5,1742226657.224637
-0.08,0.15,-0.05,78.43,-61.77,-74.71,0.25,0.08,0.74,6.9,-18.55,47.85,1742226657.344665
0.05,0.14,-1.03,-133.12,61.1,55.24,0.51,0.37,1.41,10.8,178.96,-16.11,1742226657.456797
-0.05,0.45,-1.36,-74.04,50.35,73.18,0.32,0.27,0.92,-26.86,10.07,-2.87,1742226657.566535
-0.53,0.78,-1.95,117.13,-54.87,-65.37,0.27,0.09,0.84,-3.48,4.52,-7.81,1742226657.680655
0.18,-1.06,0.8,92.71,125.18,88.44,0.35,0.16,0.77,-0.55,-12.02,6.23,1742226657.794797
0.03,0.07,-0.67,-168.33,88.87,92.77,0.36,0.3,0.89,-33.39,-102.23,18.31,1742226657.913718
-0.3,0.58,-1.46,-150.76,-16.36,83.62,0.21,0.11,0.55,31.37,-19.23,-1.83,1742226658.02161
-0.23,0.76,-1.6,36.56,-29.66,-18.68,0.24,0.15,0.88,-1.28,-16.3,1.53,1742226658.135587
-0.35,-0.32,-1.09,169.86,-79.1,-138.92,0.3,0.21,0.92,-4.33,-11.96,-4.27,1742226658.254984
0.09,-0.04,-0.05,6.23,18.55,-37.41,0.27,0.14,0.84,7.2,-40.53,24.41,1742226658.3635259
-0.24,0.45,-1.38,-146.48,70.37,100.71,0.44,0.42,0.88,-9.46,131.59,-6.04,1742226658.477526
-0.34,0.47,-1.81,-58.78,42.18,24.05,0.35,0.22,0.83,-15.69,-14.16,-18.86,1742226658.593858
-0.3,-0.02,-1.07,245.3,-149.54,-150.7,0.28,0.16,0.93,-0.98,-7.02,-4.15,1742226658.714454
-0.04,0.05,0.03,15.87,5.68,-42.54,0.31,0.12,0.84,-3.05,-22.52,5.31,1742226658.819412
-0.09,0.02,-1.25,-166.2,52.43,102.42,0.3,0.3,1.49,25.7,184.75,-3.97,1742226658.935234
-0.49,0.54,-1.62,-64.64,7.69,65.25,0.42,0.23,0.82,-18.86,2.08,-4.33,1742226659.058211
-0.49,0.51,-1.59,100.46,-45.9,-96.44,0.32,0.17,0.93,-2.62,-18.37,-3.97,1742226659.161612
0.66,-0.55,-0.11,113.77,24.17,-15.38,0.29,0.14,0.86,8.18,-20.14,6.1,1742226659.2755861
0.32,-0.14,-0.49,-97.84,44.56,34.61,0.27,0.24,0.94,-20.14,-78.31,19.04,1742226659.3953972
-0.34,0.34,-1.51,-121.58,5.92,139.4,0.2,0.24,0.73,15.62,20.57,-4.7,1742226659.50353
-0.43,0.74,-1.46,37.6,-4.27,-65.73,0.28,0.22,0.84,-10.8,-3.85,-4.76,1742226659.617598
-0.41,0.3,-1.38,187.5,-84.05,-145.69,0.3,0.2,0.87,9.7,-6.71,1.1,1742226659.735445
0.15,-0.0,-0.16,28.69,23.62,-3.36,0.28,0.16,0.85,5.86,-38.57,18.74,1742226659.85509
-0.03,0.17,-0.88,-121.09,44.31,68.73,0.13,0.35,1.82,40.71,133.61,-8.0,1742226659.959521
-0.34,0.67,-1.52,-96.07,-22.52,64.45,0.36,0.26,0.78,-11.29,34.0,4.15,1742226660.079228
-0.48,0.76,-1.7,94.18,-50.9,-63.17,0.26,0.17,0.92,-1.77,-19.23,-3.78,1742226660.1954088
0.83,-0.66,-0.21,147.34,3.48,-23.93,0.29,0.14,0.89,3.97,-15.5,4.03,1742226660.301464
0.07,0.29,-0.43,-162.9,61.16,72.27,0.29,0.18,0.82,-2.99,-77.88,18.01,1742226660.415404
-0.31,0.62,-1.44,-128.78,14.28,101.44,0.21,0.15,0.55,26.31,30.64,-8.24,1742226660.537327
-0.4,0.61,-1.94,85.69,-24.54,-40.89,0.27,0.16,0.82,-19.23,-19.17,-3.05,1742226660.6443882
-0.13,-0.24,-0.64,175.84,-56.4,-134.09,0.32,0.17,0.93,-6.29,-19.65,-1.83,1742226660.758615
0.1,-0.14,-0.18,-81.24,74.77,38.21,0.31,0.17,0.89,-10.8,-52.61,14.4,1742226660.8755279
-0.09,-0.03,-1.39,-125.31,17.21,125.67,0.39,0.29,0.89,-10.5,97.35,-11.47,1742226660.995729
-0.39,0.75,-1.6,-4.94,-13.31,22.89,0.29,0.21,0.84,-10.38,0.24,-13.43,1742226661.100533
-0.25,0.18,-1.29,141.85,-53.41,-106.63,0.26,0.2,0.89,-5.19,-1.34,-9.03,1742226661.215724
0.71,-0.26,-0.15,31.37,-6.53,25.27,0.23,0.13,0.77,11.47,-20.87,2.81,1742226661.335571
-0.0,0.22,-0.94,-137.88,41.08,75.81,0.22,0.35,1.13,-24.96,-64.21,1.1,1742226661.442445
-0.31,0.81,-1.52,-73.55,25.27,72.14,0.19,0.24,0.81,15.08,33.81,-15.99,1742226661.5592902
-0.4,0.44,-1.57,116.46,-45.96,-57.19,0.25,0.18,0.9,-8.12,-3.17,-6.35,1742226661.675373
0.26,-0.57,0.14,134.22,31.37,-19.53,0.27,0.18,0.89,4.76,-2.75,6.04,1742226661.784248
0.2,-0.08,-0.28,-91.8,70.8,72.88,0.28,0.35,1.0,-17.58,-55.05,10.74,1742226661.897535
-0.38,0.94,-1.47,-117.43,-1.77,62.87,0.35,0.34,0.72,0.12,23.62,-13.12,1742226662.016989
-0.34,0.6,-1.53,89.36,-33.63,-68.79,0.29,0.2,0.8,-14.1,-12.76,-9.03,1742226662.135591
0.01,-0.02,-0.55,138.24,-44.37,-96.98,0.31,0.18,0.87,2.32,-15.2,5.74,1742226662.2396631
0.17,0.07,0.11,-67.5,74.52,57.56,0.24,0.25,0.95,-4.82,-50.35,23.74,1742226662.356389
-0.33,0.57,-1.74,-91.06,15.56,74.52,0.16,0.34,1.24,13.06,60.73,-11.66,1742226662.47587
-0.42,0.72,-1.64,46.45,-43.76,-14.47,0.25,0.24,0.85,-5.68,29.48,-13.37,1742226662.580509
