L-AccX,L-AccY,L-AccZ,L-GyrX,L-GyrY,L-GyrZ,R-AccX,R-AccY,R-AccZ,R-GyrX,R-GyrY,R-GyrZ,timestamp
-0.11,0.15,0.94,-8.0,-4.39,6.77,0.11,-0.4,-0.92,5.37,2.99,1.4,1742257111.4351392
-0.4,0.75,1.0,52.06,-2.93,19.29,-0.04,-0.34,-1.03,-26.92,0.67,20.57,1742257111.52998
-0.49,0.95,0.89,-94.24,3.91,-277.59,0.17,-0.52,-0.93,1.16,-13.06,18.37,1742257111.638687
-0.21,-0.27,0.68,-76.78,-98.69,-263.85,0.26,-0.43,-0.92,36.44,-36.38,-4.7,1742257111.7528331
-0.35,0.05,0.99,-54.2,-98.51,-79.96,0.33,-0.38,-0.7,28.08,3.17,23.86,1742257111.872086
-0.17,0.32,1.03,-10.44,-18.86,1.46,0.23,-0.2,-0.93,14.53,19.1,7.69,1742257111.980719
-0.11,0.56,0.86,2.08,-6.29,8.48,0.23,-0.26,-0.95,-2.32,-6.16,-8.36,1742257112.095128
-0.15,0.55,0.85,11.47,-4.33,1.59,0.22,-0.29,-0.9,-0.61,-2.99,-7.69,1742257112.2112331
-0.09,0.47,0.86,11.17,8.67,2.32,0.22,-0.33,-0.93,3.17,-0.55,-0.37,1742257112.3307798
-0.1,0.49,0.87,9.58,-1.34,1.89,0.26,-0.33,-0.93,2.75,11.84,-1.59,1742257112.4367738
-0.06,0.48,0.89,-1.71,-5.49,-1.16,0.22,-0.27,-0.95,0.92,-0.67,2.81,1742257112.551519
-0.09,0.47,0.91,5.37,-0.12,-0.49,0.22,-0.28,-0.93,2.75,1.95,3.72,1742257112.66916
-0.08,0.43,0.89,3.6,-2.5,-3.78,0.21,-0.26,-0.94,3.85,2.26,3.6,1742257112.778674
-0.1,0.44,0.91,1.65,-0.37,0.31,0.21,-0.26,-0.94,3.48,7.08,0.92,1742257112.8929348
-0.11,0.43,0.92,12.88,6.47,0.43,0.2,-0.24,-0.99,11.41,-0.43,-7.69,1742257113.010706
-0.07,0.45,0.9,0.37,7.08,-0.73,0.23,-0.27,-0.93,6.59,-1.95,7.26,1742257113.120678
-0.07,0.42,0.91,11.05,3.11,-8.42,0.22,-0.25,-0.97,-0.73,-13.18,13.06,1742257113.234842
-0.03,0.37,0.92,6.84,8.24,-10.74,0.24,-0.21,-0.94,-4.88,-5.92,7.75,1742257113.3509681
-0.03,0.38,0.92,-2.87,4.52,-2.14,0.25,-0.25,-0.94,-6.84,-2.75,3.05,1742257113.4703739
-0.05,0.44,0.93,-10.62,2.32,1.04,0.26,-0.24,-0.96,3.11,-4.76,-1.16,1742257113.5768058
-0.02,0.4,0.93,-11.29,4.88,0.06,0.25,-0.21,-0.98,-2.81,-11.41,-2.99,1742257113.690892
-0.01,0.45,0.92,-7.39,6.84,3.54,0.31,-0.26,-0.92,12.27,-23.5,-6.16,1742257113.810441
0.01,0.46,0.89,8.48,9.16,-6.41,0.34,-0.21,-0.89,6.53,-20.51,19.17,1742257113.9186969
0.04,0.43,0.88,-0.85,10.19,-6.53,0.37,-0.24,-0.89,12.02,-10.01,7.39,1742257114.032684
0.04,0.48,0.91,4.76,10.07,-16.48,0.39,-0.2,-0.94,17.27,-14.4,20.26,1742257114.149872
0.11,0.38,0.9,-2.26,17.64,-23.25,0.44,-0.05,-0.83,22.28,-13.85,21.18,1742257114.260711
0.2,0.37,0.82,-17.7,13.49,-11.41,0.46,-0.03,-0.85,13.12,15.38,0.18,1742257114.374586
0.2,0.44,0.87,5.86,3.54,7.87,0.4,-0.1,-0.88,-0.79,38.7,-16.05,1742257114.4905229
0.17,0.43,0.93,34.67,-22.03,9.34,0.31,-0.07,-0.97,16.36,17.33,-2.14,1742257114.6050408
0.08,0.25,0.99,27.59,15.56,-3.54,0.33,-0.0,-0.97,-6.23,-12.76,-10.19,1742257114.716788
0.15,0.38,0.92,-8.91,19.53,4.82,0.36,-0.08,-0.93,3.3,-8.73,-3.05,1742257114.830772
0.19,0.34,0.92,3.05,10.62,1.46,0.37,-0.06,-0.88,0.06,-2.99,-5.13,1742257114.949735
0.19,0.35,0.9,-2.99,0.73,6.65,0.37,-0.09,-0.94,-2.01,1.28,-3.23,1742257115.0587058
0.18,0.37,0.93,-4.27,1.4,0.98,0.38,-0.08,-0.93,-1.59,1.83,2.14,1742257115.172715
0.18,0.38,0.92,-6.59,-4.64,3.17,0.37,-0.09,-0.91,-0.43,3.97,-0.31,1742257115.290132
0.16,0.38,0.89,-3.78,-4.64,0.73,0.36,-0.02,-0.92,1.95,4.09,-4.88,1742257115.400678
0.16,0.35,0.92,41.87,15.62,11.11,0.33,-0.1,-0.96,4.27,4.39,-7.51,1742257115.514713
0.18,0.29,0.95,4.21,-4.7,4.58,0.37,-0.08,-0.93,-3.23,8.36,-3.36,1742257115.6298811
0.18,0.33,0.93,-0.61,-5.62,3.6,0.31,-0.11,-0.95,-3.6,12.02,2.32,1742257115.7499049
0.14,0.32,0.93,-7.32,-7.69,1.16,0.3,-0.07,-0.96,-2.93,12.15,-2.01,1742257115.8566568
0.13,0.33,0.95,-7.14,-4.94,2.69,0.28,-0.11,-0.99,-4.52,1.77,0.18,1742257115.970618
0.1,0.38,0.95,-6.47,-0.24,-1.16,0.27,-0.09,-0.96,1.89,-1.59,3.11,1742257116.089886
0.13,0.34,0.93,-0.67,0.79,-1.59,0.28,-0.09,-0.98,1.83,1.95,-1.65,1742257116.1986
