L-AccX,L-AccY,L-AccZ,L-GyrX,L-GyrY,L-GyrZ,R-AccX,R-AccY,R-AccZ,R-GyrX,R-GyrY,R-GyrZ,timestamp
0.5,0.26,-0.82,-1.71,-0.67,2.75,0.2,-0.2,0.94,-5.8,-0.49,-0.79,1742257048.194541
0.5,0.28,-0.79,2.56,4.52,-1.89,0.2,-0.2,0.94,-3.97,-0.18,-1.71,1742257048.1965818
0.5,0.25,-0.83,1.1,-0.73,3.42,0.21,-0.17,0.95,1.1,4.76,0.24,1742257048.1968179
0.51,0.26,-0.82,1.95,-0.06,5.13,0.21,-0.2,0.95,3.48,1.89,-1.83,1742257048.197013
0.5,0.27,-0.82,2.56,0.79,5.0,0.22,-0.21,0.94,4.27,2.69,-2.01,1742257048.197203
0.5,0.29,-0.83,-0.18,0.61,3.48,0.24,-0.24,0.95,1.95,3.36,-0.43,1742257048.197404
0.49,0.28,-0.82,-1.22,-1.83,-0.79,0.23,-0.21,0.93,-0.79,0.79,2.81,1742257048.197599
0.49,0.28,-0.82,1.65,1.4,4.94,0.23,-0.22,0.93,4.52,0.18,-2.62,1742257048.197789
0.48,0.3,-0.81,1.53,2.01,5.74,0.24,-0.24,0.92,4.82,1.28,-3.23,1742257048.19798
0.47,0.31,-0.82,1.1,4.52,3.78,0.24,-0.25,0.92,5.31,0.67,-1.83,1742257048.198175
0.48,0.33,-0.82,0.12,2.38,2.62,0.26,-0.27,0.91,4.15,3.23,0.12,1742257048.198362
0.47,0.31,-0.83,-1.04,1.46,-2.38,0.25,-0.26,0.93,0.98,-2.44,3.23,1742257048.198556
0.47,0.29,-0.82,0.79,-0.92,-0.67,0.24,-0.26,0.92,1.4,0.37,0.55,1742257048.1987479
0.47,0.3,-0.83,-0.73,0.55,1.28,0.23,-0.26,0.93,0.85,-0.49,-1.65,1742257048.198936
0.46,0.31,-0.82,-1.89,1.28,1.04,0.24,-0.27,0.92,0.85,-0.31,-1.46,1742257048.19913
0.46,0.31,-0.83,0.18,0.24,0.12,0.25,-0.28,0.92,0.67,0.0,-0.55,1742257048.199323
0.45,0.3,-0.83,-2.93,1.46,-2.38,0.24,-0.27,0.92,0.67,-0.92,1.46,1742257048.199512
0.46,0.29,-0.84,-3.17,2.81,-1.1,0.24,-0.27,0.93,0.79,0.37,0.73,1742257048.1996999
0.46,0.28,-0.83,-3.97,3.17,-1.4,0.25,-0.26,0.92,0.31,-0.61,-0.67,1742257048.199906
0.46,0.29,-0.84,-1.22,3.05,0.06,0.23,-0.27,0.92,0.24,0.0,-1.34,1742257048.200095
0.46,0.29,-0.84,0.37,1.46,-1.04,0.24,-0.26,0.92,0.61,2.32,0.0,1742257048.2002811
0.46,0.29,-0.84,0.98,1.1,-2.08,0.24,-0.27,0.92,-0.12,1.34,1.22,1742257048.200523
0.45,0.29,-0.84,1.71,-0.61,-0.49,0.25,-0.26,0.92,0.43,2.62,0.61,1742257048.200727
0.45,0.29,-0.84,-1.04,0.73,-0.37,0.25,-0.27,0.92,-0.06,-0.24,-0.49,1742257048.200926
0.45,0.29,-0.84,-0.37,0.85,-1.22,0.25,-0.27,0.92,-0.12,-0.12,0.61,1742257048.201129
0.46,0.29,-0.84,-0.92,3.48,-1.04,0.25,-0.26,0.91,-0.06,0.43,0.49,1742257048.20133
0.45,0.28,-0.85,0.0,0.24,-0.85,0.24,-0.26,0.92,-0.43,0.18,0.49,1742257048.201524
0.44,0.28,-0.85,0.06,1.16,-0.12,0.25,-0.26,0.92,-0.18,0.18,-0.49,1742257048.2017229
0.45,0.28,-0.85,-0.49,-0.49,-1.22,0.25,-0.26,0.92,-0.37,1.53,0.67,1742257048.202982
0.45,0.28,-0.85,0.49,-0.06,0.06,0.25,-0.26,0.92,0.31,1.16,-0.18,1742257048.2033439
0.44,0.28,-0.84,0.06,-0.24,0.0,0.25,-0.26,0.92,0.24,0.61,-0.37,1742257048.203666
0.45,0.28,-0.84,0.61,-0.18,1.34,0.25,-0.25,0.91,0.37,0.73,-1.4,1742257048.20419
0.45,0.29,-0.85,-1.4,0.85,-0.12,0.25,-0.27,0.93,-0.37,-0.43,-0.24,1742257048.204397
0.44,0.27,-0.84,0.06,0.43,-0.98,0.25,-0.26,0.92,0.37,-0.61,0.06,1742257048.2046
0.44,0.28,-0.85,0.06,0.37,-0.24,0.24,-0.26,0.92,0.31,0.31,-0.12,1742257048.2051961
0.45,0.29,-0.85,-0.61,0.37,-0.79,0.25,-0.26,0.93,-0.61,0.12,0.24,1742257048.20559
0.45,0.28,-0.85,-0.98,-0.24,-2.14,0.24,-0.26,0.92,-1.1,0.31,1.16,1742257048.212262
0.45,0.27,-0.85,-1.04,-0.12,-1.77,0.25,-0.25,0.92,-0.98,-0.37,0.73,1742257048.212948
0.44,0.27,-0.85,-1.4,-0.79,-1.77,0.25,-0.25,0.93,-0.98,0.18,0.79,1742257048.213805
0.45,0.26,-0.85,-1.89,-0.98,-1.34,0.24,-0.25,0.93,-2.32,0.67,0.98,1742257048.214011
0.45,0.27,-0.85,-1.53,-0.55,-0.85,0.25,-0.24,0.92,-1.65,-1.1,-0.31,1742257048.214218
0.45,0.26,-0.85,-1.22,0.06,-0.49,0.25,-0.25,0.93,-0.31,-0.06,-0.31,1742257048.214494
0.44,0.26,-0.85,-1.28,0.31,-1.46,0.25,-0.25,0.93,-0.37,-1.04,0.73,1742257048.214835
