L-AccX,L-AccY,L-AccZ,L-GyrX,L-GyrY,L-GyrZ,R-AccX,R-AccY,R-AccZ,R-GyrX,R-GyrY,R-GyrZ,timestamp
0.00625,0.10625,0.0675,0.005265,0.000655,0.0010375,-0.0125,-0.0375,0.1175,-0.0001225,0.000535,-4.5e-05,1742103461.626088
-0.00375,0.08125,0.225,0.0495,0.0133675,-0.0031275,-0.015,-0.035,0.12,-0.00026,0.0002125,-7.75e-05,1742103461.74103
0.01125,0.145,0.105,0.0002125,0.048767503,0.0037850002,-0.01375,-0.03875,0.1175,0.0001375,0.0,-0.000365,1742103461.8604128
0.01125,0.0925,-0.0325,0.0165875,0.039017502,-0.02214,-0.015,-0.03625,0.12,-0.00052,-0.000245,-0.00023,1742103461.964329
0.05,0.025,-0.04875,-0.013015,-0.001495,-0.013534999,-0.015,-0.03625,0.11875,-0.0001825,6e-05,4.5e-05,1742103462.0806131
0.0225,0.0325,0.0025,-0.018295,-0.0788575,0.0092175,-0.015,-0.03625,0.1175,-0.001175,0.0001525,-0.0001375,1742103462.2007859
-0.0575,0.155,0.35625,0.01033,-0.0361775,0.011795,-0.01375,-0.035,0.12125,-0.00023,-0.0001825,-0.0003825,1742103462.3062809
-0.01875,0.1025,0.105,-0.0246725,0.0650625,-0.0062100003,-0.01375,-0.035,0.1225,1.5e-05,0.0010825,-0.000245,1742103462.420417
0.045,0.05125,-0.03125,0.005065,0.0372625,-0.0204175,-0.0325,-0.02875,0.145,0.00966,-0.0029000002,-0.0014500001,1742103462.539583
0.0775,0.045,-0.04125,-0.0038599998,-0.012925,0.00644,-0.0425,-0.06,0.1975,0.024825001,0.0431225,-0.0037525,1742103462.648402
0.01875,0.06625,-0.035,-0.0075525,-0.0699925,0.01976,0.0125,-0.1175,0.0525,0.0243075,0.066985,0.005265,1742103462.762408
-0.10875,0.1575,0.27125,0.0062875,-0.05948,0.015365,0.0425,-0.05625,-0.05875,0.020737499,0.0263525,0.024139998,1742103462.879957
-0.03875,0.1075,0.15125,-0.021865,0.0555875,-0.0048525,0.02875,-0.025,-0.06,0.021057501,-0.061767504,0.0039825,1742103462.9903822
0.01875,0.075,-0.01125,-0.014587499,0.049377497,-0.0226125,-0.0375,-0.1175,0.2175,0.0056925,-0.074295,-0.0260475,1742103463.104387
0.0675,0.04375,-0.04875,-0.0010225,-0.0012825,0.0018775001,-0.00875,-0.1375,0.1575,0.0018625,0.0629125,-0.000275,1742103463.220156
0.015,0.07125,-0.025,0.001725,-0.0573425,0.02504,0.03125,-0.07375,-0.0325,-0.0084675,0.0570525,0.0278775,1742103463.340279
-0.1025,0.18375,0.22375,0.0051574996,-0.0516675,0.01271,0.0825,-0.02625,-0.0525,0.0007325,0.0065450002,0.0057975003,1742103463.446309
-0.0475,0.10875,0.14875,-0.0157475,0.05754,-0.009292499,0.0475,-0.06,-0.04625,0.0059975,-0.055862498,-0.017165001,1742103463.5603971
0.01,0.0775,-0.03,-0.0155175,0.0538625,-0.0243525,-0.05625,-0.11625,0.13625,0.0289775,-0.07666001,-0.027129998,1742103463.680493
0.06875,0.04375,-0.05,0.001755,0.0151825,0.0020599999,-0.02625,-0.14875,0.1925,0.007035,0.050552502,0.0007325,1742103463.7881641
0.0225,0.09625,-0.0575,-0.01976,-0.039869998,0.0248425,-0.00125,-0.1,0.0075,0.00792,0.0634925,0.018934999,1742103463.901332
-0.03125,0.18125,0.185,0.011229999,-0.053650003,0.018127501,0.05125,-0.06875,-0.065,-0.00087,0.0205525,0.008042499,1742103464.023317
-0.01875,0.16875,0.11125,0.017409999,0.050125,-0.0146175,0.0475,-0.07,-0.03875,-0.0098575,-0.0416875,-0.009002499,1742103464.129303
0.0325,0.08125,-0.04,0.01004,0.03827,-0.0210425,-0.04,-0.11375,0.11,0.01657,-0.083145,-0.018477501,1742103464.243307
0.065,0.0575,-0.03,0.00528,0.001175,-0.00232,-0.0325,-0.13625,0.2225,-0.0051275003,0.037965,0.0045775,1742103464.359884
0.04875,0.07375,-0.0275,-0.0128175,-0.0361625,0.018662501,0.00875,-0.0925,0.005,-0.0049274997,0.074172504,0.02089,1742103464.470386
-0.03375,0.115,0.19125,0.0077199996,-0.0697025,0.0077975,0.04375,-0.08,-0.05625,0.010024999,0.027055,0.0068200002,1742103464.584279
