L-AccX,L-AccY,L-AccZ,L-GyrX,L-GyrY,L-GyrZ,R-AccX,R-AccY,R-AccZ,R-GyrX,R-GyrY,R-GyrZ,timestamp
-0.46,0.39,-0.78,1.16,5.37,-0.18,-0.01,-0.23,0.85,0.31,-25.33,-15.26,1742250075.093318
-0.51,0.39,-0.81,-10.44,6.04,12.27,-0.65,-0.67,1.0,16.78,13.61,-12.63,1742250075.2071528
-0.52,0.43,-0.87,43.64,-33.2,-6.35,-0.19,-0.43,0.83,30.52,2.14,144.47,1742250075.321377
-0.37,0.5,-0.73,21.61,-31.49,-5.25,-0.02,-0.18,0.58,18.98,-30.03,155.82,1742250075.435227
-0.37,0.43,-0.69,-31.68,16.66,6.59,0.08,0.08,0.77,9.22,-145.63,97.78,1742250075.548979
-0.49,0.39,-0.82,-54.99,38.09,26.37,-0.21,0.01,0.83,47.06,-189.09,-39.55,1742250075.662388
-0.56,0.32,-0.89,-41.56,3.05,26.43,-1.0,-0.49,0.85,152.83,-133.42,-32.1,1742250075.776334
-0.46,0.28,-0.89,-6.9,-50.11,11.23,-0.93,-0.47,0.65,93.99,-93.26,-29.11,1742250075.8903308
-0.64,0.27,-1.0,72.08,-26.73,-12.7,-0.82,-0.13,0.54,-76.72,76.6,-90.03,1742250076.0043
-0.21,0.38,-0.45,22.34,-23.8,27.16,-1.19,-0.57,0.24,-16.42,8.85,-14.4,1742250076.1218271
-0.16,0.61,-0.72,-33.08,32.35,6.9,-0.82,-0.35,0.16,-27.71,-83.44,43.88,1742250076.232309
-0.14,0.46,-0.54,-108.95,72.2,-27.34,-0.34,-0.01,0.93,10.68,11.96,-0.85,1742250076.3462021
-0.83,-0.07,-1.25,0.12,6.65,-3.36,-0.94,-0.17,0.67,95.52,45.9,-32.59,1742250076.4620821
-0.35,0.46,-0.72,102.48,-78.37,39.0,-1.21,-0.79,0.08,-24.29,11.78,8.12,1742250076.574202
-0.01,0.43,-0.45,-28.32,25.51,15.93,-0.86,-0.61,0.38,-12.82,-126.65,64.88,1742250076.688282
-0.61,0.29,-0.96,-97.11,102.29,-28.26,-0.45,-0.03,0.85,52.0,-1.65,-33.26,1742250076.8023229
-0.76,0.04,-1.0,73.18,-12.63,-1.95,-0.69,-0.11,0.22,104.55,13.92,-57.62,1742250076.9161751
-0.21,0.32,-0.84,82.7,-119.93,35.89,-1.3,-0.56,0.31,-32.84,55.73,52.61,1742250077.030072
-0.08,0.54,-0.63,-22.03,-3.05,-23.74,-0.65,-0.26,0.94,-99.55,-0.18,54.14,1742250077.144335
-0.69,0.1,-1.2,-60.61,88.5,-23.13,-0.59,-0.29,0.76,57.92,-13.79,-50.96,1742250077.262343
-0.63,0.42,-1.21,161.32,-16.05,-8.61,-1.04,-0.33,0.23,82.03,35.77,-45.78,1742250077.3721752
0.21,0.6,-0.34,32.65,-53.1,19.04,-0.98,-0.42,0.12,-99.49,-3.97,49.26,1742250077.486161
-0.1,0.48,-0.52,-72.02,49.13,-16.78,-0.34,-0.06,0.71,-78.19,24.6,36.99,1742250077.603198
-0.82,0.11,-1.24,-33.87,47.97,-36.25,-0.83,-0.17,0.88,56.34,24.84,-24.17,1742250077.714106
-0.55,0.07,-1.2,32.84,-83.37,73.55,-1.22,-0.47,0.01,20.32,-9.46,-36.5,1742250077.828159
0.2,0.82,-0.41,-54.32,-15.5,32.17,-0.85,-0.26,0.3,-89.29,-21.85,52.31,1742250077.942796
-0.27,0.35,-0.65,-100.34,54.08,-34.42,-0.32,0.0,1.01,-34.36,4.52,29.17,1742250078.056004
-0.98,-0.2,-1.39,-79.35,33.39,-10.8,-0.79,-0.1,0.64,53.83,28.69,-31.49,1742250078.170089
-0.61,0.08,-0.76,9.52,-59.94,76.35,-1.31,-0.5,-0.07,70.98,-50.78,-67.75,1742250078.284255
0.15,0.91,-0.46,11.84,-28.87,28.08,-0.76,-0.25,0.15,-62.01,-13.98,70.86,1742250078.403571
-0.33,0.49,-0.6,-65.61,76.23,-78.43,-0.27,0.09,1.07,19.04,41.02,-32.04,1742250078.5119722
-0.81,-0.17,-1.22,57.07,-30.03,-16.48,-0.91,-0.37,0.8,92.59,22.34,-23.68,1742250078.626088
-0.36,0.41,-0.89,133.36,-97.96,5.0,-1.08,-0.83,0.06,27.59,-6.04,-8.73,1742250078.743383
0.09,0.46,-0.29,-11.11,39.43,-7.51,-0.75,-0.51,0.11,-23.86,-103.7,48.83,1742250078.8542342
-0.37,0.4,-0.76,-52.92,85.63,-28.75,-0.31,-0.08,1.02,38.7,-3.17,-20.51,1742250078.968181
-0.63,0.08,-1.06,61.4,-0.24,5.49,-0.73,-0.2,0.4,138.92,81.36,-45.29,1742250079.083789
-0.34,0.52,-1.08,86.73,-137.82,-7.08,-1.22,-0.7,0.23,-123.47,21.73,35.46,1742250079.196148
-0.01,0.69,-0.53,-80.99,52.55,-5.0,-0.77,-0.32,1.08,-126.77,-58.23,54.2,1742250079.3100622
-0.75,-0.07,-1.1,-144.84,132.45,23.19,-0.49,-0.17,0.89,93.26,-17.58,-59.02,1742250079.4241788
-0.69,0.44,-1.11,113.4,-3.97,34.73,-1.18,-0.23,0.3,92.53,45.47,-79.65,1742250079.544523
0.05,0.34,-0.18,83.01,-62.32,21.97,-1.06,-0.44,0.08,-87.83,7.02,80.99,1742250079.652076
-0.17,0.44,-0.53,-3.48,22.22,-47.55,-0.17,-0.0,0.83,-40.53,13.79,46.69,1742250079.766094
-1.03,-0.06,-1.4,-42.05,47.73,-20.14,-0.78,-0.14,0.69,84.05,-6.53,-47.18,1742250079.8852081
-0.64,0.2,-1.03,17.58,-70.8,47.49,-1.33,-0.48,-0.13,19.9,-2.44,-34.06,1742250079.994195
0.09,0.91,-0.35,-37.41,-11.29,18.8,-0.8,-0.1,0.39,-60.0,-25.45,54.57,1742250080.108224
-0.42,0.44,-0.58,-65.49,76.11,-35.89,-0.27,0.08,0.98,-48.4,41.38,3.42,1742250080.2282429
-0.88,-0.12,-1.2,-41.32,14.4,18.74,-0.65,-0.15,0.8,90.94,-31.07,-21.67,1742250080.336066
-0.56,0.37,-1.1,150.21,-54.5,-1.71,-1.31,-1.03,0.2,12.39,-19.78,-1.71,1742250080.4502778
-0.25,0.36,-0.54,-6.04,-21.79,7.93,-0.64,-0.36,0.2,-46.87,-65.61,63.6,1742250080.5654132
-0.43,0.28,-0.76,-106.75,77.09,-24.84,-0.48,-0.21,0.87,89.9,-40.47,-51.39,1742250080.678112
-0.55,0.28,-0.9,96.62,-5.98,-14.16,-0.59,-0.17,0.41,75.44,85.02,-11.11,1742250080.7919931
-0.37,0.59,-1.07,123.11,-117.92,-47.12,-1.18,-0.75,0.24,-58.29,51.03,78.86,1742250080.909801
-0.1,0.52,-0.56,-3.42,-15.5,-45.96,-0.68,-0.56,0.74,-80.87,-74.95,69.76,1742250081.0248141
-0.6,0.51,-0.98,-55.54,110.84,5.25,-0.54,-0.56,0.63,29.48,-9.4,-54.75,1742250081.1340811
-0.39,0.61,-0.88,31.92,-9.16,37.54,-0.96,-0.44,0.35,59.88,34.67,-48.52,1742250081.248003
-0.14,0.73,-0.57,41.99,-75.13,4.94,-0.96,-0.39,0.04,-121.34,13.18,34.97,1742250081.364886
-0.11,0.71,-0.49,-74.71,33.02,-34.61,-0.43,-0.25,0.9,-45.41,-1.65,9.22,1742250081.476078
-0.66,0.24,-1.15,-63.29,75.81,-10.56,-0.68,-0.19,0.71,35.28,-2.44,-57.19,1742250081.590058
-0.51,0.34,-0.97,36.19,-31.01,57.92,-1.1,-0.34,0.12,40.34,13.06,-28.26,1742250081.708521
0.16,0.89,-0.29,22.28,-36.8,19.41,-0.91,-0.26,0.26,-37.05,-30.82,27.83,1742250081.82621
-0.23,0.54,-0.55,-69.89,34.79,-34.55,-0.46,-0.25,0.84,-52.19,33.45,15.08,1742250081.931998
-0.73,0.14,-1.25,-84.78,4.15,31.86,-0.63,-0.31,0.6,9.4,12.08,-34.97,1742250082.045984
-0.53,0.33,-1.23,-30.88,-34.85,42.05,-0.9,-0.08,0.31,51.21,3.3,-33.75,1742250082.1668658
-0.33,0.44,-0.67,-22.95,-51.82,32.9,-0.86,-0.17,0.12,-41.32,-21.67,31.01,1742250082.274061
-0.32,0.39,-0.65,-52.12,17.58,-10.5,-0.55,-0.24,0.86,-11.23,-9.95,-33.63,1742250082.388073
-0.66,-0.1,-1.34,-27.22,23.07,23.86,-0.77,-0.19,0.52,0.49,31.86,-31.8,1742250082.506228
-0.41,0.35,-0.99,39.67,-26.92,15.14,-1.28,-0.31,-0.02,-16.66,-4.33,9.46,1742250082.616097
-0.1,0.77,-0.47,-15.99,-19.53,-13.12,-1.06,-0.33,0.25,-68.36,-28.26,53.96,1742250082.7302248
-0.15,0.32,-0.56,-51.39,58.17,-31.07,-0.54,-0.19,0.7,28.69,-8.3,-10.25,1742250082.846456
-0.44,0.28,-0.81,22.28,28.08,-1.77,-0.53,-0.24,0.42,85.14,61.34,24.35,1742250082.966012
-0.33,0.24,-1.08,43.76,-72.94,33.14,-1.24,-0.44,0.01,-118.65,29.11,66.1,1742250083.071997
-0.25,0.44,-0.56,-40.95,7.45,-38.39,-0.68,-0.33,1.04,-160.89,29.3,85.14,1742250083.188614
-0.75,-0.17,-0.93,-234.19,83.98,33.51,-0.44,-0.21,0.83,-0.61,11.78,-41.87,1742250083.306346
-0.61,-0.18,-1.08,84.9,-27.47,48.71,-1.35,-0.52,0.31,9.22,18.01,-79.41,1742250083.4139671
-0.1,0.43,-0.49,77.27,-28.87,13.98,-1.04,-0.36,0.35,-63.05,-0.24,61.1,1742250083.5280871
-0.36,0.45,-0.59,-35.95,5.62,-45.47,-0.34,-0.08,0.78,-94.06,57.5,33.94,1742250083.64694
-0.66,-0.27,-1.24,-46.75,15.44,-24.41,-0.44,-0.24,0.74,53.53,-15.62,-62.38,1742250083.7559628
-0.74,-0.03,-1.23,85.75,-11.54,39.55,-1.23,-0.29,0.28,19.17,0.06,-59.08,1742250083.869941
0.01,0.79,-0.33,-10.01,-8.48,21.24,-0.87,-0.18,0.18,-45.72,-8.61,60.0,1742250083.987173
-0.34,0.41,-0.65,-10.19,18.37,-60.85,-0.34,-0.11,0.65,-50.17,17.46,14.16,1742250084.107108
-0.82,-0.1,-1.22,-80.93,43.7,-11.72,-0.69,-0.19,0.77,18.25,-4.21,-53.71,1742250084.212068
