L-AccX,L-AccY,L-AccZ,L-GyrX,L-GyrY,L-GyrZ,R-AccX,R-AccY,R-AccZ,R-GyrX,R-GyrY,R-GyrZ,timestamp
0.15,0.07,0.96,-4.03,1.4,-8.67,-0.65,-0.68,-0.73,-10.8,-33.2,-14.34,1742222888.334561
0.16,0.08,0.96,2.38,-1.16,-5.55,-0.71,-0.56,-0.97,-26.31,-102.66,98.14,1742222888.4505641
0.18,0.08,0.93,-7.08,-5.92,-2.62,-0.16,-0.35,-0.45,-13.24,-82.89,53.16,1742222888.562561
0.13,0.06,1.01,9.52,-2.08,-3.11,0.04,-0.31,-0.3,20.57,-10.01,-82.7,1742222888.676372
0.13,0.01,1.04,25.7,12.82,3.23,-1.11,-1.97,-1.2,114.38,16.91,-71.47,1742222888.794178
0.15,-0.02,1.13,27.28,43.4,12.7,-0.43,-0.73,-0.91,-5.49,-45.23,16.6,1742222888.904394
0.23,-0.04,0.81,-62.62,-100.22,-10.99,-0.25,-0.51,-0.77,-28.69,-67.87,98.08,1742222889.0184178
0.29,-0.05,1.0,-15.87,34.73,9.52,0.17,-0.29,-0.32,-11.96,-35.28,7.02,1742222889.1367471
0.19,-0.03,1.0,14.53,-18.55,6.53,-0.23,-0.4,-0.33,71.84,106.57,-165.47,1742222889.246287
0.21,-0.09,1.02,10.8,0.49,-2.32,-0.48,-0.69,-1.24,-0.18,-31.43,13.79,1742222889.360351
0.2,-0.12,1.15,1.59,34.12,-6.59,-0.41,-0.75,-0.88,-18.37,-45.17,41.38,1742222889.4743848
0.04,-0.17,1.29,51.09,61.4,-13.55,-0.13,-0.41,-0.69,-35.89,-52.73,86.73,1742222889.588376
0.27,-0.15,0.78,10.86,10.68,3.42,0.2,-0.36,-0.45,7.08,-22.09,25.51,1742222889.702219
0.22,-0.09,0.99,-3.23,-8.24,-8.85,-0.04,-0.37,-0.24,49.56,130.31,-110.53,1742222889.816301
0.21,-0.14,1.04,0.37,-4.82,-5.31,-0.45,-0.49,-1.22,-4.46,-5.25,-5.43,1742222889.9333959
0.24,-0.12,1.17,-2.93,66.04,-23.44,-0.44,-0.71,-1.03,-21.0,-47.06,48.58,1742222890.0442991
0.03,-0.28,1.46,65.31,28.87,3.91,-0.05,-0.34,-0.68,-31.68,-81.54,71.66,1742222890.158407
0.31,-0.12,0.74,7.87,24.66,0.92,0.28,-0.23,-0.33,26.0,-14.16,-32.9,1742222890.273291
0.18,-0.08,1.0,-2.81,-10.13,0.06,-0.41,-0.43,-0.77,121.95,136.11,-128.91,1742222890.3862028
0.21,-0.14,1.06,0.55,6.9,-4.09,-0.26,-0.43,-1.05,-4.64,-9.83,-6.96,1742222890.500496
0.38,-0.2,-0.08,36.87,-54.75,6.53,-0.33,-0.62,-1.05,-43.52,-34.91,45.41,1742222890.615703
0.24,-0.17,1.17,-32.78,26.37,0.49,-0.03,-0.37,-0.76,-52.98,-63.17,81.36,1742222890.7288032
0.28,-0.16,0.79,5.55,-7.63,1.34,0.32,-0.25,-0.29,25.7,17.58,-8.54,1742222890.842195
0.2,-0.07,1.02,-3.48,-8.85,-0.18,-0.4,-0.6,-1.29,64.7,183.35,-204.9,1742222890.956182
0.23,-0.1,1.05,3.66,9.34,0.24,-0.36,-0.38,-1.17,-11.17,-1.83,11.29,1742222891.0745249
0.41,-0.19,-0.34,23.99,-98.08,-19.35,-0.34,-0.63,-0.91,-38.88,-40.41,27.4,1742222891.184341
0.13,-0.12,1.21,-27.34,51.39,-2.01,-0.08,-0.42,-0.81,-20.2,-57.01,71.84,1742222891.298301
0.28,-0.15,0.79,8.97,-2.56,0.55,0.19,-0.19,-0.46,20.51,6.84,-21.85,1742222891.413963
0.18,-0.02,1.04,3.78,-8.91,2.99,-0.45,-0.34,-0.68,48.22,134.89,-185.06,1742222891.5262022
0.18,-0.1,1.03,13.12,9.89,4.09,-0.32,-0.4,-0.97,5.07,-2.38,-7.14,1742222891.640338
0.28,-0.22,-0.13,29.54,-43.27,-30.7,-0.47,-0.66,-0.91,-16.54,-22.64,30.33,1742222891.754438
0.2,-0.1,1.18,-17.46,38.7,5.43,-0.2,-0.45,-0.89,-42.05,-57.92,88.62,1742222891.873864
0.27,-0.15,0.83,7.87,1.46,8.73,0.2,-0.31,-0.43,-5.13,-27.59,14.34,1742222891.982214
0.22,-0.06,1.0,-3.17,-7.08,-1.89,-0.2,-0.02,-0.48,50.42,157.59,-145.26,1742222892.096204
0.21,-0.11,1.04,-0.06,2.01,-3.05,-0.51,-0.59,-1.03,-14.34,4.03,-0.67,1742222892.214529
0.29,-0.21,0.57,2.62,42.36,-28.14,-0.51,-0.63,-0.91,-24.96,-45.96,49.19,1742222892.324336
-0.04,-0.34,1.37,7.69,82.64,-10.56,-0.08,-0.49,-0.59,-75.56,-72.63,93.14,1742222892.438315
0.23,-0.12,0.79,-1.77,16.6,3.66,0.18,-0.26,-0.33,27.34,26.49,-43.58,1742222892.5536551
0.14,-0.07,1.06,-2.69,-6.35,1.95,-1.16,-1.66,-1.22,64.58,60.18,-185.3,1742222892.666212
0.17,-0.12,1.04,8.85,13.0,4.21,-0.41,-0.61,-0.91,-7.45,-12.39,-7.93,1742222892.780412
0.17,-0.34,0.48,38.51,-164.73,13.73,-0.49,-0.76,-0.81,-23.38,-32.84,88.93,1742222892.8945642
0.2,-0.17,1.11,-22.16,43.27,-2.26,-0.06,-0.36,-0.56,-32.53,-54.63,88.2,1742222893.008827
0.24,-0.16,0.85,21.79,-36.74,17.21,0.27,-0.28,-0.17,18.86,42.05,-53.47,1742222893.122099
0.21,-0.14,1.01,0.24,-2.99,1.77,-1.64,-1.48,-1.32,50.23,64.94,-45.72,1742222893.236332
0.21,-0.13,1.11,7.57,27.65,-0.67,-0.55,-0.74,-0.77,12.39,-43.21,0.98,1742222893.354445
0.13,-0.09,1.1,-87.89,-60.73,-21.97,-0.47,-0.64,-0.86,-19.1,-42.79,71.17,1742222893.4643252
0.26,-0.09,0.92,-24.35,42.36,3.17,-0.07,-0.47,-0.58,-28.2,-50.29,64.88,1742222893.578227
0.26,-0.11,0.89,6.53,3.54,-1.46,0.25,-0.31,-0.26,23.32,6.04,-47.61,1742222893.694245
0.24,-0.11,0.95,5.19,-14.16,-3.11,-1.58,-1.72,-1.65,90.09,99.73,-180.73,1742222893.806103
0.21,-0.11,1.07,2.69,9.16,-6.84,-0.48,-0.83,-0.71,-4.76,-23.25,-15.99,1742222893.9203389
0.05,-0.46,0.31,-41.2,-105.59,-3.66,-0.49,-0.81,-0.7,-45.47,-42.66,92.96,1742222894.034268
0.17,-0.23,0.92,-15.62,3.36,-8.97,-0.01,-0.5,-0.55,-36.01,-50.96,102.91,1742222894.148223
0.16,-0.14,0.92,-4.7,-1.46,12.7,0.29,-0.28,-0.18,36.07,20.26,-60.12,1742222894.262038
0.16,-0.15,0.97,-1.83,-6.77,5.49,-1.36,-1.69,-1.85,94.91,97.35,-175.29,1742222894.376097
0.17,-0.11,1.04,3.66,11.54,0.55,-0.54,-0.81,-0.93,-31.49,-51.94,62.01,1742222894.4949162
0.15,-0.31,0.55,-57.19,-76.9,12.94,-0.11,-0.51,-0.58,-78.31,-87.71,144.53,1742222894.604237
0.21,-0.1,0.94,-6.41,10.13,12.51,0.36,-0.41,-0.21,21.55,-5.8,9.95,1742222894.7180429
0.16,-0.09,0.99,-1.22,8.18,6.47,-0.02,-0.07,-0.34,55.54,171.87,-160.64,1742222894.835001
0.18,-0.1,0.99,4.88,-0.98,-2.14,-0.79,-0.88,-1.4,17.88,16.36,2.08,1742222894.946024
0.2,-0.07,1.05,4.76,21.79,-4.94,-0.4,-0.72,-0.73,-39.67,-63.23,101.2,1742222895.060225
-0.02,-0.08,1.35,33.51,7.69,-19.84,0.03,-0.4,-0.53,-28.69,-42.3,95.21,1742222895.1741152
0.17,-0.09,0.94,5.8,12.88,-3.78,0.31,-0.26,-0.23,33.69,3.91,-49.87,1742222895.288081
0.14,-0.11,0.96,0.24,6.35,2.62,-1.1,-1.84,-1.57,12.39,68.85,-168.33,1742222895.4021351
0.15,-0.09,1.04,-0.67,16.3,-2.99,-0.63,-0.72,-0.9,-46.69,-22.16,83.19,1742222895.5161679
0.25,-0.36,0.2,5.8,-226.56,18.43,-0.23,-0.53,-0.71,-55.3,-50.72,144.84,1742222895.6302578
0.12,-0.08,1.01,-52.61,0.12,33.02,0.15,-0.49,-0.44,-21.24,-49.5,60.85,1742222895.744066
0.14,-0.04,0.97,1.65,-1.28,-1.95,0.2,-0.4,-0.33,39.43,46.26,-75.81,1742222895.85811
0.14,-0.08,0.99,2.56,2.14,-0.55,-0.74,-1.19,-1.02,69.21,60.61,-224.0,1742222895.974625
0.15,-0.07,1.04,11.17,16.78,0.43,-0.48,-0.76,-0.86,0.0,-48.89,15.26,1742222896.086022
0.31,-0.36,-0.28,48.28,-177.73,19.84,-0.32,-0.75,-0.66,-46.57,-32.04,120.97,1742222896.200125
0.16,-0.16,1.06,-61.95,20.57,24.84,0.07,-0.58,-0.52,-25.57,-42.66,88.62,1742222896.314573
0.1,-0.04,1.02,-0.61,-2.5,-0.18,0.24,-0.4,-0.35,32.04,5.43,-22.16,1742222896.434484
0.14,-0.06,0.95,-0.92,3.6,-1.71,-0.23,-0.26,-0.51,10.86,83.98,-272.71,1742222896.5420759
0.13,-0.06,1.04,5.55,10.99,-1.89,-0.62,-0.94,-0.93,9.58,-24.72,17.09,1742222896.6586921
0.33,-0.17,0.32,40.59,-29.05,-4.58,-0.41,-0.8,-0.7,-38.21,-49.93,125.79,1742222896.775693
0.06,-0.27,1.31,8.67,39.55,14.16,-0.01,-0.56,-0.5,-30.15,-32.1,121.4,1742222896.884177
0.12,-0.15,0.97,6.84,10.38,0.85,0.35,-0.36,-0.34,10.13,-7.14,1.1,1742222896.998088
0.15,-0.07,0.97,3.97,9.28,5.86,-0.0,-0.2,-0.42,5.31,90.7,-225.77,1742222897.117232
0.14,-0.09,1.02,2.62,9.58,0.98,-1.04,-1.39,-1.22,-56.95,35.89,13.31,1742222897.2260659
0.19,-0.06,1.06,5.49,49.07,-15.93,-0.41,-0.8,-0.66,-37.23,-43.88,108.28,1742222897.340169
0.09,0.04,1.14,6.35,49.87,-21.18,0.04,-0.52,-0.42,-29.05,-33.57,129.7,1742222897.4551392
0.21,-0.1,0.97,9.46,14.89,1.4,0.33,-0.44,-0.3,29.72,-18.07,22.16,1742222897.5680199
0.19,-0.1,0.96,8.54,12.39,7.26,-0.01,-0.39,-0.49,51.94,38.82,-188.78,1742222897.682236
0.2,-0.11,0.98,0.98,0.67,-0.92,-1.46,-1.74,-1.22,22.22,87.83,-79.28,1742222897.796161
