L-AccX,L-AccY,L-AccZ,L-GyrX,L-GyrY,L-GyrZ,R-AccX,R-AccY,R-AccZ,R-GyrX,R-GyrY,R-GyrZ,timestamp
0.56,0.58,-0.6,-1.1,0.06,-12.63,-0.15,-0.05,0.97,-28.14,-3.48,3.66,1742258834.992183
0.59,0.44,-0.53,5.98,-21.97,12.82,-0.82,-0.97,1.53,53.1,18.68,84.96,1742258835.107649
0.57,0.54,-0.54,7.57,-14.59,34.18,-0.23,-0.6,0.65,248.9,66.71,326.54,1742258835.218339
0.4,0.96,-0.76,-31.25,-21.97,21.55,0.26,0.32,0.93,-3.72,-32.1,191.59,1742258835.332347
0.33,0.91,-0.63,-23.44,-71.35,-49.32,0.16,-0.18,1.38,-18.31,59.81,56.76,1742258835.4462988
1.08,0.43,0.09,75.01,-27.4,-110.96,0.19,-0.18,0.17,20.81,11.66,43.64,1742258835.5602062
0.62,0.45,-0.51,-84.66,26.06,-10.99,0.79,-0.02,1.13,-83.98,-17.21,38.21,1742258835.674387
0.49,0.2,-0.84,14.04,-52.06,-27.28,0.64,-0.24,1.04,-49.8,0.06,14.95,1742258835.788332
0.94,0.46,-0.16,-23.44,-98.88,17.4,0.3,0.14,0.46,-31.86,83.8,22.34,1742258835.902184
1.18,0.43,-0.04,1.4,51.21,-40.65,0.4,-0.26,0.81,-6.29,-55.3,-45.72,1742258836.0154781
0.49,0.03,-0.67,-23.13,26.18,-9.03,1.17,0.14,1.26,-57.01,17.52,-2.14,1742258836.129837
0.49,0.34,-0.71,7.32,-48.4,38.33,0.45,-0.19,0.83,-8.0,34.06,13.18,1742258836.246947
1.32,0.94,0.49,12.88,1.34,-23.38,0.21,-0.09,0.29,25.7,-12.45,21.24,1742258836.35731
0.68,0.43,-0.38,-62.93,60.06,-40.53,0.91,0.1,1.03,-21.55,-55.73,-3.97,1742258836.471411
0.49,0.0,-0.91,27.28,-4.21,-21.06,0.73,-0.05,1.02,-6.77,44.19,15.08,1742258836.588959
1.08,0.44,-0.11,-3.54,-71.04,64.09,0.18,0.1,0.57,-13.24,34.12,18.01,1742258836.6991801
1.18,0.6,-0.09,-36.07,5.92,-35.58,0.55,-0.06,0.55,31.98,-28.99,-41.5,1742258836.8122969
0.53,-0.11,-0.6,1.16,-0.12,-24.84,1.15,-0.04,1.18,3.3,1.53,28.99,1742258836.927593
0.59,0.25,-0.72,49.93,-11.6,51.51,0.52,0.2,0.7,-30.7,19.71,16.85,1742258837.039135
1.34,0.8,0.35,-15.87,0.92,16.91,0.24,0.02,0.43,33.2,-19.17,5.8,1742258837.152311
