L-AccX,L-AccY,L-AccZ,L-GyrX,L-GyrY,L-GyrZ,R-AccX,R-AccY,R-AccZ,R-GyrX,R-GyrY,R-GyrZ,timestamp
-0.2,0.32,0.97,10.25,-5.86,8.0,-0.77,-0.32,-0.56,0.85,0.92,27.28,1742258680.91198
-0.46,0.47,0.99,49.5,8.91,10.44,-0.77,-0.36,-0.59,1.89,-1.89,10.8,1742258681.020848
-0.47,0.69,0.67,-103.33,-1.83,-157.59,-0.74,-0.34,-0.57,-4.33,-4.64,10.07,1742258681.1348941
-0.17,0.41,0.29,-158.2,-204.77,-160.34,-0.75,-0.44,-0.6,2.75,-14.1,4.7,1742258681.248765
-0.36,0.29,0.87,-131.29,-197.94,7.14,-0.75,-0.47,-0.62,13.92,-33.02,23.07,1742258681.3628008
-0.69,0.69,1.16,-68.36,-42.36,104.92,-0.87,-0.35,-0.71,-68.97,-35.28,25.76,1742258681.477288
-0.87,0.68,0.27,-97.23,-19.47,62.81,-0.49,-0.47,-0.52,-90.21,-73.85,-16.36,1742258681.593174
-1.14,0.91,0.05,-60.97,-95.34,-2.99,-0.03,-0.68,-0.19,34.61,48.03,-29.11,1742258681.7049139
-0.62,0.89,0.28,30.4,-87.65,-73.36,-1.47,-0.64,-0.84,19.59,84.59,62.38,1742258681.818771
-0.43,0.55,0.56,-16.05,35.89,5.68,-1.11,-0.62,-0.79,-55.36,-101.44,14.34,1742258681.932986
-1.16,0.63,-0.13,36.99,117.92,71.17,0.54,-0.77,0.04,2.5,4.58,-6.23,1742258682.0465422
-0.85,0.61,-0.38,11.96,-117.31,-35.64,-1.07,-0.67,-0.44,77.76,165.89,-32.53,1742258682.160744
-0.52,0.43,0.69,-16.17,15.14,-0.55,-1.25,-0.62,-0.89,-17.64,-82.28,-31.86,1742258682.275261
-0.89,0.59,-0.01,-38.57,96.62,72.57,0.44,-0.85,0.04,-10.68,-47.06,-34.55,1742258682.394285
-0.96,0.61,-0.5,38.7,-44.37,-34.91,-0.86,-0.67,-0.4,42.18,184.94,18.01,1742258682.502656
-0.4,0.42,0.54,29.11,-28.14,-44.74,-1.51,-0.16,-0.95,-43.52,-46.02,5.55,1742258682.6167748
-0.51,0.55,0.18,-93.14,-0.06,38.64,-0.06,-0.32,-0.27,-30.46,-126.46,-3.48,1742258682.735042
-1.23,1.12,-0.33,29.97,-65.31,19.71,-0.04,-0.9,-0.28,44.8,51.03,3.3,1742258682.844543
-0.69,0.81,0.37,33.69,-53.77,-79.35,-1.5,-0.43,-0.9,42.72,75.26,22.83,1742258682.9585469
-0.35,0.55,0.48,-36.5,18.98,12.7,-0.78,-0.56,-0.4,-104.92,-130.86,60.61,1742258683.073884
-1.03,0.67,-0.09,-44.07,64.09,114.99,0.35,-0.72,-0.07,3.11,-4.27,-32.65,1742258683.18677
