L-AccX,L-AccY,L-AccZ,L-GyrX,L-GyrY,L-GyrZ,R-AccX,R-AccY,R-AccZ,R-GyrX,R-GyrY,R-GyrZ,timestamp
0.00875,0.0,0.185,0.007645,0.0154275,-0.0173175,-0.02625,-0.055,0.13875,-0.0029000002,0.0010975,-9.25e-05,1742101732.677439
0.0375,-0.04375,0.1075,0.0045025,0.0325,-0.0036,-0.0325,-0.095,0.1125,-0.0054475004,0.0060725003,0.0242625,1742101732.7905831
0.05125,-0.055,0.0325,-0.0046375,0.011565,0.0263675,-0.04625,-0.03625,0.13,0.0110925,-0.025895001,0.0626675,1742101732.9045389
-0.01875,0.02125,0.02375,-0.015457501,-0.026672501,0.047775,-0.06125,0.03875,0.21875,-0.0060725003,-0.0028225,0.0434275,1742101733.018666
-0.0575,0.105,0.15625,0.02884,-0.0357975,-0.0057375003,-0.0025,0.015,0.125,-0.013564999,0.046630003,4.5e-05,1742101733.13267
-0.085,0.0525,0.19125,0.048919998,-0.016967501,-0.031770002,0.02875,0.01,0.0425,-0.0039525,0.028397499,-0.02452,1742101733.246662
-0.06125,-0.1125,0.16875,0.029082501,0.0228575,-0.02742,0.0075,-0.01,-0.00375,-0.007905,-0.0195775,-0.03682,1742101733.360689
0.01125,-0.0975,0.0625,-0.0102225,0.0496675,0.008239999,-0.0625,-0.1825,0.11125,0.001235,-0.06102,-0.0099174995,1742101733.476025
0.03625,-0.05375,0.015,-0.020645,0.02365,0.035767503,-0.08125,-0.1075,0.2325,-0.022765,-0.031799998,0.044357497,1742101733.588575
-0.01875,0.0325,0.02875,0.0001375,-0.039245,0.0378275,-0.065,0.0375,0.1825,-0.0146325,0.03537,0.034302503,1742101733.7025568
-0.09125,0.10875,0.16375,0.0042125,-0.0526875,-0.0139775,-0.00125,0.04375,0.085,-0.0158375,0.0605925,-0.009705,1742101733.81662
-0.1175,-0.02875,0.21375,0.05066,-0.0139,-0.028442498,0.03125,0.0175,0.01125,0.0018300001,0.032365,-0.0375675,1742101733.930795
-0.0475,-0.11375,0.1175,0.0046550003,0.043365,-0.0015875,-0.01875,-0.085,0.0075,-0.023225,-0.038955003,-0.044740003,1742101734.044843
0.0175,-0.0925,0.0375,-0.0394275,0.05011,0.0178525,-0.06,-0.14875,0.145,-0.0060575,-0.081725,0.014495,1742101734.158685
0.04125,-0.01125,-0.01625,-0.0184025,0.017700002,0.046830002,-0.11375,-0.0825,0.2775,-0.020095,-0.0198675,0.046035,1742101734.2767591
-0.06375,0.0875,0.08875,0.0326075,-0.065765,0.030059999,-0.05125,0.02375,0.1525,-0.007035,0.0500325,0.025772499,1742101734.3864121
-0.125,0.02375,0.22375,0.035035,-0.0490425,-0.04866,0.01125,0.0275,0.045,0.0048225,0.059860002,-0.0181875,1742101734.500556
-0.0975,-0.0575,0.185,0.02095,0.018082501,-0.028,0.01875,-0.01625,-0.01625,-0.01384,0.0031125,-0.04921,1742101734.617269
-0.025,-0.07375,0.0975,0.0074299998,0.057327498,0.0007775,-0.035,-0.1575,0.05125,-0.00763,-0.04718,-0.0253,1742101734.7286
0.04375,-0.055,0.035,-0.0245825,0.037779998,0.026092501,-0.035,-0.16125,0.16375,0.0019225,-0.034287497,0.029450001,1742101734.842456
0.01875,0.02375,0.015,-0.002715,-0.0146175,0.046982497,-0.07125,-0.005,0.2175,-0.019087499,0.0055075004,0.0437925,1742101734.957115
-0.07875,0.125,0.0975,-0.0057675,-0.04982,0.01625,-0.005,0.01,0.12125,-0.0163875,0.039275,0.011215,1742101735.070571
