L-AccX,L-AccY,L-AccZ,L-GyrX,L-GyrY,L-GyrZ,R-AccX,R-AccY,R-AccZ,R-GyrX,R-GyrY,R-GyrZ,timestamp
-0.02,0.2,0.9,6.47,-15.44,5.55,-0.25,-0.32,0.85,-15.32,6.35,44.07,1742257867.989704
-0.48,0.25,0.89,12.02,2.32,-5.07,-0.26,-0.23,0.86,-3.91,0.37,15.32,1742257868.1075609
-0.33,0.21,0.85,-25.82,60.67,-96.98,-0.22,-0.26,0.87,19.1,-17.58,4.39,1742257868.2177238
0.12,0.19,0.8,-60.49,-2.69,-43.03,-0.29,-0.37,0.9,-2.69,-19.23,-0.06,1742257868.331914
0.26,0.34,0.99,-18.43,-23.56,14.4,-0.3,-0.31,0.87,-3.91,3.23,10.13,1742257868.448456
0.27,0.46,0.92,-49.44,20.2,14.59,-0.28,-0.32,0.81,7.57,-2.01,0.67,1742257868.559731
0.1,0.47,0.82,16.85,-42.36,29.6,-0.31,-0.33,0.88,14.28,-5.31,-2.38,1742257868.6738272
-0.04,0.52,0.82,-13.92,-36.19,31.37,-0.31,-0.36,0.88,2.69,-5.68,-8.18,1742257868.791296
-0.16,0.62,0.88,-13.85,-26.31,27.16,-0.33,-0.33,0.89,2.62,11.66,-5.07,1742257868.9017842
-0.24,0.54,0.85,-14.83,-15.81,17.33,-0.33,-0.33,0.84,22.77,28.02,-3.48,1742257869.01564
-0.27,0.58,0.79,-1.04,-9.09,15.38,-0.25,-0.39,0.85,3.3,-3.3,-8.36,1742257869.129835
-0.3,0.58,0.8,-8.48,-1.34,6.16,-0.27,-0.44,0.89,-4.88,-2.75,2.75,1742257869.24835
-0.28,0.55,0.78,4.94,-4.46,5.86,-0.25,-0.4,0.81,5.55,5.8,13.61,1742257869.3575602
-0.29,0.55,0.8,20.2,-7.32,4.33,-0.3,-0.38,0.86,-5.0,-3.97,15.32,1742257869.471754
-0.27,0.53,0.7,-3.91,-6.9,8.36,-0.25,-0.38,0.85,-1.04,0.49,2.93,1742257869.587212
-0.36,0.54,0.83,19.96,-26.55,-2.99,-0.23,-0.39,0.89,-0.85,3.3,3.66,1742257869.6996858
-0.33,0.46,0.74,4.33,-13.92,-5.49,-0.22,-0.41,0.82,-3.78,5.68,-2.5,1742257869.813849
