L-AccX,L-AccY,L-AccZ,L-GyrX,L-GyrY,L-GyrZ,R-AccX,R-AccY,R-AccZ,R-GyrX,R-GyrY,R-GyrZ,timestamp
0.33,-0.01,0.97,5.62,-10.44,-17.4,-0.14,-0.2,1.07,12.21,1.95,5.37,1742222834.793171
0.37,0.1,0.92,-1.4,3.6,-8.48,-0.07,-0.16,1.01,1.53,17.21,19.65,1742222834.900816
0.34,0.11,0.86,-10.99,-8.67,-13.24,0.05,-0.08,0.89,-5.07,10.68,-0.73,1742222835.014875
0.33,0.28,0.99,-67.26,-23.93,-19.17,-0.03,-0.16,0.97,-13.43,-5.0,-10.13,1742222835.129088
0.3,0.19,1.62,12.7,55.54,-36.01,-0.04,-0.18,1.03,10.68,-4.46,3.91,1742222835.242914
0.38,0.26,0.5,43.76,124.88,-9.95,-0.02,-0.11,1.02,5.07,3.36,1.04,1742222835.3568032
0.44,0.05,0.23,22.77,-63.66,6.59,-0.01,-0.15,0.99,2.69,4.58,0.24,1742222835.473005
0.35,0.17,0.96,-32.84,-128.48,1.28,-0.0,-0.14,0.98,-2.56,0.98,0.12,1742222835.584832
0.34,0.22,1.14,-41.38,-70.25,-9.64,-0.01,-0.15,0.98,0.43,-0.24,-1.1,1742222835.6989849
0.16,0.2,1.5,6.35,-23.99,-15.08,-0.0,-0.15,1.0,-1.1,-0.85,1.34,1742222835.8129432
0.25,0.19,0.86,65.49,197.63,3.48,-0.0,-0.13,0.99,-0.55,0.73,0.61,1742222835.92681
0.48,0.17,0.13,27.59,-33.57,10.31,-0.01,-0.15,0.98,2.2,1.59,-0.98,1742222836.040818
0.3,0.26,0.83,-46.69,-121.95,-1.04,-0.01,-0.17,0.99,-5.49,-3.97,2.2,1742222836.156659
0.28,0.29,1.17,-104.98,-83.62,-34.48,-0.01,-0.12,1.01,-1.89,0.55,1.65,1742222836.272564
0.16,0.33,1.37,2.38,-33.33,-15.01,-0.01,-0.14,1.0,-0.85,4.7,3.23,1742222836.383471
0.15,0.28,1.08,56.15,179.69,-0.43,0.01,-0.11,0.99,-3.85,4.52,3.05,1742222836.4966679
0.44,0.13,0.24,40.65,-1.89,-2.75,0.02,-0.12,0.98,-0.49,1.1,-0.06,1742222836.6146078
0.23,0.15,0.77,-42.11,-96.62,-1.83,0.02,-0.14,1.0,-2.01,-1.34,1.04,1742222836.723851
0.2,0.26,1.09,-50.54,-90.58,2.08,0.0,-0.12,1.0,1.59,3.17,2.38,1742222836.837588
0.02,0.3,1.49,-2.69,-30.4,-3.3,0.03,-0.12,0.98,2.2,1.71,0.12,1742222836.952738
0.1,0.32,1.11,49.01,222.23,-2.93,0.03,-0.14,1.01,-0.43,0.12,1.22,1742222837.06367
0.48,0.2,0.28,8.42,98.57,5.0,0.02,-0.13,0.99,-1.83,1.28,-0.18,1742222837.1778219
0.49,0.36,0.45,-78.67,-98.33,10.93,0.02,-0.15,0.98,-2.99,-1.59,-0.37,1742222837.29339
0.29,0.23,1.05,-49.44,-137.15,-12.08,0.03,-0.12,0.99,-1.71,-1.65,0.18,1742222837.4058502
0.06,0.32,1.36,15.56,-70.01,-3.66,0.02,-0.12,0.99,0.18,0.43,0.61,1742222837.51958
0.01,0.28,1.33,39.67,94.67,5.31,0.02,-0.14,0.98,1.77,-1.59,1.16,1742222837.6364522
0.35,0.27,0.65,20.26,149.29,-6.23,0.01,-0.11,1.0,0.98,-2.87,1.46,1742222837.746697
0.53,0.21,0.2,4.82,-13.98,9.77,0.01,-0.13,1.0,2.38,-2.62,-5.74,1742222837.86082
0.31,0.34,0.75,-0.18,-163.82,1.65,0.0,-0.16,0.99,1.89,-0.92,-4.27,1742222837.9748218
0.03,0.25,1.31,-44.68,-87.83,-18.74,-0.01,-0.15,1.0,1.1,-0.55,-0.92,1742222838.088937
-0.11,0.28,1.45,23.62,56.09,-2.08,-0.01,-0.15,1.0,3.36,1.22,-0.49,1742222838.202816
0.19,0.19,0.84,19.53,206.42,8.79,-0.01,-0.16,0.99,3.3,-0.12,0.06,1742222838.316694
0.53,0.2,0.25,-1.16,85.63,20.26,0.0,-0.14,1.0,2.14,0.49,0.12,1742222838.4330199
0.46,0.33,0.48,-6.23,-152.53,14.16,0.02,-0.16,0.98,3.72,-0.12,-1.1,1742222838.543831
0.1,0.3,1.2,-23.68,-165.41,-19.29,-0.0,-0.16,0.99,1.34,-1.1,-0.12,1742222838.657871
-0.13,0.23,1.57,15.2,3.11,-7.81,0.01,-0.16,0.98,1.04,-0.67,-3.54,1742222838.7735538
0.04,0.27,1.08,29.85,183.96,-2.14,-0.01,-0.17,0.99,1.16,-2.2,-1.4,1742222838.885891
0.46,0.28,0.27,-4.7,117.92,26.98,-0.01,-0.14,1.0,4.46,1.89,-5.19,1742222838.999712
0.55,0.33,0.35,-3.3,-114.5,5.68,0.0,-0.2,0.97,0.79,10.38,-4.15,1742222839.115403
0.24,0.22,0.99,-34.48,-116.52,-28.87,0.01,-0.17,0.97,-5.74,-10.93,-5.07,1742222839.2268522
0.08,0.3,1.41,-1.59,-67.38,6.1,-0.03,-0.17,1.0,-4.09,-6.47,-3.3,1742222839.340896
0.07,0.38,1.26,28.69,116.52,12.39,-0.03,-0.17,0.98,-6.29,-4.27,-3.54,1742222839.454914
0.36,0.42,0.51,-20.2,136.47,-13.24,-0.05,-0.17,1.0,-3.42,-1.53,0.06,1742222839.569589
0.58,0.26,0.3,-5.43,-13.73,5.8,-0.04,-0.15,0.99,-4.46,-1.65,0.98,1742222839.682863
0.4,0.46,0.71,1.4,-97.35,23.74,-0.05,-0.15,0.99,-2.62,0.43,0.37,1742222839.796729
0.18,0.41,1.0,-41.32,-89.9,-4.15,-0.04,-0.14,0.99,0.0,-1.16,-0.73,1742222839.9134212
-0.05,0.48,1.38,22.77,-26.31,3.72,-0.04,-0.15,0.99,-3.66,-0.06,0.43,1742222840.024833
0.1,0.45,1.04,6.04,180.05,-26.61,-0.03,-0.11,0.99,-1.22,0.55,0.67,1742222840.138741
0.44,0.34,0.4,1.28,143.8,-8.97,-0.04,-0.14,0.99,-0.43,-0.73,1.22,1742222840.253194
0.6,0.27,0.21,-3.66,-70.56,24.78,-0.04,-0.13,0.99,0.79,0.55,-0.06,1742222840.3667681
0.28,0.41,0.86,3.6,-170.47,11.54,-0.04,-0.15,0.99,-2.44,-0.49,-0.12,1742222840.4809558
0.03,0.41,1.27,-13.0,-67.44,-3.05,-0.04,-0.13,0.99,0.73,-0.06,-1.4,1742222840.595047
0.02,0.45,1.25,26.55,38.27,-14.59,-0.03,-0.15,0.99,-0.85,-0.55,-0.18,1742222840.7131379
0.23,0.3,0.83,12.39,152.04,-27.4,-0.04,-0.12,0.99,-1.53,-0.18,-0.06,1742222840.8229172
0.48,0.28,0.28,-45.9,77.7,5.92,-0.04,-0.15,0.99,0.06,-0.55,-0.12,1742222840.93672
0.43,0.52,0.51,19.35,-104.06,22.89,-0.05,-0.13,1.0,-0.79,1.22,0.55,1742222841.053034
0.13,0.5,1.11,-24.9,-134.77,-1.65,-0.04,-0.12,1.0,0.79,0.55,-1.16,1742222841.164639
-0.02,0.52,1.41,11.11,17.64,-4.58,-0.04,-0.14,0.99,-0.85,0.92,-0.85,1742222841.278719
0.2,0.48,0.96,47.3,156.01,-22.77,-0.04,-0.14,1.0,-0.24,-0.49,-0.92,1742222841.3931022
0.53,0.3,0.24,-27.28,87.95,-18.49,-0.04,-0.14,0.98,0.73,-0.73,-0.24,1742222841.5067232
0.48,0.29,0.42,15.08,-106.63,18.37,-0.04,-0.14,0.99,-2.44,0.43,0.37,1742222841.620682
0.21,0.39,0.97,11.84,-194.46,38.7,-0.03,-0.13,0.99,2.99,-0.92,-0.43,1742222841.73475
0.03,0.31,1.22,-6.53,-61.1,-18.74,-0.04,-0.15,0.99,3.72,-1.4,-1.71,1742222841.853184
-0.04,0.31,1.3,30.7,82.21,-13.73,-0.04,-0.15,0.99,-0.73,0.98,-0.31,1742222841.9627159
0.25,0.26,0.73,44.86,163.57,1.77,-0.04,-0.15,0.98,-0.85,0.06,0.06,1742222842.076603
0.56,0.19,0.19,-12.39,20.26,26.49,-0.04,-0.15,0.98,1.22,-1.46,-0.18,1742222842.193346
0.34,0.48,0.68,8.54,-134.46,29.91,-0.05,-0.13,1.0,-0.55,0.37,0.24,1742222842.304624
0.13,0.42,1.22,-58.59,-106.26,-22.71,-0.05,-0.13,0.99,-0.43,-0.24,-0.73,1742222842.4188612
-0.0,0.41,1.44,19.35,34.18,-4.46,-0.04,-0.13,0.99,-1.28,0.24,-0.55,1742222842.532964
0.18,0.43,0.93,36.99,170.47,-8.18,-0.05,-0.14,0.99,-1.46,0.12,0.61,1742222842.6467688
0.54,0.27,0.28,-8.3,74.1,2.26,-0.05,-0.13,0.99,0.67,-0.55,0.24,1742222842.760692
0.45,0.3,0.41,-7.63,-153.5,38.39,-0.04,-0.15,0.99,-0.43,-0.49,-0.18,1742222842.8748858
0.11,0.39,0.97,-47.18,-136.41,-7.32,-0.04,-0.13,0.99,1.28,0.0,-0.55,1742222842.992897
-0.21,0.44,1.48,20.69,-42.18,7.63,-0.05,-0.15,1.0,0.79,0.06,-0.31,1742222843.102761
-0.08,0.36,1.16,26.73,126.83,-13.18,-0.05,-0.14,0.99,-1.95,-0.12,0.31,1742222843.2166662
0.34,0.28,0.52,-3.17,164.06,-6.04,-0.05,-0.13,1.0,-0.85,-0.79,0.12,1742222843.333753
0.52,0.23,0.37,-0.67,-49.19,26.25,-0.05,-0.13,0.99,1.59,0.06,-0.85,1742222843.444577
0.29,0.37,0.89,3.23,-110.41,11.6,-0.04,-0.15,0.99,-2.26,-1.16,0.67,1742222843.558654
0.07,0.32,1.18,-18.92,-29.91,13.0,-0.05,-0.13,0.99,-1.16,-0.18,0.31,1742222843.672621
0.11,0.47,1.26,18.55,83.56,-7.32,-0.04,-0.14,0.99,-0.55,0.18,-0.67,1742222843.7866619
0.39,0.36,0.7,21.91,187.01,-40.77,-0.05,-0.13,0.99,1.16,0.49,-0.43,1742222843.900586
0.64,0.13,0.24,13.0,23.56,-9.46,-0.06,-0.15,0.98,-1.28,0.37,0.43,1742222844.014577
0.44,0.35,0.62,-15.93,-116.82,16.24,-0.05,-0.14,1.0,2.81,0.55,-2.69,1742222844.128565
0.25,0.23,0.91,10.25,-83.31,-9.34,-0.04,-0.15,0.98,-3.78,0.79,-0.73,1742222844.242818
0.14,0.23,1.23,-2.5,-97.9,0.67,-0.05,-0.13,0.98,1.28,0.31,-2.2,1742222844.356547
0.0,0.22,1.44,1.77,114.38,-24.17,-0.05,-0.14,1.0,-2.56,0.37,0.43,1742222844.473492
0.38,0.14,0.5,88.81,131.53,50.17,-0.05,-0.13,0.99,2.26,-1.04,-0.43,1742222844.584682
0.54,0.41,0.33,-26.25,-8.54,10.5,-0.05,-0.12,1.0,-2.81,0.98,1.04,1742222844.69857
0.38,0.43,0.73,-51.27,-111.39,-19.53,-0.04,-0.11,0.99,-1.65,0.24,-0.43,1742222844.8136902
0.15,0.27,1.13,-40.77,-93.38,-15.14,-0.06,-0.14,0.99,0.55,0.73,-1.04,1742222844.926559
-0.04,0.45,1.49,-18.55,10.8,-6.77,-0.05,-0.13,0.99,-5.0,0.49,0.61,1742222845.040598
0.21,0.42,0.93,52.37,207.09,-3.6,-0.05,-0.11,0.99,2.56,-0.06,-0.49,1742222845.1576838
0.55,0.2,0.15,39.31,38.64,16.17,-0.04,-0.15,0.99,0.0,-0.43,0.24,1742222845.2730281
0.36,0.32,0.6,-33.14,-143.07,13.06,-0.05,-0.1,0.99,-4.58,0.79,1.53,1742222845.382584
0.18,0.37,1.06,-54.2,-85.45,-14.28,-0.04,-0.12,0.99,2.81,-1.22,-1.71,1742222845.496655
0.03,0.42,1.33,7.26,13.92,5.0,-0.06,-0.11,1.0,-2.62,-0.24,0.55,1742222845.61519
0.2,0.38,1.01,34.91,157.1,-19.04,-0.04,-0.12,0.99,-0.73,0.31,-0.37,1742222845.724622
0.45,0.25,0.48,8.85,80.02,-4.88,-0.05,-0.11,0.99,-0.73,0.18,-0.31,1742222845.8386939
0.54,0.24,0.42,-10.99,-60.12,17.46,-0.05,-0.11,1.0,-2.32,-0.31,0.37,1742222845.953772
0.31,0.22,0.85,-0.73,-119.08,2.69,-0.05,-0.1,1.0,1.46,-0.49,-1.28,1742222846.0665972
0.06,0.23,1.35,62.74,-48.95,4.94,-0.05,-0.12,1.0,-0.61,-0.31,-0.49,1742222846.180692
0.08,0.21,1.22,1.89,116.58,-27.04,-0.05,-0.11,0.99,-0.37,0.31,-0.31,1742222846.294713
0.37,0.18,0.67,27.95,115.66,11.66,-0.05,-0.12,0.99,-0.85,-0.49,0.12,1742222846.413484
0.53,0.23,0.37,-9.03,-24.11,11.23,-0.05,-0.11,0.99,-2.01,-0.12,0.61,1742222846.5226161
0.32,0.29,0.84,0.85,-120.42,10.74,-0.04,-0.11,0.99,-0.55,0.24,-0.67,1742222846.6366389
0.04,0.28,1.19,-27.1,-99.49,-31.8,-0.05,-0.11,1.0,0.31,0.24,-1.16,1742222846.753654
-0.07,0.18,1.4,-6.77,45.04,-26.92,-0.05,-0.11,0.99,-0.18,0.0,-0.37,1742222846.86464
0.19,0.3,0.97,28.5,172.55,-15.2,-0.05,-0.12,0.99,-0.79,0.18,0.24,1742222846.9786088
0.51,0.29,0.37,-0.92,99.55,-4.52,-0.05,-0.11,0.99,0.24,-0.37,0.06,1742222847.09478
0.58,0.17,0.33,-41.14,-95.64,4.03,-0.05,-0.11,0.99,1.04,-0.12,-0.61,1742222847.206622
0.29,0.14,0.97,-64.82,-148.99,-4.58,-0.05,-0.11,1.0,-0.18,0.37,-0.55,1742222847.320668
-0.03,0.37,1.37,-16.91,-57.19,0.67,-0.05,-0.11,0.99,0.18,0.12,-0.67,1742222847.4345338
0.06,0.36,1.22,15.5,128.97,-3.23,-0.05,-0.11,1.0,-0.73,-0.12,0.18,1742222847.5532448
0.43,0.27,0.48,-7.39,130.37,-0.12,-0.05,-0.11,0.99,0.55,-0.06,-0.24,1742222847.662614
0.56,0.19,0.35,-0.73,-36.62,-5.8,-0.05,-0.12,0.99,-1.4,0.43,-0.12,1742222847.776736
0.39,0.38,0.78,5.0,-93.81,27.34,-0.05,-0.12,0.99,-0.37,0.24,-0.18,1742222847.893485
0.13,0.5,1.0,-32.9,-112.49,18.19,-0.05,-0.12,1.0,0.12,0.37,-0.61,1742222848.0044181
-0.09,0.52,1.41,-9.95,-30.94,7.08,-0.05,-0.11,0.99,0.43,0.12,-0.43,1742222848.118631
0.09,0.49,1.05,7.45,193.3,-23.93,-0.05,-0.11,0.99,-1.1,0.18,0.43,1742222848.2335548
0.44,0.29,0.45,6.23,135.99,-14.22,-0.05,-0.11,0.99,0.79,-0.79,-0.43,1742222848.346493
0.57,0.33,0.23,13.49,-94.06,23.07,-0.05,-0.12,0.99,-0.06,-0.55,-0.55,1742222848.4605708
0.28,0.43,0.9,44.56,-183.72,29.54,-0.05,-0.11,0.99,-1.77,0.18,0.18,1742222848.574424
0.04,0.3,1.13,-21.3,-110.29,-1.04,-0.04,-0.11,0.99,0.18,0.0,-0.67,1742222848.689024
-0.1,0.37,1.39,13.0,77.82,-0.43,-0.05,-0.12,1.0,-0.92,0.24,0.31,1742222848.8024309
0.27,0.39,0.79,2.99,218.14,-14.4,-0.05,-0.11,0.99,-0.06,-0.18,-0.06,1742222848.916585
0.61,0.31,0.15,-7.14,37.17,10.25,-0.05,-0.12,1.0,0.12,-0.37,-0.06,1742222849.033107
0.42,0.46,0.55,14.04,-151.61,22.64,-0.05,-0.12,0.99,0.06,-0.18,-0.06,1742222849.144518
0.11,0.46,1.12,-13.85,-113.46,-1.16,-0.05,-0.11,1.0,-0.24,0.18,0.06,1742222849.2584121
0.05,0.28,1.21,-1.53,-11.17,-1.16,-0.05,-0.11,1.0,2.01,-0.18,-1.34,1742222849.373767
0.06,0.36,1.31,9.46,159.48,-23.01,-0.05,-0.11,1.0,0.61,0.06,-0.31,1742222849.486424
0.43,0.27,0.51,-1.28,155.09,-12.76,-0.05,-0.11,0.99,-0.12,-0.18,-0.06,1742222849.600638
0.65,0.16,0.21,13.67,2.14,14.89,-0.05,-0.11,1.0,-1.4,0.55,-0.18,1742222849.7145028
0.52,0.41,0.63,18.74,-116.58,27.4,-0.05,-0.11,0.99,0.0,-0.12,-0.79,1742222849.833442
0.27,0.39,0.98,-7.39,-109.56,0.0,-0.05,-0.11,0.99,0.43,-0.37,-0.67,1742222849.942514
-0.03,0.31,1.31,-1.77,-58.23,-5.0,-0.05,-0.12,0.99,-1.89,0.24,0.49,1742222850.056413
0.0,0.29,1.23,11.23,167.72,-26.98,-0.05,-0.11,0.99,0.67,0.49,-0.43,1742222850.1723719
0.48,0.31,0.6,43.21,120.85,-12.94,-0.05,-0.12,0.99,1.28,0.12,-0.61,1742222850.284411
0.58,0.16,0.29,5.13,-16.66,7.26,-0.05,-0.11,1.0,-0.73,2.14,-1.89,1742222850.398528
