L-AccX,L-AccY,L-AccZ,L-GyrX,L-GyrY,L-GyrZ,R-AccX,R-AccY,R-AccZ,R-GyrX,R-GyrY,R-GyrZ,timestamp
0.21,0.15,1.04,74.04,-50.54,2.32,-0.44,-0.11,1.22,-5.68,23.01,-6.23,1742222997.1027682
0.16,0.11,1.0,39.67,-10.31,21.0,-0.03,-0.08,0.67,20.14,55.73,3.3,1742222997.22276
0.12,0.08,1.03,13.61,-9.4,14.83,0.38,-0.11,0.85,56.03,57.43,-49.93,1742222997.327733
0.15,0.07,0.91,-4.21,-14.04,16.42,0.4,-0.43,0.9,46.63,43.21,-20.39,1742222997.4417322
0.17,0.1,0.98,-20.75,21.12,9.58,0.29,-0.35,0.83,4.7,28.32,-11.29,1742222997.562059
0.19,0.12,0.96,2.69,11.66,3.48,0.37,-0.24,0.87,28.56,24.41,-17.7,1742222997.6811242
0.2,0.1,0.96,-2.14,14.59,6.41,0.28,-0.42,0.87,6.1,1.89,5.0,1742222997.783689
0.22,0.13,0.95,-4.46,5.31,7.14,0.32,-0.35,0.9,-3.11,2.14,6.29,1742222997.901875
0.25,0.11,0.96,0.18,8.97,3.42,0.33,-0.35,0.88,-1.34,4.7,-5.62,1742222998.021888
0.25,0.16,0.95,-0.31,2.26,1.77,0.32,-0.28,0.94,4.76,0.92,7.26,1742222998.124712
0.26,0.14,0.95,-1.28,1.46,1.83,0.23,-0.19,1.36,13.43,-34.18,4.76,1742222998.2418041
0.26,0.14,0.95,-0.49,2.26,-2.38,0.24,-0.45,0.92,39.73,28.14,-68.54,1742222998.3612192
0.26,0.13,0.94,-1.89,1.77,1.1,0.28,-0.67,0.62,79.22,-127.26,-4.39,1742222998.4669828
0.1,0.3,1.25,-106.08,8.48,-28.99,-0.26,-0.22,1.51,-69.03,534.06,-304.14,1742222998.5809019
0.2,0.27,1.09,-42.42,95.09,22.89,-0.99,-1.43,-0.58,76.23,-41.2,263.79,1742222998.700761
0.46,0.29,0.38,-131.84,36.32,-6.96,0.24,-0.43,0.23,-56.27,-284.67,105.22,1742222998.8096051
0.25,-0.28,2.0,35.64,32.04,287.29,-0.02,-0.24,1.45,-42.42,-272.4,80.38,1742222998.9228659
-1.27,3.83,-0.14,-48.4,158.69,115.6,-0.53,-0.25,1.76,175.35,458.98,-239.26,1742222999.040676
0.29,0.32,-0.12,-24.05,-87.89,-212.46,-0.72,-1.64,-0.21,74.95,68.6,119.26,1742222999.150881
0.42,-0.32,0.85,-138.18,-213.2,-198.55,0.39,-0.32,0.26,8.73,-174.13,89.97,1742222999.264684
-0.15,-0.53,2.04,-57.31,39.55,109.44,0.23,-0.52,0.83,3.11,-313.11,69.89,1742222999.381721
-1.21,2.68,-0.24,-64.94,448.97,350.59,-0.42,-0.02,1.91,-56.64,-137.7,-36.38,1742222999.501583
0.28,-0.17,-0.46,-40.28,-122.99,-254.03,-1.23,-1.37,-0.59,308.47,674.93,-300.84,1742222999.6060538
0.48,-0.06,0.71,-40.28,-209.23,-136.23,0.16,-0.45,-0.17,57.13,-174.32,213.01,1742222999.721725
0.12,0.23,1.63,-46.94,-78.19,42.97,0.29,-0.47,0.55,-119.93,-338.2,69.52,1742222999.840873
-0.28,0.5,1.19,-103.21,537.41,294.31,-0.4,-0.19,1.57,-35.28,-134.58,24.9,1742222999.947881
-0.44,0.98,-0.68,136.84,-51.33,-339.36,-0.09,-0.41,1.0,220.09,431.58,-158.51,1742223000.0618088
0.17,0.45,0.61,89.97,-218.2,-152.47,-0.66,-1.98,-0.52,87.95,20.69,126.34,1742223000.180468
0.31,-0.01,1.09,-63.29,-158.14,-71.41,0.25,-0.69,0.26,-42.24,-247.25,81.3,1742223000.30148
-0.08,-0.15,1.92,-102.6,160.83,186.83,0.08,-0.6,0.83,-109.25,-349.49,79.53,1742223000.403834
-1.66,3.41,-1.53,-288.21,336.73,233.09,-0.56,0.23,1.98,106.87,14.04,-12.88,1742223000.520897
0.13,-0.06,-0.19,-11.41,-189.33,-258.85,-1.46,-1.96,-0.62,121.89,658.69,-322.51,1742223000.6433039
0.45,-0.21,0.73,-10.93,-229.13,-107.85,0.22,-0.55,-0.25,95.34,-146.24,237.79,1742223000.745844
0.1,-0.61,1.77,-64.45,-91.43,28.69,0.32,-0.55,0.51,-166.69,-308.41,78.12,1742223000.8611379
-0.34,1.6,0.63,132.57,592.65,325.07,-0.32,-0.31,1.54,-35.58,-226.44,26.0,1742223000.981109
-0.1,0.59,-0.46,14.47,-88.87,-293.7,-0.07,-0.45,1.08,238.89,414.37,-162.23,1742223001.087879
0.55,0.04,0.43,21.18,-165.28,-127.62,-0.62,-1.69,-0.5,86.43,110.9,68.42,1742223001.201979
0.49,0.15,1.09,-56.95,-245.3,-51.33,0.19,-0.51,0.07,-34.0,-338.38,86.55,1742223001.321045
-0.03,0.28,1.77,-70.01,160.77,177.73,-0.31,-0.22,1.25,-190.37,-336.0,80.87,1742223001.44101
-1.24,2.9,-0.66,-140.38,357.36,267.4,-0.54,0.15,1.72,164.86,167.85,-39.12,1742223001.543612
0.05,-0.16,-0.46,2.08,-113.1,-286.93,-1.49,-1.8,-0.44,-96.19,739.2,-322.75,1742223001.664208
0.47,0.18,0.79,-45.53,-248.72,-92.22,0.18,-0.47,-0.18,130.74,-230.65,188.66,1742223001.781385
-0.0,-0.1,1.76,-7.08,-181.27,7.14,-0.07,-0.67,0.84,-172.61,-319.76,141.36,1742223001.885823
-0.13,0.48,1.0,-39.73,543.82,231.99,-0.39,0.01,1.7,-3.72,-82.58,34.97,1742223002.0015612
-0.53,2.2,-1.23,5.68,-67.81,-247.74,-0.01,-0.44,0.76,295.78,468.57,-172.3,1742223002.1224651
0.35,0.32,0.43,-5.8,-297.85,-118.04,-0.61,-1.63,-0.98,129.46,47.67,67.38,1742223002.227746
0.32,0.32,1.35,-37.35,-262.94,-62.19,0.15,-0.72,-0.03,-77.88,-320.5,69.95,1742223002.3417852
-0.1,0.23,1.63,-88.01,252.69,130.25,-0.36,-0.64,1.14,-246.77,-302.25,116.46,1742223002.461426
-1.32,2.91,-1.93,-229.25,381.47,243.96,-0.31,0.03,1.58,47.73,109.62,-27.4,1742223002.571757
0.02,0.4,-0.33,-15.44,-292.91,-180.6,-0.44,-0.69,0.19,186.1,487.24,-207.58,1742223002.683748
0.18,0.61,1.17,104.74,-271.06,-66.65,-0.2,-0.93,-0.61,22.52,-127.93,141.72,1742223002.801609
-0.15,0.12,1.63,0.92,-1.22,-7.08,0.27,-0.62,0.4,-120.79,-344.6,40.71,1742223002.9216971
0.03,0.36,1.22,-15.87,375.0,186.83,-0.31,-0.28,1.5,-120.0,-215.7,60.24,1742223003.025747
-1.61,2.6,-2.52,-217.04,206.79,129.46,-0.19,-0.3,1.42,152.59,343.02,-123.29,1742223003.143521
0.27,0.11,0.16,-25.57,-273.74,-122.07,-1.36,-2.11,-1.42,35.58,577.58,-258.42,1742223003.2614882
0.29,0.89,1.1,10.56,-328.92,-47.79,0.05,-0.46,-0.27,61.16,-352.23,95.89,1742223003.367837
-0.18,0.05,1.89,-20.57,-4.21,40.47,-0.06,-0.55,0.86,-214.54,-381.71,80.44,1742223003.481869
-0.05,0.41,0.07,-205.02,595.09,171.75,-0.8,0.39,2.13,97.17,65.12,-40.77,1742223003.601738
-0.48,0.51,-1.54,322.2,-213.44,-152.89,-1.12,-1.17,-0.19,252.69,689.39,-349.98,1742223003.709472
0.23,0.22,0.79,97.84,-331.79,-101.2,-0.0,-0.59,-0.48,32.84,-140.44,274.78,1742223003.822756
-0.5,-0.61,1.79,-19.84,-319.4,42.97,0.15,-0.59,0.62,-125.98,-376.28,99.79,1742223003.941396
-0.38,0.18,1.16,-85.21,434.63,243.84,-0.27,-0.1,1.47,-100.46,-282.29,84.17,1742223004.0611289
-1.92,3.41,-2.58,-34.73,371.64,174.07,-0.13,-0.33,1.06,179.93,454.35,-207.7,1742223004.164663
0.06,0.38,-0.11,-82.89,-354.92,-129.21,-0.42,-1.66,-0.58,124.27,165.16,27.16,1742223004.281398
-0.06,-0.1,1.39,-32.23,-302.43,-81.97,0.36,-0.58,0.16,83.56,-284.73,79.16,1742223004.401479
-0.13,0.13,1.42,-92.53,358.52,147.77,-0.02,-0.6,0.84,-212.34,-466.37,51.21,1742223004.506751
