L-AccX,L-AccY,L-AccZ,L-GyrX,L-GyrY,L-GyrZ,R-AccX,R-AccY,R-AccZ,R-GyrX,R-GyrY,R-GyrZ,timestamp
-0.44,0.67,1.49,136.17,-9.34,20.14,0.32,-0.21,-1.05,-48.1,-23.8,11.9,1742258052.3133912
-0.52,0.55,0.82,-192.44,47.18,-241.15,0.58,-0.22,-0.88,-47.24,8.42,42.97,1742258052.4078279
-0.1,-0.11,0.81,-103.88,-134.28,-263.49,0.53,-0.3,-0.83,30.15,61.1,18.19,1742258052.521889
0.01,0.05,1.33,-31.25,-53.89,-55.73,0.21,-0.1,-0.91,16.3,-71.41,-3.42,1742258052.635925
0.01,0.36,0.49,-35.46,-11.84,-7.63,0.86,-0.1,-0.5,-11.78,-44.68,-24.78,1742258052.751654
-0.21,0.54,0.76,26.37,-53.96,-19.35,0.6,-0.32,-0.51,-3.17,74.65,27.04,1742258052.872941
0.09,0.62,1.22,13.85,-25.39,-23.44,-0.23,-0.13,-1.36,-29.17,57.86,26.43,1742258052.992159
0.19,0.32,0.95,-44.86,50.96,8.97,0.32,-0.37,-0.65,-35.89,-92.41,-67.57,1742258053.111616
-0.18,0.49,0.63,-16.05,50.05,39.43,1.27,-0.41,-0.2,-19.04,-27.28,-32.84,1742258053.206018
-0.04,0.56,0.82,1.95,-56.88,-11.6,0.57,-0.24,-0.65,19.23,79.65,17.82,1742258053.319764
0.08,0.39,1.31,7.51,-6.47,-21.24,-0.04,-0.02,-1.3,-34.48,13.55,86.3,1742258053.4338229
0.01,0.43,0.84,11.05,25.82,9.09,0.5,-0.24,-0.76,-15.38,-25.94,-5.68,1742258053.552398
-0.05,0.42,0.89,15.26,-4.76,8.06,0.17,-0.33,-1.2,44.19,25.15,-44.98,1742258053.6717162
0.12,0.38,0.87,-32.41,34.18,1.71,0.54,-0.28,-0.77,11.05,-45.72,-39.31,1742258053.79155
0.01,0.43,0.62,28.5,-15.44,3.91,0.79,-0.39,-0.46,-16.24,7.08,30.15,1742258053.911925
-0.03,0.33,0.88,109.74,-40.59,-33.2,-0.06,-0.23,-1.21,14.71,60.61,52.98,1742258054.0038028
0.05,0.45,1.13,-27.47,24.35,-4.64,0.02,-0.09,-1.36,1.89,-83.5,-28.63,1742258054.117974
0.03,0.48,0.86,-61.83,24.9,1.34,0.52,-0.07,-0.89,14.22,-67.63,-33.87,1742258054.231921
-0.03,0.54,0.69,-7.14,8.42,-12.76,0.9,-0.24,-0.34,-25.33,19.23,31.68,1742258054.351726
0.1,0.34,0.95,106.32,-51.21,-23.44,-0.06,-0.29,-1.03,41.14,87.83,16.6,1742258054.4713721
0.04,0.44,1.2,-11.35,9.28,2.75,-0.04,-0.07,-1.42,23.8,-76.48,-46.87,1742258054.591291
-0.09,0.5,0.84,-64.09,12.21,13.79,0.78,-0.12,-0.83,19.9,-69.09,-46.45,1742258054.687816
-0.22,0.49,0.7,-5.43,-11.05,-3.54,0.7,-0.21,-0.68,-4.88,80.32,28.14,1742258054.8019469
0.05,0.29,1.34,15.08,-20.75,-19.47,-0.41,-0.03,-1.39,-30.21,36.99,76.84,1742258054.915819
0.23,0.21,1.05,10.56,85.82,35.77,0.34,-0.23,-0.55,-32.65,-100.28,-53.04,1742258055.030646
-0.29,0.51,0.75,19.29,90.52,33.26,1.27,-0.55,-0.59,11.47,-18.01,-57.31,1742258055.1511521
-0.0,0.44,0.47,44.31,-26.98,-17.52,0.83,-0.19,-0.49,4.21,116.7,19.47,1742258055.27145
0.4,0.29,1.42,54.63,-32.41,-9.16,-0.46,0.07,-1.7,-2.44,58.17,57.74,1742258055.390944
0.21,0.12,0.95,-9.09,71.96,17.15,0.75,-0.05,-0.29,-16.48,-56.7,-43.33,1742258055.485992
-0.35,0.61,0.46,-12.82,-0.24,19.23,1.1,-0.27,-0.38,-47.61,-7.39,71.35,1742258055.599851
0.04,0.59,1.12,67.32,-23.56,-44.25,0.26,-0.4,-1.34,52.37,52.61,-14.22,1742258055.7139368
0.41,0.11,1.03,43.03,-12.88,-2.14,-0.18,0.16,-1.58,39.49,-34.48,-37.72,1742258055.831635
0.1,0.34,0.65,-91.92,1.28,8.91,0.71,-0.18,-0.75,-43.52,-69.58,-14.16,1742258055.951367
