L-AccX,L-AccY,L-AccZ,L-GyrX,L-GyrY,L-GyrZ,R-AccX,R-AccY,R-AccZ,R-GyrX,R-GyrY,R-GyrZ,timestamp
-0.72,0.23,-0.65,-6.96,3.48,-1.28,-0.19,-0.18,0.95,-5.0,-17.46,-14.1,1742256267.8265731
-0.72,0.23,-0.64,-14.47,4.58,0.49,-0.16,-0.32,0.88,-4.46,37.72,101.99,1742256267.940413
-0.74,0.12,-0.67,-41.2,-10.31,14.22,-0.05,-0.15,0.82,31.74,32.96,131.53,1742256268.054531
-0.74,0.17,-0.77,-26.73,-6.77,-17.46,0.05,0.04,0.84,133.42,-73.18,77.7,1742256268.168606
-0.71,0.19,-0.74,-11.96,-31.68,-11.6,-0.2,-0.31,1.03,84.47,-78.98,-4.7,1742256268.282594
-0.63,0.12,-0.71,-15.81,-37.54,1.46,-0.37,-0.59,0.95,43.03,-56.21,-27.71,1742256268.3981671
-0.63,0.1,-0.77,-48.52,-19.17,-6.65,-0.41,-0.49,0.88,25.57,-24.23,-17.4,1742256268.510626
-0.57,0.08,-0.83,10.56,-16.6,-6.23,-0.35,-0.56,0.73,30.4,4.39,0.55,1742256268.624501
-0.52,0.04,-0.83,9.34,-11.05,-18.55,-0.34,-0.55,0.66,-3.36,1.4,-5.19,1742256268.7384992
-0.53,0.04,-0.85,-0.06,-3.17,-0.37,-0.38,-0.59,0.7,-3.05,7.26,-2.56,1742256268.856759
-0.52,0.05,-0.85,3.91,0.85,-4.64,-0.37,-0.61,0.7,15.2,7.2,-3.72,1742256268.966312
-0.52,0.06,-0.82,4.46,1.83,-1.53,-0.38,-0.7,0.71,27.89,-0.61,-10.38,1742256269.081891
-0.54,0.07,-0.86,6.1,0.06,3.36,-0.37,-0.62,0.67,0.49,2.69,-6.29,1742256269.197759
-0.53,0.03,-0.85,-0.55,0.12,5.0,-0.38,-0.61,0.64,2.62,1.46,-6.16,1742256269.3082728
-0.55,-0.01,-0.91,-8.97,-1.95,12.94,-0.41,-0.62,0.65,24.29,-10.19,-12.94,1742256269.422622
-0.52,0.05,-0.84,-4.64,-10.25,8.48,-0.4,-0.66,0.61,12.27,-2.44,-7.57,1742256269.540891
-0.49,-0.05,-0.84,-10.99,-1.71,8.67,-0.42,-0.62,0.6,5.74,12.45,-7.08,1742256269.650733
-0.5,-0.01,-0.86,1.59,3.23,14.28,-0.44,-0.6,0.61,0.73,1.46,-19.04,1742256269.764323
-0.53,-0.03,-0.87,2.62,7.2,6.96,-0.45,-0.62,0.59,0.92,-0.67,-11.9,1742256269.87834
-0.54,-0.0,-0.87,1.95,2.14,0.0,-0.47,-0.66,0.61,2.44,-5.68,-3.91,1742256269.992513
