L-AccX,L-AccY,L-AccZ,L-GyrX,L-GyrY,L-GyrZ,R-AccX,R-AccY,R-AccZ,R-GyrX,R-GyrY,R-GyrZ,timestamp
-0.02,0.27,0.97,-0.12,-0.73,0.12,0.75,-0.47,0.41,2.62,-2.2,-5.43,1742259840.87646
-0.09,0.23,1.03,-36.25,13.92,6.47,0.81,-0.54,0.46,8.36,-7.57,-8.54,1742259840.9930859
-0.21,0.42,1.34,-29.97,78.12,-38.15,0.79,-0.55,0.5,-5.74,1.77,19.84,1742259841.103731
0.08,0.37,1.04,-85.94,149.6,-41.87,0.76,-0.51,0.49,-16.3,22.03,32.04,1742259841.2177122
0.4,0.5,0.65,4.88,152.95,-40.83,0.84,-0.46,0.49,-37.78,52.31,59.33,1742259841.3320708
0.66,0.64,0.32,-53.22,90.15,-86.43,0.87,-0.28,0.32,-18.8,38.33,79.22,1742259841.445643
0.75,0.44,0.11,-34.85,3.48,-115.54,0.78,-0.17,0.11,-52.8,29.6,94.67,1742259841.55985
0.78,0.05,0.19,36.62,37.41,-128.85,0.93,0.21,0.33,-4.88,23.8,68.24,1742259841.67663
0.85,-0.21,0.25,15.81,45.35,-105.29,0.95,0.23,0.33,12.7,54.14,46.87,1742259841.786434
0.93,-0.48,0.06,78.0,71.17,-38.45,0.86,0.37,-0.16,-22.77,37.35,58.65,1742259841.8997629
1.01,-0.3,-0.03,-13.79,21.91,-29.79,0.95,0.32,0.06,31.56,-1.22,27.28,1742259842.013908
0.95,-0.32,0.07,-9.34,-4.52,-76.84,0.92,0.54,0.04,57.5,20.94,65.98,1742259842.1264021
0.74,-0.56,0.06,-14.71,41.75,-72.94,0.82,0.55,0.17,70.37,20.45,93.08,1742259842.23936
0.74,-0.69,0.03,7.81,2.93,-58.29,0.66,0.67,0.28,70.56,37.05,83.31,1742259842.3534741
0.6,-0.75,0.05,12.39,-19.17,-35.34,0.55,0.68,0.33,15.14,11.84,59.75,1742259842.465425
0.57,-0.81,0.01,-27.95,-34.85,17.21,0.47,0.82,0.24,49.93,11.41,-11.29,1742259842.5785012
0.82,-0.69,-0.01,30.33,-31.37,-13.43,0.64,0.88,0.08,-15.75,-34.55,-12.33,1742259842.693233
0.59,-0.82,0.13,48.89,-7.57,-77.94,0.43,1.07,0.2,-169.98,-110.96,63.11,1742259842.805655
0.49,-0.7,-0.13,86.91,-78.37,-30.09,0.4,0.65,0.17,-78.49,-104.98,39.73,1742259842.9195368
0.44,-0.97,0.02,26.98,-73.97,-37.05,0.36,0.87,0.36,-28.75,37.29,59.57,1742259843.033906
0.33,-0.99,0.15,-86.79,33.45,-19.47,0.17,1.03,0.09,21.18,39.55,46.26,1742259843.146433
0.38,-1.02,0.1,-80.51,13.98,11.66,0.18,1.1,0.2,68.05,13.18,-17.4,1742259843.2595148
0.18,-0.55,0.39,-164.06,2.2,46.45,0.13,0.76,0.54,277.95,34.91,-90.03,1742259843.373502
0.28,-0.78,0.56,-102.11,28.38,-14.89,0.23,0.64,0.63,88.68,-11.29,55.91,1742259843.486731
0.39,-0.77,0.5,-105.83,56.95,75.5,0.18,0.88,0.59,72.14,-31.19,-62.44,1742259843.600781
0.81,-0.48,0.42,-118.84,45.23,118.29,0.22,0.3,0.84,76.72,-11.72,-135.62,1742259843.7146082
0.9,0.11,0.43,-184.75,26.79,110.9,0.5,-0.15,0.9,80.99,2.08,-112.67,1742259843.8325639
0.71,0.41,0.6,-87.71,27.95,124.76,0.21,-0.27,0.97,121.83,-59.88,-89.11,1742259843.941799
0.74,0.61,0.44,-51.57,-52.86,126.95,-0.01,-0.79,0.92,114.2,-44.98,-68.66,1742259844.055778
0.24,0.73,0.69,-6.9,-65.8,141.48,-0.08,-0.57,0.83,42.66,16.91,-124.51,1742259844.169695
-0.18,1.19,1.0,109.86,-52.19,177.67,-0.08,-1.09,0.7,-6.71,139.1,-42.79,1742259844.283803
-0.03,0.88,0.87,-4.21,145.75,-80.63,0.24,-0.83,0.61,-21.79,152.71,124.15,1742259844.397581
