L-AccX,L-AccY,L-AccZ,L-GyrX,L-GyrY,L-GyrZ,R-AccX,R-AccY,R-AccZ,R-GyrX,R-GyrY,R-GyrZ,timestamp
-0.0325,-0.03875,0.12375,-0.012207501,-0.0007175,0.00045750002,-0.05375,0.09,-0.04875,-0.0043325,0.0016175,0.0019075,1742001468.475787
-0.01375,-0.03,0.18875,-0.024825001,0.0006875,-0.00917,-0.04,0.0575,-0.145,-0.020584999,-0.004195,0.0086675,1742001468.5897741
-0.05875,-0.125,0.12375,0.0328075,0.022935,0.0237575,-0.0675,0.0575,-0.165,-0.006775,-0.0454875,0.01976,1742001468.707722
0.00125,0.07875,0.04875,-0.013335,0.0108025,0.0244,-0.11875,0.12875,-0.00625,0.01657,-0.03267,0.017212499,1742001468.817817
-0.02125,0.1175,0.12875,-0.0080875,-9.25e-05,-0.0169375,-0.10375,0.11625,0.04125,-0.0054325,0.017700002,-0.0072025,1742001468.931713
-0.05625,0.06375,0.11875,-0.02617,-0.018934999,-0.066879995,-0.08375,0.08625,-0.0925,-0.00969,0.0363475,-0.018082501,1742001469.04831
-0.055,-0.0675,0.16125,0.009262499,-0.014205,-0.050995,-0.0625,0.05625,-0.125,-0.009140001,0.0254375,-0.02028,1742001469.1681721
-0.02125,-0.15375,0.14125,0.015197501,0.0045175,-0.00348,-0.01125,0.01625,-0.19875,0.0072175004,-0.0020299999,0.001235,1742001469.273678
-0.03375,-0.09875,0.105,-0.0011900001,0.0050975,0.044189997,-0.05625,0.01875,-0.13875,0.0066225,-0.036682498,0.0204475,1742001469.3888
-0.065,0.005,0.1125,-0.00618,0.00035,0.067535006,-0.1175,0.0975,-0.03625,0.015885001,-0.0393675,0.0281075,1742001469.507777
0.00125,0.15125,0.12625,-0.0090175,0.0007475,0.0244,-0.11125,0.16125,0.0675,0.01004,-0.0102375,0.002885,1742001469.6155672
-0.0325,0.12375,0.12875,0.003905,-0.00016750001,-0.03102,-0.1,0.1075,0.01875,-0.02211,0.029145,-0.01645,1742001469.7296991
-0.05125,0.03125,0.105,0.0094,-0.003905,-0.064697504,-0.1075,0.0625,-0.10375,-0.024627501,0.046005,-0.0245825,1742001469.8480241
-0.09125,-0.1075,0.1275,0.00032,-0.0128175,-0.069215,-0.05875,0.04625,-0.15625,0.00045750002,0.0248575,-0.021879999,1742001469.957728
-0.025,-0.165,0.1675,0.0039975,0.0042425,0.0010825,-0.02375,0.015,-0.2025,0.014405,-0.0110174995,0.0025775002,1742001470.071685
-0.0675,-0.11,0.10625,0.001465,0.004945,0.061845,-0.08875,0.0275,-0.11375,0.0111225005,-0.053345002,0.026275,1742001470.187855
-0.07625,0.03375,0.0975,-0.002395,-0.000565,0.07541,-0.15625,0.10875,-0.00875,0.0175175,-0.050169997,0.0243825,1742001470.299705
0.005,0.175,0.12875,-0.0042425,-0.0010075001,0.0092325,-0.1125,0.15625,0.1,0.00048750002,-0.0031275,-0.0007325,1742001470.413693
-0.03125,0.1125,0.1375,-0.0076599997,0.0028525,-0.0470275,-0.10875,0.10125,0.02,-0.027435,0.0369575,-0.017075,1742001470.528139
-0.0775,0.04,0.10875,-0.0030375,-0.0095375,-0.0767975,-0.12875,0.0575,-0.11375,-0.0302425,0.04947,-0.0257875,1742001470.648095
-0.09,-0.25375,0.12,0.0086525,0.00023,-0.0460825,-0.055,0.02625,-0.24125,-0.0012675,0.0273275,-0.01773,1742001470.755896
-0.03375,-0.21,0.125,0.0146025,0.0049125,0.0198525,-0.03125,-0.0075,-0.22625,0.0187525,-0.0393375,0.0067600003,1742001470.869693
-0.095,-0.0525,0.08875,0.00496,0.0048225,0.084457494,-0.1475,0.04125,-0.03125,0.0201875,-0.0635375,0.035720002,1742001470.988092
-0.055,0.1525,0.1375,-0.0045775,-0.0009775,0.058395002,-0.14625,0.1825,0.07375,0.02147,-0.03209,0.0131075,1742001471.097493
-0.0075,0.18,0.16125,0.0105125,-0.00328,-0.0060575,-0.11375,0.11125,0.08,-0.0149375,0.031815,-0.016112499,1742001471.211788
-0.03,0.055,0.10125,-0.0001225,0.00508,-0.0626225,-0.125,0.05625,-0.0475,-0.025925,0.0614025,-0.0204625,1742001471.326997
-0.06875,-0.0425,0.1125,0.003005,-0.0034025,-0.078645,-0.11875,0.04625,-0.17375,-0.0190275,0.0470875,-0.021879999,1742001471.447816
-0.0675,-0.26,0.13125,-0.0047150003,0.003525,-0.0169075,-0.0275,0.0275,-0.27625,0.010375,0.0060575,-0.008225,1742001471.5535948
-0.06125,-0.1475,0.09125,-0.000885,0.0028074998,0.0561225,-0.07375,-0.0025,-0.13875,0.0164025,-0.05632,0.0158075,1742001471.6685472
-0.0775,0.0175,0.09875,0.0047750003,-0.00229,0.0826875,-0.1375,0.08,-0.0325,0.0157925,-0.0676575,0.028365,1742001471.782654
-0.01,0.12125,0.14375,0.0087425,-0.0036624998,0.0392,-0.1175,0.16875,0.1025,0.0107275,-0.0160525,0.00473,1742001471.8955321
-0.015,0.13,0.14125,-0.005005,0.0023800002,-0.0223225,-0.09875,0.105,0.045,-0.027709998,0.032745,-0.01265,1742001472.00959
-0.0475,0.05625,0.115,0.001175,-0.00302,-0.0633075,-0.115,0.07625,-0.0575,-0.0229175,0.052215,-0.0177775,1742001472.128284
-0.07875,-0.07,0.13125,0.0030525,-0.0092,-0.073685,-0.08875,0.0275,-0.19125,-0.0276325,0.0410925,-0.0183575,1742001472.237705
-0.0375,-0.215,0.14,0.0024425,0.004945,-0.006745,-0.00625,0.01625,-0.24,-0.003905,-0.0158375,0.0010975,1742001472.3516932
-0.0525,-0.14375,0.095,-0.0020899998,0.0077675,0.061005,-0.06375,-0.005,-0.15875,0.0133675,-0.04985,0.023559999,1742001472.467545
-0.05875,0.02,0.08625,0.0034325,0.002685,0.0735775,-0.1275,0.05625,-0.0675,0.010284999,-0.0458675,0.038939998,1742001472.587565
-0.0175,0.13125,0.135,0.0051574996,-0.0083325,0.029465001,-0.1225,0.18,0.065,0.014479999,-0.014435001,0.016555,1742001472.693527
-0.025,0.13125,0.15375,0.005325,0.0030675002,-0.02858,-0.1175,0.13125,0.0175,-0.0148775,0.0284125,-0.021790002,1742001472.811959
-0.05,0.02,0.10375,0.0024875,0.0016175,-0.063567504,-0.11125,0.06875,-0.0875,-0.016692499,0.0419625,-0.03476,1742001472.928308
-0.06125,-0.11875,0.125,-0.0047150003,-0.0033575,-0.069915004,-0.045,-0.0025,-0.2175,-0.0030975002,0.034682497,-0.0195,1742001473.0357661
-0.02875,-0.21625,0.11375,0.0038,0.00441,0.0144650005,-0.00375,0.00375,-0.22125,0.0084224995,-0.0260775,0.002395,1742001473.149547
-0.04875,-0.0925,0.08375,-7.75e-05,0.000245,0.0679475,-0.0625,0.02375,-0.10625,0.0039825,-0.055145,0.021865,1742001473.2700539
-0.04,0.01875,0.12125,0.0080875,-0.0061950004,0.0715475,-0.1025,0.1075,-0.05375,-0.0071575,-0.03885,0.031004999,1742001473.377672
-0.025,0.14625,0.1775,-0.0067600003,-0.003815,0.0172425,-0.1125,0.19625,0.04875,0.0040125,0.0020899998,0.0045475,1742001473.491251
-0.03,0.11375,0.13625,-0.0078575,0.0060875,-0.0470425,-0.1075,0.11,-0.0225,-0.0119025,0.0348825,-0.0237275,1742001473.608096
-0.05875,-0.015,0.1075,0.0029000002,-0.0036775,-0.06514,-0.09,0.04625,-0.1275,-0.0054775,0.043700002,-0.029205,1742001473.718604
-0.04875,-0.17125,0.1375,-0.0120075,-0.0030975002,-0.060135,-0.0075,0.0275,-0.2425,0.0062875,0.033294998,-0.010635001,1742001473.8325691
-0.03625,-0.16625,0.115,0.00091500004,0.0057375003,0.037657503,-0.035,0.005,-0.16,0.00882,-0.0352475,0.009415,1742001473.947501
-0.06375,-0.03625,0.0975,0.0113225,0.0019375,0.069625,-0.105,0.0475,-0.065,-0.003205,-0.055435,0.031585,1742001474.06784
-0.06625,0.095,0.1225,-0.0004425,-0.011245,0.06549,-0.115,0.16625,0.03,0.00612,-0.0322425,0.0231475,1742001474.1743941
-0.01875,0.18375,0.16625,0.014695,-0.0025175,-0.0075825,-0.10125,0.14625,0.0275,-0.01181,0.018934999,-0.0146475,1742001474.2912362
-0.04,0.07125,0.12125,-0.007965,0.0063775,-0.062392503,-0.10125,0.085,-0.065,-0.0148925,0.043564998,-0.027145,1742001474.408236
-0.0525,-0.01375,0.1125,0.0104375,-0.0020899998,-0.0681,-0.0825,0.03375,-0.15,-0.020920001,0.038055,-0.028717501,1742001474.516598
-0.0475,-0.1925,0.11375,-0.0029449998,0.002105,-0.037185002,0.0075,-0.0325,-0.265,0.0063475,0.0086525,-0.00882,1742001474.6305332
-0.03625,-0.15,0.095,0.00091500004,0.001235,0.037384998,-0.05125,-0.0125,-0.14625,0.012680001,-0.039215,0.020370001,1742001474.74925
-0.055,-0.035,0.1075,-0.0001975,-0.001235,0.067855,-0.1025,0.0525,-0.08125,0.01738,-0.037735,0.038560003,1742001474.8675158
-0.05875,0.1,0.13875,0.0118875,-0.00029,0.06598,-0.12375,0.14625,0.0175,0.0204325,-0.028655,0.0210425,1742001474.972394
0.00625,0.1725,0.16375,0.0002125,-0.001435,-0.0065300004,-0.095,0.13375,0.02375,-0.0113525,0.0233925,-0.010024999,1742001475.087619
-0.04125,0.07,0.13625,-0.0098275,0.000655,-0.0641025,-0.115,0.08125,-0.05125,-0.01596,0.04605,-0.02388,1742001475.208139
-0.06875,-0.04625,0.10875,0.0019675,-0.0045925,-0.068160005,-0.09125,0.0375,-0.155,-0.019667499,0.0473175,-0.0252075,1742001475.314572
-0.03375,-0.14125,0.12375,0.00389,0.00229,-0.028382499,-0.04875,0.01375,-0.2125,-0.0096275,0.0046075,-0.0124975005,1742001475.429043
-0.0325,-0.1625,0.09125,0.0063625,0.0026099999,0.02542,-0.0425,-0.0175,-0.1575,0.012405,-0.032332502,0.013412501,1742001475.548225
-0.05,-0.06,0.1,-0.00229,-0.000825,0.0617075,-0.1025,0.0275,-0.08,0.019317498,-0.0440075,0.034745,1742001475.656553
-0.02125,0.1275,0.13,-0.0051275003,-0.0015725,0.0461725,-0.1425,0.2,0.05625,0.013305,-0.03514,0.0144650005,1742001475.7708411
0.005,0.14875,0.14,0.0060875,0.0012675,-0.021652501,-0.1025,0.135,0.04125,-0.0158225,0.0225525,-0.016112499,1742001475.88849
-0.0425,0.04125,0.1225,-0.0018300001,-7.75e-05,-0.061905,-0.11875,0.06625,-0.04625,-0.014145001,0.05548,-0.0261225,1742001475.997498
-0.08,-0.115,0.11875,0.012345,-0.000565,-0.0706625,-0.11,0.0375,-0.18375,-0.009902501,0.048705,-0.0213475,1742001476.1114502
-0.0375,-0.2375,0.105,-0.0075075002,0.0054325,0.0001225,-0.03375,0.02125,-0.22375,0.0136875,-0.0057825,-0.0054625003,1742001476.228642
-0.065,-0.1225,0.08125,0.0008075,-0.0045625,0.057815,-0.07875,0.01625,-0.12375,0.012375,-0.048157502,0.0204925,1742001476.347924
