L-AccX,L-AccY,L-AccZ,L-GyrX,L-GyrY,L-GyrZ,R-AccX,R-AccY,R-AccZ,R-GyrX,R-GyrY,R-GyrZ,timestamp
0.02475,0.10425,0.07375,-0.0173645,-0.02427675,0.0273285,-0.008875,-0.094,0.079375,0.0003815,-0.002243,-0.0008545,1741897902.859212
0.027625,0.125375,0.085,-0.017303498,-0.0240325,0.02664175,-0.013625,-0.100875,0.082875,-1.5250001e-05,-0.002243,-0.00137325,1741897902.870423
0.034,0.127125,0.0895,-0.01782225,-0.02149975,0.02412425,-0.018125,-0.10225,0.08925,0.0011445,-0.00225825,-0.001007,1741897902.885107
0.03825,0.125125,0.0965,-0.01924125,-0.02015675,0.022995,-0.02125,-0.10425,0.0955,0.0056304997,-0.0019685,0.00062550005,1741897902.899752
0.039125,0.124,0.08925,-0.020599252,-0.01914975,0.021636998,-0.022,-0.12075,0.094125,0.00770575,-0.0017395001,0.0017242499,1741897902.917152
0.040125,0.1275,0.075875,-0.022064252,-0.01661675,0.016418502,-0.02125,-0.13425,0.0895,0.00791925,-0.001526,0.00453175,1741897902.932426
0.027625,0.14,0.071625,-0.022049,-0.015029999,0.013183501,-0.04,-0.17125,0.089375,0.0055847503,-0.00109875,0.0069580004,1741897902.943857
0.016625,0.160125,0.086875,-0.01852425,-0.011260999,0.006302,-0.064625,-0.19225,0.09625,0.00105275,0.00169375,0.017395,1741897902.958464
0.021125,0.191375,0.10625,-0.01339725,-0.0074004997,0.0005645,-0.11275,-0.22275,0.117375,-0.000473,0.0049895,0.024887,1741897902.973289
0.03325,0.18375,0.104125,0.00024425,0.00146475,-0.0106965,-0.1165,-0.228375,0.1195,-0.0063325,0.01681525,0.040222254,1741897902.992574
0.0425,0.15525,0.097,0.0049895,0.004547,-0.01446525,-0.07975,-0.199625,0.095375,-0.0090637505,0.022491502,0.0467835,1741897903.003094
0.038125,0.145875,0.097625,0.008316,0.0088805,-0.0199585,-0.0605,-0.180875,0.087625,-0.012557999,0.029373249,0.056900002,1741897903.0177221
0.026875,0.13075,0.106375,0.008270251,0.0110625,-0.02227775,-0.035375,-0.139375,0.082875,-0.015075751,0.0321655,0.06039425,1741897903.032372
0.026875,0.124125,0.1045,0.0088195,0.013443,-0.024505502,-0.028125,-0.116125,0.07875,-0.021179251,0.039306752,0.064026,1741897903.04771
0.033625,0.116875,0.09375,0.0138855,0.01763925,-0.02920525,-0.011,-0.06525,0.057,-0.022369498,0.04240425,0.064453006,1741897903.061874
0.04925,0.10375,0.069,0.017044,0.019333,-0.03114325,-0.002125,-0.042375,0.045,-0.017974751,0.044098,0.06279,1741897903.077186
0.0485,0.102,0.065,0.02171325,0.02253725,-0.03492725,0.015,-0.00075,0.02025,-0.01289375,0.04296875,0.06027225,1741897903.091084
0.0505,0.037875,0.055125,0.022033751,0.022995,-0.035293497,0.02325,0.015,0.008625,0.0002135,0.037384,0.051361,1741897903.1054778
0.0525,0.0225,0.054875,0.02034,0.02023325,-0.02851875,0.041125,0.054625,-0.01,0.0061950004,0.03273,0.04550175,1741897903.1199949
0.053,0.05925,0.048625,0.0194855,0.01728825,-0.026657,0.0565,0.07925,-0.015125,0.01083375,0.02598575,0.037323,1741897903.134636
0.05675,0.0635,0.042,0.01820375,0.014038,-0.026184,0.073875,0.099625,-0.0195,0.0152435,0.008133001,0.015152001,1741897903.151606
0.0615,0.051625,0.03775,0.014557,0.0078125,-0.023819,0.0925,0.115875,-0.025875,0.015976,-0.00065625,0.003418,1741897903.163649
0.0645,0.012875,0.039125,0.01171875,0.0042115003,-0.0196685,0.089125,0.106,-0.02525,0.016922,-0.0119630005,-0.0178375,1741897903.178209
0.06425,0.00375,0.04075,0.0050812503,-0.0028535,-0.0075225,0.0635,0.05425,-0.009,0.01640325,-0.01475525,-0.02636725,1741897903.1929011
0.06725,-0.003375,0.039125,0.001953,-0.0055085,-0.001419,0.047625,0.021,0.005625,0.01206975,-0.018859752,-0.0390015,1741897903.2117062
0.070375,-0.002125,0.039125,-0.00059500005,-0.0075835,0.0047150003,0.023125,-0.04425,0.03925,0.0085755,-0.021759002,-0.043396,1741897903.222197
0.07175,0.015125,0.04575,-0.0036315,-0.01033025,0.016113251,0.0175,-0.075375,0.049875,0.0065765,-0.0309905,-0.0486145,1741897903.2368782
0.068625,0.024375,0.05275,-0.00428775,-0.011123749,0.02050775,0.014375,-0.103125,0.07475,0.013183501,-0.0358125,-0.04824825,1741897903.251461
0.062875,0.035625,0.061875,-0.0057525,-0.0122375,0.0266875,0.00925,-0.12025,0.092125,0.030456498,-0.039917,-0.04768375,1741897903.2670982
0.047875,0.069125,0.082,-0.0069274995,-0.012802,0.02873225,-0.005375,-0.18175,0.10275,0.0360565,-0.03933725,-0.043762248,1741897903.280992
0.0415,0.087,0.08825,-0.010253999,-0.01351925,0.030914249,-0.001875,-0.192,0.08975,0.036026,-0.03274525,-0.030075,1741897903.295786
0.036375,0.114875,0.097125,-0.011764499,-0.012985251,0.03038025,0.02125,-0.17925,0.064125,0.031692497,-0.02919,-0.02503975,1741897903.312788
