acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp
-0.006875,-0.009625,0.125875,-0.00413525,0.0040587503,-0.0016175,1738726545.9072661
-0.006,-0.01,0.125625,-0.00587475,0.00437925,-0.0018005001,1738726545.9170828
-0.0055,-0.004375,0.135625,-0.00672925,0.004776,-0.00181575,1738726545.933904
-0.004125,-0.00425,0.13925,-0.00953675,0.0076599997,-0.00279225,1738726545.946323
-0.003625,-0.006875,0.13425,-0.00941475,0.009262,-0.00245675,1738726545.960938
-0.004625,-0.0035,0.143125,-0.00897225,0.01033025,-0.00201425,1738726545.975601
-0.005375,-0.0015,0.157,-0.01121525,0.0149995005,-0.0030669998,1738726545.990106
-0.004,-0.00975,0.148,-0.013382,0.01838675,-0.003769,1738726546.0047019
-0.0025,-0.007625,0.144875,-0.013321,0.0211945,-0.00289925,1738726546.0193121
0.002375,-0.00425,0.15825,-0.01026925,0.02265925,-0.0031127501,1738726546.034374
0.00475,-0.00625,0.15875,-0.00131225,0.02636725,-0.0038757501,1738726546.048408
0.008375,-0.012,0.166125,0.00343325,0.02819825,-0.004074,1738726546.0645728
0.010875,-0.008375,0.1795,0.0054932497,0.036728002,-0.0024872501,1738726546.077296
0.018875,-0.010375,0.18975,-0.0029145,0.044342,-0.0023039998,1738726546.093896
0.01175,0.00375,0.13775,-0.011184749,0.05220025,-0.00239575,1738726546.106155
0.02425,0.001,0.1155,-0.0058135,0.0488435,-0.0075225,1738726546.1205719
0.0385,-0.03425,0.122375,-0.01171875,0.048706003,-0.00791925,1738726546.135089
0.041125,-0.04075,0.08575,-0.013061499,0.042328,-0.00460825,1738726546.14956
0.05375,-0.003375,0.118875,-0.0016632499,0.0343475,-0.00080875,1738726546.164814
0.055375,0.026,0.1285,0.009933501,0.03445425,-0.00154125,1738726546.1783721
0.054375,0.01125,0.095625,0.01631175,0.036087003,-0.0042725,1738726546.19479
0.05375,0.025125,0.096,0.02333075,0.034606997,-0.00416575,1738726546.207205
0.05375,0.03775,0.095875,0.0196685,0.03120425,-0.009262,1738726546.2239082
0.056875,0.00825,0.078625,0.012802,0.029419001,-0.013092,1738726546.235978
0.0625,-0.012875,0.07,0.008270251,0.024414,-0.01048275,1738726546.250516
0.063625,-0.011125,0.072875,0.01289375,0.02149975,-0.0051269997,1738726546.264965
0.0625,0.0105,0.071,0.0141145,0.0178985,-0.00074775,1738726546.2792058
0.063375,0.00975,0.042625,0.013382,0.01586925,-0.0022125002,1738726546.294296
0.0625,0.006625,0.031625,0.013031,0.0128632495,-0.003128,1738726546.307772
0.058625,0.001625,0.012875,0.007431,0.0058135,-0.0056304997,1738726546.324332
0.05125,0.013875,-0.03475,0.00019825,-0.00048825,-0.0076142503,1738726546.336622
0.049125,0.008625,-0.049375,-0.0187225,-0.014434749,-0.011016751,1738726546.351302
0.04325,0.00025,-0.091625,-0.024108998,-0.0198365,-0.01026925,1738726546.365896
0.03925,-0.0015,-0.120625,-0.034256,-0.03302,-0.008606,1738726546.380521
0.021125,-0.017875,-0.165,-0.04385375,-0.04226675,-0.009491,1738726546.3952372
0.003625,-0.043625,-0.17,-0.075241,-0.062912,-0.0068512503,1738726546.410038
-0.04775,-0.027625,-0.133125,-0.09503175,-0.073974505,0.00016775,1738726546.424742
-0.079,0.027875,-0.060875,-0.11203,-0.085327245,0.009277251,1738726546.4393659
-0.126,0.11475,0.193375,-0.10980225,-0.09939575,0.022064252,1738726546.454376
-0.1355,0.140375,0.292625,-0.0905915,-0.0949555,0.02619925,1738726546.4683928
-0.135625,0.20475,0.34175,-0.05473325,-0.07174675,0.03468325,1738726546.4846022
-0.098625,0.335375,0.408125,-0.04458625,-0.06100475,0.030838,1738726546.497391
-0.0665,0.322625,0.428875,-0.0222625,-0.03376775,0.009552,1738726546.51189
-0.010625,0.1915,0.387125,-0.00514225,-0.0174865,0.001236,1738726546.5263832
0.00775,0.129125,0.332875,0.02409375,0.00883475,-0.0034637498,1738726546.5406878
0.017125,0.090875,0.244125,0.03044125,0.0149995005,-0.003296,1738726546.555084
0.0115,0.091375,0.2395,0.02911375,0.01658625,-0.0050812503,1738726546.5694962
0.0035,0.080625,0.25325,0.0148925,0.0199585,-0.013733,1738726546.5844219
-0.013875,0.055125,0.2405,0.01033025,0.026092501,-0.015594499,1738726546.598388
-0.019875,0.06575,0.219625,0.0112305,0.03778075,-0.013916001,1738726546.615361
-0.026,0.117875,0.169,0.01368725,0.0435485,-0.0141755,1738726546.6273
-0.028625,0.138,0.127375,0.021453751,0.05201725,-0.0214385,1738726546.6441832
-0.02225,0.106375,0.0665,0.02572625,0.05223075,-0.02598575,1738726546.656415
-0.014,0.07675,0.045625,0.026855499,0.05084225,-0.02873225,1738726546.670827
-0.004,0.05325,0.0305,0.02000425,0.0449065,-0.029571502,1738726546.6853812
0.01675,0.0105,0.02175,0.017868,0.041687,-0.028839001,1738726546.699907
0.0255,-0.01275,0.015375,0.01965325,0.037613,-0.0231475,1738726546.7153862
0.041,-0.038625,-0.012625,0.019317752,0.03556825,-0.01905825,1738726546.728887
0.0485,-0.043875,-0.03225,0.012909001,0.02810675,-0.011917,1738726546.74427
0.059625,-0.063625,-0.05425,0.0094604995,0.022521999,-0.0093385,1738726546.7581928
0.062875,-0.081125,-0.061625,0.00296025,0.010788,-0.00213625,1738726546.774244
0.067875,-0.106125,-0.08075,-7.625e-05,0.0048979996,0.0032195,1738726546.78722
0.067875,-0.104875,-0.093375,-0.00065625,-0.00057975,0.009491,1738726546.804477
0.065,-0.108625,-0.116875,-0.00013725001,-0.011917,0.01976025,1738726546.8164868
0.050375,-0.122,-0.16425,-0.00514225,-0.021103,0.0246125,1738726546.8310962
0.037875,-0.113375,-0.170875,-0.0206145,-0.04350275,0.03453075,1738726546.8456671
-0.013875,-0.084875,-0.14625,-0.030029248,-0.055724997,0.038818248,1738726546.8604958
-0.047125,-0.054375,-0.0885,-0.05072025,-0.07908625,0.04885875,1738726546.8752792
-0.1195,0.073125,0.071125,-0.05679325,-0.0855255,0.054428,1738726546.889908
-0.15175,0.16825,0.172375,-0.057312,-0.0851745,0.059524503,1738726546.90469
-0.194875,0.381125,0.312875,-0.054901,-0.077362,0.056808498,1738726546.918907
-0.193125,0.474,0.3915,-0.04721075,-0.068512,0.0497285,1738726546.9348328
-0.131125,0.5,0.473125,-0.01150525,-0.038330004,0.017685,1738726546.948122
-0.092375,0.42325,0.4255,0.009887749,-0.01570125,-0.0054015,1738726546.9655921
-0.059625,0.271625,0.363625,0.038269002,0.016448999,-0.038742002,1738726546.9773939
-0.013625,0.0075,0.27,0.04154975,0.02522275,-0.040649503,1738726546.994359
0.00125,-0.048375,0.224375,0.033981252,0.0359955,-0.028259251,1738726547.006405
0.014375,-0.0665,0.147375,0.028289748,0.03816225,-0.02064525,1738726547.020896
0.013,-0.05375,0.1205,0.02079775,0.038803,-0.008285499,1738726547.035437
0.007,-0.01825,0.08025,0.0196685,0.037902746,-0.0039215,1738726547.0499358
0.004375,0.006125,0.069875,0.0198365,0.036438,-0.00048825,1738726547.065849
0.000125,0.05025,0.06275,0.01911925,0.032852247,0.0024872501,1738726547.078812
0.000125,0.071125,0.06375,0.01651,0.03056325,0.0023497501,1738726547.0946171
0.003125,0.090625,0.0725,0.01092525,0.02522275,-0.00093075,1738726547.1075141
0.01,0.101,0.08275,0.009017999,0.023773251,-0.00402825,1738726547.122127
0.014,0.09475,0.085,0.0079955,0.0218505,-0.010818499,1738726547.136176
0.022875,0.05725,0.086375,0.0101775,0.021606501,-0.013092,1738726547.150882
0.026875,0.040875,0.085125,0.0141755,0.02275075,-0.013122501,1738726547.165951
0.03375,0.0135,0.059625,0.0154115,0.023407,-0.01171875,1738726547.1798148
0.03725,0.001375,0.046625,0.016448999,0.02272025,-0.00976575,1738726547.194649
0.04,-0.012375,0.034,0.01589975,0.019226,-0.0045777503,1738726547.208595
0.043625,-0.011,0.007625,0.0154115,0.0168305,-0.0012665,1738726547.224721
0.04675,-0.016875,-0.009875,0.01446525,0.0119934995,0.0011445,1738726547.237491
0.054,-0.044125,-0.075375,0.01431275,0.0093995,0.00279225,1738726547.255185
0.055375,-0.049875,-0.119125,0.0085755,-0.0034942501,0.0068969997,1738726547.266606
0.047875,-0.07475,-0.161125,0.00289925,-0.014923001,0.0089569995,1738726547.281135
0.036375,-0.0735,-0.16025,-0.00305175,-0.027160749,0.01248175,1738726547.295684
0.0205,-0.067,-0.144,-0.0116425,-0.0499115,0.02038575,1738726547.310258
-0.026125,-0.040375,-0.100125,-0.014663749,-0.05921925,0.02359,1738726547.325034
-0.0555,-0.028875,-0.0525,-0.02522275,-0.078888,0.028167749,1738726547.339883
-0.114375,-0.004,0.108875,-0.032714747,-0.08583075,0.03155525,1738726547.354908
-0.14575,0.04025,0.194875,-0.046341,-0.0883025,0.04483025,1738726547.3690171
-0.191875,0.252875,0.39275,-0.04756175,-0.083877504,0.05015575,1738726547.385043
-0.19325,0.363375,0.47725,-0.029220501,-0.057418752,0.040649503,1738726547.3981912
-0.1425,0.463875,0.5,-0.012085,-0.03424075,0.02345275,1738726547.4163232
-0.106625,0.39225,0.461125,0.0041810004,-0.00785825,0.00013725001,1738726547.427171
-0.054,0.13775,0.320875,0.02180475,0.02763375,-0.03668225,1738726547.4448252
-0.039625,0.02225,0.26475,0.023819,0.035019003,-0.042663503,1738726547.456196
-0.029375,-0.049,0.226375,0.01988225,0.04151925,-0.0316315,1738726547.470901
-0.021625,-0.0385,0.16625,0.015579251,0.04388425,-0.02189625,1738726547.485572
-0.022625,0.010625,0.13575,0.0091705,0.04597475,-0.0124665005,1738726547.500072
-0.027125,0.04475,0.083125,0.008773751,0.04559325,-0.01419075,1738726547.51613
-0.0275,0.03625,0.066125,0.008941749,0.042282,-0.01667775,1738726547.529042
-0.0195,0.041625,0.055125,0.008773751,0.0399475,-0.01593025,1738726547.545007
-0.012375,0.047875,0.051625,0.009017999,0.0378265,-0.01542675,1738726547.5581481
-0.004,0.04775,0.04275,0.009903,0.03385925,-0.01664725,1738726547.574933
0.014125,0.02675,0.026875,0.01036075,0.0309295,-0.01737975,1738726547.587157
0.0225,0.019625,0.02975,0.012695249,0.023925751,-0.01628125,1738726547.604799
