acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp
0.001375,0.023375,0.11725,0.0005645,3.0500001e-05,-0.00062550005,1738726499.533827
0.00125,0.02425,0.118,0.00048825,-0.00045775,-0.00019825,1738726499.546803
0.0005,0.028,0.119375,0.0003815,-0.000534,-4.575e-05,1738726499.5602539
0.0,0.029625,0.11875,0.00016775,-0.00051875,-7.625e-05,1738726499.575167
-0.0005,0.030875,0.118875,-7.625e-05,-0.00065625,-0.00070200005,1738726499.589211
-0.001,0.03125,0.119625,-1.5250001e-05,-0.00064075,-0.0011445,1738726499.604863
-0.000875,0.0305,0.119375,-0.000229,-0.0005035,-0.00181575,1738726499.618409
0.00025,0.0285,0.119,-0.000122000005,-0.00042725,-0.0020905002,1738726499.634905
0.000875,0.027375,0.1175,0.00048825,-0.000412,-0.002365,1738726499.647352
0.00175,0.02675,0.114125,0.00036625,-0.00065625,-0.00231925,1738726499.6618571
0.00175,0.027,0.11475,-0.0003815,-0.00154125,-0.0020752498,1738726499.676338
0.00125,0.029,0.119625,-0.0005035,-0.00175475,-0.00213625,1738726499.690835
0.001,0.029875,0.1205,-0.0005035,-0.0017395001,-0.00238025,1738726499.7053041
0.0005,0.029625,0.121,-0.00083925005,-0.0016632499,-0.00320425,1738726499.719939
-0.000875,0.0265,0.12275,-0.00119025,-0.0016785001,-0.00354,1738726499.734756
-0.001375,0.024625,0.123625,-0.00146475,-0.00154125,-0.0037385002,1738726499.749121
-0.0,0.01775,0.12475,-0.001526,-0.0014037499,-0.0036162501,1738726499.76546
0.002,0.011875,0.12375,-0.001831,-0.0012055,-0.0028687501,1738726499.778197
0.010375,-0.017625,0.1195,-0.0025025,-0.00160225,-0.002243,1738726499.794762
0.017,-0.05575,0.11675,-0.00665275,-0.00411975,0.0025940002,1738726499.807317
0.030375,-0.183125,0.116125,-0.0110625,-0.0063477503,0.009903,1738726499.821816
0.02825,-0.216375,0.131,-0.016448999,-0.0089875,0.02259825,1738726499.83652
0.016,-0.2005,0.153625,-0.024078252,-0.01086425,0.055191003,1738726499.851004
-0.0225,-0.100625,0.188625,-0.0263825,-0.0084379995,0.06723025,1738726499.865679
-0.0415,-0.05975,0.194125,-0.028747499,0.00131225,0.07843025,1738726499.880206
-0.07675,-0.011,0.16825,-0.02781675,0.0077515002,0.080932505,1738726499.894795
-0.096875,0.027375,0.146625,-0.0245515,0.018310498,0.08462525,1738726499.909156
-0.125125,0.130125,0.100625,-0.02503975,0.022766002,0.082244754,1738726499.924842
-0.133125,0.16075,0.07075,-0.023040751,0.0266265,0.0681305,1738726499.9379132
-0.133,0.21975,0.0325,-0.01921075,0.025115998,0.059906,1738726499.952339
-0.131375,0.2665,0.0285,-0.0138245,0.021927001,0.050003,1738726499.9667368
-0.117,0.281125,0.025125,-0.0028229998,0.013443,0.01651,1738726499.981123
-0.076875,0.22775,0.040375,-0.00033575002,0.0085602505,-0.0001525,1738726499.99561
-0.060125,0.196625,0.053,0.0075835,0.00308225,-0.023285,1738726500.010061
-0.034875,0.143875,0.059125,0.012557999,0.0020905002,-0.0312195,1738726500.0251992
-0.024375,0.115375,0.051625,0.020218,-0.00067150005,-0.0423125,1738726500.0391219
-0.012,0.080625,0.041625,0.0224,-0.0037537501,-0.045868002,1738726500.0550709
-0.015375,0.08425,0.050125,0.02313225,-0.00794975,-0.048995998,1738726500.068079
-0.025375,0.09675,0.066,0.0188445,-0.01570125,-0.058044497,1738726500.083068
-0.05425,0.103125,0.1025,0.01460275,-0.018097,-0.06466675,1738726500.097111
-0.066375,0.08325,0.117625,0.009140001,-0.01857,-0.0763855,1738726500.11158
-0.069875,-0.00475,0.123625,0.00975025,-0.01681525,-0.07795725,1738726500.126199
-0.059,-0.04825,0.12125,0.00930775,-0.0134735005,-0.06843575,1738726500.1408331
-0.0295,-0.078,0.12975,0.0070342496,-0.012695249,-0.05903625,1738726500.1554182
-0.019875,-0.056,0.141375,0.00488275,-0.00962825,-0.04129025,1738726500.170099
-0.0135,0.000875,0.152,0.0056,-0.00747675,-0.03718575,1738726500.1850739
-0.01275,0.010875,0.152,0.0059510004,-0.005539,-0.0365295,1738726500.199115
-0.01175,0.002625,0.149125,0.00567625,-0.00254825,-0.0385285,1738726500.216148
-0.003875,-0.048625,0.13375,0.005005,-0.0012970001,-0.03775025,1738726500.2281868
0.003375,-0.10075,0.124125,-0.00064075,-0.0031585,-0.027954001,1738726500.2430909
0.01875,-0.18975,0.138125,-0.0053252503,-0.00535575,-0.0160675,1738726500.2573829
0.019875,-0.20025,0.15275,-0.01586925,-0.0062712496,0.01634225,1738726500.271895
0.00525,-0.157875,0.168375,-0.0213165,-0.00491325,0.03167725,1738726500.286439
-0.003625,-0.156375,0.16125,-0.026352,-0.0029755002,0.043869,1738726500.30102
-0.03375,-0.180125,0.13275,-0.03302,0.00071725,0.068222,1738726500.315831
-0.05875,-0.13975,0.12375,-0.03347775,0.0025940002,0.08415225,1738726500.330461
-0.085625,-0.0435,0.12625,-0.02677925,0.0077667497,0.10926825,1738726500.3452249
-0.119,0.137125,0.1295,-0.020401,0.01200875,0.108764745,1738726500.359324
-0.12975,0.178875,0.112625,-0.0099945,0.02085875,0.08992,1738726500.375307
-0.1425,0.2455,0.06075,-0.0076905,0.022934001,0.07695,1738726500.388124
-0.143125,0.281,0.04075,-0.0056304997,0.018753,0.044967752,1738726500.402977
-0.121375,0.313375,0.043625,-0.00325,0.013916001,0.024078252,1738726500.4169412
-0.101375,0.28825,0.059625,-0.001175,0.00953675,0.0020599999,1738726500.431277
-0.083125,0.253,0.068875,0.008788999,0.00662225,-0.032074,1738726500.4458282
-0.055,0.188625,0.071875,0.015090999,0.0068207504,-0.044098,1738726500.460223
-0.044875,0.147875,0.059875,0.02943425,0.00621025,-0.062377997,1738726500.475286
-0.01825,0.000875,0.02675,0.0338745,0.00308225,-0.0667115,1738726500.489197
-0.00175,-0.068125,0.02675,0.023697,-0.0091705,-0.05844125,1738726500.505564
0.012125,-0.08325,0.08525,0.0141145,-0.015304499,-0.048034754,1738726500.518512
0.0065,-0.0445,0.1255,0.0057525,-0.019042999,-0.032043498,1738726500.5353642
-0.0095,0.02125,0.163375,0.0070342496,-0.01664725,-0.029754749,1738726500.547582
-0.016,0.034375,0.162375,0.0080567505,-0.01307675,-0.0302125,1738726500.562155
-0.0215,0.033875,0.154625,0.0071105,-0.0061339997,-0.03335575,1738726500.5766232
-0.025375,-0.007375,0.1275,0.00764475,-0.0039825,-0.03370675,1738726500.5912352
-0.022,-0.035,0.1145,0.0050202496,-0.0045012496,-0.027649,1738726500.6057842
-0.015125,-0.041875,0.125125,0.0024872501,-0.0063477503,-0.021469,1738726500.6204312
-0.015125,-0.021,0.141375,0.0022125002,-0.00671375,-0.01121525,1738726500.6357582
-0.016875,0.023375,0.162625,0.00305175,-0.0046845004,-0.009674,1738726500.649517
-0.017125,0.034375,0.163,0.0021819999,0.00163275,-0.01193225,1738726500.6665542
-0.017375,0.027375,0.151875,0.00131225,0.00466925,-0.013854999,1738726500.678509
-0.0165,0.008125,0.1415,0.0010375,0.007019,-0.015274,1738726500.6953468
-0.01375,-0.019875,0.1315,0.0028535,0.00823975,-0.012436,1738726500.707526
-0.008125,-0.064625,0.1265,0.00340275,0.007782,-0.0065307496,1738726500.7220008
-0.006125,-0.07775,0.12725,0.00228875,0.0074920002,0.01092525,1738726500.7366452
-0.000375,-0.14575,0.118375,0.0018005001,0.00773625,0.021514999,1738726500.751096
-0.002375,-0.1855,0.110625,0.00071725,0.00688175,0.052826,1738726500.766845
-0.030625,-0.152375,0.114625,0.00035100002,0.00531,0.07221975,1738726500.7800052
-0.04825,-0.092625,0.132,0.00213625,0.00384525,0.089324996,1738726500.795518
-0.067,0.00225,0.159,0.0065002497,0.0060882503,0.10643,1738726500.80906
-0.067875,0.04725,0.137125,0.0038299998,0.010162249,0.1079255,1738726500.8255942
-0.07125,0.098125,0.097375,-0.012771499,0.013214,0.097900495,1738726500.838042
-0.08975,0.19925,0.05475,-0.019592252,0.00897225,0.085266,1738726500.853185
-0.09675,0.232,0.060375,-0.017151,-0.00024425,0.0489655,1738726500.8670661
-0.09375,0.204,0.086625,-0.01145925,-0.003418,0.030365,1738726500.881744
-0.091125,0.178875,0.10975,0.0005645,-0.004074,0.0048217503,1738726500.896239
-0.077375,0.157125,0.1455,0.0057372497,-0.00065625,-0.0045165,1738726500.910954
-0.065375,0.1545,0.1455,0.0100707505,0.00428775,-0.013351499,1738726500.925983
-0.05225,0.1525,0.131375,0.014038,0.012832751,-0.031997748,1738726500.940157
-0.03325,0.115375,0.0995,0.013503999,0.01390075,-0.04208375,1738726500.9558861
-0.02675,0.06525,0.0865,0.010376001,0.0106965,-0.057312,1738726500.969044
-0.007125,-0.070125,0.073125,0.009155249,0.00708,-0.057449248,1738726500.985889
0.002625,-0.09475,0.087,0.01121525,-0.0002135,-0.038314752,1738726500.998334
0.00825,-0.02675,0.122625,0.011825499,-0.001831,-0.027298,1738726501.0127842
0.005,0.019125,0.138375,0.008346501,-0.0017395001,-0.0215455,1738726501.027201
-0.00575,0.061625,0.148125,0.00640875,-0.00019825,-0.026092501,1738726501.0417259
-0.012,0.061875,0.140625,0.004837,0.0017852499,-0.032364,1738726501.0561159
-0.01875,0.057875,0.130875,0.0019989999,0.004776,-0.042846747,1738726501.070581
-0.029375,0.03075,0.121,0.00160225,0.00538625,-0.04628,1738726501.0861068
-0.028125,0.00475,0.113625,0.00154125,0.00541675,-0.047485247,1738726501.0994828
-0.016,-0.017875,0.10475,0.00193775,0.0041810004,-0.04435725,1738726501.1165261
-0.00925,-0.005375,0.103375,0.00555425,0.0015105,-0.03707875,1738726501.128575
-0.0015,0.01425,0.101625,0.0064545004,-0.0002135,-0.035965,1738726501.1457121
-0.002375,0.014625,0.11175,0.0042115003,-0.002472,-0.036514252,1738726501.1576781
-0.0105,0.0035,0.1465,-0.0065612504,-0.0050355,-0.039199747,1738726501.172309
-0.01425,-0.0125,0.157875,-0.0093995,-0.004013,-0.0394745,1738726501.1869912
-0.014125,-0.039375,0.159375,-0.00531,0.00125125,-0.033661,1738726501.201764
0.0005,-0.102625,0.1365,-0.002533,0.0034484998,-0.026184,1738726501.217419
0.012625,-0.132375,0.121625,-0.00270075,0.0031127501,-0.0038605002,1738726501.230837
0.027875,-0.204625,0.1065,-0.0035095,0.00059500005,0.0113525,1738726501.246231
0.024875,-0.22275,0.106,-0.0068969997,-0.0042725,0.05072025,1738726501.259862
-0.008,-0.1875,0.1065,-0.009811499,-0.00561525,0.071106,1738726501.275881
-0.03075,-0.141125,0.11225,-0.0090637505,-0.00646975,0.10224925,1738726501.289112
-0.065125,-0.053875,0.1335,-0.00643925,-0.0053252503,0.111343496,1738726501.3059561
-0.08,-0.006,0.145,-0.0037079998,-0.0028229998,0.11695851,1738726501.318402
-0.091125,0.039125,0.143125,-0.0063325,0.0049285004,0.11578375,1738726501.335707
-0.106125,0.118375,0.09725,-0.01272575,0.0069580004,0.109909,1738726501.347167
-0.125,0.195,0.083875,-0.014038,0.0051880004,0.0885925,1738726501.3617651
-0.113,0.28125,0.0955,-0.010559,0.0025634998,0.06513975,1738726501.376195
-0.09875,0.2435,0.11025,-0.008270251,-0.002121,0.01690675,1738726501.390831
-0.073,0.134,0.134125,-0.00715625,-0.001831,0.00187675,1738726501.406234
-0.05975,0.10875,0.134,-0.0038299998,0.00077825,-0.0070952503,1738726501.419924
-0.033625,0.10025,0.106625,0.00399775,0.0068969997,-0.017685,1738726501.4363499
-0.02275,0.099875,0.090875,0.0055847503,0.0076599997,-0.0230255,1738726501.44877
-0.01475,0.096,0.079625,0.00688175,0.0037537501,-0.03541575,1738726501.463922
-0.01,0.084625,0.078625,0.0068207504,0.000229,-0.041183498,1738726501.477704
-0.014375,0.090625,0.0885,0.009277251,-0.0053709997,-0.05169675,1738726501.492244
-0.03325,0.095125,0.103,0.01197825,-0.0065307496,-0.058426,1738726501.506776
-0.04375,0.08075,0.10575,0.013549751,-0.007843,-0.072876,1738726501.521284
-0.055375,0.01,0.10825,0.011795,-0.00868225,-0.0780335,1738726501.536282
-0.052625,-0.03925,0.11075,0.00930775,-0.009842,-0.07962025,1738726501.550379
-0.04425,-0.08375,0.11525,0.0053709997,-0.0111085,-0.0674285,1738726501.566968
-0.01775,-0.131125,0.1265,0.0049895,-0.01048275,-0.0546265,1738726501.579596
-0.007,-0.116875,0.13375,0.0073242504,-0.0078735,-0.02449025,1738726501.5959702
0.000125,-0.010625,0.146875,0.01092525,-0.00671375,-0.014709501,1738726501.6087732
-0.00725,0.018125,0.150125,0.01278675,-0.00393675,-0.0151825,1738726501.626219
-0.007375,0.03825,0.146875,0.008667,-0.00190725,-0.0186005,1738726501.637789
-0.008375,0.029375,0.139125,0.01095575,-0.00061025,-0.0301055,1738726501.6557171
-0.012875,-0.06225,0.12425,0.0115815,-0.00042725,-0.032424998,1738726501.667094
-0.0095,-0.0815,0.117375,0.007904,3.0500001e-05,-0.02696225,1738726501.681495
-0.0065,-0.074125,0.116625,-0.00242625,-0.00109875,-0.0058899997,1738726501.696169
-0.00475,-0.035125,0.138,-0.0052185003,-0.0018615,0.0020295,1738726501.710818
-0.003875,-0.0345,0.1425,-0.0065307496,-0.00042725,0.008606,1738726501.726124
0.00175,-0.1,0.12725,-0.0077972496,0.00029,0.012130749,1738726501.7398
