L-AccX,L-AccY,L-AccZ,L-GyrX,L-GyrY,L-GyrZ,R-AccX,R-AccY,R-AccZ,R-GyrX,R-GyrY,R-GyrZ,timestamp
-0.31,-0.03,1.3,4.39,-24.72,22.16,0.78,-0.58,0.14,1.1,-2.62,-5.68,1742312084.356061
-0.58,0.59,1.38,-359.37,101.68,-121.95,0.81,-0.61,0.15,14.65,14.71,5.37,1742312084.473324
0.51,0.26,-0.06,-221.44,187.13,-201.54,0.76,-0.67,0.07,70.07,-35.58,-14.04,1742312084.5831602
0.9,0.12,0.19,-31.62,-34.91,-100.34,0.78,-0.57,0.06,61.58,-26.86,25.51,1742312084.696992
0.82,0.42,0.31,-37.6,-0.79,-25.45,0.81,-0.47,0.14,26.12,-18.31,22.58,1742312084.81314
0.82,0.45,0.29,-20.08,13.37,-25.21,0.8,-0.49,0.12,-0.61,-3.23,9.7,1742312084.925041
0.86,0.43,0.23,8.18,4.15,-2.56,0.85,-0.52,0.11,5.49,-9.58,5.13,1742312085.038979
0.85,0.47,0.24,0.67,7.26,-1.4,0.81,-0.56,0.16,-13.92,-9.64,9.03,1742312085.153517
0.87,0.45,0.21,8.12,-6.35,-2.38,0.86,-0.47,0.12,-3.3,-6.53,10.19,1742312085.267043
0.84,0.45,0.28,7.32,-8.79,-3.6,0.84,-0.49,0.18,-5.07,-2.44,9.83,1742312085.381046
0.84,0.43,0.29,8.54,-2.75,-4.76,0.85,-0.45,0.17,0.98,2.87,4.39,1742312085.4948149
0.85,0.41,0.29,1.71,-4.46,-2.44,0.86,-0.48,0.16,-1.1,2.5,-2.81,1742312085.608023
0.84,0.43,0.3,-6.35,1.71,-1.71,0.86,-0.44,0.15,-5.55,0.37,0.85,1742312085.721954
0.84,0.42,0.33,0.61,0.0,-2.08,0.87,-0.46,0.13,-2.5,3.17,1.77,1742312085.835926
0.84,0.42,0.33,3.11,-1.46,-1.46,0.87,-0.47,0.13,-3.17,-1.34,-0.24,1742312085.953009
0.84,0.4,0.33,6.41,-3.97,0.55,0.87,-0.47,0.13,-1.16,8.79,3.42,1742312086.063963
0.84,0.43,0.34,0.98,-0.49,0.12,0.87,-0.48,0.15,-2.44,1.71,2.2,1742312086.1779451
0.84,0.41,0.33,1.77,2.14,-2.14,0.86,-0.46,0.14,-6.77,2.44,3.6,1742312086.292709
0.84,0.42,0.32,-4.58,3.23,-1.04,0.88,-0.44,0.15,-4.39,1.89,3.66,1742312086.40592
0.86,0.42,0.31,0.06,1.83,-2.14,0.88,-0.44,0.14,-0.61,4.64,2.56,1742312086.5200682
0.85,0.41,0.33,1.65,-0.92,-2.32,0.89,-0.44,0.14,-7.08,0.43,2.62,1742312086.633919
0.85,0.41,0.31,5.43,4.58,-0.67,0.88,-0.43,0.14,1.46,-2.81,0.31,1742312086.747941
0.85,0.41,0.31,-0.73,2.93,-0.31,0.88,-0.44,0.15,1.59,-0.79,0.79,1742312086.8619351
0.86,0.39,0.3,0.43,2.56,-2.26,0.88,-0.43,0.16,-1.53,-0.43,-1.04,1742312086.976021
0.85,0.4,0.29,1.71,0.49,-0.37,0.87,-0.43,0.15,3.91,3.54,-0.92,1742312087.0929449
0.89,0.39,0.31,7.69,-2.56,-2.81,0.86,-0.38,0.09,21.85,8.3,-7.93,1742312087.2037828
0.93,0.33,0.36,11.47,22.58,-8.18,0.88,-0.36,0.03,45.41,-28.93,-29.66,1742312087.317033
0.67,0.48,0.26,12.51,-25.21,-11.72,1.02,-0.9,0.42,27.83,-12.51,3.85,1742312087.4335842
0.91,0.39,0.36,11.72,-73.3,-2.14,0.52,0.02,-0.58,-15.32,48.77,59.69,1742312087.544933
1.03,0.27,0.6,1.83,82.46,-19.29,0.74,-0.81,0.73,24.17,-43.4,-90.82,1742312087.658924
0.54,0.37,-0.08,26.61,4.27,13.31,1.45,-1.34,1.01,-15.01,36.5,9.28,1742312087.773607
0.64,0.42,-0.07,-13.73,-99.49,15.44,0.75,-0.39,-0.01,35.22,45.23,56.64,1742312087.8867872
1.4,0.25,1.07,16.11,42.3,-16.36,0.36,0.16,-0.45,-6.1,-49.38,-23.44,1742312088.0009909
0.83,0.13,0.19,3.78,46.81,-19.96,0.88,-0.65,-0.05,62.62,-37.78,-93.87,1742312088.11499
0.56,0.35,-0.1,23.62,-36.44,7.93,1.01,-0.89,0.39,-4.7,32.47,42.3,1742312088.228798
0.87,0.48,0.29,42.97,-101.87,6.29,0.38,-0.39,-0.27,78.25,10.93,-22.89,1742312088.343019
1.15,0.24,0.77,10.86,32.23,-12.45,0.54,-0.15,0.12,-26.12,-24.41,-38.45,1742312088.456963
0.71,0.23,0.25,-71.72,83.44,9.7,1.31,-1.2,0.55,57.56,-13.31,-42.79,1742312088.5748532
0.53,0.27,-0.3,40.83,-44.62,12.27,0.88,-0.59,0.36,-25.63,59.88,49.13,1742312088.684906
1.04,0.29,0.99,13.73,-108.4,-1.28,0.39,-0.17,-0.69,-24.48,-2.26,52.67,1742312088.7990131
0.91,0.28,0.56,-14.28,75.26,-26.98,0.73,-0.47,0.12,-102.11,3.6,-24.35,1742312088.9146209
0.58,0.14,0.12,-27.95,81.79,-0.43,1.51,-0.95,0.9,-44.25,-28.75,4.76,1742312089.026902
0.64,0.28,-0.07,25.33,-88.44,29.6,0.69,-0.45,0.08,-11.72,71.84,31.49,1742312089.1408
1.07,0.42,0.98,-27.22,-36.32,-14.77,0.43,-0.06,-0.47,-27.34,7.81,71.04,1742312089.255415
0.92,0.13,0.64,39.0,57.31,-19.65,1.09,-0.51,0.3,-45.84,-12.45,-44.37,1742312089.369087
0.61,0.38,-0.09,-2.01,3.23,-13.18,0.94,-0.24,-0.09,25.76,50.17,47.3,1742312089.482801
0.94,0.34,0.4,-25.45,11.47,25.76,0.89,-0.49,0.01,0.85,-12.33,-12.02,1742312089.5968761
0.88,0.38,0.22,1.83,1.71,-6.04,0.92,-0.47,0.1,2.08,-6.9,29.3,1742312089.715359
0.95,0.3,0.35,-18.55,-0.67,-10.38,0.9,-0.32,0.09,8.06,-3.3,3.85,1742312089.8248
0.87,0.32,0.3,8.61,-4.09,-4.33,0.92,-0.35,0.05,6.77,4.7,-1.46,1742312089.9386308
0.89,0.34,0.3,0.49,2.5,0.98,0.91,-0.36,0.05,-1.89,0.79,2.56,1742312090.0549939
0.88,0.32,0.26,1.16,-2.01,-1.95,0.92,-0.34,0.05,-6.29,-2.26,19.35,1742312090.1667972
0.9,0.3,0.36,3.66,-0.85,-6.35,0.95,-0.29,0.08,8.91,3.6,9.89,1742312090.2807748
0.89,0.3,0.32,6.29,0.61,3.91,0.95,-0.31,0.02,5.8,2.08,0.06,1742312090.395851
0.89,0.33,0.31,5.68,4.58,-1.34,0.94,-0.34,0.06,3.91,-2.5,1.95,1742312090.5076668
0.88,0.31,0.3,6.35,2.87,-5.0,0.94,-0.29,0.05,2.87,-0.98,4.21,1742312090.6216562
0.9,0.3,0.32,-9.09,2.38,0.31,0.94,-0.3,0.05,1.53,5.68,-0.12,1742312090.7364569
0.9,0.33,0.3,-8.73,-2.93,1.1,0.96,-0.29,0.02,3.97,8.73,1.04,1742312090.850081
0.89,0.33,0.3,3.17,-4.7,0.98,0.95,-0.3,0.0,6.41,5.07,3.36,1742312090.9625542
0.88,0.31,0.32,2.81,-0.06,-0.85,0.95,-0.29,0.01,2.75,0.43,1.71,1742312091.076076
0.9,0.33,0.3,-11.47,-0.24,-2.69,0.95,-0.29,0.01,-1.89,4.21,2.69,1742312091.1886551
