acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp
0.09225,0.047125,0.08525,-0.0003205,-0.00160225,-0.0049590003,1741751797.190611
0.093875,0.041625,0.082125,-0.000534,-0.00033575002,-0.006302,1741751797.207996
0.096875,0.032125,0.078125,-0.00143425,-0.00070200005,-0.00631725,1741751797.21999
0.097625,0.02975,0.0795,-0.0033570002,-0.00225825,-0.0053405,1741751797.241123
0.09925,0.0295,0.0875,-0.0036162501,-0.0024872501,-0.0047607496,1741751797.25045
0.09875,0.028875,0.090125,-0.00263975,-0.00061025,-0.0039825,1741751797.2638028
0.098375,0.025375,0.087375,-0.00175475,0.001007,-0.0034790002,1741751797.278458
0.098125,0.023375,0.083625,0.00045775,0.00378425,-0.00154125,1741751797.292908
0.098125,0.021875,0.07425,0.0014495,0.0046539996,-0.0001525,1741751797.308597
0.098,0.022625,0.069625,0.00190725,0.0047607496,0.0025025,1741751797.321728
0.093625,0.027875,0.063875,0.0020599999,0.00416575,0.0038757501,1741751797.338567
0.092,0.03525,0.06375,0.0028229998,0.0034637498,0.0053405,1741751797.350506
0.091,0.044125,0.064875,0.00355525,0.00225825,0.00631725,1741751797.364838
0.0905,0.058,0.06925,0.0029755002,0.00181575,0.0052642496,1741751797.379951
0.09025,0.060625,0.071375,0.000534,0.001526,0.000763,1741751797.3935192
0.08975,0.05625,0.07325,-0.000763,0.0017395001,-0.00181575,1741751797.408075
0.089625,0.04925,0.071875,-0.001831,0.00279225,-0.0052947504,1741751797.4224908
0.090125,0.033875,0.065375,-0.00112925,0.0033570002,-0.0055695,1741751797.437155
0.089875,0.03025,0.063,0.00204475,0.00367725,-0.003296,1741751797.4515998
0.091375,0.036625,0.06425,0.00328075,0.00328075,-0.00177,1741751797.468284
0.09275,0.04275,0.0665,0.00369275,0.0028229998,-0.00096125,1741751797.480389
0.09375,0.04925,0.06825,0.00305175,0.0025634998,-0.002121,1741751797.49491
0.094,0.04825,0.068375,0.0020295,0.0025025,-0.0036162501,1741751797.5096178
0.092375,0.045375,0.068375,-0.0009765,0.00190725,-0.00631725,1741751797.5242429
0.094875,0.0415,0.069375,-0.00193775,0.0014495,-0.007019,1741751797.538814
0.100375,0.039,0.070625,-0.0033570002,0.0009765,-0.00868225,1741751797.553303
0.099625,0.027875,0.069,-0.00263975,0.00143425,-0.009079001,1741751797.568488
0.100375,0.02425,0.067875,0.00068675,0.00267025,-0.0075377496,1741751797.5825548
0.10575,0.022125,0.062875,0.0026854998,0.0035704998,-0.0063477503,1741751797.59836
0.106125,0.020375,0.058125,0.004837,0.00440975,-0.0046845004,1741751797.611488
0.10475,0.014875,0.0515,0.0036315,0.0034942501,-0.004074,1741751797.625988
0.102875,0.013125,0.050375,0.00054925,0.0001525,-0.0019225,1741751797.64038
0.10275,0.01825,0.051875,0.000183,-0.00146475,-0.00045775,1741751797.6551309
0.104375,0.023,0.054625,0.0002135,-0.00270075,0.00062550005,1741751797.6719701
0.105875,0.026,0.0565,0.000885,-0.0034790002,0.00074775,1741751797.683893
