L-AccX,L-AccY,L-AccZ,L-GyrX,L-GyrY,L-GyrZ,R-AccX,R-AccY,R-AccZ,R-GyrX,R-GyrY,R-GyrZ,timestamp
-0.013125,0.073,0.1045,0.00039675,0.00083925005,0.0003815,-0.05225,-0.04725,0.092625,-0.00239575,-0.0017242499,-0.0023345,1741899210.6849751
-0.012875,0.073,0.103625,0.0005035,0.00096125,0.00016775,-0.057625,-0.04825,0.08625,-0.00204475,-0.00320425,-0.00143425,1741899210.700233
-0.012625,0.072625,0.101875,0.00051875,0.00099175,0.00010675,-0.08075,-0.058625,0.1015,-0.00064075,-0.0026092501,-0.00033575002,1741899210.7166889
-0.01275,0.0725,0.101625,0.00054925,0.00090025004,-3.0500001e-05,-0.090125,-0.064125,0.10525,-0.0001525,0.000946,0.00163275,1741899210.729116
-0.01375,0.07325,0.10275,0.00059500005,0.0007935,-0.00013725001,-0.09125,-0.067,0.0875,-0.0013427499,0.00267025,0.0027160002,1741899210.74381
-0.014375,0.074125,0.103625,0.00067150005,0.00067150005,-0.00029,-0.09225,-0.067375,0.082,-0.00354,0.0038605002,0.0065002497,1741899210.758523
-0.014875,0.074875,0.104625,0.00131225,0.000473,-0.00086975005,-0.105625,-0.07775,0.098625,-0.0034484998,0.0049590003,0.009933501,1741899210.773203
-0.01525,0.078375,0.1075,0.00201425,0.00051875,-0.0013427499,-0.10625,-0.08125,0.102375,-0.002884,0.00839225,0.01708975,1741899210.791714
-0.01525,0.08025,0.11,0.0043639997,0.00112925,-0.0025634998,-0.096875,-0.082875,0.092125,-0.003418,0.009094249,0.019394,1741899210.806025
-0.017875,0.08525,0.118875,0.0059815003,0.001831,-0.0033264998,-0.097375,-0.08225,0.0885,-0.0039215,0.00891125,0.02326975,1741899210.817132
-0.020625,0.086875,0.124375,0.009842,0.0043182503,-0.0055695,-0.101625,-0.071625,0.0955,-0.0025634998,0.00903325,0.025772,1741899210.831789
-0.02675,0.088625,0.134625,0.011795,0.006012,-0.0069580004,-0.1,-0.068125,0.100875,0.002777,0.01033025,0.03108225,1741899210.846435
-0.02975,0.08975,0.140625,0.016739,0.0102845,-0.009796251,-0.0915,-0.068375,0.107875,0.005249,0.012313751,0.033249002,1741899210.860925
-0.029125,0.08125,0.1505,0.019165002,0.012847999,-0.011139,-0.084125,-0.068125,0.113875,0.00672925,0.015518251,0.0347595,1741899210.875405
-0.026,0.0755,0.151875,0.0211335,0.015594499,-0.012039251,-0.075375,-0.069,0.123,0.007553,0.02326975,0.0360565,1741899210.889933
-0.02225,0.072125,0.152875,0.023620501,0.021286,-0.0125885,-0.0575,-0.066875,0.138875,0.007782,0.02636725,0.03607175,1741899210.9067369
-0.01675,0.0745,0.158125,0.02359,0.02412425,-0.012985251,-0.048625,-0.061875,0.14125,0.008255,0.03155525,0.03524775,1741899210.918999
-0.015,0.075625,0.158875,0.021347,0.029449498,-0.014800999,-0.0215,-0.042125,0.126,0.00930775,0.0338135,0.0345,1741899210.933443
-0.0075,0.06675,0.148875,0.019806,0.03170775,-0.01573175,-0.00525,-0.03275,0.11425,0.013564999,0.0366515,0.03186025,1741899210.947923
-0.002625,0.061125,0.14025,0.01617425,0.03506475,-0.01670825,0.01675,-0.023125,0.090625,0.01620475,0.03739925,0.0302125,1741899210.966372
0.0115,0.046875,0.117375,0.0137635,0.035949748,-0.0167695,0.02575,-0.019125,0.07925,0.021209748,0.037796002,0.02619925,1741899210.9768372
0.017125,0.040625,0.10725,0.0087585,0.0360565,-0.016128499,0.04075,-0.014875,0.0565,0.02360525,0.036422748,0.0239105,1741899210.991381
0.024875,0.032625,0.090125,0.00688175,0.0355225,-0.01579275,0.042875,-0.017,0.042625,0.02749625,0.03022775,0.0194855,1741899211.006624
0.028375,0.02975,0.0835,0.00546275,0.0346375,-0.015335,0.048,-0.02725,0.0155,0.02873225,0.0263825,0.0174865,1741899211.02037
0.03125,0.028125,0.0775,0.00367725,0.031845,-0.01368725,0.048,-0.0295,0.00625,0.029266251,0.022049,0.0153502505,1741899211.0348392
0.0355,0.026,0.066375,0.00305175,0.0298615,-0.0126495,0.04725,-0.027125,0.000625,0.02519225,0.012313751,0.0104065,1741899211.04931
0.037375,0.0255,0.062125,0.0029755002,0.024582,-0.01026925,0.046375,-0.019,-0.00425,0.0217285,0.00643925,0.00785825,1741899211.066498
0.039625,0.025,0.0535,0.003769,0.0213165,-0.0089569995,0.046875,-0.016125,-0.00475,0.01716625,-0.0089569995,0.00245675,1741899211.078513
0.039875,0.0225,0.046625,0.0049895,0.013717749,-0.0062255003,0.043375,-0.0095,-0.005125,0.01651,-0.017547501,-0.0002135,1741899211.0932941
0.037875,0.01475,0.031375,0.005005,0.00953675,-0.00469975,0.041375,-0.008375,-0.006625,0.013275251,-0.031662002,-0.00665275,1741899211.108041
0.038,0.008625,0.024,0.00460825,0.0052337497,-0.0030975002,0.03175,-0.01025,-0.018375,0.00976575,-0.036972,-0.0106355,1741899211.126155
0.03825,0.003375,0.0185,0.00190725,-0.0045165,0.000412,0.02425,-0.008,-0.028375,0.00564575,-0.04768375,-0.01930225,1741899211.13764
0.0295,0.00225,0.01725,0.00027475,-0.01004025,0.002365,0.015875,0.001,-0.036375,0.0066985004,-0.05410775,-0.024108998,1741899211.152315
0.01975,0.0035,0.01925,-0.0016785001,-0.02159125,0.00646975,0.013,0.005,-0.0295,0.008545,-0.068161,-0.03430175,1741899211.166958
0.0085,-0.0,0.020625,-0.001526,-0.0274505,0.008606,0.001625,0.003625,0.002375,0.00469975,-0.07440175,-0.0395355,1741899211.181495
0.007625,-0.004,0.015,0.00042725,-0.038879503,0.013626001,-0.009875,-0.005,0.0235,-0.009552,-0.083786,-0.049316503,1741899211.1962812
0.00975,-0.0135,-0.00725,0.00096125,-0.044326752,0.0169525,-0.0735,-0.0645,0.075,-0.01054375,-0.08972175,-0.052597,1741899211.211093
0.008875,-0.01675,-0.018,0.00080875,-0.049621496,0.02076725,-0.119125,-0.1075,0.083,-0.0073547503,-0.100708,-0.055953998,1741899211.229142
0.00675,-0.020375,-0.025625,-0.0020599999,-0.060318,0.028411752,-0.1305,-0.113875,0.113,-0.012741,-0.1019135,-0.0606385,1741899211.240708
-0.012125,-0.01825,-0.027625,-0.0033875,-0.06617726,0.03208925,-0.164375,-0.12375,0.155625,-0.015396,-0.0879365,-0.06384275,1741899211.255466
-0.02575,-0.007125,-0.02475,0.0027160002,-0.07743825,0.037658747,-0.439375,-0.2245,0.369125,-0.00102225,-0.0538025,-0.0335235,1741899211.272179
-0.028125,0.00775,-0.01325,0.0105742505,-0.082168505,0.0395355,-0.438375,-0.31075,0.452,0.01013175,-0.0077210004,0.016021749,1741899211.287182
-0.035125,0.0055,0.012,0.027252251,-0.0913695,0.04081725,-0.10575,-0.177625,0.24875,-0.0068055,0.0234375,0.042785753,1741899211.299683
-0.112125,0.045125,0.131625,0.033996496,-0.09468075,0.03701775,-0.064,-0.079125,0.123,-0.010757499,0.01811225,0.013046251,1741899211.3142378
-0.16775,0.072375,0.200125,0.04373175,-0.085373,0.0202485,-0.0645,-0.039625,0.061375,-0.00352475,0.015075751,-0.008850001,1741899211.32889
-0.398625,0.19525,0.451625,0.016265752,-0.046341,0.011917,-0.045,-0.0385,0.035875,-0.0012665,0.013336251,-0.0031585,1741899211.346484
-0.348875,0.19825,0.5,-0.015854,0.03710925,0.0016785001,-0.0395,-0.04175,0.0275,-0.001526,0.0068207504,0.005783,1741899211.358256
0.039,0.052125,0.33225,0.009017999,0.028259251,0.005005,-0.05075,-0.043875,0.022625,-0.0021515,0.00381475,0.0052185003,1741899211.3728828
0.072875,-0.01525,0.201,0.02323925,0.01579275,0.012085,-0.0665,-0.052,0.031375,-0.00485225,0.00074775,0.00270075,1741899211.3875358
0.0575,-0.0285,0.12,0.008667,0.015686,0.02162175,-0.085375,-0.06625,0.054625,-0.0075072497,-7.625e-05,0.00254825,1741899211.402276
0.01725,0.00825,0.053,-0.00027475,0.017212,0.0186615,-0.082625,-0.06425,0.059875,-0.009582501,0.00048825,0.00325,1741899211.416951
0.001875,0.008625,0.041125,-0.00883475,0.0117035,0.0060425,-0.08025,-0.06975,0.065875,-0.0076142503,0.0026245,0.0041044997,1741899211.431555
-0.025,0.008625,0.06325,-0.009552,0.008285499,0.00267025,-0.086,-0.079625,0.07175,-0.003769,0.0089569995,0.006012,1741899211.446908
-0.03975,0.016875,0.097625,-0.00646975,0.0047912505,0.001587,-0.09175,-0.089,0.09175,-0.0034484998,0.01136775,0.00691225,1741899211.460748
-0.062625,0.028125,0.13875,-0.004074,0.0045012496,0.001236,-0.088375,-0.086125,0.1,-0.00494375,0.013183501,0.0074920002,1741899211.475351
-0.061125,0.02225,0.133375,-0.0024414998,0.0053252503,0.0012207499,-0.0785,-0.0805,0.105875,-0.0056609996,0.0135955,0.0071105,1741899211.4900439
-0.055875,0.023625,0.120625,-0.001953,0.0095672505,0.0030669998,-0.079375,-0.083,0.107375,-0.0051880004,0.0160065,0.0062712496,1741899211.506523
-0.055875,0.028625,0.12775,-0.00169375,0.012024,0.0037537501,-0.083875,-0.087,0.105625,-0.0042725,0.01808175,0.0065612504,1741899211.519525
-0.05475,0.030875,0.138,-0.00149525,0.01631175,0.00354,-0.0805,-0.083375,0.10425,-0.0031127501,0.0204315,0.0074004997,1741899211.534067
-0.043875,0.029875,0.14575,-0.0019989999,0.017746,0.0031585,-0.075875,-0.08025,0.105625,-0.000412,0.02445975,0.009597749,1741899211.548758
-0.035625,0.02775,0.142625,-0.003128,0.0186615,0.00308225,-0.07225,-0.085875,0.112,0.00030525,0.02586375,0.01086425,1741899211.565755
-0.029875,0.026125,0.143625,-0.0037385002,0.018463248,0.0033264998,-0.070875,-0.08825,0.111625,0.00035100002,0.028122,0.013427749,1741899211.577775
-0.03375,0.026875,0.148,-0.0050355,0.018737748,0.0025787498,-0.06425,-0.08675,0.10675,0.00029,0.029663,0.014389,1741899211.592441
-0.03925,0.027,0.15325,-0.0055237496,0.01976025,0.0016785001,-0.060375,-0.08575,0.106625,-0.00093075,0.033981252,0.016037,1741899211.607059
-0.038125,0.03,0.15275,-0.0057372497,0.02127075,0.000763,-0.054625,-0.0835,0.10675,-0.0017242499,0.03550725,0.0168,1741899211.6257339
-0.0335,0.03275,0.150125,-0.0047912505,0.02474975,-0.0007325,-0.05325,-0.08325,0.104375,-0.0016175,0.03712475,0.018097,1741899211.636499
-0.022,0.03125,0.147625,-0.0040435,0.0263215,-0.0012055,-0.047625,-0.08325,0.0965,-0.00099175,0.038147,0.018615749,1741899211.651127
-0.0185,0.029,0.148125,-0.0034942501,0.0291595,-0.00198375,-0.043875,-0.083625,0.093875,-0.00061025,0.041076753,0.019394,1741899211.6671202
-0.01325,0.027,0.149625,-0.0034790002,0.030609248,-0.0024872501,-0.03625,-0.081125,0.092,-0.00112925,0.04240425,0.01953125,1741899211.6804512
-0.01075,0.026625,0.147375,-0.00354,0.033691503,-0.00354,-0.032875,-0.07925,0.089375,-0.002472,0.04367075,0.01930225,1741899211.695062
-0.00425,0.029375,0.138625,-0.0034484998,0.035049498,-0.003891,-0.024375,-0.0735,0.07925,-0.00267025,0.0436095,0.018982,1741899211.7098129
-0.002625,0.032125,0.13825,-0.0036010002,0.03714,-0.0047912505,-0.02,-0.0705,0.07425,-0.001892,0.042846747,0.01799,1741899211.72894
-0.002625,0.03725,0.142375,-0.00399775,0.03819275,-0.0056609996,-0.014125,-0.06575,0.07025,-0.0012207499,0.04237375,0.01753225,1741899211.739129
-0.001375,0.037375,0.13975,-0.0044250004,0.0392915,-0.0066985004,-0.009875,-0.0625,0.066875,-0.00061025,0.041869998,0.01719675,1741899211.7538571
0.001625,0.0365,0.13325,-0.00491325,0.041137747,-0.008285499,-0.002,-0.057125,0.06075,0.0002595,0.040619,0.0158385,1741899211.7683651
0.01025,0.037375,0.112625,-0.0047607496,0.041687,-0.0087585,0.014125,-0.049875,0.05075,0.0004425,0.0395965,0.014618,1741899211.786319
0.01375,0.038375,0.10375,-0.0038299998,0.04176325,-0.00976575,0.01725,-0.050625,0.047375,0.0003205,0.036255002,0.012496999,1741899211.797353
0.01825,0.039,0.093375,-0.0033722501,0.041610748,-0.010452249,0.02275,-0.0505,0.04075,1.5250001e-05,0.0338745,0.011398249,1741899211.811892
0.021125,0.036875,0.087875,-0.0028074998,0.040924,-0.01197825,0.0265,-0.049875,0.0385,-0.0005645,0.02760325,0.008865249,1741899211.826918
0.03375,0.03,0.069625,-0.00283825,0.039810248,-0.01257325,0.034125,-0.047375,0.0365,-0.00061025,0.02409375,0.0074004997,1741899211.840972
0.042375,0.027,0.059875,-0.0031127501,0.035476748,-0.012695249,0.035875,-0.047375,0.037125,-0.000473,0.016693002,0.004242,1741899211.8554292
0.053125,0.0225,0.046,-0.0030669998,0.032547,-0.012420749,0.038375,-0.047,0.036125,-0.000183,0.012771499,0.002655,1741899211.869961
0.05425,0.020375,0.042125,-0.00384525,0.029174749,-0.0123442495,0.03975,-0.044875,0.034,0.0005645,0.0048979996,-0.00083925005,1741899211.88688
0.0545,0.020625,0.042375,-0.0072175004,0.02105725,-0.01266475,0.04275,-0.035375,0.026625,0.00090025004,0.00109875,-0.0028229998,1741899211.898955
0.052,0.03075,0.0515,-0.0074004997,0.016540501,-0.012985251,0.044,-0.0295,0.022875,0.001175,-0.00263975,-0.0049895,1741899211.913557
0.0505,0.035875,0.056,-0.0031127501,0.0069885002,-0.014099,0.043875,-0.0255,0.020375,0.0012055,-0.009887749,-0.0097045,1741899211.928082
0.051125,0.033,0.05275,-0.00064075,0.00239575,-0.01454175,0.0345,-0.0245,0.013,0.00125125,-0.013564999,-0.012085,1741899211.946924
0.051875,0.028,0.0475,0.0012970001,-0.0057220003,-0.01454175,0.024875,-0.0235,0.005625,0.0024872501,-0.02215575,-0.017303498,1741899211.9573388
0.0545,0.0165,0.03675,0.00070200005,-0.009521499,-0.0142365,0.012375,-0.007,-0.02,0.0034790002,-0.02734375,-0.020629998,1741899211.972073
0.0545,0.012125,0.034375,-0.00065625,-0.013351499,-0.0136565,0.013625,0.00925,-0.039,0.0060272496,-0.039627,-0.02981575,1741899211.987332
0.046625,0.012625,0.038375,-0.00378425,-0.02114875,-0.01187125,0.0085,0.020875,-0.06675,0.005844,-0.04730225,-0.035263002,1741899212.001388
0.04075,0.0155,0.0385,-0.0048979996,-0.02513125,-0.011078,-0.004375,0.012875,-0.068875,-0.002472,-0.067459,-0.04502875,1741899212.0161438
0.036125,0.017875,0.0345,-0.0059815003,-0.034057498,-0.009506251,-0.03275,0.003375,-0.0675,-0.0093385,-0.0787965,-0.049774252,1741899212.030949
0.028875,0.01875,0.023,-0.00593575,-0.039154,-0.00845325,-0.0405,0.014375,-0.067875,-0.02183525,-0.098464996,-0.0608825,1741899212.046787
0.024375,0.016625,0.01675,-0.0048674997,-0.050048754,-0.005844,-0.066125,0.044375,-0.0555,-0.026535,-0.10556025,-0.06646725,1741899212.060514
0.0115,0.01,-0.003875,-0.00419625,-0.055724997,-0.00440975,-0.101875,0.042375,-0.02475,-0.013061499,-0.122680746,-0.072753996,1741899212.075268
0.006,0.005,-0.018625,-0.003769,-0.068267755,-0.001068,-0.227,-0.05975,0.229,0.013275251,-0.12928775,-0.067566,1741899212.090098
-0.005125,-0.006875,-0.042875,-0.0036315,-0.0752715,0.001114,-0.385875,-0.284,0.404875,0.04695125,-0.068832494,-0.00279225,1741899212.106817
-0.012375,-0.013125,-0.048125,-1.5250001e-05,-0.090362504,0.00585925,-0.370375,-0.411875,0.474875,0.027587999,-0.011917,0.0392915,1741899212.119524
-0.028875,-0.023875,-0.04075,0.0047150003,-0.098053,0.007965,-0.233375,-0.26575,0.3205,-0.0217285,0.04145825,0.008712751,1741899212.134172
-0.042625,-0.03,-0.031375,0.0170745,-0.11221325,0.011321999,-0.02125,-0.058375,0.07325,-0.036438,0.0384675,-0.011016751,1741899212.148869
-0.075875,-0.043,0.0225,0.022949249,-0.1167755,0.013488751,0.03075,0.008,0.022125,-0.024993999,0.01994325,-0.01766975,1741899212.168252
-0.171,0.026,0.195875,0.025466999,-0.11640925,0.015808,0.003,0.01875,-0.021625,-0.004303,0.0137635,-0.008407501,1741899212.1780329
-0.3625,0.218375,0.430875,0.0099639995,-0.02882375,-0.011550999,-0.023625,0.00375,-0.02025,0.010024999,0.010376001,0.00251775,1741899212.19268
-0.206625,-0.028625,0.5,0.03250125,0.0178375,-0.03025825,-0.0285,0.00175,-0.01125,0.01206975,0.00520325,0.007965,1741899212.2099478
0.008125,-0.153375,0.411875,0.05599975,0.03038025,0.019744748,-0.03525,-0.006875,0.021,0.01036075,-6.1000002e-05,0.004486,1741899212.221802
0.022875,-0.09375,0.143375,0.038314752,0.02923575,0.0382385,-0.05,-0.026875,0.044125,0.008926501,-0.01150525,-0.00157175,1741899212.236581
-0.007125,-0.042625,0.080125,-0.00119025,0.0214385,0.032348752,-0.087125,-0.0725,0.09025,0.007599,-0.014434749,-0.0035704998,1741899212.251712
0.005375,-0.012875,0.0115,-0.011734,0.01675425,0.0217285,-0.106,-0.098,0.106,0.00617975,-0.0128632495,-0.0031127501,1741899212.266476
0.01325,-0.011125,-0.00925,-0.019333,0.00617975,0.0070952503,-0.1115,-0.122875,0.10925,0.0047607496,-0.008194,-0.00074775,1741899212.2808352
-0.020875,0.018125,0.016875,-0.018448,-9.15e-05,0.0049285004,-0.096875,-0.113375,0.097,-3.0500001e-05,0.0022277501,0.00279225,1741899212.295459
-0.042375,0.0365,0.0435,-0.01531975,-0.00520325,0.0038757501,-0.068875,-0.0815,0.07,-0.00190725,0.004776,0.00305175,1741899212.3100748
-0.055,0.053125,0.067,-0.0070037497,-0.010559,-0.00137325,-0.062,-0.071,0.063875,-0.0041504996,0.0050202496,0.00193775,1741899212.32765
