L-AccX,L-AccY,L-AccZ,L-GyrX,L-GyrY,L-GyrZ,R-AccX,R-AccY,R-AccZ,R-GyrX,R-GyrY,R-GyrZ,timestamp
0.03875,-0.065,0.0975,-0.0001375,-0.00016750001,0.0001225,0.00875,0.08875,0.08375,-0.00035,0.000825,-3e-05,1741999475.547539
0.03875,-0.065,0.0975,3e-05,-0.00029,0.0001375,0.01125,0.09375,0.08625,0.00033500002,-0.0013275,-0.001435,1741999475.657496
0.0375,-0.065,0.0975,4.5e-05,0.00016750001,9.25e-05,0.01,0.09,0.08625,0.0004425,-6e-05,-0.0003975,1741999475.771607
0.03875,-0.065,0.0975,-0.0002125,-0.000107500004,1.5e-05,0.01,0.09,0.08625,0.0004725,0.0001375,-0.0001975,1741999475.885484
0.03875,-0.06375,0.0975,-0.00059500005,-0.0001525,0.00035,0.01,0.08875,0.08625,0.0001975,-1.5e-05,-6e-05,1741999475.9995399
0.04,-0.06375,0.1,-0.0001975,3e-05,0.00023,0.01125,0.08875,0.08625,-7.75e-05,-7.75e-05,0.0,1741999476.1134589
0.04125,-0.06375,0.10875,-0.0004275,-0.0002125,0.0015575,0.01125,0.08875,0.08625,-0.0003975,-9.25e-05,-0.0001975,1741999476.2274308
0.04375,-0.07875,0.14,-0.009965,0.01709,0.010635001,0.01,0.09,0.08625,6e-05,-1.5e-05,-9.25e-05,1741999476.34149
0.05875,-0.03875,0.08,-0.01422,0.0381325,0.017135,0.01125,0.09,0.08625,-4.5e-05,-6e-05,1.5e-05,1741999476.455273
0.08375,-0.01375,0.02875,-0.007675,0.008225,0.0046550003,0.01,0.09,0.08625,-0.00016750001,0.00087,-0.00032,1741999476.569543
0.08,-0.03125,0.06625,0.0067600003,-0.015075,-0.0066975,0.01125,0.09,0.08625,0.000275,0.00023,0.0001225,1741999476.68338
0.075,-0.04875,0.09375,0.009415,-0.0143125,-0.0075525,0.0125,0.08875,0.08625,0.000855,-0.00029,0.0003825,1741999476.797394
0.06625,-0.04875,0.09875,0.0054475004,-0.0104825,-0.00708,0.01125,0.08875,0.08625,-0.00033500002,-0.0001375,0.0,1741999476.911513
0.05625,-0.06125,0.10125,0.0027,-0.0059975,-0.0054175,0.01,0.08875,0.08625,-0.0002125,0.0004725,-1.5e-05,1741999477.025464
0.0525,-0.06125,0.10125,0.0020150002,-0.002135,-0.001725,0.01125,0.09,0.08625,3e-05,-3e-05,6e-05,1741999477.1394198
0.05,-0.05875,0.0975,0.000245,-0.00091500004,-0.001235,0.01125,0.09,0.08625,-0.0001375,-4.5e-05,-0.0001525,1741999477.2533839
0.05,-0.05875,0.0975,3e-05,-0.0007025,-0.000825,0.01125,0.09,0.08625,-0.0001825,0.0001375,-0.000107500004,1741999477.371691
0.05,-0.06,0.09875,-0.0010075001,6e-05,0.000107500004,0.01125,0.09,0.08625,-0.0001525,1.5e-05,-6e-05,1741999477.481319
0.05875,-0.06,0.1175,-0.003875,0.0010975,0.0038299998,0.01125,0.09,0.08625,1.5e-05,-0.0001525,-7.75e-05,1741999477.595361
0.0625,-0.08875,0.155,-0.0431525,0.039155,0.0273275,0.01125,0.08875,0.0875,0.0009775,-0.0011900001,0.0001375,1741999477.7121348
0.06625,-0.00625,0.0025,-0.012955,0.031875,0.0213925,0.01,0.09,0.085,-0.00029,0.00026,0.00023,1741999477.8232808
0.0725,0.00875,0.0225,0.0092775,-0.011565,-0.0038599998,0.01,0.08875,0.08875,-0.0002125,0.001525,7.75e-05,1741999477.937512
0.0825,-0.0275,0.0825,0.0207975,-0.0219275,-0.0124675,0.01125,0.09,0.08625,0.00058,-0.00035,0.00059500005,1741999478.055904
0.07625,-0.04,0.11125,0.01451,-0.018492501,-0.0128325,0.01,0.08875,0.0875,-7.75e-05,-0.0013425,0.0002125,1741999478.165371
