L-AccX,L-AccY,L-AccZ,L-GyrX,L-GyrY,L-GyrZ,R-AccX,R-AccY,R-AccZ,R-GyrX,R-GyrY,R-GyrZ,timestamp
0.015,0.055,0.10875,-0.00055,0.001785,-0.000535,-0.02375,-0.05375,0.11625,0.0040425,9.25e-05,-0.000655,1742104861.5424352
0.015,0.055,0.1075,-0.000305,0.0004725,-0.0002125,-0.0175,-0.0575,0.115,0.004395,0.0046225,0.0072775004,1742104861.656638
0.01375,0.05625,0.1125,0.0009775,0.00026,0.0002125,-0.01125,-0.05875,0.11125,0.00113,0.0034025,0.0019525,1742104861.7702458
0.01625,0.055,0.10875,-0.000245,-3e-05,0.000275,-0.00625,-0.06,0.1075,0.0013725,0.003005,0.0022574998,1742104861.883631
0.01625,0.05625,0.11,0.001115,0.0002125,9.25e-05,-0.00625,-0.06125,0.10875,0.00171,0.0013275,0.0013125,1742104861.997271
0.01375,0.05375,0.11,0.0004275,-0.0016325001,1.5e-05,-0.0075,-0.065,0.105,0.0019824998,7.75e-05,0.0004425,1742104862.110332
0.01375,0.0525,0.10875,0.00026,-0.0018150001,0.000305,-0.005,-0.06625,0.105,0.0002125,0.0001375,-1.5e-05,1742104862.223352
0.00875,0.055,0.11125,0.00048750002,-0.0012975,0.0001225,-0.00375,-0.065,0.1075,-0.000245,0.000245,6e-05,1742104862.336479
0.01,0.05125,0.11,0.00093,-0.00229,0.0001225,-0.0025,-0.06375,0.1075,-0.0001525,0.000945,0.00032,1742104862.450565
0.00625,0.0525,0.1125,0.00055,-0.00093,0.00016750001,-0.0025,-0.06375,0.10625,0.0003975,0.000275,0.000305,1742104862.564378
0.00625,0.0525,0.11125,0.00061,-0.00035,0.00033500002,-0.0025,-0.065,0.10625,-0.0001525,0.00023,0.00023,1742104862.677372
0.005,0.0525,0.11375,0.000855,0.0004725,-0.0001525,-0.00125,-0.0625,0.10625,-4.5e-05,0.000305,-9.25e-05,1742104862.790577
0.00625,0.05125,0.1125,0.00084,0.00033500002,9.25e-05,-0.0025,-0.06625,0.10625,-0.0002125,1.5e-05,-0.0004725,1742104862.904275
0.00625,0.05,0.1125,0.0005025,-0.00016750001,9.25e-05,-0.00125,-0.065,0.10625,0.0004125,4.5e-05,6e-05,1742104863.017378
0.00625,0.05,0.11125,-6e-05,-0.00016750001,0.0002125,-0.0025,-0.065,0.10625,0.0004275,-7.75e-05,0.0001375,1742104863.132256
0.00625,0.05,0.11125,0.00032,-0.000655,0.00016750001,-0.0025,-0.065,0.10625,0.0001225,-6e-05,0.0001375,1742104863.244363
0.0025,0.05,0.11375,0.0007625,-0.00084,0.0010825,-0.0025,-0.06625,0.10625,-0.0001825,-0.000655,-0.00079250004,1742104863.357364
0.00375,0.05,0.115,0.00016750001,-6e-05,-0.0001225,-0.0025,-0.06625,0.1075,-4.5e-05,-0.000275,4.5e-05,1742104863.471454
0.00375,0.04875,0.1125,0.000305,0.000107500004,-0.000107500004,-0.00375,-0.065,0.10625,-0.0001225,0.000107500004,-0.000245,1742104863.5853791
0.005,0.04875,0.11375,0.0001375,-0.00026,-6e-05,-0.0025,-0.065,0.10625,3e-05,-4.5e-05,-6e-05,1742104863.699499
0.00375,0.04875,0.11375,-7.75e-05,-0.000245,0.0001375,-0.0025,-0.065,0.1075,-3e-05,0.0001825,-7.75e-05,1742104863.813498
0.00375,0.0475,0.1125,-1.5e-05,-0.00032,0.0002125,-0.0025,-0.065,0.10625,1.5e-05,0.000625,0.0001975,1742104863.9292421
0.005,0.045,0.1125,-0.00325,-0.0012050001,0.0013125,-0.0025,-0.065,0.10625,0.000275,0.000655,0.00052,1742104864.041326
0.00125,0.055,0.11375,-0.0010225,0.001525,0.00079250004,-0.00125,-0.06625,0.1075,0.000305,0.0019225,0.0013125,1742104864.1555562
0.0,0.05625,0.11,-0.0015875,-0.0010975,-0.000535,0.0025,-0.06375,0.10625,-0.0027325,0.000825,0.0010225,1742104864.269582
0.0,0.05375,0.11125,-0.00058,-6e-05,7.75e-05,0.00125,-0.0625,0.1075,-0.0006875,7.75e-05,0.00079250004,1742104864.383616
0.00375,0.05375,0.11125,-7.75e-05,-0.000655,-0.0008075,0.00375,-0.06375,0.11125,-0.0004725,0.0003975,0.0003975,1742104864.4977632
0.0025,0.0525,0.11125,-0.00079250004,-0.0004725,-0.00058,0.0,-0.065,0.10375,0.00029,-0.000855,0.000885,1742104864.611441
0.0025,0.05375,0.11125,0.0001375,-0.0009,6e-05,0.005,-0.06125,0.1075,0.001175,0.00058,0.00079250004,1742104864.725502
0.0025,0.05375,0.1125,1.5e-05,-0.0004725,-0.000275,0.00375,-0.0625,0.10875,0.0004275,0.0001825,0.0007025,1742104864.839436
0.00125,0.055,0.11,-0.0004275,-0.0007025,-0.00045750002,0.005,-0.0625,0.10875,0.000855,0.0010825,0.00113,1742104864.953461
0.00125,0.05375,0.11125,-0.00091500004,-0.00055,-0.0010675,0.00625,-0.0625,0.1075,0.0010375,0.000945,0.000855,1742104865.0692701
0.00125,0.05625,0.11125,-0.000365,-9.25e-05,-0.0006875,0.01,-0.06375,0.1075,0.000855,0.0018625,0.0009625,1742104865.181501
0.00125,0.055,0.11125,-0.00029,0.000825,-0.0007775,0.015,-0.06375,0.10625,0.00045750002,0.001145,0.0001225,1742104865.2954109
0.0025,0.055,0.11,-6e-05,0.00023,-0.0005025,0.00875,-0.06625,0.105,0.0018625,-0.0006875,0.00055,1742104865.409389
0.00375,0.055,0.11,0.000245,0.0010075001,6e-05,0.0125,-0.06625,0.10375,0.0006875,0.0001525,0.0001975,1742104865.523351
0.005,0.055,0.11,0.000625,0.0007175,-0.0002125,0.0125,-0.0675,0.10375,0.0004725,0.0003975,0.0001375,1742104865.637275
0.00625,0.05375,0.11125,0.0006875,0.0010225,-0.000305,0.0125,-0.0675,0.105,0.0001375,0.0004125,3e-05,1742104865.750277
0.00625,0.05375,0.11125,0.0010225,0.00035,-0.0004725,0.0125,-0.06875,0.10375,-0.00035,0.000275,0.0003825,1742104865.8633049
0.00625,0.0525,0.11125,0.0002125,-0.000107500004,-0.0004725,0.0125,-0.06875,0.10375,-0.0007775,6e-05,0.00023,1742104865.976435
0.00375,0.05375,0.1125,-0.0004275,-0.0012975,-0.0007475,0.01375,-0.06625,0.10375,-0.00125,0.000107500004,0.0001825,1742104866.090527
0.00375,0.0525,0.1125,-0.0004125,-0.000275,-0.0009775,0.01375,-0.06625,0.105,-0.0012050001,-0.0004125,0.000855,1742104866.204559
0.005,0.0525,0.10875,-9.25e-05,-0.00045750002,-0.000107500004,0.01375,-0.06375,0.1075,-0.0008075,-0.00016750001,0.0007025,1742104866.318659
0.0025,0.0525,0.11375,0.001115,-0.0013875001,-0.0001375,0.015,-0.0625,0.10625,-0.00023,0.0008075,0.0009,1742104866.432415
0.0025,0.0525,0.11375,0.00032,-0.0001825,-0.00023,0.01625,-0.06375,0.10625,-0.000305,-0.0001225,0.0001525,1742104866.549092
0.00375,0.0525,0.1125,1.5e-05,-1.5e-05,-0.000365,0.015,-0.06375,0.10625,0.000107500004,-0.0007625,0.0,1742104866.660418
0.0025,0.05375,0.1125,0.00052,4.5e-05,-0.00029,0.015,-0.06375,0.10625,0.00026,-0.00029,0.0001525,1742104866.774221
0.0025,0.055,0.1125,0.000365,-0.0006875,-0.001145,0.0125,-0.065,0.10875,0.000625,-0.00045750002,0.00087,1742104866.8897421
0.005,0.04875,0.11,0.0009625,0.0001825,-0.000655,0.01625,-0.0625,0.10625,0.0006725,0.000945,0.002885,1742104867.001502
0.00125,0.05125,0.115,0.003005,-0.00055,0.0001975,0.01875,-0.06125,0.10625,0.00045750002,0.000945,0.001435,1742104867.115227
0.00375,0.05,0.11375,-0.000107500004,0.0002125,-0.0004725,0.01875,-0.06375,0.105,0.0001525,0.0002125,-1.5e-05,1742104867.2287638
0.0025,0.04875,0.1125,-0.00016750001,-0.0001375,-0.0006875,0.01875,-0.065,0.105,0.0010975,-0.00064,0.0001825,1742104867.342717
0.0025,0.04875,0.11375,0.0001225,-0.00033500002,-0.000305,0.01875,-0.0625,0.10625,0.0016175,0.00055,-0.001525,1742104867.4563122
0.0025,0.04875,0.11375,-0.00016750001,0.0002125,-0.00023,0.01875,-0.06625,0.1025,-0.001145,0.0009775,-0.0001525,1742104867.570345
0.00375,0.05,0.11375,-0.00059500005,0.0003975,-0.000655,0.02,-0.0675,0.10375,0.001725,-0.0004425,0.000275,1742104867.6844952
0.00375,0.05,0.1125,-0.0007175,0.000305,-0.0003975,0.01875,-0.06875,0.1025,0.000855,-0.0007775,0.000885,1742104867.79858
0.00375,0.05,0.11375,-0.000625,0.0003975,-0.0006725,0.0175,-0.06875,0.10625,-0.00033500002,-0.00058,0.00079250004,1742104867.91235
0.00375,0.05,0.11375,-0.000655,0.0007475,-0.00087,0.01875,-0.06875,0.1025,-0.0013875001,-0.0018300001,0.00113,1742104868.029248
0.005,0.05,0.11125,-0.0010675,0.00091500004,-0.00061,0.0175,-0.06625,0.105,0.00048750002,-0.001115,0.0015575,1742104868.140359
0.00625,0.0525,0.11125,-0.0015575,0.0012050001,9.25e-05,0.01625,-0.0675,0.10625,-0.0006875,0.002625,0.00064,1742104868.254386
0.00875,0.055,0.11125,-0.001115,0.0010675,-0.000275,0.01875,-0.06875,0.10125,0.00302,-0.0016625,0.0007175,1742104868.369545
0.00875,0.05375,0.11125,-0.001115,0.0007625,-0.00087,0.0225,-0.06375,0.10625,0.00087,0.0018,0.00032,1742104868.482335
0.00875,0.0575,0.11,-0.0004425,0.0007025,-0.00154,0.02,-0.07,0.10125,0.000945,0.0001525,0.000625,1742104868.5963688
0.01,0.05625,0.1125,-6e-05,0.0012050001,-0.0019375,0.0225,-0.07,0.10625,0.0020299999,0.0001375,0.0013725,1742104868.7103539
0.01375,0.055,0.1075,-0.00059500005,0.000535,-0.00177,0.0225,-0.06625,0.10625,-0.0021199998,0.0010675,0.0025325,1742104868.824395
0.0125,0.0525,0.11,0.0016925,-0.00267,-0.0003975,0.025,-0.06125,0.1025,0.0005025,0.00091500004,0.0018625,1742104868.9385412
0.01375,0.055,0.10625,-0.0030975002,0.0021525,0.0018775001,0.02625,-0.05875,0.1025,0.000275,9.25e-05,0.00033500002,1742104869.052246
0.0125,0.05875,0.11,-0.0013725,-0.0002125,0.0007475,0.025,-0.06625,0.105,0.00116,-0.0009,-0.000305,1742104869.166444
0.01375,0.05875,0.10875,-0.00055,-0.0001975,0.000107500004,0.025,-0.06375,0.10375,0.00113,-0.0009925,3e-05,1742104869.2804532
0.0125,0.06,0.1075,-0.00033500002,-0.0004275,-0.000245,0.025,-0.0675,0.1025,0.0006875,0.0,-0.00052,1742104869.394423
0.0125,0.05875,0.1075,-0.0001975,-0.0005025,-0.00032,0.025,-0.0675,0.10125,0.00026,0.0001375,-0.00048750002,1742104869.509978
0.0125,0.05875,0.10875,-6e-05,-0.00093,0.00029,0.02375,-0.07125,0.1,-0.00093,-0.0008075,-0.00029,1742104869.622415
0.0125,0.06,0.1075,-0.0007175,0.0009,0.0002125,0.02375,-0.07,0.1025,-0.00079250004,-0.0007325,-0.000305,1742104869.736474
0.0125,0.06,0.10625,-0.001755,0.00148,0.00048750002,0.0225,-0.06625,0.1025,-0.0001525,0.00045750002,-0.0006725,1742104869.85026
0.01375,0.06375,0.10375,-0.0042125,-0.00093,0.0009,0.0225,-0.0675,0.1025,0.00035,-0.0003975,-0.000885,1742104869.963567
0.01,0.06875,0.10625,0.000655,0.0001525,-0.0009625,0.02125,-0.0675,0.1025,0.000945,-0.000365,-0.00113,1742104870.077295
0.00875,0.06375,0.1025,-0.0015575,0.0016325001,-0.00087,0.02,-0.07,0.10125,3e-05,0.0012675,-0.000625,1742104870.191243
0.01375,0.0675,0.10125,-0.0040599997,0.003585,0.0011900001,0.0225,-0.0675,0.1025,0.00142,0.0018775001,0.00032,1742104870.3092868
0.01375,0.0775,0.10125,-0.0033275,0.0027774998,0.0009775,0.025,-0.06875,0.1025,0.0016925,0.0019075,0.000945,1742104870.418386
0.0175,0.07125,0.1,0.00091500004,0.0016475001,0.00052,0.02375,-0.07125,0.09875,0.001235,0.00154,-0.000245,1742104870.532298
0.01875,0.07375,0.09875,-0.00148,0.0010375,0.0007475,0.0275,-0.0725,0.095,0.0021199998,0.0012675,-0.0004425,1742104870.646234
