L-AccX,L-AccY,L-AccZ,L-GyrX,L-GyrY,L-GyrZ,R-AccX,R-AccY,R-AccZ,R-GyrX,R-GyrY,R-GyrZ,timestamp
0.02,0.01,0.12125,0.00061,-0.00064,0.0016325001,-0.0175,-0.00125,0.1275,-0.000275,0.000365,-0.0003975,1742110746.981111
0.0175,0.00625,0.11625,0.00409,-0.0069875,0.0048674997,-0.03125,0.00125,0.14875,-1.5e-05,-0.00325,-0.0009625,1742110747.0860999
0.01,0.0025,0.12625,0.007415,0.0010525,0.0032650002,-0.01,-0.04375,0.12125,0.1068575,0.02858,0.0075675,1742110747.200499
0.01375,-0.0075,0.1225,0.00296,0.00467,0.0009625,0.02125,-0.08625,-0.03875,0.1469725,-0.037384998,-0.0025025,1742110747.32
0.03125,-0.005,0.07,0.0130475,-0.0142375,-0.001465,0.00875,-0.085,-0.02,0.027665,-0.0086675,-0.02948,1742110747.4252648
0.0175,-0.01,0.12875,0.001435,0.0022725,-0.0011900001,-0.05625,-0.16375,-0.12875,0.01085,0.01039,-0.0064850003,1742110747.543326
0.01625,-0.0075,0.12,0.000107500004,0.00048750002,-0.00125,-0.01375,-0.09125,-0.07125,-0.000107500004,-0.016235001,0.0151225,1742110747.6597052
0.015,-0.00875,0.12,-0.0010525,-0.0016625,-0.0004425,0.005,-0.0625,-0.0275,0.0059975,0.0104375,-0.00972,1742110747.7674088
0.01375,-0.00625,0.1275,0.0,0.0008075,-0.00048750002,-0.045,-0.17625,-0.16,-0.0076,-0.012635,0.01477,1742110747.8813272
0.015,-0.00625,0.11875,-6e-05,0.0004275,-0.00029,0.02,-0.03125,-0.02125,-0.0041799997,-0.0077825,0.01451,1742110748.000679
0.01625,-0.005,0.125,-0.0004275,-0.0007475,-0.000535,-0.0325,-0.1075,-0.0925,0.0066374997,0.0258475,-0.032759998,1742110748.109527
0.015,-0.00625,0.12375,-0.00023,0.0021199998,-0.000825,-0.03625,-0.1225,-0.10125,-0.0124975005,-0.016175,0.027665,1742110748.2233012
0.01625,-0.00625,0.11875,0.00023,0.0001825,7.75e-05,0.0275,-0.03375,-0.01875,9.25e-05,0.0010825,0.0040275003,1742110748.338507
0.01625,-0.00375,0.125,-0.00033500002,-0.0012825,-0.0001525,-0.06,-0.15125,-0.14625,0.0071575,0.017045,-0.0287775,1742110748.458845
0.015,-0.00625,0.12,-0.00093,0.0013575,-0.001115,-0.02375,-0.09375,-0.06625,-0.0124975005,-0.01703,0.0343325,1742110748.56442
0.015,-0.005,0.12,7.75e-05,-0.000245,0.00016750001,0.03625,-0.0275,-0.01,0.0022274998,0.0037525,-0.0047,1742110748.679289
0.01625,-0.00375,0.12625,0.0001225,-0.00033500002,-7.75e-05,-0.05625,-0.1725,-0.1525,0.005035,0.0113225,-0.020385,1742110748.799604
0.015,-0.00625,0.12125,0.00033500002,0.0016625,-0.00033500002,-0.01375,-0.08625,-0.05125,-0.007735,-0.013305,0.030975001,1742110748.9061031
0.0175,-0.00625,0.12,0.00064,-0.0003825,0.00052,0.02625,-0.03125,-0.02125,0.007125,0.0101025,-0.0142825,1742110749.021642
0.01625,-0.005,0.125,0.00055,-0.0013425,-6e-05,-0.07375,-0.19,-0.16125,0.0061350004,0.00583,-0.0148,1742110749.138436
0.015,-0.0075,0.12125,0.00023,0.00122,-0.000625,0.005,-0.0525,-0.04,-0.0063024997,-0.014435001,0.0273425,1742110749.247147
0.0175,-0.0075,0.11875,0.0001375,-0.00093,1.5e-05,0.01125,-0.05125,-0.0175,0.01062,0.0122975,-0.0225225,1742110749.361089
0.015,-0.005,0.12625,0.00035,-0.0013275,-0.00113,-0.07,-0.18625,-0.1875,0.0018475,-0.0030825,0.0028675,1742110749.479542
0.015,-0.00875,0.12,0.000885,-3e-05,-0.00048750002,0.01375,-0.045,-0.03,-0.0025475,-0.0092475,0.0130475,1742110749.589222
0.01625,-0.0075,0.12125,0.000945,-0.0016775,-6e-05,-0.0075,-0.065,-0.04375,0.013335,0.0181125,-0.020537501,1742110749.703222
0.01375,-0.0075,0.125,-0.0001375,-9.25e-05,-0.0013425,-0.0575,-0.15625,-0.15875,-0.0004425,-0.00972,0.0074299998,1742110749.8189719
0.01375,-0.01,0.12,0.00064,0.0005025,0.00045750002,0.01125,-0.04625,-0.03625,-0.002595,-0.0055075004,0.010665,1742110749.938933
0.015,-0.0075,0.12375,0.000655,-0.00125,0.0004275,-0.02,-0.0675,-0.08125,0.008957501,0.0197,-0.022155,1742110750.0452778
0.0125,-0.01,0.12375,6e-05,0.0010375,-0.000885,-0.05,-0.13125,-0.1325,-0.0108175,-0.019225,0.02243,1742110750.159633
0.01375,-0.00875,0.12125,0.0003975,0.0001225,0.00029,0.02,-0.0425,-0.03125,-0.0036624998,-0.00612,0.0050975,1742110750.278773
0.01625,-0.01,0.1225,0.000245,-0.0013725,0.000107500004,-0.02375,-0.07,-0.09375,0.009872501,0.0222925,-0.0213325,1742110750.386184
