L-AccX,L-AccY,L-AccZ,L-GyrX,L-GyrY,L-GyrZ,R-AccX,R-AccY,R-AccZ,R-GyrX,R-GyrY,R-GyrZ,timestamp
0.00875,-0.00375,0.12125,-0.0004725,-0.0016025,-0.0001375,-0.055,-0.09875,-0.08375,0.0010825,0.0022425,3e-05,1742110771.3409212
0.00375,-0.01125,0.125,-0.000275,-0.0030525,-0.000365,-0.0775,-0.13375,-0.11625,0.0042125,-0.00679,0.001405,1742110771.461026
0.00125,-0.00625,0.1325,0.002135,0.0054775,0.00174,-0.0475,-0.075,-0.095,0.00708,-0.0470725,0.01616,1742110771.564991
0.01125,-0.0075,0.13125,0.00174,0.0213325,-0.0037850002,0.00125,-0.01625,0.01,0.0049125,-0.026337499,-0.0015575,1742110771.681349
0.00625,-0.0,0.15875,-0.0020899998,-0.0058125,-0.0019075,-0.075,-0.15625,-0.04875,0.0378575,0.03807,-0.052794997,1742110771.801418
0.015,-0.01125,0.1175,0.00302,0.00737,-0.0015875,-0.03,-0.06125,-0.12,0.0060125,-0.0419475,0.0325175,1742110771.9057531
0.025,-0.01,0.11,0.0028225,0.0076149995,-0.0024100002,0.0425,0.00375,0.06,0.0111075,0.007995,-0.025024999,1742110772.0231419
0.015,-0.02,0.1425,0.00293,0.0024100002,0.000275,-0.17875,-0.16375,-0.4125,0.0030675002,0.015702501,0.010452501,1742110772.1413388
0.01875,-0.0125,0.11875,0.000625,0.0081475,-0.004395,0.01875,-0.0225,0.02875,-0.01355,-0.0261525,0.024765,1742110772.246762
-0.035,-0.01,0.20125,-0.0222025,0.0013125,0.00035,-0.02375,-0.04625,-0.01125,0.000245,0.0600575,-0.03708,1742110772.360833
0.0125,-0.0075,0.12125,0.004135,0.005585,0.000365,-0.0625,-0.1225,-0.1425,-0.0031125,-0.048722498,0.0187825,1742110772.479784
0.01875,-0.01375,0.125,0.00055,0.0069575,-0.0033275,0.0525,-0.005,0.06,0.002045,0.002595,0.0029749998,1742110772.587766
0.01625,-0.02625,0.145,0.007355,0.0018925001,0.0003825,-0.2125,-0.2175,-0.42625,0.0098125,0.01509,-0.0059975,1742110772.7016199
0.02,-0.015,0.1175,-7.75e-05,0.0047150003,-0.003815,0.00375,-0.05125,0.025,-0.0196375,-0.03,0.03769,1742110772.8193548
-0.02375,-0.0425,0.135,-0.0099949995,-0.0375825,0.005905,0.00875,-0.0,0.025,0.00769,0.047485,-0.0373375,1742110772.9299588
0.015,0.0025,0.11875,0.0015575,0.0066525,0.0024249998,-0.05,-0.1125,-0.2,-0.0131075,-0.0396575,0.014007499,1742110773.043724
0.0175,-0.015,0.12875,0.0010075001,0.007125,-0.0051574996,0.0575,-0.00625,0.05125,0.00267,-0.0077199996,0.0169825,1742110773.159314
0.03125,-0.02,0.14125,0.0060125,-0.0024100002,-0.0004425,-0.17875,-0.20875,-0.34625,0.0136575,0.0387875,-0.0308675,1742110773.279565
0.02,-0.00625,0.1125,0.000275,0.00679,-0.00351,-0.02625,-0.0975,-0.01125,0.0001525,-0.0425575,0.0246725,1742110773.3857658
0.00375,-0.0325,0.12875,-0.0019225,-0.032470003,0.0040275003,0.00125,-0.01875,0.02625,0.0046225,0.0481425,-0.0352025,1742110773.5009658
0.0175,-0.00625,0.11375,0.004685,0.0054925,0.0013125,-0.04875,-0.11625,-0.2075,-0.019592501,-0.037765,0.0149225,1742110773.619817
