L-AccX,L-AccY,L-AccZ,L-GyrX,L-GyrY,L-GyrZ,R-AccX,R-AccY,R-AccZ,R-GyrX,R-GyrY,R-GyrZ,timestamp
-0.035,0.0,0.11875,0.001115,-0.0013875001,0.0001225,0.03625,-0.00375,0.12,0.0003975,-0.00029,0.002045,1742111176.241405
-0.035,0.0075,0.12,-0.0083925,0.0119925,-0.003525,0.03875,-0.00625,0.11875,-9.25e-05,0.0001375,0.0018,1742111176.359263
-0.01875,0.01125,0.1375,0.0033425,0.0228125,-0.0069875,0.04,-0.00375,0.1175,-6e-05,-0.0006875,0.001725,1742111176.468696
-0.02375,0.01625,0.18125,0.000365,0.0477,-0.0077675,0.03625,-0.0075,0.11,-0.00091500004,-0.0113075,0.0036775,1742111176.582655
0.03375,0.00125,0.075,-0.0001825,0.0243375,7.75e-05,0.01125,-0.00125,0.13,0.006775,-0.0187525,0.0069575,1742111176.69786
-0.02,0.00625,0.05125,-0.0081775,-0.1106875,0.0116725,0.00625,0.00125,0.13875,0.001465,0.012252499,0.00023,1742111176.817398
-0.0775,0.02375,0.20125,-0.0239575,0.09886251,-0.0246125,0.03,-0.01,0.11,4.5e-05,-0.0007025,0.0015575,1742111176.923766
0.07625,0.02625,-0.0325,0.008117501,-0.00467,-0.0014500001,0.0025,-0.0075,0.16,0.00299,0.0135200005,0.0042275,1742111177.0377622
-0.07375,-0.00125,0.1175,-0.00055,-0.125855,-0.0024100002,0.0225,-0.00125,0.1325,-0.00113,-0.001465,0.00151,1742111177.158203
-0.0475,0.04125,0.1675,0.036682498,0.16180499,0.00702,0.0225,-0.00875,0.11375,0.0018,-0.00296,0.002885,1742111177.265565
0.06625,0.0375,0.0875,-0.019395001,-0.046372503,-0.0051125004,0.04,0.01375,0.06,0.011535,-0.0204325,0.000245,1742111177.379953
-0.10875,-0.0,0.27875,-0.01329,0.02588,-0.022765,0.02875,-0.00375,0.12875,-0.001235,-0.0047,-0.0016775,1742111177.497797
0.06625,0.045,-0.0575,0.020920001,-0.012069999,0.002105,-0.02,-0.0175,0.20125,-0.011047499,0.0269625,0.0010975,1742111177.6077068
-0.06125,-0.0175,0.09625,-0.015395001,-0.13321,-0.0062100003,0.0325,0.00625,0.135,-0.00618,0.0060875,0.0013275,1742111177.721905
-0.08875,0.01,0.16875,-0.01332,0.1766825,0.0057975003,0.035,-0.00875,0.10375,0.0015575,-0.0010825,0.001145,1742111177.8374789
0.065,0.08125,0.0825,-0.036147498,-0.0455475,-0.006805,0.045,0.0175,0.05875,0.0107725,-0.01329,-0.00079250004,1742111177.956757
-0.1225,0.03375,0.25625,0.00322,-0.019515,-0.016097499,0.02,-0.01625,0.135,-0.002045,-0.0011900001,-0.0020299999,1742111178.063709
0.095,0.07875,-0.1225,0.026595,0.04393,0.012025,-0.0125,-0.02625,0.24,-0.005965,0.02591,0.0049274997,1742111178.1779132
-0.05875,-0.025,0.0425,0.000107500004,-0.152115,-0.00972,0.025,-0.01125,0.1375,0.00026,-0.0074625,0.0034625002,1742111178.296994
-0.12375,-0.01,0.225,-0.0134575,0.11264,0.0016925,0.0375,-0.01375,0.1025,0.0010375,0.0024875,0.002715,1742111178.4057028
