L-AccX,L-AccY,L-AccZ,L-GyrX,L-GyrY,L-GyrZ,R-AccX,R-AccY,R-AccZ,R-GyrX,R-GyrY,R-GyrZ,timestamp
-0.0225,0.00625,0.12,-0.0013875001,0.00351,-0.0004725,0.02125,0.00125,0.125,-9.25e-05,-0.002,0.0025325,1742111121.665838
-0.01875,0.01125,0.13375,0.001495,0.0005025,0.0013575,0.01375,0.005,0.12875,-0.00122,-0.0004425,0.0034025,1742111121.778432
-0.02125,0.03,0.1325,0.0141,0.0146025,-0.012375,0.01625,0.0075,0.12375,-0.001785,-0.0010675,0.0016775,1742111121.891454
0.04125,-0.0225,0.09125,0.0116725,0.00325,-0.0193325,0.01375,0.00625,0.12625,-0.0007175,-0.0031424998,0.0020899998,1742111122.004535
-0.065,-0.04625,0.17875,0.0027925,-0.00122,-0.0122825,0.015,0.00875,0.12375,0.00116,0.0039525,9.25e-05,1742111122.1182091
0.02625,-0.0025,0.05875,0.026185,0.0124675,0.012085,0.01625,0.00875,0.11875,-6e-05,-0.00026,-1.5e-05,1742111122.2332501
-0.07875,-0.00875,0.1525,-0.00798,-0.064072505,-0.0116425,0.02,0.00625,0.12375,0.000305,-0.003235,-0.0010825,1742111122.3453991
-0.01,0.0125,0.10375,0.0068825004,0.0508125,0.0014500001,0.0125,0.0025,0.12875,0.0005025,0.002685,0.0005025,1742111122.45924
0.0125,0.03625,0.0925,-0.0019375,-0.033462502,0.001175,0.01625,0.00875,0.12,-0.00061,-0.0013425,0.00033500002,1742111122.573654
-0.0825,-0.00125,0.185,-0.017135,0.04428,-0.019469999,0.015,0.00375,0.12625,0.000245,-0.00113,7.75e-05,1742111122.685324
0.01875,0.0225,0.07375,0.016525,0.027802499,0.01027,0.01375,0.0075,0.125,-0.0001375,0.0018150001,0.00023,1742111122.798314
-0.06125,0.0075,0.08875,-0.0010825,-0.105849996,-0.0016325001,0.01875,0.0075,0.12,0.0009,0.0004725,-0.000305,1742111122.911297
-0.05,0.02125,0.13625,-0.014007499,0.095597506,-0.0020299999,0.01375,0.005,0.13,-0.0002125,-0.0020150002,0.00045750002,1742111123.024402
0.02375,0.04875,0.06375,0.0063024997,-0.0416725,-0.002105,0.01375,0.00875,0.125,0.0,0.0022425,-0.000245,1742111123.137324
-0.09625,0.00125,0.1825,-0.008407501,0.02176,-0.01126,0.02,0.0025,0.11875,0.0005025,-0.0007025,-0.000275,1742111123.2536561
0.005,0.03,0.09,0.0125575,0.025772499,0.0134725,0.01375,0.0075,0.1275,0.00023,-0.0016775,0.0012050001,1742111123.364338
-0.0475,0.00375,0.07375,-0.00055,-0.091155,-0.008850001,0.01125,0.0075,0.12625,0.0004425,0.0010675,-0.0006875,1742111123.47732
-0.0525,0.02125,0.1275,-0.000365,0.094955005,0.0074625,0.01625,0.00125,0.125,0.00023,-0.00033500002,0.0003825,1742111123.5938969
0.0125,0.0475,0.07625,0.00673,-0.02974,-0.000855,0.01375,0.0075,0.12375,-0.000107500004,0.00023,-7.75e-05,1742111123.703467
-0.1075,0.01625,0.2025,-0.004195,0.032455,-0.007675,0.01625,0.0025,0.12625,-0.0001375,0.000535,-0.000825,1742111123.817374
0.025,0.02375,0.0775,0.0121,0.0325,0.0063925,0.01625,0.00375,0.1275,0.00058,0.0044400003,0.000535,1742111123.934058
-0.05375,-0.00875,0.07375,-0.0068675,-0.105652496,-0.0029749998,0.0225,0.00625,0.11875,0.0003975,0.001725,-0.00064,1742111124.0444999
-0.05375,0.0125,0.1275,-0.002715,0.08677749,-0.00647,0.02125,0.0,0.12625,0.0001375,-0.00059500005,-9.25e-05,1742111124.158457
0.01375,0.01625,0.085,9.25e-05,-0.0027625,-0.0049125,0.02,0.005,0.12375,0.0001825,0.001405,0.000305,1742111124.27439
-0.0475,-0.0025,0.17,-0.012055,0.0488275,-0.0037525,0.02625,0.00125,0.11875,-0.0001375,0.0010525,-0.0007625,1742111124.386455
0.05125,0.01875,0.075,-0.0089275,0.024430001,0.0076599997,0.0225,0.0025,0.125,3e-05,-4.5e-05,0.00079250004,1742111124.5002382
-0.03875,0.01,0.0925,0.009095,-0.0998225,-0.00122,0.02125,0.005,0.1225,0.0001525,-7.75e-05,9.25e-05,1742111124.6148338
-0.065,0.015,0.16875,-0.0042875,0.0102225,-0.002595,0.02375,0.00125,0.12625,-0.0001225,9.25e-05,-0.00052,1742111124.7263172
0.01875,0.02625,0.10875,0.0054475004,0.0685575,-0.00499,0.025,0.00375,0.12125,-0.00055,0.00122,0.00048750002,1742111124.839263
0.04125,0.00625,0.06,0.013305,-0.0351725,0.002655,0.025,0.00375,0.12,-0.0001225,0.0006875,-0.00029,1742111124.954633
-0.03375,0.01,0.15625,-0.0023800002,-0.00592,-0.00154,0.02875,0.0025,0.11875,0.0004725,-0.0014500001,-0.0004275,1742111125.0663521
0.02625,0.00625,0.11,-0.0013725,0.0284275,0.0010375,0.0225,0.00125,0.13125,0.0001225,0.00174,0.0007025,1742111125.179132
0.0225,-0.0025,0.0525,0.002305,-0.07470749,0.00679,0.02625,0.005,0.1175,9.25e-05,0.001725,9.25e-05,1742111125.294573
-0.08,0.01125,0.19375,-0.0071575,0.02501,-0.0060575,0.03,0.00125,0.12125,-0.0001525,-0.0025025,-0.000945,1742111125.405476
0.0175,0.02,0.1075,-0.00113,0.056197498,-0.006715,0.02625,0.0,0.12625,0.0010675,0.0026099999,0.000655,1742111125.519169
0.03625,0.00625,0.06375,0.0031424998,-0.044175,0.0050500003,0.0275,0.00375,0.1175,0.000305,0.000275,0.00079250004,1742111125.635872
-0.0475,0.025,0.16875,-0.008575,-0.0071875,-0.0059975,0.02875,0.00125,0.1225,1.5e-05,-0.0028525,-0.0007025,1742111125.745397
-0.00375,0.0275,0.14125,-0.0001225,0.05449,-0.0051574996,0.02375,-0.0025,0.13,6e-05,0.0016025,0.00033500002,1742111125.859231
0.04,0.0225,0.06,-0.002305,-0.0093375,0.001405,0.0275,0.0025,0.11875,-0.00026,0.0010825,0.00055,1742111125.9758248
-0.03125,0.01875,0.1475,0.0012825,-0.025757499,-0.0025775002,0.0275,0.0025,0.1175,0.0007475,-0.0009625,-0.00052,1742111126.0853992
0.015,0.025,0.14625,0.00357,0.046860002,-0.0028225,0.025,-0.00125,0.1325,-0.00026,-0.0009925,0.000365,1742111126.199434
0.04125,0.01,0.05125,0.0054025003,-0.0361775,0.0036925,0.02375,0.0025,0.12,-0.000365,0.0018,0.00048750002,1742111126.315924
-0.0775,0.01625,0.185,-0.014495,0.01976,-0.00821,0.03,0.00125,0.1175,0.0005025,-0.0010375,-0.0009,1742111126.426264
0.02,0.02,0.09625,0.009675,0.045912497,0.0032650002,0.02375,-0.00125,0.12875,0.00055,0.0009625,0.00059500005,1742111126.540281
0.03625,0.01625,0.07375,0.0061025,-0.033462502,0.0014500001,0.0275,0.0025,0.12125,-0.0008075,0.000245,0.00035,1742111126.6562738
-0.0725,0.0125,0.1775,-0.01213,-0.013702501,-0.008225,0.02875,0.00125,0.12,-0.0001375,-0.0010225,-0.00023,1742111126.768437
-0.005,0.0225,0.12625,0.00091500004,0.0720225,-0.00116,0.025,-0.00125,0.12625,-9.25e-05,0.001405,0.00113,1742111126.8824031
0.04125,0.01125,0.05625,0.0086975,-0.0098575,0.001115,0.0275,0.00375,0.12125,-0.00033500002,-0.0001525,0.0004125,1742111126.996842
-0.06875,-0.00375,0.1725,-0.00084,-0.0482475,-0.00821,0.0275,0.00125,0.12,0.0005025,-0.000365,0.0001375,1742111127.116676
0.00125,0.01875,0.1325,-0.006165,0.07138,-0.001115,0.02375,-0.0,0.12875,-0.00084,-0.0007175,0.000825,1742111127.224424
0.04,0.01625,0.0575,0.0089724995,-0.025817499,0.0018300001,0.0275,0.00625,0.1175,-0.00032,-0.0001375,0.000655,1742111127.3382988
-0.09,0.01125,0.19375,-0.009705,-0.026672501,-0.008515,0.02875,0.00375,0.11875,0.00059500005,-0.000945,-0.000625,1742111127.4566772
0.00625,0.01875,0.12125,-0.00267,0.071762495,-0.0007775,0.0225,0.0,0.13,-0.000275,0.0009625,0.000945,1742111127.565182
0.0325,0.02125,0.05,0.0155325,-0.0340425,0.0044400003,0.0275,0.005,0.1175,1.5e-05,-0.0002125,-0.0001225,1742111127.6783302
-0.10375,0.01125,0.1975,-0.0083625,-0.028137501,-0.0131675,0.03,0.00125,0.11875,0.0008075,-0.0007475,-0.00061,1742111127.796463
-0.005,0.01,0.115,-0.0007325,0.07008249,-0.00055,0.0225,-0.00125,0.13,-0.0008075,0.0010525,3e-05,1742111127.9063098
0.02625,0.0125,0.065,0.002625,-0.03128,0.008957501,0.0275,0.00375,0.1175,0.0001525,0.0005025,3e-05,1742111128.0202181
-0.08875,0.01,0.17,-0.0061500003,-0.0319225,-0.0036475,0.03125,0.00125,0.11875,-1.5e-05,0.0002125,-0.001235,1742111128.137805
-0.04125,0.00875,0.14125,-0.0030375,0.0679475,-0.0101025,0.025,-0.00125,0.13,-0.00064,0.0004125,0.00029,1742111128.247301
0.03375,0.005,0.0725,0.004945,0.011245,1.5e-05,0.02875,0.00375,0.12125,-0.000565,0.0012050001,0.0006875,1742111128.361326
-0.0625,-0.0075,0.10375,-0.0034025,-0.10791001,0.0137325,0.02875,0.005,0.12375,-0.0005025,0.00264,0.0004125,1742111128.47788
-0.0525,0.00625,0.1425,0.0057675,0.08693,-0.008880001,0.035,0.0025,0.12375,-0.001435,0.002655,0.000825,1742111128.588425
0.03625,0.00625,0.0625,0.00798,-0.02388,0.0036175,0.03625,0.005,0.1175,-0.000535,0.0032950002,0.0020599999,1742111128.702398
-0.06625,0.03375,0.165,-0.0021675,-0.0462025,0.0049125,0.04,0.0075,0.115,0.0007775,0.0022274998,0.0016175,1742111128.8175201
-0.025,0.0025,0.13375,0.0018,0.072127506,-0.009385,0.03875,0.005,0.12,0.00033500002,4.5e-05,0.0015725,1742111128.937238
0.025,-0.00375,0.075,0.0045025,-0.0249175,0.00708,0.04,0.00625,0.11625,0.0003975,4.5e-05,0.0016925,1742111129.0420532
-0.07625,0.02375,0.1575,-0.0130775,-0.068665,0.0110325,0.03875,0.005,0.11625,0.00116,1.5e-05,0.001235,1742111129.158196
-0.0425,0.01375,0.12875,-0.0020299999,0.084275,-0.010055,0.0375,0.005,0.1225,0.000535,-0.0010225,0.000855,1742111129.268128
0.0325,0.01125,0.07,0.0053875,-0.0205075,0.0025775002,0.04,0.005,0.11875,0.000945,0.000245,0.0013425,1742111129.381033
-0.0575,0.0225,0.17125,-0.00673,-0.040345002,-0.00322,0.03625,0.005,0.11875,0.00125,0.0004725,0.00045750002,1742111129.498322
-0.015,0.00875,0.115,0.0012975,0.068755,-0.0081325,0.0375,0.00375,0.11875,0.001175,0.001115,-0.0007325,1742111129.6071439
0.01125,-0.0,0.065,0.007095,-0.051377498,0.0046550003,0.03875,0.00125,0.1175,0.0004125,-0.0004725,-0.001725,1742111129.720172
-0.095,0.025,0.20125,0.00125,0.024092501,-0.0071725002,0.04,-0.0025,0.12,0.00016750001,-0.0016625,-0.0019075,1742111129.8388789
0.005,0.01125,0.09,0.0047150003,0.07542501,0.00325,0.04125,0.0025,0.11,-0.002075,0.001495,0.0011900001,1742111129.9481401
0.01125,0.005,0.05125,0.0042725,-0.07721,0.0051574996,0.0375,0.00375,0.11875,-0.0007775,-0.000275,0.00055,1742111130.061214
-0.09625,0.02125,0.17875,-0.003005,-0.00151,-0.00322,0.03625,0.005,0.12375,-0.0006725,0.0010975,-0.0003825,1742111130.179292
-0.01625,0.015,0.0975,0.00232,0.0511325,-0.00348,0.04125,0.0025,0.115,-0.00035,0.0012050001,0.000245,1742111130.2987251
