acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp
0.012625,0.01125,0.12225,-0.0015105,-0.0005645,0.000885,1738726554.440008
0.01325,0.009625,0.1205,-0.0003815,-0.0005645,0.00035100002,1738726554.4574919
0.014375,0.007125,0.11925,-0.00013725001,-0.001007,0.00039675,1738726554.4697652
0.01475,0.00575,0.121125,-0.000229,-0.001526,0.0005035,1738726554.484103
0.014875,0.00475,0.123625,-0.00154125,-0.00198375,0.00099175,1738726554.4976041
0.013375,0.005875,0.125375,-0.002365,-0.0019225,0.0012665,1738726554.514585
0.012125,0.00725,0.12525,-0.0028229998,-0.00193775,0.00169375,1738726554.526421
0.009625,0.0115,0.131375,-0.0022125002,-0.00184625,0.0016632499,1738726554.5408099
0.009,0.012375,0.134375,-0.0015105,-0.00045775,0.00096125,1738726554.555203
0.008125,0.01,0.128875,-0.001526,0.00042725,0.00067150005,1738726554.569717
0.008375,0.0095,0.127625,-0.00163275,0.000763,0.00064075,1738726554.584146
0.00875,0.008875,0.128625,-0.0018005001,0.000885,0.00062550005,1738726554.598588
0.01,0.000375,0.123625,-0.0019685,0.00099175,0.00068675,1738726554.614582
0.01025,-0.001375,0.12,-0.00187675,6.1000002e-05,0.0025940002,1738726554.62767
0.009375,0.00275,0.121,-0.0013427499,-0.0007935,0.0038605002,1738726554.643801
0.00825,0.0075,0.126125,-0.001709,-0.00177,0.0055847503,1738726554.656621
0.005875,0.019375,0.13475,-0.0021819999,-0.00143425,0.0055085,1738726554.671087
0.0055,0.022,0.135125,-0.0029145,0.000122000005,0.0038299998,1738726554.68556
0.00675,0.016,0.12825,-0.002411,0.00059500005,0.0032347501,1738726554.699876
0.0075,0.010375,0.126375,-0.000946,0.0005035,0.00334175,1738726554.714411
0.007875,0.008,0.123125,0.0005645,-0.00019825,0.0049742498,1738726554.72848
0.00725,0.014125,0.121375,0.00029,-0.00077825,0.0054780003,1738726554.744004
0.008125,0.015,0.1245,-0.000946,-0.0016175,0.00531,1738726554.7572238
0.007625,0.02075,0.124125,-0.00027475,-0.0017242499,0.00485225,1738726554.7719738
0.00775,0.02,0.12875,0.0021057501,-0.00181575,0.0020752498,1738726554.786156
0.00725,0.01675,0.12375,0.00320425,-0.0002595,0.0012970001,1738726554.800682
0.007625,0.017625,0.119125,0.0045625,0.001007,0.00119025,1738726554.8149781
0.008375,0.018375,0.119125,0.0051880004,0.00204475,0.00109875,1738726554.829212
0.0105,0.013125,0.113625,0.0042267498,0.00231925,0.000763,1738726554.8438568
0.012125,0.0115,0.110125,0.0032347501,0.00137325,0.000763,1738726554.8578172
0.015625,0.009375,0.111875,0.00317375,0.0009155,0.00071725,1738726554.874146
0.01675,0.012375,0.114,0.00198375,0.00108325,0.00074775,1738726554.886195
0.01675,0.01975,0.1135,-0.00408925,0.0030669998,0.000122000005,1738726554.9007602
0.01625,0.024625,0.103,-0.00668325,0.0036315,-0.00125125,1738726554.91524
0.016375,0.021,0.10175,-0.0064239996,0.0018615,-0.0033570002,1738726554.929641
0.01375,0.0155,0.11075,-0.0055237496,0.000824,-0.0036010002,1738726554.944138
0.011375,0.013375,0.1125,-0.00546275,0.00029,-0.0032655,1738726554.958549
0.0085,0.014125,0.111375,-0.006012,-0.0002595,-0.0027312501,1738726554.974266
0.008125,0.0165,0.113125,-0.0066374997,-0.00108325,-0.0021515,1738726554.987715
0.0075,0.024625,0.11975,-0.0081025,-0.002365,-0.0016632499,1738726555.0042062
0.007125,0.027625,0.1235,-0.0077667497,-0.00263975,-0.0019989999,1738726555.016852
0.00675,0.027625,0.12475,-0.0050812503,-0.00201425,-0.00343325,1738726555.03129
0.0055,0.024375,0.126625,-0.00372325,-0.0015565,-0.00390625,1738726555.0458019
0.005,0.024,0.1285,-0.000534,-0.00024425,-0.00434875,1738726555.060351
0.005125,0.02,0.129875,-1.5250001e-05,0.00045775,-0.0047150003,1738726555.074705
0.006,0.017,0.1285,-0.0015105,0.00137325,-0.005005,1738726555.089092
0.0085,0.0105,0.12125,-0.002121,0.00125125,-0.0048979996,1738726555.1042361
0.009375,0.009,0.12275,-0.002472,0.00061025,-0.0045165,1738726555.118264
0.01,0.010125,0.126,-0.0038299998,4.575e-05,-0.0034637498,1738726555.133992
0.010125,0.012125,0.13075,-0.003952,0.00051875,-0.0033264998,1738726555.1470761
0.009875,0.009625,0.131,-0.00276175,0.0022125002,-0.00317375,1738726555.161747
0.009375,0.011,0.130375,-0.0026854998,0.00308225,-0.00279225,1738726555.176328
0.009,0.0145,0.128625,-0.00434875,0.0045012496,-0.0030669998,1738726555.19072
0.007875,0.01525,0.127375,-0.0051574996,0.0048217503,-0.003662,1738726555.205125
0.008375,0.013375,0.124625,-0.007019,0.00531,-0.0039825,1738726555.219636
0.010875,0.007,0.118875,-0.007431,0.00514225,-0.0034484998,1738726555.2342641
0.012375,0.006875,0.11775,-0.006668,0.0047607496,-0.002365,1738726555.248606
0.0135,0.01075,0.11725,-0.0035704998,0.00396725,0.00039675,1738726555.265345
0.014,0.022375,0.117125,-0.002411,0.00367725,0.00119025,1738726555.277426
0.013875,0.025625,0.11575,-1.5250001e-05,0.00343325,0.0012055,1738726555.2942562
0.012375,0.026875,0.1145,0.0005035,0.0031127501,0.000824,1738726555.3060238
0.01175,0.02525,0.114875,0.0002595,0.0021515,0.00045775,1738726555.3202188
0.011375,0.02375,0.117375,0.00051875,0.00157175,0.00080875,1738726555.334521
0.01175,0.026875,0.119625,0.00071725,0.00105275,0.0013580001,1738726555.348779
0.012375,0.030625,0.121125,-0.00068675,0.0005645,0.0017242499,1738726555.365144
0.014,0.036875,0.12625,-0.0011445,0.00061025,0.0013427499,1738726555.377492
0.0145,0.037375,0.12625,-0.000473,0.00149525,-0.00016775,1738726555.393909
0.014875,0.034125,0.122625,4.575e-05,0.0019225,-0.00099175,1738726555.4062982
0.014875,0.032,0.121875,0.0,0.0019989999,-0.001709,1738726555.4206002
0.015125,0.030125,0.12425,0.00027475,0.001648,-0.00283825,1738726555.435002
0.0175,0.020125,0.123,0.00083925005,0.00190725,-0.00320425,1738726555.449313
0.019,0.014375,0.121125,0.00099175,0.002121,-0.00231925,1738726555.465086
0.021875,0.01125,0.118125,0.00077825,0.00216675,-0.0013580001,1738726555.478098
0.022875,0.0125,0.116625,0.00083925005,0.002472,9.15e-05,1738726555.494048
0.02275,0.016,0.111375,0.00115975,0.00263975,0.00036625,1738726555.5067542
0.02225,0.016125,0.109625,0.00157175,0.0025787498,0.0004425,1738726555.521012
0.02175,0.016125,0.109375,0.0022125002,0.00175475,0.00061025,1738726555.535201
0.020625,0.0185,0.111375,0.0023497501,0.0013275,0.00071725,1738726555.5495071
0.020375,0.020625,0.110875,0.00148,0.00065625,0.00070200005,1738726555.565174
0.019625,0.024875,0.111625,0.000473,7.625e-05,0.00062550005,1738726555.5781271
0.019125,0.02675,0.11375,-0.001236,-0.001007,0.00016775,1738726555.594097
0.018625,0.025625,0.118375,-0.00105275,-0.00112925,-0.000183,1738726555.6070132
0.0185,0.02425,0.11775,-0.00027475,-0.00102225,-0.00039675,1738726555.623656
0.0185,0.02375,0.117625,0.00086975005,-0.0012817499,-0.00036625,1738726555.6358871
0.01825,0.0245,0.120875,0.00083925005,-0.00149525,-0.00036625,1738726555.650439
0.018,0.023375,0.122125,0.00061025,-0.00146475,-0.0004425,1738726555.665289
0.017875,0.02125,0.12325,0.0003205,-0.001236,-0.0003815,1738726555.679414
0.018375,0.02,0.121,-0.00071725,-0.000763,-7.625e-05,1738726555.694113
0.0185,0.02,0.118375,-0.0012055,-0.00099175,0.00024425,1738726555.708413
0.017875,0.021625,0.120625,-0.0015565,-0.0013580001,0.0005645,1738726555.724402
0.01725,0.023,0.12275,-0.001648,-0.0014037499,0.00077825,1738726555.7371871
0.0165,0.024375,0.1255,-0.001236,-0.001068,0.00071725,1738726555.754315
0.01625,0.0245,0.125625,-0.000473,-3.0500001e-05,0.00067150005,1738726555.76608
0.0165,0.0255,0.121625,-0.000534,0.00033575002,0.00061025,1738726555.780582
0.016875,0.025375,0.12025,-0.00169375,0.00039675,0.000412,1738726555.795001
0.017,0.023375,0.11775,-0.00193775,0.0002595,0.00039675,1738726555.809293
0.017125,0.022,0.118,-0.0015105,1.5250001e-05,0.000473,1738726555.824218
0.017375,0.0215,0.119875,-0.00077825,-0.00030525,0.00086975005,1738726555.838146
0.017875,0.024,0.123875,-0.00033575002,-6.1000002e-05,0.00102225,1738726555.854296
0.018375,0.024875,0.122625,0.0007935,0.0008545,0.00065625,1738726555.8668969
0.019125,0.0245,0.11975,0.0012207499,0.00108325,0.00036625,1738726555.8813581
0.01925,0.0235,0.117125,0.0013580001,0.0012665,0.00010675,1738726555.8956318
0.01875,0.020875,0.111875,0.00074775,0.000824,0.0002595,1738726555.909913
0.01825,0.020875,0.11375,1.5250001e-05,1.5250001e-05,0.00064075,1738726555.9242299
0.01775,0.02275,0.11775,-0.00077825,-0.00099175,0.0014495,1738726555.938642
0.016625,0.02675,0.12325,-0.00064075,-0.00083925005,0.0015105,1738726555.95439
0.0165,0.028,0.123125,0.0001525,-1.5250001e-05,0.00090025004,1738726555.967455
0.01725,0.025625,0.1195,0.00054925,0.00030525,0.00048825,1738726555.9839842
0.01775,0.025,0.118625,0.00057975,0.00036625,0.00024425,1738726555.996098
0.01825,0.025875,0.118375,0.00029,0.0003205,0.0002135,1738726556.0103161
0.018625,0.02575,0.117375,-0.000122000005,0.00027475,0.00013725001,1738726556.0246232
0.018875,0.024375,0.11575,-0.00062550005,-0.00010675,-7.625e-05,1738726556.0391319
0.0185,0.02225,0.115125,-0.0002595,-0.000534,4.575e-05,1738726556.054353
0.018125,0.02325,0.117625,0.00057975,-0.001236,0.00042725,1738726556.067897
0.016375,0.026,0.12175,0.00029,-0.0012055,0.0003815,1738726556.084245
0.01575,0.0265,0.12425,-0.0003205,-0.00099175,1.5250001e-05,1738726556.096683
0.01575,0.028125,0.126875,-7.625e-05,-0.00054925,-0.00029,1738726556.111252
0.01675,0.0255,0.123,0.00059500005,1.5250001e-05,-0.00074775,1738726556.125553
0.018,0.02075,0.11675,0.000946,4.575e-05,-0.00077825,1738726556.139891
0.019125,0.02125,0.116125,0.00033575002,-0.00065625,-0.00024425,1738726556.154457
0.01925,0.024125,0.12025,-0.00029,-0.001068,-7.625e-05,1738726556.168916
0.019375,0.024,0.122625,-0.00059500005,-0.00068675,-0.0003815,1738726556.184469
0.019625,0.023375,0.12225,-0.0005035,0.00030525,-0.00064075,1738726556.1980019
0.01875,0.026375,0.1185,0.0,0.0007325,-0.0007325,1738726556.215395
0.01825,0.026875,0.117125,0.0003815,0.00083925005,-0.00105275,1738726556.226624
0.018375,0.02525,0.116625,0.00102225,0.00033575002,-0.0016632499,1738726556.241035
0.019,0.0225,0.11575,0.00115975,-0.000122000005,-0.00149525,1738726556.255401
0.019,0.0235,0.1165,-0.00013725001,-0.00086975005,-0.00112925,1738726556.269877
0.01875,0.02475,0.1185,-0.000946,-0.001236,-0.00125125,1738726556.2848861
0.018625,0.025375,0.122,-0.0012970001,-0.0012207499,-0.00160225,1738726556.2991009
0.01825,0.02525,0.121625,-0.00115975,-0.00071725,-0.0017395001,1738726556.314832
0.01775,0.025375,0.119,-0.00115975,-0.00035100002,-0.00184625,1738726556.328174
0.01725,0.0255,0.11925,-0.001007,-0.000473,-0.0020905002,1738726556.344012
0.01675,0.02375,0.12125,-0.00033575002,-0.000473,-0.00216675,1738726556.357158
0.016875,0.0225,0.1215,0.00099175,-0.00051875,-0.00201425,1738726556.372119
0.01875,0.019375,0.116625,0.00102225,-0.00065625,-0.0017852499,1738726556.3861802
0.019375,0.0195,0.1165,-0.00051875,-0.001419,-0.00108325,1738726556.400678
0.01875,0.022625,0.1205,-0.00105275,-0.00143425,-0.00102225,1738726556.415207
0.01825,0.023375,0.121625,-0.0009155,-0.000946,-0.00125125,1738726556.429693
0.017,0.025125,0.12375,-0.00067150005,-0.00059500005,-0.00137325,1738726556.444164
0.016375,0.025125,0.123625,-0.00033575002,-0.0001525,-0.0015105,1738726556.458678
0.016125,0.0245,0.122125,0.000122000005,0.00057975,-0.0016785001,1738726556.474305
0.016375,0.02475,0.1205,4.575e-05,0.00064075,-0.0016632499,1738726556.487296
0.017,0.02525,0.119875,9.15e-05,0.0007935,-0.0018005001,1738726556.5042062
0.018375,0.0235,0.1165,0.000183,0.0007935,-0.0018615,1738726556.516109
0.018875,0.022625,0.11475,-0.00016775,0.000412,-0.001648,1738726556.530522
