acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp
-0.004875,-0.010875,0.126375,1.5250001e-05,0.00045775,-0.00068675,1738726517.497855
-0.0045,-0.011125,0.1255,-0.00051875,0.0011445,-0.00112925,1738726517.5130482
-0.003125,-0.0125,0.122625,-0.0005645,0.0013580001,-0.00125125,1738726517.52923
-0.002625,-0.014125,0.12075,-0.0003205,0.001526,-0.001114,1738726517.541733
-0.001375,-0.01675,0.11675,-0.00019825,0.00131225,-0.00074775,1738726517.556375
-0.000875,-0.016125,0.11725,-0.00010675,0.000534,0.00030525,1738726517.5708458
-0.000375,-0.0115,0.119625,-1.5250001e-05,0.00030525,0.00064075,1738726517.5853179
-0.000375,-0.01,0.11875,-0.000824,0.0,0.0005645,1738726517.599839
-0.000875,-0.0115,0.121125,-0.00146475,-0.00035100002,0.00030525,1738726517.615267
-0.0015,-0.01175,0.1245,-0.00181575,-0.00059500005,7.625e-05,1738726517.628971
-0.002,-0.012,0.126875,-0.0021057501,7.625e-05,-0.00036625,1738726517.6448882
-0.00275,-0.014,0.12625,-0.00270075,0.0007325,-0.00045775,1738726517.658131
-0.0025,-0.014875,0.1255,-0.003296,0.00143425,-0.00029,1738726517.674792
-0.00125,-0.013,0.12525,-0.0031889998,0.0016175,-0.00013725001,1738726517.687367
-0.000625,-0.014,0.125,-0.0020599999,0.0017852499,9.15e-05,1738726517.7018392
0.00075,-0.01375,0.12275,-0.0011445,0.00175475,0.00035100002,1738726517.716275
0.00125,-0.014125,0.12175,-6.1000002e-05,0.0014037499,0.00059500005,1738726517.7307642
0.00125,-0.017375,0.120875,-4.575e-05,0.00105275,0.000763,1738726517.745167
0.000875,-0.017625,0.122375,0.000122000005,0.00061025,0.001175,1738726517.759478
0.00025,-0.0165,0.12425,0.00102225,0.00016775,0.0022125002,1738726517.774836
-0.0005,-0.013625,0.127,0.00157175,0.0003205,0.0024414998,1738726517.7882519
-0.000375,-0.01275,0.126,0.0027465,0.00102225,0.0025025,1738726517.804734
0.00075,-0.013375,0.1225,0.00308225,0.00119025,0.0024872501,1738726517.817098
0.001125,-0.01525,0.1205,0.002365,0.00105275,0.00245675,1738726517.8313851
0.001875,-0.0185,0.1155,0.0015105,0.00074775,0.0028229998,1738726517.845686
0.0025,-0.019625,0.111625,0.00027475,0.000229,0.00352475,1738726517.860074
0.003125,-0.023625,0.108,-0.00198375,-0.00181575,0.00585925,1738726517.874966
-0.002,-0.02075,0.10775,-0.0027160002,-0.0031585,0.0080567505,1738726517.889204
-0.0115,0.003625,0.12125,-0.00434875,-0.0038299998,0.0129700005,1738726517.9049568
-0.03925,0.1185,0.153875,-0.00112925,-0.00036625,0.013839751,1738726517.9184608
-0.05625,0.206875,0.15475,0.019744748,0.0104674995,0.004303,1738726517.934787
-0.102,0.35775,0.15625,0.02781675,0.014068499,-0.01200875,1738726517.947384
-0.131,0.387375,0.158,0.02513125,0.01681525,-0.038025003,1738726517.961781
-0.162375,0.349,0.17375,0.0041810004,0.02211,-0.1065215,1738726517.976247
-0.211625,0.097125,0.185875,-0.001648,0.02787775,-0.13365175,1738726517.9908302
-0.2005,-0.0865,0.164125,0.006607,0.040664747,-0.15000924,1738726518.005409
-0.0285,-0.489125,-0.04375,0.0059205,0.0438385,-0.13565075,1738726518.019965
0.0675,-0.5,-0.156125,0.011139,0.01193225,-0.041748002,1738726518.034493
0.06675,-0.321125,0.024375,0.025299,-0.01838675,0.01150525,1738726518.048952
0.028875,-0.166625,0.1855,0.0117035,-0.03382875,0.033264253,1738726518.065682
0.01775,-0.13175,0.196875,-0.0114744995,-0.01953125,0.017852752,1738726518.078099
0.02425,-0.19025,0.118625,-0.0272675,-0.006668,0.0086975,1738726518.094499
0.01925,-0.203875,0.071125,-0.029892,-0.0044707498,0.026275748,1738726518.1071181
-0.0185,-0.086625,0.08075,-0.026855499,-0.008667,0.0390625,1738726518.1216152
-0.034125,-0.023875,0.099125,-0.0212555,-0.013183501,0.0483245,1738726518.136269
-0.045375,0.04275,0.116,-0.017852752,-0.013564999,0.0468445,1738726518.150811
-0.046125,0.0585,0.1265,-0.00968925,-0.013321,0.0405885,1738726518.165605
-0.0425,0.069125,0.15525,-0.006363,-0.012054499,0.036163248,1738726518.179877
-0.03725,0.05925,0.15775,-0.003952,-0.0066985004,0.02565,1738726518.194638
-0.02275,0.0185,0.14025,-0.0032347501,-0.004303,0.022171,1738726518.2088299
-0.015625,-0.000625,0.12875,-0.001953,-0.0028074998,0.02101125,1738726518.224243
-0.010125,-0.0145,0.11775,0.0010375,-0.00251775,0.024353001,1738726518.238086
-0.005875,-0.011625,0.115875,0.00187675,-0.0033722501,0.027007999,1738726518.25457
-0.005375,-0.0025,0.120875,0.002655,-0.0037995,0.028594999,1738726518.267037
-0.004,0.0005,0.124625,0.0029907501,-0.00320425,0.02749625,1738726518.2814631
