acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp
-0.014875,-0.00075,0.123375,0.000183,-0.00013725001,-0.000229,1738726537.5448442
-0.01475,-0.000625,0.124,0.00016775,-6.1000002e-05,-0.000229,1738726537.558134
-0.0145,-0.00125,0.123875,4.575e-05,0.00024425,-0.000534,1738726537.5727491
-0.014125,-0.00425,0.121,0.0001525,0.0003205,-0.00070200005,1738726537.5872269
-0.014125,-0.00525,0.12,0.00016775,0.00010675,-0.00051875,1738726537.604406
-0.013625,-0.005625,0.1155,-0.00016775,-0.00016775,-0.000229,1738726537.61667
-0.013375,-0.005375,0.1155,-0.0005645,-0.00143425,0.00033575002,1738726537.631211
-0.014,-0.00375,0.121875,-0.00036625,-0.001709,0.00054925,1738726537.6458082
-0.014375,-0.0015,0.124375,0.00036625,-0.001114,0.00054925,1738726537.6602292
-0.014375,0.002125,0.12425,0.00039675,-0.00054925,0.0002135,1738726537.674646
-0.013875,0.00075,0.121125,0.0001525,-1.5250001e-05,-0.00024425,1738726537.6893692
-0.013125,-0.002625,0.116625,-0.00010675,0.00010675,-0.0005645,1738726537.7044532
-0.01175,-0.0075,0.104875,7.625e-05,-0.0007325,-0.00024425,1738726537.718566
-0.0115,-0.007375,0.106,-0.000229,-0.0034484998,0.0007325,1738726537.734402
-0.01225,-0.005125,0.111875,-0.00039675,-0.0043182503,0.001068,1738726537.7477381
-0.012125,-0.0045,0.11275,0.00096125,-0.0048065,0.0016785001,1738726537.7646542
-0.01075,-0.00175,0.1035,0.00216675,-0.0049742498,0.0020752498,1738726537.776912
-0.008625,-0.000625,0.094875,0.00390625,-0.00712575,0.00216675,1738726537.791432
-0.002875,-0.006875,0.0675,0.0024414998,-0.0101165,0.001587,1738726537.806032
0.00025,-0.00525,0.067875,-0.00039675,-0.015029999,0.0012970001,1738726537.8205261
-0.0035,0.0165,0.103125,-0.0065917503,-0.026657,0.00086975005,1738726537.835178
-0.018125,0.03325,0.13425,-0.01091,-0.03186025,-0.0005645,1738726537.8498209
-0.04675,0.04475,0.188,-0.02224725,-0.0394745,-0.008209251,1738726537.864794
-0.1525,0.029875,0.378625,-0.028061,-0.038055502,-0.012191749,1738726537.879112
-0.217,0.043625,0.478,-0.02867125,-0.013000499,-0.012039251,1738726537.8938959
-0.2975,0.147125,0.5,-0.02241525,0.017868,-0.014358499,1738726537.9083729
-0.30375,0.170625,0.46575,-0.0111085,0.097763,-0.03518675,1738726537.924032
-0.266125,0.071125,0.263875,-0.0068969997,0.121353246,-0.048294,1738726537.937721
-0.2125,-0.079125,0.115375,0.00720225,0.14630125,-0.05717475,1738726537.9522712
-0.023625,-0.332125,-0.22725,0.019287001,0.1451415,-0.038208,1738726537.966948
0.056125,-0.25625,-0.354125,0.0325775,0.13217175,-0.004242,1738726537.981473
0.10425,-0.05525,-0.44975,0.036087003,0.080017,0.042037997,1738726537.996004
0.134375,0.188375,-0.4915,0.018310498,0.041031,0.0282135,1738726538.0105531
0.11675,0.105375,-0.3995,-0.02215575,-0.03733825,-0.018615749,1738726538.02512
0.028125,-0.0565,-0.07925,-0.028839001,-0.06065375,-0.022766002,1738726538.0398662
-0.0175,-0.050625,0.079625,-0.01634225,-0.0675355,-0.0045777503,1738726538.0548108
-0.05825,0.028875,0.27675,-0.00384525,-0.055297747,0.0038757501,1738726538.069484
-0.057125,0.0605,0.2645,0.01228325,-0.02067575,0.0064545004,1738726538.084384
-0.04225,0.0755,0.174125,0.012375,-0.013733,0.00080875,1738726538.098442
-0.026875,0.02075,0.175625,0.0101165,-0.01460275,-0.0068055,1738726538.115309
0.00975,-0.07425,0.194375,0.012085,-0.01542675,-0.006775,1738726538.127622
0.022625,-0.0575,0.1695,0.01693725,-0.011078,0.0019685,1738726538.144146
0.031125,-0.025,0.13125,0.01857,-0.0059967497,0.0110932505,1738726538.156439
0.03675,-0.004625,0.0885,0.013031,-0.00788875,0.008850001,1738726538.170957
0.034375,-0.016875,0.07825,0.00283825,-0.01440425,0.004593,1738726538.185319
0.0205,-0.0225,0.08025,0.00061025,-0.01817325,0.0055847503,1738726538.199748
0.0115,-0.01075,0.089125,-0.00045775,-0.023681749,0.009216251,1738726538.217013
-0.002375,0.01575,0.1095,0.00016775,-0.024887,0.009903,1738726538.228959
-0.004875,0.019375,0.111375,0.0021819999,-0.024887,0.009597749,1738726538.2446542
-0.00475,0.0195,0.105,0.0069274995,-0.02389525,0.00830075,1738726538.257856
-0.003625,0.0195,0.0845,0.0080415,-0.02442925,0.0073395,1738726538.274762
-0.004625,0.015375,0.077375,0.006363,-0.028366,0.0043639997,1738726538.286905
-0.0105,-0.00875,0.08275,0.0046234997,-0.0312195,0.00352475,1738726538.3014069
-0.01525,-0.013875,0.09575,0.0016785001,-0.0358125,0.00538625,1738726538.315954
-0.02725,0.004125,0.138875,0.0014495,-0.035843,0.0062865,1738726538.330473
-0.033125,0.0105,0.143875,0.0019989999,-0.031128,0.00514225,1738726538.3448231
-0.04425,0.0055,0.14275,0.0013580001,-0.029998751,0.0039215,1738726538.359391
-0.048125,-0.00125,0.15425,0.0003205,-0.02977,0.0030975002,1738726538.374634
-0.051,-0.003875,0.168625,-0.00054925,-0.026947001,0.00355525,1738726538.3885891
-0.049375,-0.009375,0.1675,0.00068675,-0.0239105,0.00408925,1738726538.4045281
-0.046625,-0.012375,0.15975,0.0014495,-0.019867001,0.00541675,1738726538.417711
-0.0425,-0.0095,0.171,0.0009155,-0.01857,0.0060577504,1738726538.43463
-0.04,-0.0045,0.1745,-0.001175,-0.014510999,0.0055085,1738726538.447005
-0.03325,-0.010375,0.171375,-0.0026854998,-0.0128175,0.0045165,1738726538.461638
-0.033,-0.01125,0.175375,-0.00585925,-0.01133725,0.00463875,1738726538.476243
-0.051875,0.019,0.219625,-0.00697325,-0.010528499,0.0053709997,1738726538.490749
-0.07425,0.041875,0.255625,-0.008285499,-0.0087585,0.0050965,1738726538.5052512
-0.107625,0.0645,0.303875,-0.012176501,-0.0005645,-0.00019825,1738726538.519836
-0.210375,0.113625,0.42175,-0.0150605,0.0070952503,-0.0057220003,1738726538.534998
-0.269875,0.13125,0.4835,-0.018448,0.033691503,-0.0228425,1738726538.5490298
-0.351625,0.165625,0.487625,-0.0154725,0.064468496,-0.032196,1738726538.565671
-0.367125,0.15675,0.385125,0.00146475,0.13577275,-0.05508425,1738726538.5778718
-0.289,-0.095875,0.021125,0.017730748,0.1551055,-0.0642395,1738726538.594431
-0.167375,-0.283375,-0.193875,0.034195,0.16271976,-0.061676,1738726538.607052
0.117625,-0.34,-0.5,0.0537415,0.140442,-0.0028074998,1738726538.62153
0.187125,-0.1005,-0.5,0.048995998,0.100296,0.035949748,1738726538.635933
0.20075,0.135875,-0.5,-0.00067150005,-0.0062712496,0.03173825,1738726538.650435
0.124375,0.031625,-0.403375,-0.02449025,-0.0419465,0.0023039998,1738726538.6658828
0.052625,-0.066625,-0.2795,-0.0421905,-0.081833,-0.0055237496,1738726538.67963
-0.105875,-0.02925,0.0375,-0.042358503,-0.091415495,0.0068207504,1738726538.6948328
-0.165375,0.039625,0.1875,-0.02722175,-0.0903015,0.022369498,1738726538.708865
-0.195375,0.143375,0.394375,-0.01498425,-0.076751746,0.02101125,1738726538.7250361
-0.172625,0.157125,0.41125,-0.004776,-0.05635075,0.014343251,1738726538.738038
-0.097875,0.08725,0.330125,0.00782775,-0.01908875,-0.0054015,1738726538.75487
-0.05775,0.00675,0.261,0.012832751,-0.00788875,-0.012619001,1738726538.767154
-0.02225,-0.066125,0.20125,0.01705925,-0.000229,-0.008606,1738726538.782387
0.0155,-0.0715,0.149125,0.0141145,-0.000229,-1.5250001e-05,1738726538.796308
0.01875,-0.0375,0.13675,0.0033570002,0.00013725001,0.009658749,1738726538.810744
0.0105,0.004,0.11675,0.0002595,0.00027475,0.009781,1738726538.824996
0.004375,0.011375,0.103875,-0.0005035,-0.00054925,0.0072632497,1738726538.839357
-0.005375,0.016125,0.088,0.001068,-0.00216675,0.00665275,1738726538.854982
-0.009125,0.026625,0.088,0.00317375,-0.0041810004,0.00688175,1738726538.868246
-0.01125,0.034,0.086625,0.006012,-0.00794975,0.0062865,1738726538.885139
-0.00975,0.037,0.088625,0.0064850003,-0.009734999,0.0053709997,1738726538.897047
-0.007375,0.037625,0.087625,0.006668,-0.012130749,0.00175475,1738726538.911419
-0.005375,0.017125,0.091125,0.00596625,-0.013549751,-0.00086975005,1738726538.925948
-0.006125,0.001375,0.09925,0.0034790002,-0.014587499,-0.0032195,1738726538.940434
-0.00875,-0.020125,0.094875,0.0038299998,-0.014267,-0.0022277501,1738726538.955113
-0.01125,-0.01975,0.091625,0.0053252503,-0.014572251,-0.0002595,1738726538.969585
-0.015375,-0.013,0.09325,0.0065002497,-0.016876249,0.0028687501,1738726538.9852512
-0.02625,-0.004375,0.111625,0.0047302498,-0.018158002,0.00263975,1738726538.998639
-0.030125,-0.01275,0.1215,0.000412,-0.01893625,0.00108325,1738726539.015887
-0.031625,-0.0255,0.14025,-0.0003815,-0.01829525,0.001709,1738726539.0277371
-0.03125,-0.019375,0.143375,-0.0005645,-0.015090999,0.00428775,1738726539.044765
-0.032125,-0.00275,0.1445,-0.00042725,-0.013641249,0.0048065,1738726539.057004
-0.032,0.00025,0.14375,0.00102225,-0.011383001,0.0047455,1738726539.0714371
-0.028625,0.00125,0.140125,0.00198375,-0.010528499,0.0047607496,1738726539.085814
-0.02475,0.0025,0.134625,0.0024872501,-0.009948749,0.004837,1738726539.100383
-0.019875,0.00075,0.131625,0.00105275,-0.011031999,0.0047302498,1738726539.116058
-0.01525,-0.000125,0.13975,-0.00027475,-0.012436,0.00505075,1738726539.129428
-0.01775,0.00625,0.1575,-0.0019225,-0.01504525,0.0059815003,1738726539.144971
-0.03325,0.024375,0.201625,-0.00157175,-0.0151825,0.006012,1738726539.158439
-0.048125,0.0325,0.231875,0.00013725001,-0.013702501,0.00378425,1738726539.1748621
-0.10775,0.02425,0.323125,-0.00042725,-0.011627249,0.00143425,1738726539.187333
-0.157375,0.01875,0.38425,-0.00331125,-0.00019825,-0.001236,1738726539.204871
-0.2695,0.04675,0.495,-0.0042725,0.011245751,-0.0012817499,1738726539.216631
-0.304875,0.089125,0.5,-0.0048065,0.028244,-0.002365,1738726539.231141
-0.316875,0.127625,0.474125,-0.00065625,0.081375,-0.01722725,1738726539.245666
-0.271,0.068375,0.186375,0.00688175,0.105682254,-0.02958675,1738726539.260032
-0.203625,-0.03525,-0.00775,0.02200325,0.123138495,-0.040161252,1738726539.275337
-0.00725,-0.199875,-0.297875,0.02357475,0.115158,-0.03059375,1738726539.2893429
0.07325,-0.1795,-0.371625,0.01599125,0.07785025,0.003769,1738726539.3052359
0.152875,-0.016375,-0.418625,0.010589501,0.0550995,0.013153,1738726539.318279
0.156875,0.026,-0.4135,-0.0065307496,0.0072175004,0.00399775,1738726539.3357482
0.108125,-0.033625,-0.28975,-0.0157165,-0.0172425,-0.0038605002,1738726539.347501
0.06225,-0.06675,-0.187875,-0.02200325,-0.037963748,-0.0056,1738726539.36303
0.013,-0.062375,-0.07,-0.024292,-0.062851004,0.007187,1738726539.376925
