L-AccX,L-AccY,L-AccZ,L-GyrX,L-GyrY,L-GyrZ,R-AccX,R-AccY,R-AccZ,R-GyrX,R-GyrY,R-GyrZ,timestamp
0.06,-0.02,0.98,3.66,-4.76,1.65,-0.38,-0.6,0.75,49.93,-10.25,-11.9,1742237623.45202
0.08,0.01,1.0,2.08,0.43,0.55,-0.56,-0.82,0.72,162.78,-13.06,24.72,1742237623.554128
0.09,0.0,0.96,-1.59,2.87,-6.23,-0.37,-1.07,-0.13,314.03,-192.44,81.3,1742237623.6728792
0.08,-0.02,0.97,3.78,3.78,-8.24,-0.13,-0.77,-0.32,173.46,-166.26,41.63,1742237623.782212
0.1,-0.06,0.99,22.52,18.8,-0.06,-0.01,-0.55,-0.38,79.04,-7.87,-27.95,1742237623.9082692
0.09,0.0,1.01,12.08,10.99,-19.04,-0.13,-0.52,-0.85,82.95,57.8,-23.01,1742237624.01022
0.12,-0.13,0.96,11.41,11.29,-27.95,-0.29,-0.68,-1.14,59.75,28.38,-54.63,1742237624.1254022
0.13,-0.18,0.96,4.27,7.08,-15.69,-0.29,-0.6,-1.04,-50.78,-37.6,50.05,1742237624.247551
0.14,-0.19,0.9,-5.68,-4.03,-10.19,-0.04,-0.37,-0.69,-24.54,-33.2,36.99,1742237624.352273
0.11,-0.15,1.02,-1.89,-8.3,-2.56,0.03,-0.39,-0.45,28.02,13.67,-36.99,1742237624.46661
0.12,-0.14,0.96,0.24,2.99,-0.61,-0.29,-0.5,-1.09,63.42,65.86,-66.89,1742237624.5801961
0.1,-0.13,0.98,3.11,0.79,3.11,-0.43,-0.73,-1.24,-35.95,-25.45,35.89,1742237624.704865
0.12,-0.15,0.97,1.46,4.15,-1.22,-0.14,-0.42,-0.81,-42.11,-47.67,76.72,1742237624.808216
0.12,-0.15,0.96,0.49,-1.89,0.55,0.11,-0.35,-0.54,3.11,-11.17,-0.85,1742237624.9238179
0.11,-0.12,0.98,-0.79,0.24,3.23,-0.13,-0.42,-0.78,46.69,76.23,-99.24,1742237625.0460548
0.13,-0.13,0.94,-0.06,-0.61,0.18,-0.49,-0.8,-1.33,-1.65,5.43,-2.14,1742237625.150222
0.12,-0.12,1.0,1.71,-0.24,-2.75,-0.19,-0.4,-0.8,-42.66,-36.01,64.03,1742237625.266502
0.14,-0.15,0.93,1.28,4.15,-5.74,0.02,-0.37,-0.59,-9.09,-13.43,19.29,1742237625.3857439
0.11,-0.12,0.97,1.04,-6.1,-3.6,-0.07,-0.41,-0.63,49.5,46.87,-50.23,1742237625.503573
