L-AccX,L-AccY,L-AccZ,L-GyrX,L-GyrY,L-GyrZ,R-AccX,R-AccY,R-AccZ,R-GyrX,R-GyrY,R-GyrZ,timestamp
-0.29,0.44,-0.82,-6.9,11.47,-7.87,0.3,-0.19,0.96,6.84,-5.37,15.69,1742237604.4216719
-0.27,0.45,-0.9,-8.36,2.08,-9.03,0.3,-0.23,0.96,1.77,9.46,10.74,1742237604.540689
-0.28,0.45,-0.85,-11.72,2.44,-5.49,0.32,-0.2,0.85,12.15,-3.48,13.79,1742237604.6487
-0.41,0.42,-0.97,6.29,2.93,-1.53,0.35,-0.21,0.83,11.9,-16.42,7.02,1742237604.763948
-0.25,0.39,-0.77,-1.16,-18.86,-10.38,0.32,-0.23,0.8,-15.62,-16.6,5.74,1742237604.8767512
-0.15,0.46,-0.97,-40.59,38.88,29.3,0.54,0.07,0.56,-33.94,57.43,20.14,1742237604.990527
-0.29,0.67,-1.99,45.17,-78.98,-21.97,0.31,-0.12,0.95,-12.21,-12.76,-7.63,1742237605.103812
-0.36,0.28,-0.37,161.99,-275.33,-84.78,0.27,-0.18,0.91,15.56,0.67,0.31,1742237605.2220511
-0.07,0.23,-0.25,-140.44,127.08,-3.97,0.33,-0.17,0.81,13.92,-10.5,-6.96,1742237605.330723
-0.21,0.51,-1.3,-114.81,93.44,77.94,0.15,-0.64,1.29,-33.26,-30.46,2.75,1742237605.444832
-0.44,0.41,-1.64,-58.11,47.0,44.62,0.27,-0.18,0.82,38.33,-10.56,-1.1,1742237605.5605829
-0.44,0.31,-1.74,158.14,-174.56,-88.44,0.26,-0.23,0.92,2.99,0.55,-2.56,1742237605.681012
0.86,0.62,-0.38,32.1,74.52,39.06,0.3,-0.2,0.89,6.23,-5.62,-2.2,1742237605.785652
-0.05,0.35,-0.93,-91.86,184.88,34.91,0.32,-0.23,0.79,10.31,-23.13,-4.09,1742237605.899772
-0.3,0.29,-1.33,-48.77,83.13,24.41,0.45,-0.01,0.68,-188.96,59.27,59.94,1742237606.021081
-0.65,0.34,-1.92,22.4,-33.2,10.01,0.2,-0.25,1.06,-53.59,-15.99,-0.12,1742237606.127757
-0.71,0.13,0.47,129.58,-255.49,-73.79,0.25,-0.13,0.92,-3.11,9.89,1.77,1742237606.2434628
-0.31,0.14,-0.49,-202.21,118.41,6.71,0.32,-0.21,0.81,9.09,-11.23,-11.41,1742237606.355659
-0.47,0.07,-1.33,-123.11,123.41,89.54,-0.14,-0.22,1.39,154.85,105.41,18.98,1742237606.469717
-0.66,0.48,-1.72,-11.96,62.01,10.19,0.31,-0.27,0.83,-25.27,-43.27,6.16,1742237606.5836139
-0.56,0.33,-1.28,203.61,-227.17,-91.0,0.26,-0.25,0.97,1.83,5.0,-3.85,1742237606.7020779
0.03,0.34,-0.05,12.21,-98.69,-68.05,0.36,-0.21,0.88,-2.93,0.79,-9.64,1742237606.811681
-0.28,0.14,-0.95,-119.87,174.68,40.34,0.34,-0.25,0.85,2.32,-15.93,-3.6,1742237606.925637
-0.26,0.3,-1.31,-30.27,70.07,36.25,0.19,-0.72,0.64,141.11,94.91,64.58,1742237607.041138
-0.47,0.46,-1.69,54.63,-23.62,-12.08,0.35,-0.15,0.81,-39.55,-26.73,-0.67,1742237607.160906
-0.51,0.21,-1.0,205.69,-298.16,-79.04,0.33,-0.21,0.93,-1.65,-6.04,-7.69,1742237607.266742
0.15,-0.1,0.11,-33.69,28.81,-29.6,0.34,-0.22,0.85,2.5,-10.38,-7.93,1742237607.390008
