L-AccX,L-AccY,L-AccZ,L-GyrX,L-GyrY,L-GyrZ,R-AccX,R-AccY,R-AccZ,R-GyrX,R-GyrY,R-GyrZ,timestamp
-0.14,0.9,-0.83,-217.96,-5.68,88.62,-0.24,-0.28,0.97,-2.81,1.04,-6.65,1742237584.625383
-0.15,0.63,-0.91,-9.09,-9.22,25.02,-0.36,-0.47,1.11,28.14,34.55,37.05,1742237584.7431731
-0.16,0.55,-0.73,-11.9,-1.89,15.81,-0.05,-0.29,0.94,23.25,77.39,60.49,1742237584.853245
-0.21,0.49,-0.88,-18.43,15.56,9.58,0.11,-0.24,0.84,3.97,36.8,39.43,1742237584.967134
-0.21,0.48,-0.89,-29.17,-5.68,3.66,0.17,-0.26,0.94,2.69,10.44,21.12,1742237585.080863
-0.2,0.4,-0.88,-31.37,0.85,1.46,0.17,-0.27,0.95,-4.94,15.44,1.46,1742237585.201386
-0.18,0.36,-0.91,-19.23,-10.56,-3.91,0.25,-0.35,0.87,7.51,18.13,6.59,1742237585.3070982
-0.34,0.59,-1.37,0.24,14.95,-9.95,0.25,-0.3,0.92,3.11,6.35,16.42,1742237585.420204
-0.12,0.31,-0.71,88.26,-74.65,-63.84,0.26,-0.28,0.9,1.22,1.89,5.92,1742237585.540127
0.16,0.2,-0.47,-23.25,16.48,-14.16,0.26,-0.28,0.89,5.98,-3.6,-2.38,1742237585.6463308
-0.03,0.39,-1.0,-60.18,37.17,58.53,0.22,-0.35,0.97,-1.65,-0.06,-0.49,1742237585.763883
-0.25,0.42,-1.04,-35.1,18.19,44.8,0.27,-0.31,0.91,1.34,13.67,-2.44,1742237585.874275
-0.45,0.74,-1.23,17.58,-3.97,0.98,0.29,-0.35,0.9,5.49,8.36,5.43,1742237585.988151
-0.27,0.41,-1.03,102.72,-12.08,-86.49,0.31,-0.33,0.89,3.42,3.72,8.85,1742237586.1021361
0.19,-0.01,-0.45,28.63,0.79,-31.25,0.31,-0.34,0.9,2.5,3.42,8.18,1742237586.222097
-0.11,0.47,-1.0,-101.56,38.82,63.54,0.3,-0.34,0.88,15.14,27.1,13.31,1742237586.32905
-0.25,0.53,-1.09,-63.78,14.22,54.14,0.43,-0.32,0.81,10.62,17.76,15.44,1742237586.442094
-0.47,0.69,-1.32,-0.98,13.98,-17.15,0.42,-0.32,0.8,-0.73,-8.91,-9.83,1742237586.559155
-0.09,0.14,-0.65,118.47,-64.21,-87.34,0.39,-0.37,0.88,-3.72,-13.06,-5.07,1742237586.6693661
0.07,0.08,-0.25,-40.16,23.74,34.42,0.38,-0.37,0.91,-5.49,6.29,1.53,1742237586.7840042
-0.29,0.33,-1.03,-86.12,44.86,40.28,0.39,-0.38,0.85,22.03,18.92,5.74,1742237586.8986838
-0.33,0.44,-1.1,-26.67,4.15,19.96,0.48,-0.31,0.76,-0.37,5.43,8.0,1742237587.010141
-0.62,0.44,-1.87,41.38,-21.48,-40.1,0.4,-0.37,0.84,-5.0,-13.61,-5.86,1742237587.124383
0.1,0.12,-0.1,78.61,-58.9,-85.75,0.41,-0.37,0.84,-0.24,-6.41,-4.27,1742237587.2429812
0.12,0.16,-0.65,-67.2,44.43,27.53,0.39,-0.37,0.9,-8.18,3.42,-2.08,1742237587.3522491
-0.25,0.33,-1.14,-69.4,45.29,49.26,0.42,-0.36,0.82,6.59,6.47,2.62,1742237587.466319
-0.22,0.35,-1.17,-9.58,16.42,26.25,0.43,-0.34,0.79,5.37,5.07,4.82,1742237587.580441
-0.3,0.43,-1.44,68.54,-50.6,-22.83,0.41,-0.38,0.82,5.62,-5.31,-3.78,1742237587.700939
0.08,0.16,-0.4,66.59,-34.97,-23.44,0.41,-0.37,0.84,0.79,-3.6,-2.62,1742237587.8071628
-0.03,0.27,-0.55,-60.36,44.74,26.31,0.39,-0.4,0.89,-4.82,5.55,-2.99,1742237587.9213738
-0.11,0.38,-0.89,-54.75,34.24,4.64,0.42,-0.43,0.81,56.21,3.85,11.47,1742237588.039716
-0.29,0.24,-1.19,-22.09,5.07,18.19,0.45,-0.43,0.71,14.83,6.84,2.01,1742237588.148041
-0.31,0.53,-1.34,62.5,-67.57,-22.34,0.41,-0.48,0.78,-0.31,-6.96,-7.26,1742237588.263446
0.08,0.18,-0.57,89.78,-19.41,-48.28,0.43,-0.46,0.78,7.63,6.1,-2.08,1742237588.375065
0.05,0.26,-0.39,-44.43,29.97,25.82,0.43,-0.5,0.76,0.31,0.24,-3.23,1742237588.489043
-0.12,0.34,-0.97,-69.58,45.96,9.58,0.43,-0.47,0.85,36.25,-2.01,1.71,1742237588.602056
-0.28,0.36,-0.95,-50.9,43.21,17.88,0.43,-0.55,0.62,28.75,20.2,-2.69,1742237588.721971
-0.36,0.39,-1.5,25.27,-20.02,-10.5,0.4,-0.6,0.66,1.89,-10.44,-13.06,1742237588.830206
-0.01,0.26,-0.69,93.44,-68.97,-54.57,0.42,-0.58,0.74,-1.4,-17.7,-8.42,1742237588.944269
0.06,0.17,-0.47,-26.86,25.21,41.44,0.37,-0.62,0.74,-1.16,-6.41,-0.43,1742237589.0606668
-0.19,0.34,-0.96,-62.93,10.38,31.19,0.37,-0.6,0.75,-2.87,6.84,10.5,1742237589.180355
-0.12,0.32,-0.95,-26.06,10.56,23.32,0.41,-0.57,0.69,0.0,14.4,17.09,1742237589.286026
-0.37,0.42,-1.46,0.49,10.19,17.46,0.45,-0.49,0.64,-1.95,0.98,3.05,1742237589.39948
-0.24,0.32,-1.04,94.48,-33.33,-44.07,0.42,-0.58,0.74,-7.39,-12.15,-7.02,1742237589.5196228
0.12,0.16,-0.4,41.87,-14.59,-6.84,0.42,-0.53,0.74,-13.98,-3.36,2.08,1742237589.6272168
-0.07,0.26,-0.82,-76.35,29.72,44.49,0.41,-0.52,0.77,-21.61,-1.34,5.31,1742237589.742972
-0.32,0.39,-1.28,-63.66,33.81,22.16,0.42,-0.48,0.76,-6.04,0.98,8.54,1742237589.855237
-0.39,0.38,-1.25,17.88,-8.42,-5.19,0.42,-0.45,0.76,-0.67,-0.79,3.66,1742237589.9691882
-0.32,0.39,-1.04,84.05,-49.5,-42.36,0.43,-0.46,0.77,2.14,-4.94,-1.34,1742237590.0833158
0.07,0.17,-0.52,47.73,-10.25,-24.29,0.42,-0.48,0.78,-2.14,-10.01,1.1,1742237590.2011368
-0.12,0.25,-0.82,-66.65,38.45,42.05,0.38,-0.47,0.8,-12.82,-9.89,-2.81,1742237590.31131
