L-AccX,L-AccY,L-AccZ,L-GyrX,L-GyrY,L-GyrZ,R-AccX,R-AccY,R-AccZ,R-GyrX,R-GyrY,R-GyrZ,timestamp
1.01,0.05,-0.09,-78.31,-18.68,1.65,-0.21,-0.27,0.9,114.5,-23.86,10.44,1742243596.4816341
0.9,0.1,-0.03,-41.87,-0.43,0.18,-0.17,-0.84,0.6,250.49,130.62,-6.59,1742243596.595567
0.91,0.12,-0.16,-23.74,-0.49,-15.69,-0.2,-0.89,-0.33,203.8,50.6,-44.98,1742243596.7097878
0.93,-0.04,-0.21,-4.27,5.25,-23.01,-0.57,-1.01,-0.93,77.15,-118.04,-55.42,1742243596.824001
0.92,-0.13,-0.32,-66.35,34.67,-21.85,-0.08,-1.81,1.06,-93.32,152.53,-65.98,1742243596.93767
0.85,-0.02,0.32,3.11,-19.65,-19.65,-0.37,-1.24,0.2,-75.68,-106.51,-60.91,1742243597.055706
0.93,-0.12,-0.11,-12.63,34.06,-19.1,-0.22,-0.59,0.29,-119.51,125.61,20.32,1742243597.165683
0.99,-0.05,-0.05,28.69,-15.62,-6.23,-0.3,-1.07,-0.41,154.6,227.91,13.73,1742243597.2795908
0.98,-0.15,-0.22,3.78,22.83,-1.4,-0.27,-0.81,-0.83,71.84,87.16,-6.1,1742243597.394826
0.94,-0.11,-0.19,-6.96,-5.92,-4.94,-0.58,-0.87,-1.01,-71.11,-156.62,-44.74,1742243597.5142012
0.95,-0.24,-0.16,-39.55,28.63,-2.44,0.89,-1.8,1.2,-2.01,258.06,-30.09,1742243597.621532
0.82,0.05,0.21,-2.69,-28.08,33.51,-0.49,-1.11,0.38,-122.25,-149.66,-70.5,1742243597.736556
1.0,0.02,-0.2,-48.77,34.55,6.23,-0.26,-0.76,0.31,24.6,167.18,-27.95,1742243597.8552809
0.96,-0.03,-0.16,-4.15,-2.69,-2.38,-0.48,-0.81,-0.42,220.4,263.61,-16.6,1742243597.963707
0.99,-0.12,-0.2,-5.43,16.42,-10.13,-0.59,-0.81,-1.11,111.21,46.45,-20.63,1742243598.077672
0.94,-0.2,-0.4,-44.98,0.98,0.61,-0.59,-0.76,-0.72,-194.82,-286.74,1.04,1742243598.194906
0.91,-0.08,-0.1,-18.92,-36.32,15.75,1.35,-2.25,0.55,82.58,198.85,6.1,1742243598.305415
1.0,0.07,0.32,0.37,-20.45,4.39,-0.51,-1.13,0.28,-78.19,-108.46,-24.29,1742243598.418764
0.99,-0.04,-0.08,-24.05,31.31,-7.39,-0.33,-0.9,0.0,66.04,201.97,14.59,1742243598.5353758
0.95,-0.03,-0.06,10.93,-1.04,0.18,-0.4,-0.8,-0.57,138.0,205.69,40.89,1742243598.646633
0.97,-0.1,-0.17,0.37,24.84,-5.25,-0.23,-0.71,-0.67,13.61,4.52,-9.64,1742243598.760708
0.94,-0.13,-0.27,-15.75,9.83,4.76,-0.81,-0.82,-1.25,-54.75,-130.25,-74.22,1742243598.87499
0.98,-0.18,-0.22,-43.95,19.1,4.39,-1.63,-0.68,2.58,85.82,-214.9,-118.84,1742243598.995918
0.81,-0.09,0.17,11.11,-60.49,47.42,-0.79,-1.13,0.38,-3.11,110.29,-30.88,1742243599.1027122
0.96,-0.03,-0.19,-53.65,31.74,4.03,-0.38,-0.91,-0.12,60.49,152.89,33.2,1742243599.2166321
0.98,-0.07,-0.18,9.58,-4.76,-5.43,-0.36,-0.72,-0.52,131.9,201.42,54.5,1742243599.3356779
0.97,-0.04,-0.19,3.3,7.14,-4.03,-0.42,-0.59,-0.92,65.86,14.22,-42.85,1742243599.444623
0.96,-0.09,-0.24,-5.8,3.66,-1.71,-0.82,-0.61,-1.21,-134.4,-163.27,-47.36,1742243599.558913
0.95,-0.12,-0.21,-1.71,-1.28,0.0,-1.65,-0.99,2.47,-30.94,182.37,-114.99,1742243599.6757681
