L-AccX,L-AccY,L-AccZ,L-GyrX,L-GyrY,L-GyrZ,R-AccX,R-AccY,R-AccZ,R-GyrX,R-GyrY,R-GyrZ,timestamp
0.96,0.17,-0.04,-1.89,-4.46,8.54,-0.35,-0.54,0.8,98.21,-6.41,35.28,1742243454.517993
1.0,0.22,-0.02,0.31,-7.08,5.98,-0.21,-0.8,0.65,173.71,62.19,1.53,1742243454.633655
0.98,0.23,-0.01,-0.98,-7.93,6.29,-0.16,-0.94,0.22,149.54,56.15,-7.57,1742243454.744946
0.95,0.24,0.01,-3.05,-3.42,5.13,-0.11,-0.96,-0.0,43.09,45.04,-1.77,1742243454.8590589
0.98,0.29,0.02,-4.03,-0.24,-0.79,-0.09,-0.93,-0.08,16.24,-11.78,-5.55,1742243454.9730968
0.97,0.25,0.01,-2.99,0.31,-1.95,-0.12,-0.99,-0.06,10.62,-80.93,-11.96,1742243455.087144
0.98,0.23,0.02,-76.66,-2.62,26.86,-0.39,-1.01,-0.09,93.08,-164.55,-33.14,1742243455.201098
0.95,0.28,0.01,-37.6,-2.01,15.5,-0.29,-1.05,0.07,-4.88,48.16,8.48,1742243455.314956
0.95,0.27,-0.05,9.09,5.55,-2.38,-0.29,-0.93,-0.25,29.05,171.94,15.87,1742243455.428965
0.92,0.26,-0.08,2.26,13.37,-3.85,-0.21,-0.96,-0.4,-17.27,85.27,39.37,1742243455.543042
0.95,0.27,-0.11,-9.46,10.5,3.36,-0.11,-0.81,-0.24,29.11,-156.07,-36.07,1742243455.65711
0.98,0.33,-0.08,1.34,-2.01,1.71,-0.28,-1.02,0.02,52.37,-148.38,-31.19,1742243455.773317
0.94,0.3,-0.06,-2.75,-12.57,2.38,-0.27,-1.0,-0.2,25.57,-53.47,-0.79,1742243455.885142
0.96,0.32,0.01,12.51,-4.82,-2.56,-0.28,-0.96,-0.27,-29.11,114.01,15.99,1742243455.99903
0.94,0.29,-0.06,4.76,3.66,-6.59,-0.17,-0.88,-0.3,-94.91,206.73,42.85,1742243456.1142368
0.94,0.27,-0.07,0.31,3.23,-3.54,-0.18,-0.9,-0.29,-0.79,-36.25,-8.79,1742243456.227241
0.95,0.28,-0.07,1.71,-17.27,3.54,-0.23,-0.92,-0.19,38.88,-218.93,-30.27,1742243456.341152
0.96,0.3,0.02,-0.49,-3.23,1.59,-0.3,-0.99,0.01,-4.82,-119.08,2.87,1742243456.454954
0.96,0.3,0.01,4.15,0.55,-1.22,-0.23,-0.96,-0.04,-13.24,48.03,5.62,1742243456.5690649
0.95,0.28,-0.03,2.44,6.71,-1.04,-0.35,-1.08,-0.19,-11.47,218.99,16.72,1742243456.6830661
0.96,0.27,-0.05,-1.89,5.13,0.61,-0.07,-0.95,-0.18,-40.59,104.8,48.03,1742243456.796979
0.95,0.32,-0.04,9.7,0.85,0.79,-0.12,-0.98,-0.08,3.91,-51.76,-8.42,1742243456.9130812
0.97,0.31,-0.02,-0.24,0.67,1.89,-0.2,-0.87,-0.14,77.94,-246.77,-51.15,1742243457.025059
0.96,0.31,-0.02,1.04,0.79,0.43,-0.33,-1.1,-0.0,-26.12,-92.29,13.98,1742243457.139158
0.95,0.3,-0.04,2.69,2.44,-0.12,-0.25,-1.0,-0.16,3.66,118.35,17.64,1742243457.253485
0.96,0.3,-0.04,1.46,4.21,-2.62,-0.28,-0.99,-0.24,-38.09,236.69,37.6,1742243457.366998
0.96,0.29,-0.06,-0.55,5.55,-3.36,-0.12,-0.98,-0.18,1.1,103.09,36.8,1742243457.480875
