L-AccX,L-AccY,L-AccZ,L-GyrX,L-GyrY,L-GyrZ,R-AccX,R-AccY,R-AccZ,R-GyrX,R-GyrY,R-GyrZ,timestamp
-0.07,-0.05,1.01,-27.1,10.56,3.91,-0.36,-0.05,-1.17,-15.87,-8.48,22.09,1742222230.354987
-0.11,-0.03,1.0,-1.22,-8.79,4.46,-0.29,-0.02,-0.99,-50.11,-62.93,36.56,1742222230.468856
-0.07,0.01,1.02,-11.72,61.34,-24.23,-0.08,-0.0,-0.65,-11.54,-41.08,-2.08,1742222230.582928
0.03,-0.06,0.99,1.89,37.66,-15.01,-0.04,-0.08,-0.51,52.73,40.77,-22.22,1742222230.696757
0.11,-0.04,1.03,-4.64,51.39,-12.21,-1.01,0.22,-2.17,38.39,44.92,35.95,1742222230.81071
0.04,-0.01,1.18,-36.32,56.15,-15.75,-0.41,-0.0,-1.19,-62.07,-89.36,26.0,1742222230.9279308
0.09,-0.0,1.02,-3.6,12.57,-4.82,0.04,-0.09,-0.5,-40.65,-56.95,18.62,1742222231.038723
0.11,-0.01,1.03,9.03,15.81,0.98,0.09,-0.09,-0.38,56.15,68.24,-36.25,1742222231.152768
0.14,-0.01,1.13,2.08,48.89,-13.79,-1.11,-0.14,-2.26,15.44,53.34,33.81,1742222231.268378
0.05,0.02,1.17,-39.43,49.62,-11.41,-0.3,0.04,-1.05,-67.32,-98.57,24.23,1742222231.38077
0.16,-0.05,0.97,-3.23,14.95,-4.88,0.03,-0.08,-0.6,-40.47,-53.04,23.56,1742222231.494743
0.14,-0.04,1.0,1.59,3.97,0.92,0.12,-0.14,-0.54,47.85,42.85,-34.3,1742222231.608618
0.17,-0.02,1.08,-1.34,21.0,-10.25,-0.86,-0.57,-1.63,113.16,138.24,-33.14,1742222231.728201
-0.02,-0.1,1.19,-68.24,-46.26,-10.62,-0.34,-0.06,-1.17,-49.19,-71.96,46.08,1742222231.8367941
0.16,0.02,0.99,-8.36,-4.27,2.62,-0.04,0.09,-0.8,-56.58,-86.73,12.88,1742222231.950788
0.13,-0.05,1.0,0.37,13.06,-3.72,0.13,-0.26,-0.44,33.57,2.93,-22.28,1742222232.064687
0.18,-0.04,1.02,6.1,13.24,-4.03,-0.16,0.07,-0.61,89.9,152.4,-61.83,1742222232.1786299
0.27,-0.29,0.02,96.86,-230.1,7.51,-0.34,-0.04,-1.24,-18.86,-29.36,-0.79,1742222232.2929401
0.24,-0.13,1.02,-26.18,48.83,20.45,-0.2,-0.08,-1.05,-79.53,-61.16,67.5,1742222232.407969
0.14,0.01,1.02,4.76,4.46,-1.95,0.09,-0.07,-0.59,-28.75,-33.33,36.07,1742222232.520749
0.21,-0.05,1.0,3.66,6.84,-7.57,0.19,0.05,-0.43,65.98,71.29,-51.57,1742222232.63459
0.23,-0.05,1.11,-5.8,60.3,-14.04,-0.89,-0.22,-2.03,37.41,48.71,-1.71,1742222232.748662
0.06,0.05,1.28,31.19,-2.26,-1.89,-0.36,-0.2,-1.14,-49.56,-85.57,46.69,1742222232.8676522
0.24,-0.08,0.99,5.98,5.43,-5.25,0.02,-0.08,-0.65,-43.27,-91.61,43.33,1742222232.9766521
0.21,-0.05,0.95,2.38,6.23,0.55,0.21,-0.24,-0.47,29.11,9.28,-45.96,1742222233.092098
0.23,-0.07,1.03,3.6,8.97,-4.88,-0.32,-0.24,-0.84,110.72,163.51,-156.25,1742222233.2078102
0.09,-0.27,0.88,8.12,-170.78,13.43,-0.34,-0.19,-1.25,-71.41,-55.36,86.91,1742222233.318768
0.24,-0.07,0.96,-36.44,15.62,-0.61,-0.03,-0.15,-0.79,-67.08,-78.06,54.63,1742222233.432736
0.18,-0.06,1.02,5.37,9.46,2.32,0.19,-0.27,-0.45,4.76,-20.08,3.48,1742222233.550941
0.23,-0.05,0.98,3.72,12.94,-0.98,-0.0,-0.12,-0.25,59.51,207.52,-103.88,1742222233.6606872
0.41,-0.17,0.13,35.89,-39.55,-3.78,-0.69,-0.34,-1.62,-14.28,-57.01,28.99,1742222233.774708
0.2,-0.2,1.15,5.13,27.34,2.5,-0.19,-0.2,-0.87,-54.63,-75.07,56.4,1742222233.888762
0.21,-0.1,0.92,6.41,4.15,0.61,0.16,-0.18,-0.54,-11.6,-31.74,6.04,1742222234.002707
0.23,-0.08,0.96,1.95,3.05,1.34,-0.01,-0.1,-0.33,55.79,97.6,-57.98,1742222234.116705
0.25,-0.09,1.0,-6.16,24.35,-9.58,-0.63,-0.19,-2.0,47.61,6.04,-7.57,1742222234.230633
0.09,-0.19,1.39,33.57,21.48,-12.88,-0.33,-0.27,-1.03,-57.8,-90.76,63.96,1742222234.348369
0.16,-0.14,0.96,2.81,32.59,-5.31,0.06,-0.19,-0.53,-33.39,-77.15,41.44,1742222234.4585862
0.19,-0.09,0.96,3.17,3.78,0.92,0.25,-0.18,-0.32,49.93,39.61,-31.25,1742222234.572573
0.23,-0.06,1.03,-1.16,11.54,-9.64,-0.87,-0.73,-1.64,73.3,178.83,-136.11,1742222234.68788
0.03,-0.11,1.45,-64.03,-118.35,-10.99,-0.35,-0.15,-1.29,-76.35,-88.26,74.16,1742222234.800777
0.21,-0.08,0.94,3.91,15.2,5.55,-0.09,-0.25,-0.78,-78.49,-108.52,66.41,1742222234.914709
0.16,-0.07,0.95,5.98,1.46,0.98,0.27,-0.23,-0.27,16.48,-27.47,33.94,1742222235.030271
0.2,-0.1,1.02,-3.05,3.78,0.18,-0.08,0.11,-0.74,78.43,169.13,-135.19,1742222235.148844
0.25,-0.12,0.98,-7.02,43.15,-9.4,-0.75,-0.44,-1.91,47.85,-1.22,-13.24,1742222235.256707
0.16,-0.24,1.23,32.9,8.06,6.47,-0.21,-0.19,-0.93,-56.7,-120.3,87.16,1742222235.3706748
0.15,-0.1,0.96,0.43,5.74,2.99,0.14,-0.24,-0.44,-14.34,-80.14,37.17,1742222235.490039
0.2,-0.1,0.93,-1.83,5.43,2.32,0.23,-0.06,-0.4,69.03,69.89,-44.01,1742222235.5985038
0.2,-0.07,1.08,-4.94,25.7,-8.73,-1.26,-0.9,-2.53,-15.2,125.31,-1.22,1742222235.7126982
0.09,0.03,1.19,-79.53,6.16,-21.12,-0.3,-0.16,-1.06,-107.42,-91.86,103.09,1742222235.829176
0.22,-0.08,0.97,2.44,9.09,5.07,0.19,-0.13,-0.5,-47.97,-83.07,28.5,1742222235.940623
0.2,-0.07,0.95,5.07,5.25,3.3,0.19,-0.4,-0.31,54.57,32.71,-39.92,1742222236.054569
0.21,-0.09,1.0,2.08,9.64,-5.49,-0.62,-0.24,-1.22,151.92,210.21,-130.19,1742222236.168799
0.15,-0.19,0.44,4.64,-167.18,18.43,-0.4,-0.31,-1.21,-51.45,-91.13,31.68,1742222236.290266
0.25,-0.12,0.98,-27.95,7.81,5.25,-0.06,-0.2,-0.77,-92.77,-107.12,79.77,1742222236.3966851
0.16,-0.09,0.98,1.04,3.85,0.0,0.31,-0.27,-0.22,14.4,0.37,5.98,1742222236.510378
0.18,-0.11,1.01,0.55,9.64,-5.37,-0.17,0.08,-0.7,73.61,195.01,-163.88,1742222236.628897
0.29,-0.22,0.64,19.96,21.42,-1.22,-0.55,-0.32,-1.57,21.73,-81.67,4.7,1742222236.737566
0.24,-0.2,1.05,-10.38,18.31,6.9,-0.12,-0.3,-0.84,-100.4,-115.54,80.08,1742222236.851625
0.19,-0.13,0.95,2.5,1.83,0.55,0.23,-0.21,-0.5,-32.78,-45.9,32.41,1742222236.9685152
0.22,-0.14,0.95,1.16,2.81,-1.53,0.22,-0.19,-0.49,69.7,70.98,-35.64,1742222237.079412
0.22,-0.12,1.02,0.67,12.45,0.98,-0.61,-0.38,-1.47,89.42,234.37,-164.79,1742222237.193542
0.12,-0.32,0.44,-7.69,-195.5,10.25,-0.37,-0.31,-1.2,-31.49,-47.49,32.41,1742222237.308501
0.27,-0.11,0.92,-57.98,53.04,1.28,-0.2,-0.29,-0.98,-65.25,-69.64,88.2,1742222237.42159
0.17,-0.09,0.99,2.01,-5.92,4.52,0.12,-0.22,-0.73,-43.95,-72.69,45.96,1742222237.535498
0.22,-0.11,0.95,-1.77,-1.83,-2.2,0.33,-0.22,-0.33,27.22,-7.51,-35.77,1742222237.649475
