L-AccX,L-AccY,L-AccZ,L-GyrX,L-GyrY,L-GyrZ,R-AccX,R-AccY,R-AccZ,R-GyrX,R-GyrY,R-GyrZ,timestamp
-0.16,0.17,0.95,-1.04,10.31,-1.16,0.82,-0.52,-0.15,-2.87,-2.81,3.17,1742243500.004904
-0.19,-0.17,1.14,-132.87,34.36,-22.46,0.83,-0.53,-0.12,-2.69,0.06,0.79,1742243500.120393
0.01,0.47,0.78,-264.1,175.84,-13.0,0.82,-0.52,-0.17,0.55,4.39,0.18,1742243500.2276962
0.19,0.92,-0.0,-164.67,96.74,-12.27,0.82,-0.49,-0.18,10.07,-5.43,-0.49,1742243500.341653
0.2,0.99,-0.02,-51.94,-145.69,8.42,0.85,-0.48,-0.12,1.22,-9.28,-4.27,1742243500.460406
-0.08,1.12,0.59,-74.83,-171.57,-13.61,0.82,-0.53,-0.14,-0.73,-3.72,-2.32,1742243500.569025
-0.01,1.02,0.37,36.62,-35.89,7.75,0.83,-0.52,-0.13,-1.22,0.06,0.43,1742243500.682861
0.13,0.96,0.16,-17.21,98.63,-3.11,0.82,-0.53,-0.13,-3.36,2.44,-1.4,1742243500.799496
0.13,0.98,-0.06,-15.44,162.05,-12.33,0.84,-0.52,-0.14,-3.91,2.69,-0.06,1742243500.9185479
0.25,0.99,-0.33,2.32,139.22,-4.09,0.82,-0.52,-0.16,0.43,-4.03,-2.38,1742243501.0249522
0.22,0.99,-0.14,12.39,-75.07,6.65,0.82,-0.52,-0.12,2.01,-4.27,-3.78,1742243501.139889
0.11,1.06,0.23,-107.3,-186.22,4.09,0.81,-0.54,-0.12,0.79,-2.81,-6.1,1742243501.2589052
0.01,1.02,0.26,-3.97,-158.14,-2.38,0.81,-0.55,-0.11,0.06,-1.95,-5.0,1742243501.366954
0.13,0.93,0.18,-3.48,87.22,2.14,0.81,-0.56,-0.11,0.18,-2.01,-4.03,1742243501.4809852
0.17,0.93,-0.14,-7.32,223.33,-4.52,0.81,-0.57,-0.14,1.04,1.95,-2.01,1742243501.599087
