L-AccX,L-AccY,L-AccZ,L-GyrX,L-GyrY,L-GyrZ,R-AccX,R-AccY,R-AccZ,R-GyrX,R-GyrY,R-GyrZ,timestamp
-0.05,0.2,0.91,17.94,5.49,-1.59,0.82,-0.42,-0.26,8.06,-3.42,16.66,1742243524.963205
-0.1,0.13,1.05,-14.16,-6.84,-8.12,0.88,-0.4,-0.22,3.48,-4.94,11.17,1742243525.078134
-0.25,0.32,0.97,-247.01,80.2,-14.34,0.87,-0.41,-0.23,5.55,9.28,12.63,1742243525.19757
0.08,0.81,0.08,-246.58,239.38,18.25,0.85,-0.38,-0.28,8.79,13.92,21.48,1742243525.305161
0.12,1.08,-0.61,-127.5,-19.17,-5.62,0.86,-0.31,-0.34,26.37,11.9,20.32,1742243525.419117
-0.17,0.98,-0.68,-124.27,-182.92,43.27,0.82,-0.33,-0.55,-22.09,7.87,18.86,1742243525.5382478
1.89,1.92,0.8,159.36,-74.1,-44.49,0.93,-0.26,-0.09,-15.14,27.34,4.09,1742243525.647276
-0.17,1.39,0.13,172.42,-106.14,95.09,0.89,-0.24,-0.37,-11.29,7.69,5.68,1742243525.761277
0.01,0.84,-0.01,-31.25,170.41,-53.89,0.89,-0.27,-0.22,-17.09,-2.38,-2.69,1742243525.880502
-0.05,0.83,-0.63,-8.85,351.75,-92.9,0.91,-0.27,-0.33,4.21,2.01,-0.61,1742243525.989249
-0.09,0.84,-1.06,24.54,54.26,-75.87,0.9,-0.23,-0.3,8.79,6.41,5.68,1742243526.103164
-0.24,1.11,-0.87,-77.09,-318.3,37.17,1.2,-0.51,-0.24,-128.78,-26.25,-9.4,1742243526.217504
1.46,-0.53,1.33,-56.15,-151.61,-18.01,0.93,-0.14,-0.3,-53.71,63.6,18.8,1742243526.3312798
-0.02,1.52,0.06,186.89,-113.04,108.22,0.92,-0.26,-0.27,-20.94,0.0,-3.11,1742243526.445319
0.07,1.02,0.23,-60.61,167.91,-30.64,0.88,-0.33,-0.2,-9.28,1.53,-10.31,1742243526.559395
0.15,0.72,-0.74,-109.8,356.99,-60.18,0.91,-0.35,-0.28,3.97,0.98,0.06,1742243526.678593
0.09,0.9,-1.05,100.83,-13.61,-53.71,0.9,-0.31,-0.26,11.17,1.46,10.07,1742243526.787213
-0.11,1.06,-0.47,-62.32,-240.54,2.08,1.01,-0.37,-0.18,-50.35,-13.85,5.07,1742243526.902411
1.69,0.38,0.95,-41.69,-118.04,-41.14,0.96,-0.14,-0.28,-25.39,53.28,7.08,1742243527.017791
-0.04,1.2,0.14,24.78,-173.77,105.59,0.9,-0.29,-0.27,-14.22,-0.85,-4.88,1742243527.1295419
0.08,0.78,0.38,-34.55,150.21,-23.74,0.9,-0.35,-0.2,-10.5,10.56,-1.1,1742243527.243337
0.2,0.82,-0.54,-82.28,338.44,-26.31,0.91,-0.34,-0.29,-0.06,0.24,3.05,1742243527.360647
0.23,0.98,-0.76,117.61,60.18,-50.48,0.92,-0.32,-0.29,-7.57,-7.08,19.1,1742243527.472363
-0.1,1.04,-0.68,-92.41,-263.92,-43.33,1.22,-0.47,-0.14,-86.67,-68.97,-9.77,1742243527.585435
2.07,0.13,1.52,112.79,-74.71,-109.99,0.98,-0.12,-0.17,-81.42,76.72,41.2,1742243527.699235
0.12,1.36,0.05,152.34,21.97,50.23,0.91,-0.24,-0.26,-7.45,19.53,7.39,1742243527.820307
0.19,0.89,0.03,-116.46,202.82,-47.61,0.93,-0.25,-0.19,-5.0,1.95,-5.37,1742243527.927437
0.24,0.8,-0.63,-18.74,242.61,-52.0,0.92,-0.27,-0.27,-1.4,5.92,-8.97,1742243528.041269
0.3,0.76,-0.53,79.04,115.11,-60.85,0.92,-0.26,-0.25,5.0,-4.15,-11.72,1742243528.159442
0.02,1.02,-0.93,-45.96,-26.12,-4.46,0.89,-0.32,-0.23,19.23,3.97,-11.6,1742243528.2692459
-0.07,1.03,-0.62,-63.29,-499.33,89.17,1.06,-0.29,0.05,-51.7,-69.15,-14.77,1742243528.383351
0.35,0.22,0.5,-221.13,-83.25,8.0,0.97,-0.25,-0.34,16.85,34.18,20.75,1742243528.4987159
0.17,1.15,0.03,122.01,155.21,6.84,0.95,-0.17,-0.25,-8.48,11.9,23.74,1742243528.6194181
0.1,0.98,-0.34,8.12,215.03,-75.56,0.91,-0.24,-0.27,-6.9,6.77,4.03,1742243528.7252579
0.17,0.78,-0.65,10.74,163.76,-76.54,0.93,-0.27,-0.31,-8.91,-0.98,8.97,1742243528.840936
0.12,0.72,-0.87,-6.1,54.75,-41.93,0.93,-0.2,-0.27,-6.77,-11.9,9.09,1742243528.9598432
-0.01,0.8,-0.85,-4.46,-166.93,41.81,0.95,-0.19,-0.26,16.24,-5.55,12.21,1742243529.0673122
-0.2,0.86,-0.51,-57.13,-596.68,154.48,0.94,-0.22,-0.02,6.65,-51.76,-29.48,1742243529.1813262
0.1,0.77,0.61,-246.7,-78.06,65.0,0.94,-0.24,-0.23,25.94,2.44,-7.81,1742243529.2989829
-0.04,1.02,0.01,148.62,-17.64,39.67,0.94,-0.25,-0.18,-2.56,-23.38,-3.42,1742243529.40941
0.09,0.98,-0.1,-80.81,158.33,-49.93,0.94,-0.26,-0.17,-6.84,-4.82,-0.61,1742243529.523378
0.17,0.66,-0.83,-151.06,356.14,-102.36,0.96,-0.24,-0.16,3.72,4.82,2.2,1742243529.6393669
0.05,0.7,-1.11,38.09,-11.84,-58.9,0.96,-0.2,-0.16,8.36,-0.37,2.75,1742243529.759434
-0.04,0.89,-0.58,-0.31,-234.31,28.93,0.92,-0.24,-0.17,12.21,-3.54,-1.95,1742243529.8652759
-0.28,0.84,0.25,-92.53,-589.17,113.1,0.94,-0.37,0.09,-8.36,7.51,3.85,1742243529.9793239
0.19,1.17,0.14,-145.2,-27.16,93.63,0.91,-0.27,-0.22,39.61,-1.83,1.22,1742243530.099901
0.08,0.96,0.01,108.09,32.96,32.47,0.94,-0.25,-0.08,-1.65,-10.38,-3.42,1742243530.20633
0.07,0.96,0.23,4.94,139.22,17.82,0.94,-0.25,-0.15,7.08,6.04,-4.7,1742243530.32044
0.09,0.88,-0.55,-163.51,358.89,-68.6,0.98,-0.25,-0.17,4.94,1.83,1.16,1742243530.442237
0.17,0.86,-0.95,74.95,36.01,-86.67,0.95,-0.23,-0.14,6.59,2.75,8.67,1742243530.548268
-0.06,1.06,-0.54,-33.57,-235.29,33.75,0.77,-0.23,-0.12,5.19,19.23,8.67,1742243530.6621969
-1.37,1.31,2.27,178.83,-300.05,29.17,0.9,-0.35,-0.01,-35.83,37.84,15.08,1742243530.77904
0.05,1.17,0.26,-159.24,-95.89,82.09,0.95,-0.21,-0.28,36.38,3.36,10.8,1742243530.89023
0.0,0.99,0.1,10.31,62.07,-31.43,0.95,-0.15,-0.2,-5.74,-12.82,-9.09,1742243531.004404
0.19,0.92,-0.25,-11.47,255.92,-5.86,0.94,-0.24,-0.2,4.39,2.56,-9.22,1742243531.120778
0.09,0.79,-1.01,-102.78,240.97,-115.6,0.95,-0.21,-0.21,7.2,-2.69,1.89,1742243531.240253
-0.07,0.61,-1.07,10.07,-62.74,-16.66,0.95,-0.16,-0.25,15.93,3.6,-2.01,1742243531.346304
0.02,0.89,-0.64,18.49,-326.9,111.33,1.09,-0.33,-0.13,-76.72,-34.67,-11.35,1742243531.4603908
1.91,-0.42,0.49,7.45,28.63,-68.73,0.97,-0.22,-0.27,9.16,32.9,9.7,1742243531.579534
0.03,1.2,0.19,-80.51,-34.97,36.07,0.98,-0.19,-0.18,-14.47,-6.96,4.21,1742243531.68843
0.05,0.94,0.19,27.4,53.96,28.87,0.92,-0.24,-0.16,-1.95,5.62,-4.76,1742243531.802312
0.24,0.88,-0.35,-65.67,295.9,-65.0,0.95,-0.24,-0.27,5.62,1.4,-0.06,1742243531.918904
0.1,0.72,-1.11,27.77,268.31,-101.93,0.95,-0.2,-0.21,8.24,-1.53,3.42,1742243532.030209
0.01,0.63,-0.93,31.13,-137.88,20.02,0.93,-0.19,-0.23,16.17,1.53,-2.44,1742243532.1442199
-0.29,1.0,-0.62,-61.58,-574.22,160.83,0.9,-0.28,0.04,-6.96,-43.64,-28.14,1742243532.260371
0.34,0.66,0.76,-240.84,-122.31,76.6,0.97,-0.24,-0.31,30.15,20.51,8.61,1742243532.372143
0.02,1.34,0.23,183.78,-98.39,42.79,0.97,-0.17,-0.17,-6.53,0.55,1.04,1742243532.486209
0.14,0.94,-0.05,-94.42,296.26,-36.32,0.91,-0.22,-0.25,-5.0,7.57,-3.48,1742243532.6005912
0.07,0.82,-0.87,-104.25,361.27,-100.34,0.95,-0.2,-0.27,2.26,-3.42,-1.59,1742243532.720595
0.13,0.67,-1.02,124.82,-35.1,-59.14,0.93,-0.21,-0.2,-2.5,-9.46,-2.5,1742243532.828317
-0.05,0.98,-0.51,-18.8,-244.08,31.25,0.87,-0.32,-0.18,3.23,2.99,-5.55,1742243532.942126
0.47,2.22,2.0,63.35,64.03,52.31,0.96,-0.21,-0.22,-19.78,33.63,-1.53,1742243533.0603929
-0.32,1.29,0.12,96.92,-185.0,97.17,0.97,-0.19,-0.22,0.61,-1.46,2.38,1742243533.170173
-0.04,0.92,0.25,9.83,109.31,-20.63,0.92,-0.26,-0.2,0.85,3.11,-4.58,1742243533.2841222
0.23,0.78,-0.36,-64.33,374.45,-88.99,0.96,-0.27,-0.2,2.87,0.0,0.31,1742243533.40466
0.15,0.95,-1.04,233.09,338.2,-90.58,0.94,-0.23,-0.17,3.23,1.34,3.66,1742243533.521099
0.27,0.88,-0.62,12.21,-69.27,-51.03,0.93,-0.23,-0.19,9.28,0.55,-1.1,1742243533.626113
0.26,0.88,-0.36,-142.88,-276.61,49.56,0.85,-0.3,-0.17,5.19,3.3,-5.68,1742243533.7403982
-1.23,3.08,3.19,368.9,44.01,-31.74,0.93,-0.21,-0.3,-8.73,28.75,3.66,1742243533.8630002
0.03,1.25,0.05,37.17,-124.08,71.04,0.96,-0.18,-0.2,-7.14,-5.07,6.53,1742243533.9682188
-0.0,0.86,0.31,69.89,27.1,10.86,0.91,-0.22,-0.19,1.4,2.26,-4.46,1742243534.0820758
0.3,0.79,-0.19,-33.02,338.01,-23.38,0.94,-0.23,-0.25,1.22,3.97,-1.77,1742243534.201324
0.21,1.07,-0.84,-33.69,326.72,-62.62,0.95,-0.21,-0.21,-0.55,-3.66,-2.75,1742243534.3103092
0.25,0.88,-0.6,19.1,-6.47,-70.56,0.93,-0.25,-0.23,10.68,1.83,-5.19,1742243534.424147
0.42,0.72,-0.48,-2.08,-330.75,29.17,0.87,-0.41,-0.12,-30.15,-25.82,-13.43,1742243534.540543
0.39,1.91,2.36,403.32,232.18,-47.73,0.92,-0.24,-0.27,14.89,2.26,-3.17,1742243534.660943
0.32,0.98,0.16,48.89,-68.85,11.41,0.97,-0.24,-0.13,-12.02,-3.3,-2.87,1742243534.766328
-0.02,0.84,0.43,43.46,-85.82,-11.17,0.91,-0.32,-0.13,-1.53,9.34,0.06,1742243534.884029
0.31,0.83,0.08,-40.34,303.96,-47.3,0.94,-0.24,-0.29,0.67,7.81,6.1,1742243535.001031
0.2,0.88,-0.8,-31.07,428.59,-66.41,0.92,-0.23,-0.2,2.38,-7.51,-1.22,1742243535.108276
0.26,0.84,-0.67,44.92,-34.48,-18.25,0.94,-0.27,-0.2,4.94,0.49,-3.17,1742243535.2220669
0.44,0.86,-0.64,50.05,-284.06,24.6,0.97,-0.22,-0.05,-55.79,-67.14,-14.47,1742243535.34231
1.0,0.2,1.48,354.8,-85.39,-22.89,0.96,-0.15,-0.32,-3.66,28.99,0.61,1742243535.4500842
0.04,1.12,0.28,-4.52,-116.64,10.99,0.93,-0.3,-0.16,-8.06,-7.75,-7.02,1742243535.564227
0.08,0.83,0.37,18.68,116.94,14.65,0.92,-0.33,-0.18,-1.65,5.86,-1.16,1742243535.6815639
0.37,0.65,-0.35,-71.59,429.63,-44.31,0.94,-0.29,-0.23,2.14,2.87,3.54,1742243535.801428
0.46,0.85,-1.14,123.54,167.6,33.69,0.92,-0.25,-0.14,-19.53,4.82,8.85,1742243535.906032
-0.06,1.09,-0.41,89.84,-101.93,2.93,0.95,-0.3,-0.24,3.36,6.53,-1.22,1742243536.02228
-0.14,1.0,0.49,-116.64,-513.85,9.58,0.8,-0.46,0.04,20.81,7.45,18.19,1742243536.141631
-0.19,1.37,0.28,-112.18,-220.09,57.98,0.94,-0.21,-0.28,13.31,17.58,11.35,1742243536.2470121
-0.02,0.9,0.23,97.29,48.28,25.7,0.92,-0.23,-0.16,-6.41,5.13,-5.43,1742243536.364057
0.08,0.86,-0.17,-92.35,409.91,-63.6,0.93,-0.26,-0.27,3.42,8.97,-1.04,1742243536.482636
0.23,0.88,-0.8,43.52,354.8,-42.91,0.94,-0.24,-0.23,2.81,-2.44,1.34,1742243536.589056
0.13,0.86,-0.76,-4.7,13.37,-8.24,0.93,-0.24,-0.26,7.93,0.85,1.34,1742243536.702869
0.08,0.99,-0.7,-21.18,-323.49,63.54,0.74,-0.35,-0.25,6.47,1.53,-0.55,1742243536.822124
0.47,1.69,2.94,469.67,46.33,-20.51,0.95,-0.22,-0.16,-6.71,28.32,2.01,1742243536.930109
-0.07,1.31,-0.06,0.31,-84.47,63.48,0.98,-0.17,-0.26,-4.82,-2.56,6.59,1742243537.0440881
-0.07,0.77,0.3,111.76,44.74,13.37,0.91,-0.24,-0.2,-4.33,2.26,-5.31,1742243537.1623821
0.2,0.85,-0.06,-68.05,355.41,-59.94,0.93,-0.26,-0.26,1.4,0.73,-1.04,1742243537.281779
0.14,0.88,-0.84,-55.54,385.19,-57.25,0.94,-0.24,-0.21,2.08,0.49,-1.04,1742243537.3859909
0.13,0.82,-0.77,22.95,-40.41,-21.97,0.92,-0.25,-0.3,13.55,-0.24,-1.4,1742243537.502582
0.07,1.02,-0.54,0.06,-242.68,18.25,0.85,-0.25,-0.16,13.0,-4.09,3.48,1742243537.622337
-1.74,2.26,2.92,93.26,-229.49,9.83,1.02,-0.27,-0.15,-81.85,26.0,30.52,1742243537.727995
0.01,1.51,-0.05,153.99,1.53,67.63,0.95,-0.18,-0.23,19.96,4.88,5.13,1742243537.84329
0.03,0.82,0.17,94.85,131.77,75.99,0.91,-0.18,-0.19,-1.77,1.22,-3.91,1742243537.962516
0.28,0.76,-0.56,-161.01,454.1,-102.97,0.95,-0.24,-0.24,8.24,7.93,-4.58,1742243538.0700219
0.52,0.69,-1.08,55.54,185.18,-63.23,0.97,-0.22,-0.23,9.58,-7.93,5.13,1742243538.184146
0.07,0.82,-0.78,19.04,-178.1,52.8,0.92,-0.22,-0.19,15.93,4.7,3.66,1742243538.3015602
0.1,0.92,-0.52,-9.4,-435.3,59.39,1.02,-0.18,-0.05,-29.66,-79.04,-14.77,1742243538.420928
0.93,-0.04,1.26,-182.86,-185.0,4.58,0.97,-0.12,-0.35,28.99,46.69,11.84,1742243538.526048
0.09,1.15,0.13,20.51,-173.16,65.06,0.97,-0.12,-0.21,-1.53,-9.03,-0.37,1742243538.642737
0.05,0.85,0.44,68.12,88.87,36.8,0.92,-0.19,-0.22,-4.27,8.91,-10.13,1742243538.7618718
0.31,0.65,-0.44,-164.61,464.11,-102.6,0.95,-0.22,-0.28,4.46,-0.73,-3.11,1742243538.868132
