L-AccX,L-AccY,L-AccZ,L-GyrX,L-GyrY,L-GyrZ,R-AccX,R-AccY,R-AccZ,R-GyrX,R-GyrY,R-GyrZ,timestamp
0.12125,0.02875,-0.0175,-0.0044549997,0.0027774998,0.00052,-0.01375,-0.0575,0.1225,-0.000535,-0.0055549997,-0.0016175,1742109823.8311198
0.12,0.0225,-0.0125,-0.0045175,-0.000245,-0.001435,-0.01375,-0.11125,0.08875,0.064697504,-0.00441,0.016327498,1742109823.945164
0.1225,0.025,-0.0175,-0.003815,0.0027325,0.000535,0.005,-0.09875,0.05625,0.042907503,-0.01155,0.023605,1742109824.0652218
0.11875,0.02375,-0.0225,-0.002105,7.75e-05,-0.0015575,-0.00125,-0.105,0.04375,0.022459999,-0.03427,0.0072475,1742109824.172958
0.1225,0.0225,-0.01375,-0.0010675,-0.0003825,-0.0020899998,-0.00125,-0.13375,0.01875,0.0243675,0.0178375,-0.0021199998,1742109824.286943
0.1225,0.02625,-0.025,-0.0034175,0.0015575,0.00045750002,0.015,-0.1375,-0.02875,-0.0025475,0.0099949995,0.00302,1742109824.408585
0.12125,0.02,-0.0225,-0.00142,0.0010075001,-0.00055,0.00375,-0.115,0.01375,0.0047925,-0.0494375,-0.0016925,1742109824.514955
0.125,0.0225,-0.02125,-0.0036175,0.001405,-0.0046225,-0.0075,-0.12875,0.00875,0.01419,0.025604999,-0.002685,1742109824.6290078
0.12,0.0225,-0.025,-0.0010675,0.0016925,0.0010975,0.015,-0.135,-0.03875,-0.00441,0.0078125,0.0029449998,1742109824.74475
0.12125,0.02125,-0.0275,-0.000245,0.000275,-0.0001975,0.005,-0.12,0.01875,0.0092175,-0.045365002,0.00087,1742109824.8569002
0.12625,0.02375,-0.0225,-0.0010225,-0.0003825,-0.00351,-0.0025,-0.1225,0.00375,0.011229999,0.0349425,-0.0042575,1742109824.970954
0.12125,0.02375,-0.025,-0.0018300001,-0.00026,-0.0002125,0.00875,-0.14125,-0.04125,-0.0069125,0.0127725,0.001785,1742109825.0849679
0.12125,0.01875,-0.02375,-0.0006725,-0.00055,-0.0001525,0.00375,-0.12125,0.005,0.0142675,-0.060425,-0.001435,1742109825.204555
0.12125,0.02375,-0.01875,-0.0023800002,-0.0004725,-0.0036,-0.00375,-0.115,0.0075,0.023924999,0.037415,-0.00016750001,1742109825.3129542
0.1225,0.02125,-0.02375,-0.001495,0.0001825,0.00059500005,0.00625,-0.14,-0.06375,-0.0058125,0.009902501,0.0018300001,1742109825.426919
0.12,0.02,-0.0225,6e-05,-3e-05,-1.5e-05,-0.0,-0.12,0.01,-0.000275,-0.0571125,0.0,1742109825.544468
0.1225,0.01875,-0.02125,0.0007475,-0.0001375,-0.002045,-0.01,-0.12125,0.005,0.0199125,0.045625,-0.00319,1742109825.6549819
0.12125,0.02,-0.02625,-0.0004725,0.00032,0.0001525,0.01125,-0.14125,-0.06875,-0.0015575,0.005295,0.00113,1742109825.7689862
0.12125,0.01625,-0.025,-0.0001375,4.5e-05,0.00023,0.00125,-0.11375,0.0125,-0.00061,-0.050065,-0.0010375,1742109825.8876789
0.12375,0.01625,-0.02125,0.0016325001,-0.0004725,-0.0021525,-0.00875,-0.13375,0.01625,0.015319999,0.051880002,-0.003005,1742109826.004194
0.1225,0.015,-0.02625,-0.00331,0.0,-0.000305,0.01125,-0.1425,-0.04375,-0.0021199998,0.0093375,0.004745,1742109826.1109161
0.12,0.01625,-0.025,-0.0027325,-0.0002125,-0.000625,-0.0,-0.10875,0.0075,0.008285,-0.06285,0.0057975003,1742109826.224988
0.12125,0.02375,-0.02125,-0.0051574996,-0.0007475,-0.0030675002,0.00125,-0.09125,0.02875,-0.002625,0.036195,-0.0007325,1742109826.346071
0.12125,0.015,-0.0225,-0.002075,-0.00052,0.0004125,0.01,-0.11625,-0.0225,0.0085,0.0334025,0.001175,1742109826.45294
