L-AccX,L-AccY,L-AccZ,L-GyrX,L-GyrY,L-GyrZ,R-AccX,R-AccY,R-AccZ,R-GyrX,R-GyrY,R-GyrZ,timestamp
0.03,0.1275,0.01625,-0.00142,0.0023800002,0.0048375,-0.05625,-0.16625,0.055,0.011535,0.00322,0.01204,1742105026.257113
0.03375,0.13125,0.00375,0.0010225,-0.003525,-0.0038,0.03375,-0.10375,0.03125,0.007675,-0.0025625,0.0352925,1742105026.3754392
-0.01,0.13875,0.05625,0.00711,-0.024825001,-0.01085,0.0675,-0.0925,0.0925,0.00644,0.00415,0.0173025,1742105026.481915
0.09875,0.1,0.065,0.005645,-0.015275,-0.012390001,0.0325,-0.095,0.03375,0.0024425,0.019087499,0.01027,1742105026.595656
0.07125,0.08,0.03125,-0.00122,0.0172275,-0.008529999,0.05625,-0.0675,0.03375,0.005355,-0.0178825,0.00093,1742105026.7163022
0.045,0.09875,-0.0,0.0027925,-0.010055,0.0016925,0.095,-0.0925,0.08625,0.011535,0.011779999,-0.003175,1742105026.8237069
0.12875,0.09,0.095,-6e-05,-0.01445,-0.0027925,-0.0,-0.1175,-0.0325,0.001725,0.023697501,0.0059825,1742105026.937769
0.05,0.10125,0.04875,-0.0054475004,0.018860001,-0.002915,0.05,-0.09125,0.01625,0.00435,-0.019195,-0.0027625,1742105027.056427
0.0425,0.095,-0.005,0.00731,-0.0118725,0.00171,0.085,-0.0825,0.10375,0.008315,0.012695,-0.0051424997,1742105027.176617
0.10875,0.12125,0.10375,0.002715,-0.020875,-0.000365,0.01,-0.12125,-0.04375,-0.005935,0.01677,0.0025475,1742105027.279696
0.04625,0.09625,0.03875,-0.011047499,0.0335075,0.0007325,0.0625,-0.07375,0.0275,0.0048825,-0.0219425,0.0001525,1742105027.396497
0.04875,0.07625,-0.02,0.0047150003,-0.023102501,0.0057225,0.09625,-0.11375,0.09875,0.0077975,0.01622,-0.0036175,1742105027.5164642
0.1125,0.11375,0.09375,-0.001435,-0.015305,-0.00029,0.015,-0.105,-0.02875,0.0016325001,0.01329,-0.002685,1742105027.6207712
0.02875,0.115,0.02125,-0.016844999,0.0245525,0.0045175,0.075,-0.09875,0.0475,-0.0015875,-0.0240325,0.000275,1742105027.735988
0.04,0.11,0.005,-0.0007775,-0.01085,0.0012050001,0.0825,-0.10125,0.0525,-0.0020899998,0.0078724995,0.005965,1742105027.847862
0.04875,0.1,0.05,-0.0061350004,-0.0018625,0.0084525,0.01625,-0.09375,-0.06125,-0.0063625,0.00496,-0.0061950004,1742105027.9617972
0.02125,0.1125,0.0175,-0.01027,0.0160675,0.0086525,0.0775,-0.1025,0.01625,0.0064075,-0.0127725,-0.008575,1742105028.075799
0.015,0.1325,0.00875,-0.0077675,-0.01535,0.0047600004,0.0775,-0.1225,0.05125,-0.002305,0.013534999,0.00377,1742105028.1964328
0.085,0.11,0.08875,0.0024425,-0.004195,-0.0019675,-0.0225,-0.09125,-0.0725,-0.0016025,0.0087749995,-0.0051125004,1742105028.302825
0.02625,0.12625,0.0125,-0.0127575,0.02774,0.0032950002,0.07125,-0.06875,0.0325,0.000855,-0.0274975,0.0031125,1742105028.4165199
0.035,0.10625,-0.0125,0.0007325,-0.01892,0.0018625,0.095,-0.11125,0.07,0.0066225,0.017182501,0.0007775,1742105028.536066
0.115,0.10125,0.11375,0.0045475,-0.0093225,-0.0027,-0.01,-0.08875,-0.07625,6e-05,0.0146475,-0.0072175004,1742105028.643722
0.03375,0.09125,0.0125,-0.020399999,0.0269325,0.0046550003,0.0875,-0.10125,0.03,0.00525,-0.031127501,-0.0026099999,1742105028.757571
0.0225,0.13,-0.005,-0.0019075,-0.0264575,0.0034175,0.08125,-0.11625,0.07625,-0.0019824998,0.0175775,0.00583,1742105028.875735
0.0575,0.09875,0.0725,-0.001725,-0.0040749996,0.0009925,0.00375,-0.08875,-0.09,-0.0069425,0.003585,0.0025775002,1742105028.996942
0.02375,0.09,-0.02375,-0.018082501,0.02983,0.0083,0.11625,-0.09625,0.08875,0.0,-0.028275,-0.000655,1742105029.0997481
0.0175,0.13375,-0.00625,0.0068675,-0.0208275,-0.0025325,0.06875,-0.09375,0.0625,0.0033875,0.017350001,0.000945,1742105029.216647
0.04625,0.12375,0.04625,0.00055,0.0095375,0.0024875,0.04,-0.06625,-0.0325,-0.014587499,-0.0045025,0.0043025,1742105029.3273642
0.00375,0.10125,-0.065,-0.0094,0.0213775,0.01062,0.13125,-0.0925,0.09625,-0.0007475,-0.0210425,-0.0013875001,1742105029.4405959
0.0225,0.10625,-0.00125,0.015365,-0.0189975,-0.00737,0.085,-0.0925,0.04625,0.015457501,0.017409999,-0.004195,1742105029.557191
0.0625,0.13125,0.0625,0.0013425,0.01381,0.0001975,0.0425,-0.07125,-0.02375,-0.010665,-0.015319999,0.00586,1742105029.676707
-0.01625,0.1225,-0.1325,-0.0055225003,0.005905,0.0076,0.16125,-0.1,0.1675,-0.01509,-0.012055,0.0054625003,1742105029.781761
0.06,0.1075,0.07375,0.015855,-0.021835,-0.0071575,0.05,-0.0975,0.025,0.013534999,0.022385,-0.002915,1742105029.8961012
0.06375,0.11375,0.07125,0.0022574998,0.021790002,-0.0028225,0.04375,-0.08375,-0.02,0.0016325001,-0.023545,-0.0005025,1742105030.016732
0.04,0.14375,-0.01875,0.020385,-0.0039825,-0.008515,0.125,-0.07875,0.15,0.0045025,0.0098125,-0.002,1742105030.122703
0.1375,0.0825,0.1175,0.010545,-0.0128625,-0.0086675,0.02,-0.09875,-0.0225,0.0084375,0.021712499,-0.00235,1742105030.2364879
0.06,0.095,0.02125,-0.013274999,0.0279225,0.0027625,0.055,-0.08625,0.02625,0.0104674995,-0.023909999,-0.00293,1742105030.3607218
0.03375,0.09875,-0.01125,0.0007175,-0.017625,0.0048225,0.1,-0.1225,0.06375,0.00879,0.0125575,-0.00029,1742105030.4635131
0.1025,0.10875,0.11125,0.0003825,-0.0054025003,0.0006725,-0.0025,-0.09875,-0.0975,-0.0001825,0.0086199995,-0.0066225,1742105030.577334
0.015,0.1025,-0.0,-0.016112499,0.0269325,0.00554,0.08125,-0.11125,0.0275,-0.0036324998,-0.026290001,-0.00032,1742105030.69664
0.02125,0.11375,-0.00625,-0.005585,-0.01851,0.00508,0.07875,-0.10375,0.05,-0.0016025,0.0150150005,0.0034475,1742105030.804577
0.08125,0.08375,0.0775,-0.0002125,-0.0030525,0.0040749996,0.00125,-0.11375,-0.0825,-0.000625,0.0034025,-0.008485,1742105030.918447
-0.0175,0.12125,-0.04125,-0.0163425,0.02623,0.00357,0.13,-0.09625,0.0925,-0.011825,-0.025115,0.0071875,1742105031.036761
0.025,0.1125,-0.00375,-0.00045750002,-0.018004999,0.0024725,0.07,-0.09625,0.05,0.00084,0.016602501,0.00357,1742105031.157805
0.065,0.095,0.0625,-0.0036475,-0.0020150002,0.0048525,0.03,-0.11,-0.0525,-0.008515,-0.005325,-0.0018300001,1742105031.260353
-0.02,0.1275,-0.07625,-0.0084525,0.0183575,0.0016625,0.145,-0.07875,0.125,-0.0131375,-0.025285,0.0047600004,1742105031.375956
0.02625,0.12125,0.005,0.0066525,-0.0187525,-0.000365,0.0775,-0.08125,0.0475,0.00705,0.02034,-0.0010675,1742105031.4972732
0.05125,0.12125,0.07,-0.0063475,0.0036175,0.005935,0.02625,-0.10625,-0.05125,-0.0116875,-0.007035,0.0001975,1742105031.602345
0.01,0.10875,-0.05625,-0.009965,0.0266125,0.0052024997,0.1425,-0.08375,0.11125,-0.019225,-0.0229175,0.0078425,1742105031.717085
0.01875,0.12375,0.005,-0.0015725,-0.025360001,0.0037075,0.065,-0.09625,0.0475,0.0004275,0.0245975,0.0044699996,1742105031.839835
0.07875,0.105,0.0625,-0.007965,0.0090175,0.0029449998,0.0475,-0.075,-0.02125,-0.0124200005,-0.0110925,0.0061500003,1742105031.943316
-0.0,0.1175,-0.0625,-0.00673,0.01471,0.0025025,0.15125,-0.08125,0.11125,-0.0160225,-0.0172875,0.0054775,1742105032.0576022
0.0375,0.12125,0.015,0.0013575,-0.015319999,-0.00142,0.085,-0.0925,0.04375,0.002105,0.015655,0.00534,1742105032.177241
