L-AccX,L-AccY,L-AccZ,L-GyrX,L-GyrY,L-GyrZ,R-AccX,R-AccY,R-AccZ,R-GyrX,R-GyrY,R-GyrZ,timestamp
-0.00375,0.0175,0.12125,0.0062875,-0.0099325,0.0158075,-0.02875,-0.0525,0.1575,0.0015575,-0.0032650002,0.0016475001,1742218885.092769
-0.00875,0.04,0.175,0.0013425,0.014115,0.0163725,-0.035,-0.1025,0.1,0.021317499,0.02417,0.043580003,1742218885.209387
-0.0325,0.13,0.11625,-0.0102225,0.03189,-0.000305,0.025,0.005,0.03625,0.0080725,-0.01303,0.043595,1742218885.320896
0.01,0.10625,0.02625,0.0077975,0.006255,-0.027665,0.02625,0.03875,0.115,-0.00708,-0.0475925,0.0095225,1742218885.434755
0.04125,-0.0075,0.0475,-0.009965,-0.0314025,-0.031632498,-0.005,-0.0025,0.18875,-0.0081625,-0.006775,-0.02768,1742218885.5501251
-0.0025,-0.02375,0.12625,-0.015365,-0.038772497,0.00058,-0.0575,-0.115,0.155,0.015457501,0.03,-0.02182,1742218885.662981
-0.06125,0.01375,0.21,0.0018475,-0.00357,0.034515,-0.0225,-0.11125,0.05875,0.012725,0.03241,0.0206,1742218885.77682
-0.0675,0.155,0.14125,-0.009385,0.0432575,0.011505,0.02625,-0.0375,0.035,0.0063925,-0.0087275,0.033005003,1742218885.890666
0.0025,0.0825,0.00875,-0.0060425,0.01982,-0.032775,0.02375,0.015,0.105,-0.00566,-0.048217498,0.008315,1742218886.0047932
0.03625,0.0125,0.0475,-0.0098425,-0.022002501,-0.024185,-0.03125,-0.01125,0.195,-0.0072775004,-0.024185,-0.02324,1742218886.118885
0.005,0.00875,0.1125,-0.018004999,-0.03279,0.0055225003,-0.045,-0.07125,0.1625,0.0110775,0.0243675,-0.03096,1742218886.2329159
-0.03875,0.06375,0.1525,-0.0057675,-0.008605,0.027787501,-0.0275,-0.13,0.08875,0.02153,0.038605,0.0045625,1742218886.3503392
-0.0525,0.09125,0.1625,0.0024425,0.0236675,0.0225225,0.0175,-0.065,0.04,0.010162501,0.017212499,0.024047501,1742218886.460599
-0.03625,0.1275,0.0775,-0.0169375,0.037842497,-0.0148775,0.03,-0.04,0.055,0.00673,-0.0423425,0.020995,1742218886.574869
0.01625,0.0725,0.02,-0.00763,0.007995,-0.03218,-0.00125,-0.01125,0.115,0.0084224995,-0.0461875,-0.004745,1742218886.691185
0.04625,0.0325,0.05,0.0006725,-0.0225225,-0.0169975,-0.05625,-0.0675,0.16875,0.0051574996,-0.009155,-0.033555,1742218886.802826
0.03125,0.03,0.09625,-0.011275,-0.0304575,0.008712499,-0.0625,-0.11,0.145,0.01271,0.035325002,-0.0251775,1742218886.916825
-0.01,0.07,0.125,-0.0142525,-0.018875,0.026185,-0.035,-0.125,0.07,0.0134425005,0.0381625,0.00644,1742218887.0307431
-0.05375,0.12125,0.155,0.0137625,0.0113225,0.025084998,0.0025,-0.0825,0.02875,-7.75e-05,0.0118725,0.0266875,1742218887.144674
-0.0425,0.1375,0.065,-0.020920001,0.0393225,-0.0084675,0.02,-0.03875,0.0575,-0.0019824998,-0.03128,0.025969999,1742218887.2588081
0.01125,0.10375,0.01625,-0.010575,0.0101475,-0.0299225,0.015,-0.01,0.11,0.0001975,-0.0508125,0.0033275,1742218887.372813
0.05375,0.045,0.0275,0.0083775,-0.014175001,-0.022629999,-0.04625,-0.05,0.19,0.001145,-0.008042499,-0.021302499,1742218887.4867232
0.03375,0.03,0.08,-0.007095,-0.03531,0.0013125,-0.04375,-0.0925,0.13625,0.0092,0.032759998,-0.02411,1742218887.600728
-0.0225,0.08125,0.12,-0.018280001,-0.0119475005,0.0269925,-0.0325,-0.13625,0.0675,0.0139925005,0.0404825,0.0101775,1742218887.714802
-0.04625,0.13,0.14375,-0.01036,0.016525,0.01863,0.00875,-0.08125,0.03375,0.0021199998,0.00911,0.0255275,1742218887.8319738
-0.04125,0.1625,0.04125,-0.0081025,0.035887502,-0.0063475,0.0325,-0.045,0.06625,-0.0001975,-0.01918,0.021255,1742218887.9428961
0.00125,0.11,0.005,0.005005,0.0075225,-0.0269925,0.02375,-0.02375,0.1,-0.00048750002,-0.0352625,-0.000885,1742218888.060831
0.035,0.05625,0.03625,0.0080875,-0.01535,-0.017059999,-0.02,-0.06625,0.13125,-0.00048750002,-0.0160375,-0.020584999,1742218888.172174
0.03375,0.04875,0.085,-0.001145,-0.030777501,-1.5e-05,-0.02625,-0.07,0.15,-0.000107500004,0.0069875,-0.0187225,1742218888.2847738
-0.0175,0.07625,0.09125,-0.0192425,-0.0258325,0.0245975,-0.03125,-0.10625,0.12,0.0045025,0.0299225,-0.011795,1742218888.3989382
