L-AccX,L-AccY,L-AccZ,L-GyrX,L-GyrY,L-GyrZ,R-AccX,R-AccY,R-AccZ,R-GyrX,R-GyrY,R-GyrZ,timestamp
-0.00625,0.02625,0.1275,0.0024425,0.0010675,0.000655,0.115,-0.04,-0.00625,-0.00174,-0.002045,0.00035,1742109789.21913
-0.015,0.04625,0.12,-0.0077825,0.0016175,-0.000275,0.115,-0.04375,-0.00375,0.0013575,-0.00079250004,-0.00148,1742109789.303081
-0.0025,0.08,0.10625,-0.06598,-0.0060725003,-0.020172501,0.1175,-0.04375,-0.00625,0.001235,0.000885,-0.0013725,1742109789.4202108
0.00875,0.1075,0.03375,-0.074172504,-0.0136875,-0.02365,0.115,-0.04625,-0.0075,0.00125,0.0,0.00048750002,1742109789.530797
0.005,0.1225,0.03375,-0.02272,-0.0386975,-0.004135,0.115,-0.04625,-0.00375,0.000245,0.00035,0.0004425,1742109789.644913
0.0075,0.11625,0.005,-0.011825,0.017760001,-0.00061,0.11375,-0.02625,-0.01,-0.0037375,0.0007475,0.0016925,1742109789.759663
0.0225,0.1175,-0.05,-0.024657499,0.0198825,0.0004275,0.11625,-0.045,-0.01,0.0001975,-3e-05,0.00032,1742109789.8729222
0.02,0.12375,-0.06125,-0.0060125,-0.04866,0.01152,0.11625,-0.0425,-0.00625,0.00026,0.0,0.0001225,1742109789.986856
0.02,0.1125,-0.00625,-0.005875,0.017395,0.0025325,0.11375,-0.0225,-0.01,-0.0057075,-0.00029,0.001495,1742109790.101016
0.01625,0.12625,-0.055,-0.0161275,0.0175775,0.0001375,0.1175,-0.045,-0.0075,0.000535,-0.000535,0.000655,1742109790.214932
0.02,0.115,-0.07,-0.008805,-0.0522,0.010375,0.115,-0.04,-0.0075,0.00033500002,0.000107500004,-0.000107500004,1742109790.328941
0.0175,0.125,-0.01375,-0.021117501,0.019225,0.0013425,0.11375,-0.02,-0.005,-0.00348,-0.000365,-0.0001525,1742109790.443053
0.01375,0.12625,-0.05,-0.0172575,0.022355,-0.000855,0.11625,-0.04375,-0.01,0.00023,-0.0004725,0.0010525,1742109790.560988
0.01625,0.10875,-0.0625,0.0001825,-0.037720002,0.0071725002,0.11625,-0.04,-0.00625,0.00016750001,4.5e-05,7.75e-05,1742109790.6707819
0.02,0.0625,-0.03375,0.021455,0.020202499,0.00151,0.1175,-0.02,-0.01,-0.0093225,0.000565,0.0060575,1742109790.784815
0.01375,0.12375,-0.05125,-0.0075525,0.0285025,-0.0007025,0.11625,-0.04375,-0.01125,-3e-05,-0.00035,0.0001375,1742109790.898963
0.0175,0.1225,-0.06625,0.0030825,-0.0261075,0.0013575,0.11625,-0.04,-0.00875,0.00026,3e-05,-3e-05,1742109791.01294
0.02,0.1,0.025,0.045302503,0.02031,-0.00969,0.1225,-0.0475,-0.0075,-0.0022725,0.000535,0.0041199997,1742109791.126848
0.00625,0.12625,-0.03625,-0.0029000002,0.02623,-0.0015875,0.11625,-0.04375,-0.01375,-0.00093,-0.0001825,-9.25e-05,1742109791.2410371
0.01875,0.1275,-0.07125,0.0039825,-0.009965,-0.0039224997,0.1175,-0.03875,-0.00875,0.00026,-0.0001525,-0.00026,1742109791.354908
-0.02,0.17,0.11625,-0.0178525,-0.03505,0.006165,0.11125,-0.05625,-0.00625,0.0051275003,-0.00084,-0.001175,1742109791.4689448
0.01375,0.12375,-0.02375,0.0028074998,0.0245825,-0.0054775,0.115,-0.04875,-0.0125,0.000107500004,0.00026,-0.0010825,1742109791.582809
0.01875,0.11875,-0.05875,-0.0043800003,0.0086199995,-0.002305,0.1175,-0.0375,-0.005,0.000535,-0.0001375,0.000107500004,1742109791.702104
0.02,0.11625,-0.05625,-0.0063325,-0.0603475,0.010865,0.11625,-0.0475,-0.01,0.00061,9.25e-05,-0.00061,1742109791.810814
0.0175,0.135,-0.01,-0.018432502,0.025895001,-0.0028074998,0.11375,-0.0325,-0.005,0.0031575,0.00033500002,-0.003905,1742109791.9250371
0.02,0.12125,-0.05125,-0.010162501,0.013122501,-0.001235,0.1175,-0.04,-0.0075,9.25e-05,-0.00023,0.00084,1742109792.04146
0.02125,0.10375,-0.06625,0.003585,-0.044740003,0.010345,0.115,-0.04125,-0.01,0.000365,0.00026,-0.000305,1742109792.1527889
0.01625,0.1125,-0.01625,-0.00679,0.020065,0.0019375,0.115,-0.01375,-0.01,-0.00566,0.0,0.002305,1742109792.2669702
0.02,0.12125,-0.055,-0.01027,0.021514999,-0.0025775002,0.1175,-0.04125,-0.00875,0.0007775,-0.000535,0.00032,1742109792.385052
0.02375,0.1075,-0.06125,0.0072775004,-0.0388325,0.00592,0.115,-0.04,-0.01,0.00026,7.75e-05,-7.75e-05,1742109792.4947782
0.01875,0.095,-0.03,-0.0043025,0.019395001,0.0010525,0.11625,-0.01125,-0.01,-0.0068200002,-4.5e-05,0.0039224997,1742109792.608798
